o,c,h,l,v,t
40.51,40.59,40.72,40.1,280369,1657720800000
40.58,40.685,40.78,40.41,193787,1657724400000
40.7,40.985,40.985,40.63,174821,1657728000000
40.98,41.24,41.32,40.85,154756,1657731600000
41.24,41.35,41.35,40.89,149675,1657735200000
41.36,41.26,41.41,41.2,453082,1657738800000
41.37,40.625,41.4,40.59,133988,1657807200000
40.62,40.8868,40.91,40.47,136052,1657810800000
40.89,40.73,40.92,40.545,134997,1657814400000
40.725,41.02,41.06,40.68,134719,1657818000000
41.02,41,41.245,40.95,100574,1657821600000
40.9998,40.8,41.01,40.68,318176,1657825200000
40.58,41.38,41.46,40.475,185375,1657893600000
41.36,41.4,41.45,41.245,103167,1657897200000
41.38,41.17,41.46,41.09,94319,1657900800000
41.19,41.15,41.26,41.1001,209422,1657904400000
41.14,41.3,41.38,41,147099,1657908000000
41.29,41.29,41.37,41.13,292914,1657911600000
42.2481,42.605,42.605,42,361331,1658152800000
42.61,42.46,42.61,42.16,279977,1658156400000
42.46,42.08,42.46,42.08,154388,1658160000000
42.09,41.7,42.17,41.7,198810,1658163600000
41.66,41.61,41.77,41.51,223131,1658167200000
41.61,41.52,41.81,41.34,523418,1658170800000
42.49,42.5341,42.78,42.31,245587,1658239200000
42.55,42.49,42.58,42.39,112753,1658242800000
42.495,42.4,42.588,42.25,131732,1658246400000
42.4,42.39,42.45,42.21,122358,1658250000000
42.4,42.57,42.65,42.37,93069,1658253600000
42.57,42.77,42.87,42.5,312380,1658257200000
42.62,43.475,43.63,42.62,230454,1658325600000
43.47,43.69,43.7,43.34,120454,1658329200000
43.68,43.475,43.78,43.35,164695,1658332800000
43.455,43.09,43.455,43.045,263492,1658336400000
43.09,43.315,43.4,43.09,266509,1658340000000
43.32,43.38,43.59,43.32,693522,1658343600000
42.805,42.55,42.89,42.12,375671,1658412000000
42.545,42.68,43.35,42.5,368593,1658415600000
42.695,42.72,42.83,42.46,321893,1658419200000
42.7096,42.645,42.79,42.51,221464,1658422800000
42.645,42.7358,42.84,42.58,251501,1658426400000
42.74,43.18,43.21,42.68,436089,1658430000000
43.1031,43.41,43.5,42.99,212942,1658498400000
43.42,43,43.44,42.89,183332,1658502000000
43,42.895,43.06,42.8001,151277,1658505600000
42.895,42.785,42.9,42.6,167244,1658509200000
42.77,42.75,42.81,42.55,144960,1658512800000
42.73,42.75,42.92,42.67,337250,1658516400000
43.13,42.88,43.58,42.78,271057,1658757600000
42.87,43.33,43.37,42.8475,270130,1658761200000
