o,c,h,l,v,t
128.15,127.265,128.5,126.775,263880,1657720800000
127.31,127.37,127.66,127.17,137212,1657724400000
127.34,127.755,127.88,127.29,112865,1657728000000
127.73,127.46,128.09,127.335,136338,1657731600000
127.4,127.44,127.52,126.73,217958,1657735200000
127.45,126.85,127.45,126.84,602711,1657738800000
122.99,122.64,123.04,122.11,349170,1657807200000
122.66,122.26,122.98,121.38,433948,1657810800000
122.3,121.13,122.41,121.1,239711,1657814400000
121.14,120.82,121.14,120.345,179655,1657818000000
120.86,121.43,121.83,120.85,167717,1657821600000
121.44,120.93,121.63,120.79,498454,1657825200000
122.32,122.99,123.37,122.31,210582,1657893600000
123.02,122.49,123.14,122.49,157889,1657897200000
122.48,122.22,122.56,122.18,145571,1657900800000
122.22,122.35,122.62,122.15,144678,1657904400000
122.36,122.39,122.59,122.17,160536,1657908000000
122.39,122.41,122.63,122.18,620133,1657911600000
121.7,122.58,123.11,121.58,111189,1658152800000
122.58,122.25,122.61,121.94,145972,1658156400000
122.3,121.78,122.47,121.7,116885,1658160000000
121.765,120.9,121.77,120.743,168221,1658163600000
120.885,120.285,121.17,120.21,196332,1658167200000
120.27,119.78,120.6,119.41,397454,1658170800000
121.51,121.9425,122.52,121.48,136475,1658239200000
122.005,121.65,122.27,121.51,136611,1658242800000
121.66,122.15,122.15,121.43,116320,1658246400000
122.18,122.5,122.54,122.07,122768,1658250000000
122.4765,122.27,122.8,122.08,135791,1658253600000
122.27,122.56,122.93,122.1302,353783,1658257200000
121.895,122.695,122.95,121.67,155769,1658325600000
122.76,123.275,123.545,122.56,157908,1658329200000
123.23,122.339,123.23,122.28,144982,1658332800000
122.3066,121.74,122.3663,121.65,156589,1658336400000
121.75,122.63,122.74,121.75,131606,1658340000000
122.63,122.32,122.89,122.17,423384,1658343600000
113.39,113.13,113.6609,112.08,668420,1658412000000
113.15,113.655,114.29,112.445,467021,1658415600000
113.65,114.06,114.13,113.31,241049,1658419200000
114.06,114.09,114.92,113.98,375436,1658422800000
114.11,114.26,114.88,113.98,302194,1658426400000
114.255,115.8,115.97,114.255,907984,1658430000000
116.37,117.13,117.25,116.23,364225,1658498400000
117.13,117.48,117.57,116.77,242197,1658502000000
117.5,117.86,118.21,117.29,204020,1658505600000
117.87,116.65,117.875,116.47,177468,1658509200000
116.655,115.95,116.67,115.95,185285,1658512800000
115.93,116.2,116.25,115.76,522521,1658516400000
117.03,117.37,117.53,116.76,181003,1658757600000
117.39,117.44,117.65,117.17,104610,1658761200000
117.44,116.98,117.58,116.92,127740,1658764800000
117.0066,116.63,117.2,116.52,110412,1658768400000
116.62,116.57,116.6627,116.17,126217,1658772000000
116.6,116.72,116.755,116.36,377892,1658775600000
116.78,115.975,116.78,115.66,331605,1658844000000
116.01,115.305,116.1,115.27,139262,1658847600000
115.34,115.51,115.62,115.25,103634,1658851200000
115.48,115.34,115.74,115.25,118752,1658854800000
115.34,115.44,115.52,115.26,134658,1658858400000
115.45,115.12,115.55,115.06,367582,1658862000000
115.215,114.47,115.28,114.38,134178,1658930400000
114.49,114.77,114.87,114.13,178849,1658934000000
114.81,114.55,114.885,114.55,83391,1658937600000
114.54,114.645,114.85,114.51,91523,1658941200000
114.69,115.2152,115.425,114.38,211609,1658944800000
115.22,116.91,117.07,115.08,776706,1658948400000
115.72,114.51,115.76,113.89,210429,1659016800000
114.51,115.11,115.47,114.08,241819,1659020400000
115.15,115.75,115.77,115.07,128887,1659024000000
115.75,116.74,116.86,115.71,154368,1659027600000
116.7,116.57,116.95,116.21,237180,1659031200000
116.565,115.69,116.68,115.61,586391,1659034800000
116.74,116.71,117.01,116.53,108942,1659103200000
116.71,116.65,116.86,116.37,148094,1659106800000
116.63,116.775,116.9,116.3,80553,1659110400000
116.7679,116.95,117,116.65,110552,1659114000000
116.92,117.25,117.2997,116.864,120594,1659117600000
117.25,117,117.54,116.855,304216,1659121200000
115.29,115.3,115.995,114.35,223324,1659362400000
115.33,115.535,116.13,115.33,192698,1659366000000
115.52,115.62,115.78,115.23,126656,1659369600000
115.615,115.4,115.82,115.2046,222450,1659373200000
115.39,115.675,115.75,115.16,227810,1659376800000
115.66,116.15,116.435,115.554,450983,1659380400000
116.56,116.65,116.93,116.28,178480,1659448800000
116.63,117.02,117.25,116.45,133289,1659452400000
117.025,117.03,117.12,116.7,103731,1659456000000
116.98,116.65,117.18,116.4,126675,1659459600000
116.63,116.86,117.05,116.57,168251,1659463200000
116.84,115.72,116.9064,115.63,481129,1659466800000
113.74,114.03,114.18,113.44,351108,1659535200000
114.02,114.861,114.87,113.77,327525,1659538800000
114.84,114.7945,114.8999,114.33,135824,1659542400000
114.82,115.1,115.24,114.79,125279,1659546000000
115.08,115.15,115.48,114.91,143985,1659549600000
115.16,115,115.37,115,487306,1659553200000
113.175,115.98,116.69,113.15,388340,1659621600000
115.97,116.05,116.17,115.262,201534,1659625200000
116.09,114.99,116.13,114.78,151750,1659628800000
114.985,114.92,115.39,114.81,148761,1659632400000
114.9,114.47,115.125,114.42,183821,1659636000000
114.47,113.93,114.84,113.89,439870,1659639600000
114.82,114.96,115.49,114.735,185688,1659708000000
114.96,115.5,115.75,114.86,137048,1659711600000
115.5,115.88,115.9797,115.28,129133,1659715200000
115.88,116.19,116.34,115.87,129756,1659718800000
116.195,116.5689,116.63,116.09,155274,1659722400000
116.59,116.96,117.05,116.54,426557,1659726000000
118.34,119.17,119.48,118,218116,1659967200000
119.19,119.07,119.46,119.02,134332,1659970800000
119.07,118.565,119.15,118.4,152168,1659974400000
118.565,118.96,118.98,118.525,112093,1659978000000
118.96,118.63,119.03,118.38,149964,1659981600000
118.62,118.29,118.79,118.21,348899,1659985200000
119.555,118.8,120,118.79,138218,1660053600000
118.81,118.72,118.85,118.44,111005,1660057200000
118.7,118.8649,118.9799,118.59,86668,1660060800000
118.89,119.31,119.39,118.77,142908,1660064400000
119.31,119.38,119.51,119.08,118505,1660068000000
119.39,119.76,119.92,119.23,313669,1660071600000
121.625,122.01,122.125,121.49,120794,1660140000000
122.03,122.44,122.485,122.01,118890,1660143600000
122.52,122.465,122.57,122.15,87398,1660147200000
122.465,122.73,122.85,122.38,99114,1660150800000
122.7293,122.515,122.83,122.366,156188,1660154400000
122.51,123.8,123.88,122.48,705135,1660158000000
126.1725,127.43,127.67,125.84,290200,1660226400000
127.43,127.35,127.78,127.08,187512,1660230000000
127.335,127.295,127.79,127.19,188300,1660233600000
127.35,127.28,127.71,127.09,163085,1660237200000
127.26,126.995,127.26,126.86,177762,1660240800000
126.98,126.96,127.09,126.725,538630,1660244400000
128.13,128.74,128.77,127.6978,207845,1660312800000
128.74,129.17,129.36,128.72,227309,1660316400000
129.18,129.06,129.19,128.725,213523,1660320000000
129.05,129.355,129.44,128.92,162442,1660323600000
129.36,129.365,129.49,129.2,190644,1660327200000
129.362,129.44,129.625,129.27,473038,1660330800000
128.84,128.01,128.85,127.9,197986,1660572000000
127.98,128.81,128.9422,127.95,111754,1660575600000
128.83,129.2,129.43,128.72,106261,1660579200000
129.17,128.66,129.29,128.44,123168,1660582800000
128.68,128.05,128.715,127.8,257981,1660586400000
128.07,127.76,128.145,127.42,507162,1660590000000
128.29,128.38,128.53,127.81,188721,1660658400000
128.39,129.45,129.46,128.34,121366,1660662000000
129.44,130.055,130.12,129.37,177775,1660665600000
130.06,129.67,130.32,129.58,185334,1660669200000
129.7,129.245,130,129.16,220307,1660672800000
129.22,129.72,129.86,129.04,368429,1660676400000
131.605,132.18,132.56,131.29,315039,1660744800000
132.22,131.61,132.49,131.3,169631,1660748400000
131.6,131.64,132.13,131.48,137955,1660752000000
131.63,131.65,131.73,131.34,188233,1660755600000
131.7,131.88,132.66,131.618,249686,1660759200000
131.84,132.04,132.49,131.825,438922,1660762800000
