o,c,h,l,v,t
93.98,95.64,95.7,93.64,57240,1657720800000
95.585,95.57,95.96,95.48,54942,1657724400000
95.57,95.945,96.035,95.57,27444,1657728000000
95.87,95.955,96.31,95.745,34498,1657731600000
95.95,96.28,96.28,95.255,40401,1657735200000
96.22,95.47,96.36,95.44,176451,1657738800000
94.23,94.71,95.03,93.93,79778,1657807200000
94.8,95.23,95.47,94.645,31659,1657810800000
95.26,94.465,95.33,94.22,22397,1657814400000
94.55,94.83,94.98,94.38,36923,1657818000000
94.805,95.54,95.68,94.6997,58565,1657821600000
95.57,95.62,95.7,95.31,174133,1657825200000
96.18,96.435,97.08,96.1,27626,1657893600000
96.49,96.59,96.805,96.49,24414,1657897200000
96.6,96.44,96.735,96.28,25431,1657900800000
96.55,96.875,97.09,96.54,51640,1657904400000
96.91,96.985,97.08,96.79,33840,1657908000000
96.96,97.02,97.095,96.69,120447,1657911600000
96.92,96.57,96.9225,96.26,41011,1658152800000
96.57,96.46,96.63,96.05,53179,1658156400000
96.47,96.39,96.55,96.22,49898,1658160000000
96.34,95.83,96.59,95.83,53119,1658163600000
95.83,95.69,96.09,95.5608,64524,1658167200000
95.69,95.65,95.821,95.14,234030,1658170800000
97.97,98.495,98.66,97.93,35414,1658239200000
98.5,98.52,98.63,98.28,38824,1658242800000
98.5,99.14,99.14,98.36,36757,1658246400000
99.145,99.54,99.54,98.85,40395,1658250000000
99.54,99.9,100.11,99.54,66331,1658253600000
99.92,100.44,100.77,99.76,187354,1658257200000
100.295,101.71,101.79,100.109,50402,1658325600000
101.7,101.655,101.79,101.41,38926,1658329200000
101.72,101.165,101.885,101.03,32718,1658332800000
101.165,100.835,101.2593,100.615,35177,1658336400000
100.92,101.29,101.625,100.91,46323,1658340000000
101.33,101.61,101.93,101.325,139545,1658343600000
101.955,102.58,102.62,101.285,90440,1658412000000
102.59,102.48,103.005,102.42,68572,1658415600000
102.5,102.535,102.8475,102.445,61591,1658419200000
102.57,102.64,102.705,102.29,50535,1658422800000
102.63,102.795,102.96,102.46,74691,1658426400000
102.83,103.48,103.55,102.76,221890,1658430000000
104.045,104.56,104.64,103.5075,80911,1658498400000
104.555,103.92,104.815,103.84,37015,1658502000000
103.74,103.22,103.84,103.21,41561,1658505600000
103.255,103.14,103.33,102.71,39195,1658509200000
103.05,103.09,103.15,102.92,37835,1658512800000
103.06,103.39,103.43,102.88,134678,1658516400000
103.14,102.78,103.63,102.68,23301,1658757600000
102.87,103.13,103.13,102.52,33261,1658761200000
103.06,103.08,103.26,102.71,35021,1658764800000
103.095,102.83,103.29,102.73,39135,1658768400000
102.825,102.39,102.825,102.35,39886,1658772000000
102.37,103.05,103.17,102.27,145099,1658775600000
101.47,102.425,102.52,101.16,67767,1658844000000
102.69,102.21,102.69,102.16,41533,1658847600000
102.18,102.75,102.77,102.05,69071,1658851200000
102.75,102.525,102.84,102.36,37131,1658854800000
102.54,102.555,102.77,102.3,42173,1658858400000
102.52,102.69,102.87,102.39,171046,1658862000000
103.05,103.13,103.3375,102.39,56241,1658930400000
103.175,103.16,103.27,102.935,41775,1658934000000
103.09,102.9,103.42,102.86,38068,1658937600000
102.9,102.81,103.15,102.585,82303,1658941200000
102.73,104.04,104.27,102.52,144589,1658944800000
104.02,104.16,104.74,103.86,272265,1658948400000
100.57,102.5,102.57,99.95,184250,1659016800000
102.43,102.64,103.59,101.61,127729,1659020400000
102.64,102.89,103.235,102.44,88807,1659024000000
102.85,103.5,103.98,102.685,87841,1659027600000
103.475,104.35,104.48,103.4,115065,1659031200000
104.35,104.44,104.8,104.1,329228,1659034800000
104.06,103.76,104.365,103.34,83020,1659103200000
103.695,103.82,103.98,102.46,78192,1659106800000
103.82,104.16,104.22,103.605,40807,1659110400000
104.13,103.99,104.13,103.65,62335,1659114000000
104,104.77,104.905,103.9,104299,1659117600000
104.8,105.73,106.425,104.79,433963,1659121200000
104.71,105.565,105.87,104.4203,147897,1659362400000
105.69,105.545,106.2,105.125,107227,1659366000000
105.53,106.75,107.55,105.505,253221,1659369600000
106.81,106.43,107.07,106.35,90204,1659373200000
106.43,106.23,106.54,105.965,97885,1659376800000
106.22,105.4,106.27,105.35,194672,1659380400000
103.35,104.115,104.58,102.97,58900,1659448800000
104.02,103.59,104.11,103.19,56802,1659452400000
103.56,104,104,103.56,29594,1659456000000
104.02,103.57,104.03,103.39,45232,1659459600000
103.54,103.58,104.03,103.49,48304,1659463200000
103.58,102.75,103.69,102.725,174494,1659466800000
103.26,103.015,103.5602,102.55,52202,1659535200000
102.98,103.7,103.945,102.98,54680,1659538800000
103.695,104.035,104.06,103.69,33269,1659542400000
104.025,103.99,104.22,103.73,77407,1659546000000
103.94,103.86,104.14,103.835,41748,1659549600000
103.855,103.52,103.91,103.5,140515,1659553200000
103.8975,103.94,104.09,103.31,29834,1659621600000
103.95,103.72,104.06,103.58,37830,1659625200000
103.71,103.7,103.71,103.38,28221,1659628800000
103.75,103.545,103.75,103.37,57657,1659632400000
103.5,103.01,103.675,103.01,96216,1659636000000
103.055,103.26,103.38,102.98,212418,1659639600000
101.46,101.6,102.52,101.445,79608,1659708000000
101.57,101.09,101.805,101.09,72170,1659711600000
101.09,101.11,101.58,101,50556,1659715200000
101.14,101.44,101.635,101.13,35737,1659718800000
101.39,101.365,101.56,101.2625,45215,1659722400000
101.35,102.2,102.29,101.3,148159,1659726000000
103.49,103.71,104.07,103.33,41535,1659967200000
103.66,103.25,103.71,103.08,33078,1659970800000
103.23,102.82,103.24,102.47,43994,1659974400000
102.77,102.96,103.12,102.7,40789,1659978000000
102.947,102.78,102.975,102.425,73398,1659981600000
102.835,102.86,103.1,102.49,175962,1659985200000
100.46,100.025,102.44,99.99,56393,1660053600000
100.02,99.95,100.31,99.81,122067,1660057200000
99.86,99.65,99.86,99.325,62204,1660060800000
99.65,99.36,99.655,99.015,83647,1660064400000
99.345,99.485,99.79,99.185,84409,1660068000000
99.46,99.14,99.56,98.9,241697,1660071600000
101.91,101.78,102.05,101.5,100353,1660140000000
101.81,102.12,102.43,101.81,196138,1660143600000
102.17,102.01,102.38,101.71,61644,1660147200000
102,102.08,102.34,101.94,74450,1660150800000
102.09,101.83,102.12,101.745,46907,1660154400000
101.78,101.85,102.02,101.5906,170992,1660158000000
102.69,103.52,103.85,102.69,62866,1660226400000
103.55,102.93,103.625,102.59,65206,1660230000000
102.83,103.06,103.09,102.635,77910,1660233600000
103,102.92,103.2969,102.88,34192,1660237200000
102.945,102.62,102.99,102.49,120568,1660240800000
102.585,102.8,103.03,102.39,151436,1660244400000
104.58,104.85,105.19,103.92,81053,1660312800000
104.85,105.39,105.41,104.85,53116,1660316400000
105.44,105.71,105.82,105.395,60459,1660320000000
105.74,105.25,105.97,105.25,44258,1660323600000
105.26,105.64,105.65,105.19,46809,1660327200000
105.63,106.39,106.49,105.57,195191,1660330800000
106.44,106.19,106.87,106,53607,1660572000000
106.205,106.375,106.605,105.595,48127,1660575600000
106.39,106.65,106.71,106.305,42444,1660579200000
106.65,106.82,106.89,106.525,43712,1660582800000
106.75,107.22,107.44,106.67,75667,1660586400000
107.19,107.27,107.32,106.89,215842,1660590000000
107.43,107.415,107.555,106.97,53129,1660658400000
107.35,108.08,108.1,107.345,59998,1660662000000
108.075,108.24,108.41,108.07,51526,1660665600000
108.27,109.02,109.17,108.25,99787,1660669200000
109.05,107.97,109.3,107.83,89213,1660672800000
107.98,108.45,108.565,107.68,176833,1660676400000
108.1,108.22,108.87,107.87,147056,1660744800000
108.09,107.875,108.3,107.52,79949,1660748400000
107.87,107.83,108.07,107.35,81037,1660752000000
107.78,108.31,108.4,107.51,101428,1660755600000
108.33,108.505,109.19,108.185,146610,1660759200000
108.365,108.59,109.04,108.29,299184,1660762800000
108.5,108.8251,109.06,108.49,51887,1660831200000
108.78,108.925,109.152,108.54,34968,1660834800000
108.935,108.569,108.935,108.43,38485,1660838400000
108.5488,108.55,108.82,108.435,58265,1660842000000
108.5,108.81,108.82,108.485,46841,1660845600000
108.79,109.16,109.17,108.79,149873,1660849200000
107.71,107.255,108.09,107.19,81560,1660917600000
107.25,106.64,107.25,106.53,53960,1660921200000
106.575,106.43,106.575,106.085,45235,1660924800000
106.42,106.46,106.59,106.265,30688,1660928400000
106.406,106.16,106.57,106.07,52681,1660932000000
106.13,106.43,106.68,106.08,162558,1660935600000
104.38,104.42,104.65,104.03,27042,1661176800000
104.41,104.17,104.64,104.13,20589,1661180400000
104.145,103.86,104.145,103.75,17743,1661184000000
103.77,103.48,103.825,103.31,20028,1661187600000
103.46,103.44,103.53,103.21,40541,1661191200000
103.45,103.13,103.69,103.01,102622,1661194800000
102.74,102.96,103.37,102.58,26448,1661263200000
102.96,102.585,102.975,102.43,30283,1661266800000
102.585,102.335,102.585,102.005,22101,1661270400000
102.28,101.8701,102.355,101.86,27556,1661274000000
101.875,102.2,102.245,101.86,30146,1661277600000
102.23,101.93,102.42,101.89,102030,1661281200000
101.14,101.8,101.825,100.955,52547,1661349600000
101.725,101.9775,102.19,101.49,55863,1661353200000
101.99,101.21,102.19,101.1,39573,1661356800000
101.22,101.45,101.59,101.22,32412,1661360400000
101.48,101.33,101.585,101.24,53881,1661364000000
101.33,101.88,102.065,101.275,118621,1661367600000
102.44,103.22,103.48,102.44,55137,1661436000000
103.25,102.57,103.26,102.435,39841,1661439600000
102.58,102.075,102.58,102.05,14790,1661443200000
102.13,102.93,103.09,102.08,32958,1661446800000
102.88,102.69,102.99,102.6,37707,1661450400000
102.69,103.33,103.34,102.59,236340,1661454000000
102.48,100.505,102.48,100.505,122178,1661522400000
100.395,100,100.4,99.62,122968,1661526000000
99.99,99.115,99.99,98.87,91499,1661529600000
99.05,98.81,99.21,98.095,74587,1661533200000
98.86,97.9325,98.86,97.91,57124,1661536800000
97.87,97.67,98.275,97.66,180078,1661540400000
96.715,96.37,96.86,96.26,44070,1661781600000
96.395,96.725,96.935,96.25,87720,1661785200000
96.74,97.22,97.415,96.69,43771,1661788800000
97.28,97.09,97.45,96.75,45382,1661792400000
97.09,97.04,97.22,96.64,63033,1661796000000
97.09,96.72,97.4518,96.69,142423,1661799600000
96.81,96.03,97.41,95.43,35381,1661868000000
96.05,96.34,96.58,95.82,36297,1661871600000
96.385,96.83,96.95,96.385,22673,1661875200000
96.85,96.665,96.97,96.16,24695,1661878800000
96.56,96.7,96.88,96.515,32649,1661882400000
96.73,96.73,97.22,96.45,158803,1661886000000
96.33,96.22,96.58,95.8,43950,1661954400000
96.2,95.71,96.37,95.61,68581,1661958000000
95.73,95.55,96.05,95.41,58305,1661961600000
95.57,95.3,95.61,94.92,65819,1661965200000
95.31,95.045,95.51,94.885,93494,1661968800000
95.03,95.11,95.55,94.85,296286,1661972400000
94.805,94.06,94.835,93.99,37571,1662040800000
94.01,94.75,94.94,93.715,70006,1662044400000
94.795,94.76,95.13,94.725,30401,1662048000000
94.86,95.3,95.56,94.86,28949,1662051600000
95.305,95.69,95.755,95.235,42208,1662055200000
95.68,95.73,95.94,95.385,118059,1662058800000
96.38,96.79,96.97,95.92,64641,1662127200000
96.82,97.24,97.27,96.74,29302,1662130800000
97.25,96.32,97.275,96.13,30082,1662134400000
96.36,95.355,96.36,95.15,34360,1662138000000
95.34,95.24,95.725,95.19,37994,1662141600000
95.32,94.9,95.54,94.395,115332,1662145200000
94.5332,95.13,95.27,93.66,90329,1662472800000
94.98,95.025,95.44,94.63,41907,1662476400000
95.025,94.76,95.09,94.39,33985,1662480000000
94.71,94.27,94.71,94.11,45027,1662483600000
94.27,94.23,94.64,94.21,52407,1662487200000
94.28,94.66,94.7,94.11,201910,1662490800000
95.27,96.185,96.21,95.155,93383,1662559200000
96.14,96.22,96.535,95.915,109048,1662562800000
96.225,96.515,96.66,95.97,31640,1662566400000
96.47,97.09,97.15,96.47,48750,1662570000000
97.12,97.565,97.6,96.91,60194,1662573600000
97.57,98.02,98.02,97.48,244804,1662577200000
97.28,98.45,98.45,97.02,75026,1662645600000
98.42,98.38,98.84,98.25,50286,1662649200000
98.35,98.04,98.35,97.54,45543,1662652800000
98.035,98.41,98.64,97.87,37221,1662656400000
98.49,98,98.58,97.93,53608,1662660000000
98.0375,98.13,98.465,97.76,163451,1662663600000
99.415,99.935,99.935,99.3286,28331,1662732000000
99.85,99.67,99.91,99.39,39176,1662735600000
99.57,99.415,99.67,99.235,43137,1662739200000
99.43,99.875,99.935,99.38,33924,1662742800000
99.885,99.89,99.93,99.55,52648,1662746400000
99.84,99.7,99.89,99.59,196134,1662750000000
101.87,101.37,102.01,101.36,115112,1662991200000
101.35,100.82,101.42,100.71,89177,1662994800000
100.83,101.095,101.19,100.63,62797,1662998400000
101.12,101.32,101.48,100.88,73450,1663002000000
101.33,100.99,101.36,100.7,98020,1663005600000
101,101.22,101.28,100.93,276593,1663009200000
97.73,97.25,98.115,96.88,65988,1663077600000
97.195,97.26,97.48,97,69600,1663081200000
97.29,97.37,97.76,97.16,51854,1663084800000
97.34,97.55,97.83,97.18,60920,1663088400000
97.53,96.88,97.56,96.74,68015,1663092000000
96.88,95.89,96.995,95.66,254721,1663095600000
93.96,95.11,95.12,93.93,78054,1663164000000
95.23,95.248,95.65,95.06,130169,1663167600000
95.26,95.81,95.885,95.09,129961,1663171200000
95.82,94.62,95.92,94.42,52023,1663174800000
94.655,94.725,94.98,94.54,85506,1663178400000
94.69,95.17,95.245,94.185,274481,1663182000000
95.79,94.37,96.5,94.24,111464,1663250400000
94.3,93.63,94.385,93.495,95577,1663254000000
93.595,93.7,93.97,93.43,61883,1663257600000
93.75,94,94.43,93.75,66910,1663261200000
