o,c,h,l,v,t
33.45,33.735,33.77,33.06,402364,1657720800000
33.74,33.48,33.9,33.31,261769,1657724400000
33.51,33.675,33.71,33.43,217526,1657728000000
33.68,33.69,33.77,33.5,339108,1657731600000
33.68,33.78,33.81,33.3531,409189,1657735200000
33.7948,33.63,33.795,33.555,872710,1657738800000
32.57,32.22,32.58,32.08,754083,1657807200000
32.26,32.58,32.67,32.23,406050,1657810800000
32.6,32.41,32.61,32.245,272529,1657814400000
32.41,32.695,32.745,32.325,253200,1657818000000
32.7,32.99,33.05,32.67,441532,1657821600000
33,33.145,33.165,32.9,1099026.0,1657825200000
33.28,33.93,34.13,33.28,435183,1657893600000
33.93,34.08,34.18,33.89,346489,1657897200000
34.07,34.25,34.26,34.05,267854,1657900800000
34.25,34.305,34.345,34.13,195940,1657904400000
34.31,34.43,34.535,34.28,290745,1657908000000
34.435,34.43,34.455,34.315,803392,1657911600000
35.04,35.23,35.32,34.56,730398,1658152800000
35.2399,35.228,35.27,34.9897,367348,1658156400000
35.225,34.9574,35.25,34.9,367228,1658160000000
34.94,34.69,35.045,34.69,432272,1658163600000
34.68,34.45,34.75,34.37,599415,1658167200000
34.45,34.56,34.795,34.445,1260293.0,1658170800000
32.7627,33.765,33.765,32.48,1974052.0,1658239200000
33.765,33.71,34.17,33.47,954922,1658242800000
33.69,33.56,33.69,33.38,463577,1658246400000
33.5589,33.59,33.65,33.2,423050,1658250000000
33.59,33.375,33.6,33.17,609314,1658253600000
33.3776,33.3227,33.51,33.145,1751790.0,1658257200000
33.445,33.8,33.9,33.3,511803,1658325600000
33.79,33.42,33.845,33.35,424299,1658329200000
33.43,33.4285,33.5699,33.23,281128,1658332800000
33.43,33.325,33.52,33.1868,315440,1658336400000
33.32,33.79,33.89,33.32,447825,1658340000000
33.78,33.88,33.92,33.74,1161372.0,1658343600000
33.75,33.27,33.84,33.08,568887,1658412000000
33.255,33.4,33.43,33.1,416090,1658415600000
33.38,33.47,33.51,33.3001,251362,1658419200000
33.47,33.31,33.49,33.225,269651,1658422800000
