o,c,h,l,v,t
37.85,37.79,37.93,37.46,42797,1657720800000
37.79,37.71,37.9,37.6154,44907,1657724400000
37.725,37.7,37.83,37.655,44262,1657728000000
37.71,37.82,37.945,37.71,44147,1657731600000
37.81,37.92,37.92,37.64,54965,1657735200000
37.94,37.85,38,37.77,147686,1657738800000
36.96,36.8,36.96,36.62,62464,1657807200000
36.82,36.805,36.92,36.6,45038,1657810800000
36.79,36.48,36.79,36.41,27440,1657814400000
36.475,36.695,36.71,36.43,29163,1657818000000
36.68,36.87,36.97,36.66,32120,1657821600000
36.9,37.04,37.1,36.88,89270,1657825200000
37.22,37.64,37.66,37.22,63916,1657893600000
37.65,37.515,37.72,37.515,22549,1657897200000
37.48,37.66,37.66,37.36,31050,1657900800000
37.64,37.6,37.75,37.55,22393,1657904400000
37.6,37.56,37.65,37.545,22785,1657908000000
37.56,37.39,37.62,37.35,107341,1657911600000
37.2,37.46,37.53,37.155,41699,1658152800000
37.45,37.37,37.45,37.235,30076,1658156400000
37.39,37.36,37.49,37.35,20219,1658160000000
37.41,37.405,37.6,37.4,26658,1658163600000
37.4,37.205,37.46,37.045,76612,1658167200000
37.245,37.3,37.35,37.04,126718,1658170800000
38.42,38.57,38.87,38.42,54569,1658239200000
38.55,38.75,38.75,38.52,19278,1658242800000
38.739,38.725,38.84,38.665,28612,1658246400000
38.72,38.64,38.76,38.55,58621,1658250000000
38.65,38.625,38.71,38.54,67104,1658253600000
38.63,38.59,38.7,38.56,159432,1658257200000
38.46,38.705,38.73,38.32,37450,1658325600000
38.675,38.39,38.69,38.39,37756,1658329200000
38.37,38.39,38.465,38.29,51024,1658332800000
38.36,38.44,38.525,38.28,27402,1658336400000
38.48,38.67,38.67,38.435,34631,1658340000000
38.67,38.87,38.95,38.65,123365,1658343600000
38.82,38.79,38.82,38.48,21281,1658412000000
38.79,38.6673,38.82,38.66,23721,1658415600000
38.65,38.87,38.87,38.65,19231,1658419200000
38.85,38.8,38.87,38.69,22384,1658422800000
38.77,38.92,38.93,38.77,41933,1658426400000
38.93,39.54,39.57,38.91,255829,1658430000000
39.27,39.31,39.44,39.24,30112,1658498400000
39.32,39.208,39.44,39.16,27576,1658502000000
39.22,39.05,39.255,39.05,23777,1658505600000
39.04,38.82,39.04,38.76,21529,1658509200000
38.81,38.77,38.81,38.71,21356,1658512800000
38.735,39.02,39.04,38.715,107993,1658516400000
39.298,39.21,39.37,39.15,41845,1658757600000
39.225,39.35,39.455,39.14,42337,1658761200000
39.34,39.26,39.375,39.22,47645,1658764800000
39.28,39.22,39.395,39.22,19679,1658768400000
