o,c,h,l,v,t
74.055,74.7,74.78,73.48,99595,1657720800000
74.65,74.06,74.79,73.9,40665,1657724400000
74.16,74.27,74.41,73.99,14422,1657728000000
74.22,74.12,74.44,74.0384,23546,1657731600000
74.1,73.985,74.21,73.63,43138,1657735200000
73.97,73.68,73.97,73.43,145174,1657738800000
71.28,71.505,71.62,71,69651,1657807200000
71.56,72.25,72.25,71.465,78794,1657810800000
72.18,71.33,72.235,71.04,28871,1657814400000
71.28,71.52,71.57,71.145,22372,1657818000000
71.505,71.97,72.22,71.45,43586,1657821600000
71.96,72.4,72.51,71.87,90788,1657825200000
72.9,74.18,74.32,72.9,68836,1657893600000
74.25,74.45,74.61,74.21,54276,1657897200000
74.49,74.6,74.6,74.32,22471,1657900800000
74.6,74.67,74.795,74.5,24217,1657904400000
74.64,74.84,74.97,74.57,31803,1657908000000
74.75,74.45,74.75,74.235,117319,1657911600000
77.05,77.49,77.49,76.44,76874,1658152800000
77.51,77.34,77.51,77.02,57031,1658156400000
77.36,76.69,77.47,76.61,117749,1658160000000
76.66,75.91,76.69,75.875,65251,1658163600000
75.87,75.275,75.89,75.18,76295,1658167200000
75.3,75.65,75.71,75.23,190705,1658170800000
78.91,79.93,79.99,78.68,100606,1658239200000
79.96,79.85,80.02,79.555,151228,1658242800000
79.85,79.795,79.855,79.585,56148,1658246400000
79.85,79.94,80,79.565,40323,1658250000000
79.95,79.89,80.02,79.63,101478,1658253600000
79.905,79.9,79.98,79.64,224348,1658257200000
79.36,80.25,80.485,79.09,96562,1658325600000
80.23,79.58,80.23,79.3,59696,1658329200000
79.62,79.78,79.85,79.21,50264,1658332800000
79.73,79.14,79.73,79.09,38600,1658336400000
79.19,79.58,79.59,79.08,60244,1658340000000
79.59,80.015,80.09,79.59,104210,1658343600000
79.74,80.44,80.44,79.36,119777,1658412000000
80.41,81.01,81.06,80.1,77745,1658415600000
81,81.355,81.45,80.9,127348,1658419200000
81.34,80.915,81.4,80.82,104946,1658422800000
80.925,80.785,81.125,80.62,112729,1658426400000
80.79,81.5,81.86,80.6,233050,1658430000000
82,82.87,83.17,81.92,140336,1658498400000
82.75,81.94,83.02,81.725,100630,1658502000000
81.88,81.165,81.9575,80.99,131712,1658505600000
81.165,81.66,81.712,80.93,153646,1658509200000
81.68,81.57,81.84,81.16,88634,1658512800000
81.56,82.16,82.19,81.48,231454,1658516400000
83.09,82.87,83.25,82.53,110456,1658757600000
82.83,83.18,83.4,82.64,128860,1658761200000
83.16,83.665,83.675,83.08,134651,1658764800000
83.695,83.3,83.81,83.26,72182,1658768400000
83.295,83.16,83.61,83.1375,98117,1658772000000
83.17,83.49,83.5,83.0175,263045,1658775600000
81.865,82.485,82.5,81.75,114376,1658844000000
82.5,81.63,82.615,81.53,108804,1658847600000
81.57,82.32,82.43,81.47,60009,1658851200000
82.32,82.31,82.44,82.06,76278,1658854800000
82.34,82.325,82.57,82.02,110571,1658858400000
82.32,82.46,82.54,82.105,270894,1658862000000
82.88,82.82,83.185,82.8,122231,1658930400000
82.83,83.48,83.48,82.77,50271,1658934000000
83.46,83.6,83.8,83.43,39828,1658937600000
83.62,83.7,83.82,83.57,29057,1658941200000
83.76,84.33,84.44,83.33,54016,1658944800000
84.36,84.89,85.14,84.32,161392,1658948400000
84.34,84.99,85.02,84.16,40598,1659016800000
84.96,85.74,85.835,84.94,51743,1659020400000
85.77,86.04,86.27,85.65,41402,1659024000000
85.99,86.4,86.45,85.935,35905,1659027600000
86.32,86.32,86.51,86.175,63163,1659031200000
86.325,86.48,86.52,86.02,198851,1659034800000
86.04,85.76,86.12,85.47,94946,1659103200000
85.72,85.61,85.97,85.53,44197,1659106800000
85.62,85.76,86.08,85.58,42884,1659110400000
85.78,85.8,85.88,85.575,45958,1659114000000
85.8,85.625,85.91,85.51,59948,1659117600000
85.61,86.05,86.2,85.55,172675,1659121200000
85.41,86.265,86.36,85.09,88608,1659362400000
86.25,85.7,86.255,85.41,63976,1659366000000
85.635,85.78,85.83,85.435,37601,1659369600000
85.77,85.38,85.77,85.215,38473,1659373200000
85.41,85.62,85.72,85.3,50972,1659376800000
85.6,85.22,85.6,85.12,243300,1659380400000
84.3,84.41,84.62,83.94,112382,1659448800000
84.44,84.25,84.51,84.07,64190,1659452400000
84.24,84.64,84.92,84.22,84881,1659456000000
84.697,84.32,84.81,83.97,46444,1659459600000
84.27,84.245,84.69,84.19,52119,1659463200000
84.24,83.78,84.295,83.71,149224,1659466800000
84.19,84.46,84.79,84.055,63752,1659535200000
84.52,84.64,84.82,84.4,68992,1659538800000
84.55,85.3,85.3,84.5,29998,1659542400000
85.285,85.33,85.55,85.25,39820,1659546000000
85.3,85.62,85.62,85.29,61386,1659549600000
85.63,85.08,85.67,85.08,140040,1659553200000
83.28,82.36,83.36,82.255,105974,1659621600000
82.38,81.225,82.5,81.19,186949,1659625200000
81.23,81.72,81.735,81.075,124175,1659628800000
81.72,81.71,81.955,81.64,77553,1659632400000
81.73,81.14,81.76,81.14,106106,1659636000000
81.08,81.13,81.31,80.97,259899,1659639600000
80.08,79.64,80.42,79.64,180897,1659708000000
79.64,78.43,79.65,78.32,106199,1659711600000
78.4,78.93,78.99,78.35,91838,1659715200000
78.91,78.705,79.04,78.63,68309,1659718800000
78.68,78.63,78.9,78.56,70008,1659722400000
78.63,78.64,78.78,78.495,230802,1659726000000
80.61,81.3,81.45,80.535,92139,1659967200000
81.325,81.31,81.67,80.98,55946,1659970800000
81.33,80.88,81.39,80.53,130151,1659974400000
80.83,80.96,81.23,80.81,77645,1659978000000
80.88,80.84,81.05,80.62,72048,1659981600000
80.83,81.29,81.29,80.8,163930,1659985200000
80.11,80.25,80.475,79.89,56021,1660053600000
80.23,80.06,80.44,79.95,35081,1660057200000
80.07,79.48,80.07,79.37,22393,1660060800000
79.56,80.02,80.02,79.47,37684,1660064400000
79.94,79.88,80.005,79.64,37527,1660068000000
79.87,80.06,80.08,79.655,99544,1660071600000
82.38,83.16,83.21,82.21,82711,1660140000000
83.19,83.03,83.5,82.85,41098,1660143600000
83.02,82.96,83.16,82.74,27895,1660147200000
82.93,83.26,83.38,82.89,33247,1660150800000
83.32,82.83,83.4,82.83,47172,1660154400000
82.835,83.21,83.24,82.69,112976,1660158000000
83.75,83.87,84.34,83.66,57201,1660226400000
83.89,84.245,84.335,83.45,43974,1660230000000
84.24,84.54,84.57,83.96,31343,1660233600000
84.56,84.59,84.72,84.43,19561,1660237200000
84.62,84.3,84.78,84.22,21949,1660240800000
84.37,84.35,84.55,84.254,81186,1660244400000
83.99,84.26,84.305,83.85,40695,1660312800000
84.26,84.82,84.89,84.25,38929,1660316400000
84.86,85.15,85.39,84.86,49828,1660320000000
85.15,84.76,85.15,84.64,43891,1660323600000
84.77,85.015,85.155,84.77,40918,1660327200000
85.01,85.23,85.325,85.01,151222,1660330800000
83.79,83.5,83.95,83.35,71011,1660572000000
83.47,84.35,84.41,83.32,34338,1660575600000
84.315,84.325,84.4,84.24,26477,1660579200000
84.29,83.77,84.445,83.515,49795,1660582800000
83.78,84.08,84.08,83.58,26586,1660586400000
84.09,84.09,84.155,83.77,105528,1660590000000
84.27,84.47,84.59,84.12,58412,1660658400000
84.49,85.305,85.37,84.49,56699,1660662000000
85.355,84.875,85.39,84.86,23648,1660665600000
84.89,85.34,85.38,84.89,18689,1660669200000
85.33,84.99,85.6,84.85,28346,1660672800000
84.99,85.53,85.74,84.85,158257,1660676400000
82.15,81.56,82.235,81.49,74149,1660744800000
81.55,81.73,81.86,81.49,64099,1660748400000
81.72,82.02,82.06,81.68,25812,1660752000000
82.06,82.365,82.51,81.71,25924,1660755600000
82.47,82.585,82.95,82.27,31892,1660759200000
82.61,82.21,82.735,82.095,97573,1660762800000
82.59,83.34,83.44,82.325,59037,1660831200000
83.38,83.945,84,83.22,58195,1660834800000
83.845,83.79,84.21,83.57,43551,1660838400000
83.82,84.23,84.23,83.755,52840,1660842000000
84.235,84.1,84.42,84.1,46324,1660845600000
84.1,84.41,84.77,84.095,138267,1660849200000
82.2,82.01,82.6,81.93,54875,1660917600000
