o,c,h,l,v,t
233.23,233.23,233.23,233.23,106,1657728000000
230.91,231.71,231.71,230.91,711,1657738800000
232.18,232.18,232.18,232.18,127,1657821600000
231.94,231.94,231.94,231.94,230,1657825200000
232.82,235.075,235.075,232.82,330,1657893600000
235.88,239.73,239.73,235.88,2584,1657897200000
236.3301,237,237,236.3301,1588,1657900800000
235.46,235.46,235.46,235.46,100,1657904400000
233.6551,235.5,235.5,233.62,2083,1657911600000
236,236,236,236,537,1658156400000
234.085,232.6,234.085,232.18,1221,1658167200000
232.6096,233.72,233.72,232.6096,589,1658170800000
235.04,232.03,235.04,232.03,1125,1658253600000
233.04,233.49,234,232.375,729,1658332800000
230.74,232.48,232.48,230.74,619,1658336400000
230.59,229.69,230.59,229.69,421,1658340000000
229.63,229.52,230.62,229.43,1818,1658343600000
229.73,229.73,229.73,229.73,105,1658498400000
234,234,234,234,110,1658502000000
232.83,232.83,232.83,232.83,105,1658505600000
233.5,233.5,233.5,233.5,331,1658509200000
232.855,228.79,232.855,228.79,3841,1658512800000
229.23,229.18,229.23,229.18,365,1658516400000
233.585,234.815,234.815,233.585,218,1658764800000
235.0999,234.7138,235.0999,234.7138,423,1658768400000
231.33,230.99,231.33,230.275,1152,1658772000000
231.99,232.72,232.9985,230.09,546,1658775600000
234.1,232.99,234.1,232.99,615,1658847600000
234.1,233.6,234.1,233.6,452,1658851200000
234.95,236.33,237.23,234.95,1430,1658854800000
233.4125,233.4125,233.4125,233.4125,312,1658862000000
235.25,235.25,235.25,235.25,101,1658930400000
232.5,232.52,232.52,232.5,442,1658944800000
234.555,234.42,234.555,234.42,962,1658948400000
236.565,235.875,237.98,235.8,4037,1659016800000
235.85,237,237.06,235.85,4712,1659020400000
240.26,239.823,241,239.823,985,1659024000000
241.29,241.29,241.29,241.29,190,1659027600000
239.785,239.785,239.785,239.785,373,1659031200000
241.96,243.65,243.65,241.96,1074,1659034800000
240.51,242.415,242.415,240.51,202,1659103200000
242.27,242.27,242.27,242.27,100,1659106800000
242.695,243.5,243.5,242.695,333,1659110400000
