o,c,h,l,v,t
9.11,9.15,9.16,8.94,427902,1657720800000
9.16,9.09,9.195,9.06,362259,1657724400000
9.095,9.185,9.1899,9.085,382731,1657728000000
9.185,9.265,9.275,9.17,275704,1657731600000
9.26,9.31,9.31,9.205,315172,1657735200000
9.31,9.21,9.31,9.185,780803,1657738800000
8.97,9.035,9.065,8.895,746166,1657807200000
9.035,9.155,9.19,9.005,300689,1657810800000
9.16,9.12,9.19,9.09,219049,1657814400000
9.12,9.14,9.145,9.07,136307,1657818000000
9.145,9.1939,9.2,9.125,365515,1657821600000
9.195,9.25,9.28,9.175,633961,1657825200000
9.26,9.305,9.315,9.2,350925,1657893600000
9.3,9.27,9.3389,9.26,441150,1657897200000
9.275,9.255,9.3,9.24,220688,1657900800000
9.2594,9.26,9.305,9.24,281027,1657904400000
9.26,9.315,9.34,9.25,279043,1657908000000
9.315,9.27,9.32,9.25,847781,1657911600000
9.5,9.57,9.64,9.455,714653,1658152800000
9.57,9.525,9.57,9.515,447697,1658156400000
9.525,9.54,9.57,9.505,266628,1658160000000
9.54,9.545,9.6175,9.535,265762,1658163600000
9.545,9.56,9.61,9.545,419263,1658167200000
9.56,9.555,9.585,9.5,960850,1658170800000
9.735,9.72,9.77,9.68,741516,1658239200000
9.72,9.81,9.81,9.69,755945,1658242800000
9.815,9.865,9.88,9.8,228635,1658246400000
9.865,9.915,9.925,9.855,299430,1658250000000
9.915,9.91,9.95,9.895,353601,1658253600000
9.91,9.94,9.98,9.8901,1086670.0,1658257200000
9.82,9.89,9.9,9.735,472095,1658325600000
9.89,9.855,9.895,9.8001,719743,1658329200000
9.855,9.855,9.8825,9.8,250278,1658332800000
9.855,9.81,9.8662,9.785,211057,1658336400000
9.811,9.92,9.9285,9.8,205649,1658340000000
9.925,9.9,9.9488,9.89,606412,1658343600000
9.735,9.6708,9.735,9.5,661912,1658412000000
9.67,9.68,9.705,9.61,359580,1658415600000
9.685,9.69,9.7167,9.65,190903,1658419200000
9.69,9.64,9.725,9.625,189784,1658422800000
9.6425,9.65,9.675,9.63,191607,1658426400000
9.655,9.76,9.76,9.65,563521,1658430000000
9.67,9.715,9.7388,9.655,394143,1658498400000
9.715,9.73,9.74,9.675,252262,1658502000000
9.73,9.715,9.75,9.695,263648,1658505600000
9.71,9.6496,9.715,9.63,307671,1658509200000
9.645,9.635,9.645,9.58,240020,1658512800000
9.63,9.655,9.66,9.6,506486,1658516400000
9.68,9.79,9.84,9.656,813006,1658757600000
9.79,9.885,9.895,9.78,747439,1658761200000
9.89,9.88,9.9,9.82,568734,1658764800000
9.88,9.9,9.93,9.87,442109,1658768400000
9.9,9.925,9.9599,9.88,595359,1658772000000
9.925,9.95,9.97,9.89,1123837.0,1658775600000
9.79,9.705,9.79,9.66,374891,1658844000000
9.7,9.625,9.7099,9.61,297099,1658847600000
9.62,9.62,9.63,9.5717,194327,1658851200000
9.615,9.7075,9.71,9.605,444087,1658854800000
9.705,9.73,9.749,9.671,1222432.0,1658858400000
9.73,9.76,9.77,9.71,767228,1658862000000
9.835,9.96,9.9799,9.785,934929,1658930400000
9.955,9.845,9.99,9.84,607454,1658934000000
9.85,9.85,9.89,9.82,325205,1658937600000
9.855,9.83,9.87,9.82,412540,1658941200000
9.835,9.805,9.86,9.73,1222779.0,1658944800000
9.805,9.855,9.86,9.77,2174198.0,1658948400000
9.715,9.715,9.76,9.525,1153076.0,1659016800000
9.715,9.795,9.85,9.715,582199,1659020400000
9.795,9.9,9.915,9.76,549406,1659024000000
9.9,9.805,9.9,9.77,292042,1659027600000
9.81,9.8,9.84,9.76,235565,1659031200000
9.805,9.84,9.86,9.79,817115,1659034800000
10.13,10.05,10.195,10.05,998628,1659103200000
10.05,10.08,10.095,10.02,454659,1659106800000
10.08,10.05,10.1,10.04,251367,1659110400000
10.0497,10.08,10.1,10.04,263226,1659114000000
10.08,10.09,10.1,10.08,195283,1659117600000
10.095,10.055,10.1,10.03,940467,1659121200000
9.87,9.89,9.945,9.82,332618,1659362400000
9.89,9.915,9.915,9.83,257439,1659366000000
9.915,9.985,9.99,9.9141,172809,1659369600000
9.985,9.945,9.99,9.923,144548,1659373200000
9.9499,10.005,10.015,9.935,289024,1659376800000
10,10.04,10.055,9.99,697584,1659380400000
10.08,10.09,10.14,10.005,296803,1659448800000
10.085,10.09,10.14,10.03,184691,1659452400000
10.095,10.15,10.16,10.09,267726,1659456000000
10.145,10.04,10.16,10.02,422985,1659459600000
10.035,10.075,10.09,10.02,195220,1659463200000
10.08,10.05,10.145,10.05,1171271.0,1659466800000
10.07,9.9221,10.07,9.92,271755,1659535200000
9.92,9.925,9.97,9.91,200280,1659538800000
9.92,9.93,9.95,9.895,157702,1659542400000
9.935,10.02,10.04,9.87,180389,1659546000000
10.02,10.055,10.06,10.02,200316,1659549600000
10.055,10.01,10.08,10.01,508710,1659553200000
9.7595,9.815,9.84,9.73,495391,1659621600000
9.82,9.86,9.86,9.8025,264118,1659625200000
9.855,9.83,9.875,9.8,475608,1659628800000
9.83,9.81,9.85,9.79,235346,1659632400000
9.81,9.775,9.83,9.77,270529,1659636000000
9.775,9.6399,9.775,9.62,698459,1659639600000
9.66,9.8,9.81,9.65,241558,1659708000000
9.805,9.715,9.81,9.7,423832,1659711600000
9.715,9.73,9.74,9.7,366210,1659715200000
9.73,9.735,9.74,9.705,263629,1659718800000
9.73,9.71,9.7424,9.69,266338,1659722400000
9.71,9.72,9.73,9.69,586698,1659726000000
9.845,9.865,9.92,9.8,461184,1659967200000
9.8606,9.815,9.88,9.75,439952,1659970800000
9.8117,9.73,9.85,9.73,341584,1659974400000
9.735,9.725,9.74,9.685,390398,1659978000000
9.725,9.74,9.77,9.7025,219375,1659981600000
9.74,9.74,9.78,9.7125,502146,1659985200000
9.81,9.78,9.845,9.78,375062,1660053600000
9.78,9.77,9.83,9.76,298932,1660057200000
9.775,9.8,9.8099,9.765,197573,1660060800000
9.8,9.855,9.86,9.795,235589,1660064400000
9.8507,9.835,9.88,9.82,264301,1660068000000
9.835,9.88,9.88,9.81,442849,1660071600000
10.01,10.1,10.13,9.96,1215662.0,1660140000000
10.11,10.1129,10.16,10.07,492774,1660143600000
10.12,10.095,10.15,10.09,181719,1660147200000
10.1,10.055,10.13,10.055,422346,1660150800000
10.06,10.01,10.065,10.01,370255,1660154400000
10.015,10.075,10.1,10.005,1262298.0,1660158000000
10.205,10.25,10.325,10.19,646437,1660226400000
10.26,10.302,10.31,10.21,306037,1660230000000
10.31,10.375,10.38,10.28,199407,1660233600000
10.375,10.43,10.46,10.37,345168,1660237200000
10.43,10.405,10.465,10.39,242408,1660240800000
10.405,10.39,10.43,10.365,445553,1660244400000
10.44,10.34,10.44,10.295,259962,1660312800000
10.345,10.4,10.4,10.335,164201,1660316400000
10.4,10.38,10.4,10.38,90275,1660320000000
10.385,10.385,10.3987,10.35,122118,1660323600000
10.385,10.4,10.4202,10.38,196041,1660327200000
10.395,10.42,10.43,10.375,304131,1660330800000
10.1,10.18,10.22,10.05,314248,1660572000000
10.18,10.247,10.247,10.175,247860,1660575600000
10.25,10.255,10.3,10.24,173773,1660579200000
10.255,10.215,10.28,10.2149,77707,1660582800000
10.21,10.225,10.24,10.1717,122021,1660586400000
10.23,10.27,10.3,10.22,627593,1660590000000
10.405,10.345,10.43,10.345,247386,1660658400000
10.35,10.41,10.41,10.315,224824,1660662000000
10.405,10.425,10.46,10.4,172296,1660665600000
10.43,10.4386,10.47,10.425,219365,1660669200000
10.43,10.38,10.47,10.36,379368,1660672800000
10.385,10.41,10.43,10.35,777644,1660676400000
10.33,10.3291,10.42,10.305,197340,1660744800000
10.33,10.225,10.335,10.215,148591,1660748400000
10.2272,10.27,10.285,10.225,180307,1660752000000
10.27,10.3,10.325,10.265,80572,1660755600000
10.31,10.325,10.375,10.28,124839,1660759200000
10.32,10.32,10.34,10.285,307701,1660762800000
10.41,10.42,10.45,10.35,203520,1660831200000
10.42,10.39,10.44,10.35,182940,1660834800000
10.385,10.3116,10.39,10.31,177360,1660838400000
10.315,10.38,10.4,10.315,159084,1660842000000
10.375,10.41,10.42,10.375,205653,1660845600000
10.405,10.45,10.47,10.39,500861,1660849200000
10.37,10.3699,10.4,10.335,131311,1660917600000
10.37,10.415,10.43,10.34,176749,1660921200000
10.415,10.405,10.42,10.37,99570,1660924800000
10.41,10.38,10.43,10.36,102461,1660928400000
10.375,10.395,10.415,10.37,126083,1660932000000
10.395,10.35,10.42,10.35,355474,1660935600000
10.345,10.36,10.395,10.315,517318,1661176800000
10.36,10.395,10.45,10.35,281468,1661180400000
10.395,10.405,10.45,10.395,221859,1661184000000
10.4,10.335,10.405,10.31,171897,1661187600000
10.335,10.36,10.37,10.32,173104,1661191200000
10.36,10.365,10.4,10.35,712530,1661194800000
10.57,10.6901,10.72,10.57,430754,1661263200000
10.695,10.62,10.72,10.605,310632,1661266800000
10.615,10.56,10.62,10.52,168987,1661270400000
10.55,10.46,10.56,10.43,315060,1661274000000
10.46,10.53,10.53,10.435,318944,1661277600000
10.53,10.54,10.56,10.52,843047,1661281200000
10.58,10.58,10.6599,10.57,312934,1661349600000
10.585,10.58,10.605,10.53,149485,1661353200000
10.5865,10.585,10.639,10.56,167788,1661356800000
10.59,10.585,10.61,10.56,93443,1661360400000
10.585,10.635,10.66,10.575,219857,1661364000000
10.63,10.66,10.7,10.63,408568,1661367600000
10.76,10.695,10.765,10.65,211317,1661436000000
10.7,10.73,10.73,10.665,159788,1661439600000
10.725,10.765,10.77,10.72,203087,1661443200000
10.77,10.735,10.78,10.7225,136268,1661446800000
10.74,10.7,10.745,10.68,157507,1661450400000
10.695,10.75,10.75,10.69,381830,1661454000000
10.71,10.63,10.76,10.555,323662,1661522400000
10.625,10.585,10.625,10.51,287467,1661526000000
10.59,10.55,10.6,10.515,204970,1661529600000
10.545,10.58,10.6,10.54,135791,1661533200000
10.58,10.52,10.59,10.52,365840,1661536800000
10.52,10.48,10.55,10.48,498370,1661540400000
10.5942,10.51,10.65,10.505,276324,1661781600000
10.51,10.56,10.58,10.51,137105,1661785200000
10.56,10.575,10.585,10.54,100842,1661788800000
10.58,10.665,10.67,10.565,126644,1661792400000
10.665,10.625,10.6754,10.62,325898,1661796000000
10.625,10.545,10.65,10.53,542509,1661799600000
10.305,10.245,10.32,10.18,567784,1661868000000
10.25,10.255,10.32,10.22,302459,1661871600000
10.25,10.165,10.265,10.135,216104,1661875200000
10.17,10.17,10.1994,10.145,172093,1661878800000
10.165,10.145,10.19,10.13,483888,1661882400000
10.145,10.14,10.205,10.13,561416,1661886000000
10.01,10.165,10.24,9.98,711108,1661954400000
10.16,10.255,10.279,10.08,947812,1661958000000
10.26,10.1909,10.2799,10.175,451474,1661961600000
