o,c,h,l,v,t
15.36,15.55,15.67,15,6358700.0,1657720800000
15.56,15.4099,15.775,15.31,4985090.0,1657724400000
15.4094,15.7601,15.77,15.39,3340657.0,1657728000000
15.76,15.77,15.93,15.59,4786640.0,1657731600000
15.775,15.615,15.775,15.54,3140171.0,1657735200000
15.615,15.1499,15.62,15.13,4990047.0,1657738800000
15.155,14.99,15.19,14.8,6922340.0,1657807200000
14.995,15.6161,15.6769,14.995,7698524.0,1657810800000
15.62,15.42,15.64,15.27,4015469.0,1657814400000
15.42,15.18,15.42,15.05,3717977.0,1657818000000
15.1799,15.2099,15.4,15.07,2587701.0,1657821600000
15.21,15.0806,15.23,14.9701,3698003.0,1657825200000
14.89,14.9601,15.05,14.73,4022210.0,1657893600000
14.96,15.18,15.2508,14.93,3196327.0,1657897200000
15.175,15.1125,15.175,15.01,2537485.0,1657900800000
15.12,15.2,15.28,15.11,2593110.0,1657904400000
15.2,15.185,15.26,15.02,2632349.0,1657908000000
15.1801,15.38,15.39,15.12,4432283.0,1657911600000
16.265,16.2901,16.36,15.84,9078929.0,1658152800000
16.2991,16.6399,16.765,16.26,9158664.0,1658156400000
16.64,16.6055,16.85,16.47,6167443.0,1658160000000
16.6,16.465,16.96,16.46,7996153.0,1658163600000
16.47,16.2832,16.5612,16.22,5389561.0,1658167200000
16.28,16.5701,16.64,16.26,6057619.0,1658170800000
16.995,17.1594,17.35,16.67,11224141.0,1658239200000
17.155,16.865,17.23,16.82,4408392.0,1658242800000
16.8699,17.196,17.2299,16.81,3860936.0,1658246400000
17.2,17,17.2596,16.925,3992543.0,1658250000000
17,16.4212,17,16.4,5736102.0,1658253600000
16.4245,16.3699,16.49,16.25,6671137.0,1658257200000
16.665,17.4732,17.48,16.64,10340205.0,1658325600000
17.4701,17.435,17.5,17.08,7022242.0,1658329200000
17.43,17.32,17.54,17.11,5965203.0,1658332800000
17.32,17.1452,17.34,16.97,4392301.0,1658336400000
17.145,17.2999,17.37,17.115,3595298.0,1658340000000
17.2901,17.52,17.7279,17.27,8143122.0,1658343600000
17.7199,17.49,17.77,17.1,7646372.0,1658412000000
17.4901,17.64,17.745,17.315,3859954.0,1658415600000
17.6409,17.64,17.815,17.5801,3243283.0,1658419200000
17.64,17.5398,17.64,17.435,2255481.0,1658422800000
17.54,17.1344,17.66,17.11,3595079.0,1658426400000
17.1301,16.98,17.21,16.95,6859272.0,1658430000000
16.38,15.7,16.3994,15.68,8571373.0,1658498400000
15.69,15.445,15.74,15.28,6358616.0,1658502000000
15.4473,15.5909,15.63,15.37,2986874.0,1658505600000
15.59,15.615,15.62,15.44,2137484.0,1658509200000
15.615,15.51,15.63,15.41,2224513.0,1658512800000
15.51,15.505,15.61,15.4,3401016.0,1658516400000
15.19,14.905,15.2179,14.9,4307677.0,1658757600000
14.9,14.865,14.94,14.805,2367560.0,1658761200000
14.865,14.895,14.94,14.81,1621368.0,1658764800000
14.8982,14.8501,15.05,14.85,1743470.0,1658768400000
14.85,14.8827,15.05,14.805,2859638.0,1658772000000
14.8839,14.91,14.95,14.795,2444519.0,1658775600000
14.24,14.3099,14.445,14.17,3612880.0,1658844000000
14.31,14.0104,14.35,14.01,2528278.0,1658847600000
14.02,14.045,14.07,13.94,2169694.0,1658851200000
14.04,14.4,14.44,13.99,2583995.0,1658854800000
14.4,14.1579,14.42,14.12,1885654.0,1658858400000
14.1574,13.995,14.21,13.97,3058769.0,1658862000000
14,14.1,14.14,13.815,4961998.0,1658930400000
14.105,13.98,14.16,13.935,2358168.0,1658934000000
13.985,13.8797,14.01,13.8546,1629209.0,1658937600000
13.88,13.99,14.055,13.86,2065474.0,1658941200000
13.99,14.305,14.43,13.945,3710293.0,1658944800000
14.31,14.4508,14.5374,14.2601,3705721.0,1658948400000
14.565,14.4549,14.6399,14.2,4481735.0,1659016800000
14.4599,14.655,14.71,14.43,3757252.0,1659020400000
14.655,14.505,14.73,14.45,2112596.0,1659024000000
14.5,14.5,14.58,14.42,1676514.0,1659027600000
14.5048,14.5,14.505,14.3811,1400223.0,1659031200000
14.495,14.59,14.76,14.49,4063532.0,1659034800000
14.34,14.24,14.46,14.1501,2840733.0,1659103200000
14.24,14.2,14.355,14.11,2025799.0,1659106800000
14.2,14.4631,14.47,14.1825,1698653.0,1659110400000
14.4636,14.57,14.61,14.44,1831833.0,1659114000000
14.5716,14.665,14.87,14.54,3071176.0,1659117600000
14.66,14.5607,14.73,14.52,2768142.0,1659121200000
14.69,14.89,14.94,14.52,3750420.0,1659362400000
14.9,15.1801,15.25,14.88,4020692.0,1659366000000
15.19,14.842,15.22,14.8,2684366.0,1659369600000
14.85,14.9063,14.955,14.77,1968849.0,1659373200000
14.9,15.238,15.27,14.8899,3041292.0,1659376800000
15.235,15.36,15.5,15.16,4139032.0,1659380400000
16.09,16.785,16.895,16.03,9366705.0,1659448800000
16.78,16.785,16.88,16.235,7378101.0,1659452400000
16.79,16.84,16.97,16.58,5079395.0,1659456000000
16.845,16.86,16.88,16.49,4109599.0,1659459600000
16.8601,16.81,16.95,16.7001,3022353.0,1659463200000
16.81,16.8501,16.985,16.762,5254461.0,1659466800000
17.37,17.42,17.79,17.23,7689135.0,1659535200000
17.43,17.9818,18,17.39,5376978.0,1659538800000
17.985,17.72,18.03,17.6625,4557738.0,1659542400000
17.72,18.07,18.11,17.6215,4253013.0,1659546000000
18.0789,17.8901,18.11,17.86,3199257.0,1659549600000
17.8964,18.21,18.27,17.75,6724345.0,1659553200000
18.565,18.59,18.97,18.25,9879039.0,1659621600000
18.5988,18.7599,18.855,18.53,4789124.0,1659625200000
18.7699,18.9697,19.07,18.73,5173690.0,1659628800000
18.9604,19.32,19.4,18.87,5751268.0,1659632400000
19.325,19.07,19.34,18.93,5451221.0,1659636000000
19.07,18.6691,19.3,18.58,8607511.0,1659639600000
17.59,17.5676,17.75,17.1,9154895.0,1659708000000
17.5688,18.795,18.8,17.5621,12338978.0,1659711600000
18.795,19.645,19.8,18.72,17351796.0,1659715200000
19.6403,20.9852,21.56,19.45,26580272.0,1659718800000
20.985,22.44,22.77,20.78,26229470.0,1659722400000
22.435,22.1701,22.47,21.86,20491505.0,1659726000000
24.8875,26.19,26.35,24.42,26487006.0,1659967200000
26.19,25.39,26.9,24.96,20316479.0,1659970800000
25.3878,25.33,25.75,24.665,10207558.0,1659974400000
25.33,25.485,25.805,25.3,7730207.0,1659978000000
25.49,24.33,25.5308,23.81,11092356.0,1659981600000
24.34,23.91,24.44,23.1,13953357.0,1659985200000
23.2901,22.99,23.3,22.3,12422980.0,1660053600000
22.99,22.08,23.03,22.055,8863270.0,1660057200000
22.08,22.3801,22.53,21.74,8768912.0,1660060800000
22.39,22.34,22.49,21.9,4407669.0,1660064400000
22.335,22.565,22.935,22.3,6049180.0,1660068000000
22.565,22.49,22.7,22.39,5671852.0,1660071600000
21.84,22.079,22.32,20.73,12887850.0,1660140000000
22.08,21.94,22.64,21.9201,7965696.0,1660143600000
21.9467,22.04,22.2,21.625,4567408.0,1660147200000
22.05,22.43,22.54,21.94,4547704.0,1660150800000
22.4373,23.21,23.48,22.43,10143548.0,1660154400000
23.2115,23.67,23.73,22.83,8959288.0,1660158000000
25.37,24.965,26.08,24.8,18656097.0,1660226400000
24.965,24.3934,25.162,24.0501,10557857.0,1660230000000
24.395,24.995,25.02,24.193,6007664.0,1660233600000
24.9993,25.1287,25.53,24.78,7983053.0,1660237200000
25.1299,25.3401,25.59,24.89,7880915.0,1660240800000
25.34,25.4499,26.03,25.28,12058406.0,1660244400000
25.38,25.8095,25.85,24.87,12584141.0,1660312800000
25.81,25.755,26.32,25.65,8601550.0,1660316400000
25.7562,25.9309,26.08,25.68,5190597.0,1660320000000
25.9301,24.88,26.2,24.65,9904828.0,1660323600000
24.88,24.61,25.09,24.41,7646728.0,1660327200000
24.61,24.4,24.75,23.96,11424397.0,1660330800000
23.05,24.11,24.27,22.67,12142704.0,1660572000000
24.1,24.11,24.49,23.76,6624972.0,1660575600000
24.115,23.66,24.145,23.5601,3868912.0,1660579200000
23.66,23.9,23.92,23.55,3660267.0,1660582800000
23.905,23.265,24.04,23.1409,5700800.0,1660586400000
23.26,24.2,24.47,23.15,8266749.0,1660590000000
24.84,23.92,25.45,23.9108,11469635.0,1660658400000
23.91,24.1952,25.035,23.4,17440817.0,1660662000000
24.1913,24.8199,24.8595,23.9,6341265.0,1660665600000
24.82,26.02,26.1588,24.53,9904397.0,1660669200000
26.05,24.94,26.15,24.15,12342190.0,1660672800000
24.94,24.8081,24.9899,24.3,5787901.0,1660676400000
24.45,23.37,24.46,23.36,9225317.0,1660744800000
23.375,22.89,23.54,22.7482,7393749.0,1660748400000
22.89,22.28,22.93,22.0701,7601010.0,1660752000000
22.28,22.335,22.64,22.04,5282728.0,1660755600000
22.3301,22.4337,23.02,21.77,9126854.0,1660759200000
22.4399,21.36,22.83,21.28,8380599.0,1660762800000
21.455,20.15,21.54,19.42,14145596.0,1660831200000
20.16,20.0899,20.49,20,4954784.0,1660834800000
20.0815,20.005,20.35,20,3516480.0,1660838400000
20,19.885,20.1199,19.7101,4945238.0,1660842000000
19.885,19.57,19.89,19.43,4947998.0,1660845600000
19.575,19.4301,19.72,19.12,6656422.0,1660849200000
18.23,18.2971,18.96,18.14,9088534.0,1660917600000
18.3,18.0598,18.41,17.8301,6327646.0,1660921200000
18.0599,18.1599,18.59,17.905,4338724.0,1660924800000
18.16,18.01,18.275,17.77,4042452.0,1660928400000
18.015,17.5992,18.24,17.5,5130606.0,1660932000000
17.5988,18.01,18.17,17.5,10522785.0,1660935600000
12.425,10.97,12.73,10.9,34119755.0,1661176800000
10.965,11.405,11.73,10.84,18521931.0,1661180400000
11.405,10.93,11.47,10.9,10016002.0,1661184000000
10.925,10.96,11.48,10.87,12510439.0,1661187600000
10.955,10.7501,11.16,10.66,13367052.0,1661191200000
10.7574,10.455,10.8099,10.3,22427617.0,1661194800000
10.2169,9.9566,10.35,9.91,15935451.0,1661263200000
9.955,9.85,10.18,9.83,9102587.0,1661266800000
9.8401,10.1,10.15,9.81,8118426.0,1661270400000
10.095,10.0422,10.15,10.01,4349399.0,1661274000000
10.05,9.823,10.1,9.72,8957480.0,1661277600000
9.825,9.5595,9.83,9.47,13887631.0,1661281200000
9.415,9.315,9.48,9.23,9876432.0,1661349600000
9.315,9.4978,9.64,9.29,7474699.0,1661353200000
9.495,9.768,9.9,9.47,6958924.0,1661356800000
9.77,9.64,9.77,9.54,4021114.0,1661360400000
9.645,9.55,9.68,9.5107,2906428.0,1661364000000
9.555,9.58,9.68,9.47,5916663.0,1661367600000
9.6584,9.66,9.75,9.51,5576381.0,1661436000000
9.6699,9.46,9.67,9.39,4914407.0,1661439600000
9.45,9.38,9.4786,9.36,2739449.0,1661443200000
9.3799,9.3893,9.41,9.31,2880358.0,1661446800000
9.38,9.4477,9.505,9.36,2264503.0,1661450400000
9.445,9.6,9.65,9.38,5315840.0,1661454000000
9.52,9.02,9.52,9.02,8841318.0,1661522400000
9.025,9.205,9.24,8.96,5316643.0,1661526000000
9.2066,9.235,9.27,9.12,3972207.0,1661529600000
9.235,9.25,9.33,9.22,2593478.0,1661533200000
9.25,9.185,9.3,9.11,3207224.0,1661536800000
9.185,9.15,9.29,9.14,6628513.0,1661540400000
9.225,9.08,9.46,9.06,6800476.0,1661781600000
9.075,9.22,9.26,9,3803167.0,1661785200000
9.215,9.27,9.39,9.2,4249934.0,1661788800000
9.27,9.5229,9.57,9.27,6037227.0,1661792400000
9.525,9.455,9.61,9.39,4345904.0,1661796000000
9.4582,9.4772,9.55,9.075,5799596.0,1661799600000
9.29,9.21,9.385,9.1313,5043925.0,1661868000000
9.205,9.13,9.23,9.06,3112680.0,1661871600000
9.1215,9.15,9.23,9.07,2100984.0,1661875200000
9.15,9.075,9.2,9.03,2055507.0,1661878800000
9.075,9.155,9.18,9.0401,2467331.0,1661882400000
9.16,9.26,9.28,9.11,4015366.0,1661886000000
8.97,8.8499,9.0891,8.83,6116809.0,1661954400000
8.85,8.76,8.865,8.68,5096672.0,1661958000000
8.765,8.85,8.86,8.74,2317260.0,1661961600000
8.8438,8.845,8.92,8.81,2039503.0,1661965200000
8.85,8.9515,8.99,8.84,2632238.0,1661968800000
8.9501,9.095,9.12,8.915,5327963.0,1661972400000
8.74,8.625,8.75,8.57,5091425.0,1662040800000
8.62,8.47,8.69,8.455,4621510.0,1662044400000
8.47,8.42,8.5,8.405,2724194.0,1662048000000
8.428,8.335,8.48,8.3,2644627.0,1662051600000
8.335,8.395,8.45,8.31,2550526.0,1662055200000
8.39,8.62,8.62,8.38,4761327.0,1662058800000
8.4,8.95,9.17,8.35,10288386.0,1662127200000
8.9499,8.9101,8.98,8.4,4016317.0,1662130800000
8.92,8.69,8.97,8.67,2527548.0,1662134400000
8.6919,8.7801,8.83,8.65,1907748.0,1662138000000
8.785,8.925,8.94,8.78,1555719.0,1662141600000
8.92,8.9,8.97,8.83,2935932.0,1662145200000
8.47,8.4003,8.5,8.26,4827219.0,1662472800000
8.4099,8.4352,8.4468,8.3,2751763.0,1662476400000
8.44,8.3962,8.45,8.31,1595586.0,1662480000000
8.3914,8.3999,8.41,8.32,1399307.0,1662483600000
8.3969,8.31,8.42,8.3,1435574.0,1662487200000
8.32,8.2,8.35,8.17,4069643.0,1662490800000
8.1,8.02,8.15,7.99,3153678.0,1662559200000
8.015,8.035,8.0888,8,1800460.0,1662562800000
8.035,8.08,8.0967,8,1946647.0,1662566400000
8.085,8.1516,8.21,8.085,2155425.0,1662570000000
8.155,8.265,8.27,8.08,1927104.0,1662573600000
8.2669,8.381,8.455,8.25,4625756.0,1662577200000
8.33,8.58,8.7,8.28,4673321.0,1662645600000
8.58,8.5899,8.72,8.52,2299667.0,1662649200000
8.585,8.545,8.5973,8.43,1750662.0,1662652800000
8.545,8.6162,8.6688,8.505,1324318.0,1662656400000
8.62,8.565,8.62,8.5,1071840.0,1662660000000
8.565,8.61,8.63,8.54,2089543.0,1662663600000
9.045,9.415,9.5198,9.03,8497141.0,1662732000000
9.4199,9.52,9.54,9.28,4532711.0,1662735600000
9.525,9.64,9.6764,9.385,4143513.0,1662739200000
9.6435,9.51,9.73,9.5,4793052.0,1662742800000
9.515,9.555,9.57,9.41,3289904.0,1662746400000
9.5599,9.71,9.72,9.51,5602507.0,1662750000000
10.5475,10.09,10.55,10.07,11200788.0,1662991200000
10.095,9.9959,10.12,9.92,6986448.0,1662994800000
9.995,10.0409,10.13,9.85,4559433.0,1662998400000
10.045,10.0488,10.0994,9.97,3014653.0,1663002000000
