o,c,h,l,v,t
108.97,109.9,110.16,108.44,84768,1657720800000
109.98,109.67,110.36,109.585,57170,1657724400000
109.63,110.06,110.24,109.63,25114,1657728000000
110.06,110.2,110.3735,109.84,44413,1657731600000
110.15,110.46,110.46,109.52,46884,1657735200000
110.46,109.55,110.46,109.55,183485,1657738800000
107.54,107.255,107.83,106.98,70171,1657807200000
107.34,108.305,108.42,107.275,56849,1657810800000
108.29,108.06,108.29,107.78,28906,1657814400000
108.05,108.2,108.37,107.88,45979,1657818000000
108.155,108.94,108.97,108.13,64908,1657821600000
108.95,109.74,109.97,108.82,477523,1657825200000
110.38,111.04,111.37,110.32,76415,1657893600000
110.98,111.12,111.5,110.98,40993,1657897200000
111.11,110.99,111.16,110.74,45001,1657900800000
111.03,110.85,111.28,110.814,32049,1657904400000
110.84,110.95,111.03,110.78,31966,1657908000000
110.92,111.64,111.75,110.84,257917,1657911600000
111.46,111.55,111.64,110.63,164710,1658152800000
111.5,111.4,111.53,110.95,52934,1658156400000
111.33,111.07,111.41,111.025,53777,1658160000000
111.07,110.46,111.09,110.46,62292,1658163600000
110.43,109.96,110.605,109.95,67105,1658167200000
109.945,109.13,110.05,108.83,334871,1658170800000
111.02,111.93,112.045,110.97,82695,1658239200000
111.97,111.965,112.15,111.725,97074,1658242800000
111.96,112.27,112.29,111.82,51593,1658246400000
112.2667,112.19,112.28,111.83,138549,1658250000000
112.27,112.72,112.79,112.14,165664,1658253600000
112.74,112.79,113.13,112.65,503349,1658257200000
112.98,114.09,114.1,112.955,67835,1658325600000
114.07,113.61,114.07,113.51,42374,1658329200000
113.58,113.61,113.94,113.27,57633,1658332800000
113.51,113.16,113.72,113.11,91154,1658336400000
113.19,113.81,113.95,113.19,57799,1658340000000
113.79,113.84,114.1,113.73,225535,1658343600000
114.77,114.5,114.98,113.96,65463,1658412000000
114.57,114.82,115.01,114.325,62822,1658415600000
114.85,114.96,115.19,114.85,27654,1658419200000
115.02,114.67,115.12,114.57,31138,1658422800000
114.67,114.96,115.19,114.65,50992,1658426400000
114.94,115.63,115.68,114.93,188248,1658430000000
115.82,115.67,115.95,115.44,88416,1658498400000
115.69,115.55,115.885,115.31,81929,1658502000000
115.675,115.235,115.675,115.16,38373,1658505600000
115.18,114.93,115.3,114.78,52036,1658509200000
114.91,114.71,114.91,114.62,57503,1658512800000
114.69,115.27,115.49,114.62,288502,1658516400000
115.31,115.32,115.64,115.17,67913,1658757600000
115.3,116.02,116.16,115.2,85530,1658761200000
115.99,115.82,116.15,115.82,60683,1658764800000
