o,c,h,l,v,t
111.73,113.12,113.43,110.91,13848,1657720800000
113.12,113.16,114,112.72,11654,1657724400000
113.19,113.09,113.39,112.85,25859,1657728000000
113.03,112.86,113.32,112.2949,22616,1657731600000
112.81,113.42,113.42,112.0175,20774,1657735200000
113.58,113.13,113.7299,112.95,48491,1657738800000
110.12,111.54,112.225,110.12,21299,1657807200000
111.59,112.695,112.73,111.43,17181,1657810800000
112.58,111.76,112.645,111.4057,20639,1657814400000
111.755,112.53,112.57,111.755,21455,1657818000000
112.6,112.93,113.17,112.47,30653,1657821600000
113.025,112.93,113.49,112.8,58331,1657825200000
113.58,114.2,115.5,113.57,6915,1657893600000
114.58,115.04,115.33,114.58,6312,1657897200000
114.98,115.315,115.43,114.85,8758,1657900800000
115.1705,115.93,116.045,115.17,10513,1657904400000
115.935,116.35,116.65,115.86,22650,1657908000000
116.3,116.6,116.6,115.77,63494,1657911600000
118.99,117.56,119.16,117.09,19037,1658152800000
117.4423,117.96,118.1,117.43,10598,1658156400000
117.95,116.77,118.1,116.77,9940,1658160000000
116.91,115.6,117.18,115.6,17901,1658163600000
115.665,114.81,115.99,114.74,21898,1658167200000
114.91,114.74,115.5,114.08,70673,1658170800000
118.16,118.28,119.1244,117.92,23211,1658239200000
118.4,119.03,119.4114,118.4,28293,1658242800000
118.91,120.08,120.08,118.6,15558,1658246400000
119.94,120.08,120.1607,119.4405,10605,1658250000000
120.18,119.9605,120.44,119.79,14504,1658253600000
119.96,120.43,120.55,119.7158,56667,1658257200000
119.56,121.59,121.59,119.51,13824,1658325600000
121.44,121.52,121.68,121.09,5312,1658329200000
121.4211,121.24,121.64,120.86,9629,1658332800000
121.12,120.91,121.6,120.82,19666,1658336400000
121,121.63,121.82,120.99,15914,1658340000000
121.66,121.95,122.3,121.66,51683,1658343600000
121.48,120.625,121.48,119.62,28245,1658412000000
120.75,120.84,121.19,120.29,16079,1658415600000
120.87,121.52,121.77,120.87,14461,1658419200000
121.55,121.1711,121.57,120.84,15402,1658422800000
121.29,121.175,121.465,120.995,19978,1658426400000
121.155,121.55,121.719,121.155,90203,1658430000000
121,121.75,121.805,120.63,18850,1658498400000
121.72,121.06,121.93,120.83,13453,1658502000000
121.14,120.87,121.145,120.59,9865,1658505600000
120.795,120.1,120.795,119.95,15361,1658509200000
120.03,120.11,120.18,119.8,19830,1658512800000
120.09,120.71,120.83,119.825,74733,1658516400000
120.96,120.54,121.425,120.06,31747,1658757600000
120.3,121.15,121.19,119.9916,12790,1658761200000
121.15,121.625,121.68,120.74,10798,1658764800000
121.66,121.19,121.775,121.07,15636,1658768400000
121.14,120.57,121.17,120.56,11335,1658772000000
120.61,121.42,121.705,120.38,60622,1658775600000
120.66,121.39,121.5,120.38,6809,1658844000000
121.56,119.98,121.62,119.98,9952,1658847600000
119.89,119.98,120.12,119.43,12303,1658851200000
119.85,119.66,119.99,119.46,10834,1658854800000
119.86,119.63,119.95,119.39,16870,1658858400000
119.635,118.94,119.87,118.89,71861,1658862000000
119.83,120.57,120.61,119.51,15125,1658930400000
120.789,120.545,120.789,119.78,25055,1658934000000
120.66,120.84,121.2295,120.565,15236,1658937600000
121.2,121.37,121.37,120.67,10895,1658941200000
121.12,122.005,122.36,120.4,17553,1658944800000
122.16,123.44,123.99,122.03,45791,1658948400000
122.66,122.66,122.68,121.32,13813,1659016800000
123.14,124.97,125.13,123.03,31254,1659020400000
125.03,124.61,125.44,124.29,28575,1659024000000
124.955,125.47,125.85,124.66,26446,1659027600000
125.42,125.215,125.61,124.87,60743,1659031200000
125.3,125.5,125.68,124.6405,68731,1659034800000
126.8,127.285,128.24,126.8,68132,1659103200000
127.29,126.7,127.3975,126.09,37090,1659106800000
126.61,127.19,127.39,126.61,25650,1659110400000
127.1838,127.23,127.34,126.79,29998,1659114000000
127.22,127.81,127.87,127.17,38207,1659117600000
127.78,126.37,127.88,126.26,112638,1659121200000
131.9,129.78,132.91,126.1,53844,1659362400000
129.78,130.18,130.66,129.22,47316,1659366000000
130.44,130.06,130.65,129.9,45596,1659369600000
130.09,130.01,130.18,129.61,84549,1659373200000
129.92,130.51,130.65,129.73,152169,1659376800000
130.51,129.42,131.32,126.28,331288,1659380400000
129.365,129.39,129.91,128.195,73914,1659448800000
129.455,129.25,129.71,129.09,140522,1659452400000
129.255,130.61,130.61,129.115,97639,1659456000000
130.41,129.82,130.415,129.15,25934,1659459600000
129.71,129.48,129.85,129.2,54918,1659463200000
129.5,128.42,129.815,128.33,76833,1659466800000
128.1705,127.9954,128.945,127.78,13965,1659535200000
