o,c,h,l,v,t
34.83,35.37,35.39,34.68,344187,1657720800000
35.385,35.26,35.45,35.2,258116,1657724400000
35.26,35.54,35.575,35.26,199360,1657728000000
35.55,35.535,35.675,35.46,286946,1657731600000
35.53,35.78,35.79,35.4725,297141,1657735200000
35.79,35.77,35.87,35.72,615534,1657738800000
35.75,35.54,35.85,35.46,232105,1657807200000
35.55,35.835,35.88,35.52,135509,1657810800000
35.83,35.655,35.88,35.57,222506,1657814400000
35.66,35.465,35.66,35.28,447448,1657818000000
35.47,35.59,35.68,35.44,282171,1657821600000
35.6,35.54,35.665,35.39,784963,1657825200000
35.85,36.03,36.07,35.745,227947,1657893600000
36.03,36.16,36.26,36.03,152792,1657897200000
36.165,35.945,36.18,35.935,156751,1657900800000
35.94,35.81,36.01,35.8,142666,1657904400000
35.81,35.835,35.87,35.71,163749,1657908000000
35.83,36.1,36.115,35.7711,580234,1657911600000
35.99,36.145,36.18,35.82,176116,1658152800000
36.15,36.015,36.16,36.01,76860,1658156400000
36.02,36.04,36.12,35.95,78094,1658160000000
36.04,35.95,36.075,35.945,117989,1658163600000
35.95,35.9209,35.995,35.86,161974,1658167200000
35.92,35.84,35.945,35.63,575882,1658170800000
35.38,35.39,35.47,34.905,277523,1658239200000
35.38,35.36,35.4,35.18,166380,1658242800000
35.36,35.515,35.52,35.21,161310,1658246400000
35.53,35.77,35.77,35.445,263181,1658250000000
35.78,35.835,35.85,35.77,179778,1658253600000
35.835,36.02,36.04,35.81,459790,1658257200000
35.845,36.24,36.255,35.82,209706,1658325600000
36.225,36.08,36.25,36.005,164572,1658329200000
36.07,36.02,36.135,35.93,154814,1658332800000
36.02,35.81,36.06,35.8,131480,1658336400000
35.82,35.96,36.025,35.82,135950,1658340000000
35.96,35.9,36.07,35.85,287058,1658343600000
35.74,35.86,35.87,35.62,102691,1658412000000
35.85,35.87,35.96,35.84,167324,1658415600000
35.87,35.975,36.03,35.855,204412,1658419200000
35.98,35.825,36,35.795,202936,1658422800000
35.83,36.06,36.1,35.825,406386,1658426400000
36.055,36.32,36.33,35.62,3642024.0,1658430000000
36.62,36.76,36.86,36.46,191412,1658498400000
36.76,36.59,36.81,36.55,215298,1658502000000
36.59,36.53,36.615,36.485,104677,1658505600000
36.52,36.35,36.55,36.295,123424,1658509200000
36.35,36.3,36.355,36.23,89341,1658512800000
36.29,36.38,36.44,36.25,475351,1658516400000
36.2,36.135,36.31,36.12,252663,1658757600000
36.12,36.245,36.245,36.09,163913,1658761200000
36.24,36.11,36.3,36.01,214858,1658764800000
36.105,35.955,36.13,35.955,133175,1658768400000
35.95,36.01,36.14,35.9,199308,1658772000000
36.02,36.14,36.21,35.9,569223,1658775600000
36.47,36.36,36.585,36.28,138984,1658844000000
36.38,36.34,36.48,36.28,97073,1658847600000
36.33,36.495,36.51,36.33,81655,1658851200000
36.49,36.31,36.4989,36.29,101925,1658854800000
36.315,36.26,36.36,36.2,130915,1658858400000
36.27,36.42,36.44,36.21,410951,1658862000000
36.28,36.21,36.31,36.1,197133,1658930400000
36.21,36.17,36.28,36.16,125035,1658934000000
36.16,36.03,36.25,36.03,130243,1658937600000
36.035,36.1699,36.1699,36.015,304227,1658941200000
36.16,36.115,36.205,35.94,284652,1658944800000
36.12,36.36,36.43,36.085,330835,1658948400000
36.665,37.155,37.1857,36.58,189744,1659016800000
37.145,37.23,37.39,37.125,164372,1659020400000
37.235,37.5,37.51,37.17,256671,1659024000000
37.5,37.65,37.72,37.37,200268,1659027600000
37.66,37.47,37.66,37.433,154529,1659031200000
37.471,37.49,37.59,37.37,542405,1659034800000
37.34,37.25,37.59,37.24,153519,1659103200000
37.27,37.46,37.5,37.25,109025,1659106800000
37.47,37.615,37.6429,37.435,82963,1659110400000
37.62,37.64,37.69,37.585,108409,1659114000000
37.64,37.835,37.86,37.605,169092,1659117600000
37.835,37.86,38.03,37.835,476090,1659121200000
37.42,37.51,37.51,37.14,171069,1659362400000
37.53,37.46,37.56,37.41,156628,1659366000000
37.46,37.605,37.61,37.415,99200,1659369600000
37.61,37.565,37.61,37.415,123648,1659373200000
37.56,37.56,37.64,37.44,113813,1659376800000
37.555,37.35,37.555,37.32,265202,1659380400000
37.37,37.37,37.46,37.25,105296,1659448800000
37.37,37.335,37.38,37.26,99381,1659452400000
37.36,37.64,37.65,37.35,99123,1659456000000
37.63,37.47,37.63,37.34,111815,1659459600000
37.45,37.25,37.47,37.215,109700,1659463200000
37.25,37.12,37.31,37.095,481153,1659466800000
37.27,37.35,37.4,37.16,109255,1659535200000
37.36,37.43,37.44,37.32,57527,1659538800000
37.44,37.34,37.455,37.29,103620,1659542400000
37.34,37.25,37.37,37.2,117480,1659546000000
37.24,37.05,37.24,36.98,115790,1659549600000
37.045,37.07,37.18,37.03,578342,1659553200000
36.92,37.07,37.13,36.77,281007,1659621600000
37.08,37.1602,37.21,37.02,121841,1659625200000
37.18,36.94,37.2,36.92,83923,1659628800000
36.94,36.91,36.97,36.84,177368,1659632400000
36.905,37.08,37.095,36.895,97880,1659636000000
37.065,37.31,37.32,37.06,412125,1659639600000
36.215,36.49,36.51,36.03,464412,1659708000000
36.495,36.46,36.6,36.34,292209,1659711600000
36.455,36.27,36.53,36.21,371476,1659715200000
36.27,36.4,36.51,36.25,275363,1659718800000
36.405,36.555,36.6,36.36,260428,1659722400000
36.55,37.07,37.11,36.55,837070,1659726000000
37.26,37.44,37.44,37.17,259822,1659967200000
37.46,37.14,37.61,37.095,239544,1659970800000
37.135,36.945,37.15,36.87,180856,1659974400000
36.94,37.035,37.06,36.89,122707,1659978000000
37.03,37.005,37.09,36.94,185370,1659981600000
37.01,37.04,37.12,36.945,375037,1659985200000
36.81,36.66,36.87,36.595,399604,1660053600000
36.67,36.95,37.035,36.665,206510,1660057200000
36.95,37.015,37.125,36.9301,198184,1660060800000
