o,c,h,l,v,t
24.68,24.68,24.68,24.68,100,1660744800000
24.63,24.63,24.63,24.63,2000,1660748400000
24.63,24.71,24.71,24.63,53520,1660752000000
24.7,24.7,24.71,24.7,4543,1660755600000
24.71,24.71,24.71,24.71,300,1660759200000
25.01,25.0099,25.01,25.0099,2860,1660845600000
25.05,25.05,25.07,25.05,1255,1660849200000
24.57,24.56,24.57,24.56,238,1660932000000
24.24,24.17,24.24,24.17,20000,1661176800000
24.07,24.07,24.07,24.07,100,1661194800000
24.28,24.28,24.28,24.28,400,1661263200000
24.1,24.1,24.1,24.1,100,1661281200000
24.04,24.04,24.04,24.04,200,1661349600000
24.09,24.09,24.09,24.09,2781,1661356800000
24.14,24.14,24.14,24.14,200,1661367600000
24.46,24.42,24.46,24.42,1094,1661436000000
23.8199,23.82,23.82,23.795,1450,1661540400000
23.1,23.1,23.1,23.1,198,1661972400000
22.565,22.565,22.565,22.565,1088,1662048000000
22.8,22.78,22.8,22.78,359,1662055200000
22.9,22.9,22.9,22.9,100,1662134400000
22.71,22.7097,22.71,22.7097,400,1662138000000
22.63,22.63,22.63,22.63,200,1662145200000
22.6899,22.69,22.69,22.6899,882,1662472800000
22.61,22.61,22.61,22.61,1183,1662487200000
23.85,23.83,23.85,23.83,400,1662746400000
23.99,23.99,23.99,23.99,200,1662998400000
23.07,23.07,23.07,23.07,8480,1663164000000
23.21,23.21,23.21,23.21,199,1663171200000
22.99,23.03,23.03,22.9899,3316,1663182000000
23,23,23,23,1000,1663254000000
23.07,23.07,23.07,23.07,173,1663264800000
22.6399,22.6399,22.6399,22.6399,2347,1663336800000
22.51,22.55,22.55,22.51,2347,1663344000000
22.63,22.66,22.66,22.6,1659,1663351200000
22.8,22.8,22.8,22.8,4040,1663603200000
22.81,22.81,22.81,22.81,657,1663610400000
22.97,22.97,22.97,22.97,100,1663614000000
22.83,22.83,22.83,22.83,100,1663768800000
22.69,22.75,22.75,22.69,2206,1663783200000
22.29,22.29,22.29,22.29,600,1663786800000
22,22,22,22,972,1663855200000
21.35,21.3501,21.3501,21.35,1835,1664200800000
20.9477,20.9477,20.9477,20.9477,1382,1664294400000
21.62,21.64,21.64,21.62,4680,1664380800000
21.84,21.84,21.84,21.84,100,1664391600000
21.47,21.47,21.47,21.47,232,1664467200000
21.34,21.3338,21.36,21.3338,8751,1664478000000
21.66,21.66,21.66,21.66,2553,1664557200000
21.41,21.38,21.41,21.38,2928,1664564400000
21.91,21.91,21.91,21.91,459,1664809200000
22.02,22.13,22.13,22.02,3395,1664820000000
22.87,22.87,22.87,22.87,200,1664899200000
22.8,22.8,22.8,22.8,100,1664902800000
23.0736,23.0736,23.0736,23.0736,1083,1664996400000
22.23,22.23,22.23,22.23,100,1665417600000
22.3,22.3,22.3,22.3,100,1665428400000
22.39,22.39,22.39,22.39,1600,1665504000000
22.36,22.36,22.36,22.36,100,1665507600000
22.05,22.0499,22.05,22.0499,2272,1665514800000
22.08,22.0535,22.08,22.0535,1326,1665601200000
21.68,21.68,21.68,21.68,500,1665669600000
22.3195,22.3294,22.3294,22.3195,1567,1665680400000
21.7,21.7,21.7,21.7,200,1665774000000
22.3,22.3,22.3,22.3,100,1666015200000
22.22,22.22,22.22,22.22,100,1666018800000
22.15,22.15,22.15,22.15,100,1666026000000
22.1424,22.1424,22.1424,22.1424,902,1666029600000
22.23,22.2,22.23,22.2,203,1666033200000
22.53,22.53,22.53,22.53,100,1666105200000
22.49,22.49,22.49,22.49,100,1666116000000
22.52,22.52,22.52,22.52,200,1666119600000
22.19,22.13,22.23,22.13,10600,1666195200000
22.01,22.01,22.01,22.01,458,1666202400000
22.04,22.03,22.06,22.03,1942,1666206000000
21.74,21.76,21.76,21.74,2200,1666292400000
21.86,21.86,21.86,21.86,100,1666368000000
22.3699,22.37,22.37,22.3699,222,1666634400000
22.39,22.39,22.39,22.39,1600,1666638000000
22.9501,22.99,22.99,22.9501,3267,1666717200000
23.01,22.97,23.01,22.97,9000,1666720800000
23.25,23.24,23.37,23.24,29920,1666807200000
23.22,23.18,23.22,23.18,5000,1666810800000
23.13,23.13,23.13,23.13,1700,1666897200000
23.61,23.61,23.61,23.61,2000,1666983600000
23.6629,23.6629,23.6629,23.6629,387,1667232000000
23.69,23.702,23.75,23.6774,22109,1667235600000
23.6,23.6,23.61,23.6,1500,1667242800000
23.52,23.52,23.52,23.52,5149,1667314800000
23.66,23.56,23.7,23.47,45265,1667325600000
23.57,23.57,23.58,23.56,3200,1667329200000
23.63,23.63,23.63,23.63,786,1667412000000
22.74,22.74,22.74,22.74,138,1667487600000
22.6704,22.63,22.6704,22.6204,1400,1667502000000
22.65,22.72,22.73,22.65,5841,1667588400000
22.74,22.8789,22.88,22.74,30056,1667840400000
23.02,23,23.05,23,5380,1667851200000
23.13,23.14,23.15,23.13,400,1667934000000
23.28,23.29,23.29,23.28,400,1667937600000
22.92,22.92,22.92,22.92,21150,1668006000000
23.9,23.9,23.9,23.9,10400,1668106800000
24.24,24.225,24.24,24.225,617,1668538800000
24.28,24.24,24.28,24.23,600,1668542400000
24.11,24.11,24.11,24.11,100,1669143600000
24.3331,24.3331,24.3331,24.3331,0,1669399200000
24.669,24.669,24.669,24.669,365,1669921200000
23.783,23.81,23.81,23.783,1500,1670346000000
23.675,23.675,23.675,23.675,210,1670356800000
23.83,23.848,23.848,23.83,1400,1670860800000
24.07,24.07,24.07,24.07,5615,1670950800000
23.6599,23.6599,23.6599,23.6599,2116,1671120000000
23.59,23.618,23.618,23.59,994,1671127200000
23.69,23.69,23.69,23.69,1266,1671130800000
23.19,23.26,23.26,23.18,21300,1671548400000
23.0955,23.0955,23.0955,23.0955,200,1671555600000
23.13,23.13,23.13,23.13,100,1671566400000
23.0597,23.0416,23.06,23.0416,7830,1671728400000
23.2358,23.2358,23.2358,23.2358,171,1671807600000
23.36,23.3944,23.3999,23.34,8791,1672171200000
23.05,23.1,23.1,23.05,631,1672246800000
23.2555,23.2555,23.2555,23.2555,386,1672326000000
23.29,23.36,23.36,23.2899,3533,1672329600000
23.3,23.24,23.3,23.22,15385,1672340400000
23.08,23.05,23.098,23.05,5530,1672412400000
23.12,23.1,23.12,23.1,1107,1672416000000
23.08,23.08,23.08,23.08,100,1672419600000
23.13,23.13,23.13,23.13,135,1672934400000
23.1,23.1,23.1,23.1,100,1672938000000
23.5,23.5,23.5,23.5,100,1673024400000
23.81,23.81,23.81,23.81,327,1673370000000
24.5099,24.51,24.51,24.5099,200,1673982000000
24.54,24.5188,24.54,24.5188,473,1673985600000
24.47,24.4699,24.47,24.4699,398,1674061200000
23.93,23.9301,23.9301,23.93,398,1674140400000
24.0499,24.0499,24.0499,24.0499,100,1674151200000
24.0499,24.05,24.07,24.0499,9130,1674154800000
24.21,24.2199,24.24,24.21,2586,1674234000000
24.83,24.8299,24.83,24.8299,432,1674493200000
24.7704,24.7704,24.7704,24.7704,316,1674572400000
24.77,24.82,24.82,24.77,8066,1674586800000
24.4079,24.4079,24.4079,24.4079,410,1674658800000
25.05,25.05,25.05,25.05,217,1674849600000
25.01,25.02,25.02,25.01,500,1675090800000
24.99,24.99,24.99,24.99,500,1675180800000
26.1202,26.1203,26.1203,26.1202,2000,1675350000000
26.03,26,26.03,26,2894,1675364400000
26.0399,26.0399,26.0399,26.0399,176,1675436400000
26.0097,26.0097,26.0097,26.0097,176,1675440000000
25.38,25.38,25.38,25.38,1600,1675713600000
25.55,25.55,25.55,25.55,100,1675962000000
25.4001,25.37,25.4001,25.37,13856,1675972800000
25.81,25.81,25.81,25.81,1217,1676577600000
25.3,25.2999,25.3,25.2999,1070,1676991600000
24.9501,24.9501,24.9501,24.9501,119,1677078000000
24.9899,24.98,24.9899,24.955,5250,1677092400000
25,25,25.04,25,6102,1677254400000
25.23,25.23,25.23,25.23,596,1677690000000
25.27,25.2101,25.27,25.2101,1824,1678201200000
25.0901,25.0901,25.0901,25.0901,312,1678212000000
25.05,25.05,25.05,25.05,1993,1678219200000
25.13,25.13,25.13,25.13,200,1678305600000
24.11,24.11,24.11,24.11,150,1678802400000
24.01,24.01,24.01,24.01,300,1678806000000
23.7261,23.7261,23.7261,23.7261,150,1678816800000
23.7058,23.7058,23.7058,23.7058,1075,1678993200000
23.6197,23.4085,23.6198,23.4085,3189,1679061600000
23.55,23.5239,23.55,23.5166,6190,1679328000000
23.57,23.57,23.57,23.57,172,1679335200000
23.93,23.94,23.94,23.93,1053,1679500800000
23.28,23.1067,23.29,23.1067,2400,1679666400000
