o,c,h,l,v,t
225.46,227.25,227.81,223.49,65835,1657720800000
227.28,227.05,228.66,226.565,45775,1657724400000
226.96,228.3,228.3548,226.81,64097,1657728000000
228.18,228.22,229.2,227.5,54045,1657731600000
228.15,229.23,229.23,226.33,59704,1657735200000
229.205,228.02,229.83,227.89,153068,1657738800000
221.665,220.72,222.65,220.72,74266,1657807200000
220.98,223.4,223.98,220.81,87138,1657810800000
223.34,221.21,223.465,220.31,58081,1657814400000
221.145,221.665,221.775,220.34,89658,1657818000000
221.61,222.4,222.925,221.39,113168,1657821600000
222.5125,223,223.41,221.9,170168,1657825200000
224.485,228.43,228.824,224.48,109746,1657893600000
228.33,229.42,230,228.19,69621,1657897200000
229.39,229.27,229.89,228.81,30465,1657900800000
229.3,230.223,230.44,229.12,35502,1657904400000
230.12,230.76,231.45,230.06,30129,1657908000000
230.77,230.22,230.8,229.46,139635,1657911600000
234.43,234.51,234.96,233.52,46082,1658152800000
234.43,234.69,234.85,234.01,37027,1658156400000
234.645,232.65,234.645,232.485,34343,1658160000000
232.89,232.24,233.28,232.24,41654,1658163600000
232.3,230.37,232.62,230.23,42100,1658167200000
230.38,230.18,231.14,228.885,102220,1658170800000
234.9,235.7,237.24,234.86,48845,1658239200000
235.81,236.68,236.775,235.74,59085,1658242800000
236.69,237.47,237.63,235.88,47102,1658246400000
237.445,238.21,238.28,236.72,45602,1658250000000
238.245,238,238.975,237.91,57650,1658253600000
237.99,237.98,238.32,237.17,270935,1658257200000
237.11,241.515,241.66,236.96,50754,1658325600000
241.62,240.49,241.63,239.68,46160,1658329200000
240.48,240.11,241.24,239.4,41445,1658332800000
240.02,240.01,240.78,239.22,73409,1658336400000
240.07,241.16,241.435,239.82,28451,1658340000000
241.305,242.03,242.26,241.305,138204,1658343600000
242.01,240.84,242.08,238.78,49470,1658412000000
240.66,241.2,241.53,239.94,45674,1658415600000
241.19,242.77,242.78,241.15,45217,1658419200000
242.81,242.47,243.15,242.02,53346,1658422800000
242.55,242.36,242.93,242,45443,1658426400000
242.48,245.37,245.55,242.45,223173,1658430000000
246.055,247.56,247.78,245.25,66941,1658498400000
247.5,246.59,247.6278,245.835,57862,1658502000000
246.51,245.01,246.535,244.7,45290,1658505600000
244.51,243.35,244.69,242.56,54955,1658509200000
243.34,243.67,243.96,242.87,42529,1658512800000
243.635,245.12,245.18,243.56,158558,1658516400000
247.72,246.575,248.04,246.22,48547,1658757600000
246.24,247.55,247.55,245.115,64329,1658761200000
247.34,246.66,247.44,245.945,55438,1658764800000
246.66,245.955,247.11,245.875,52514,1658768400000
245.81,245.05,246.125,244.9,48587,1658772000000
