o,c,h,l,v,t
44.54,45.3,45.46,43.82,41402,1657720800000
45.46,45.77,45.79,45.3,21498,1657724400000
45.66,45.93,46.01,45.57,11775,1657728000000
46,46.56,46.72,45.96,28568,1657731600000
46.53,46.22,46.59,46.14,20705,1657735200000
46.22,45.56,46.22,45.47,59697,1657738800000
43.17,42.71,43.28,42.5101,21561,1657807200000
42.89,43.9766,43.9766,42.845,11132,1657810800000
43.83,43.505,43.845,43.31,17885,1657814400000
43.5299,43.74,43.78,43.43,12716,1657818000000
43.75,44.06,44.32,43.725,21701,1657821600000
44.06,43.67,44.06,43.54,82896,1657825200000
42.38,42.67,42.67,41.34,101048,1657893600000
42.58,43.85,44.08,42.58,74842,1657897200000
43.8471,43.775,44.01,43.42,35076,1657900800000
43.7468,43.96,44,43.38,34629,1657904400000
43.89,43.555,43.91,43.54,22771,1657908000000
43.57,43.68,43.73,43.37,103747,1657911600000
46.04,46.01,46.085,45.37,15700,1658152800000
45.9,45.785,46.04,45.44,18151,1658156400000
45.69,45.815,46.36,45.69,39406,1658160000000
45.815,44.68,45.91,44.68,22251,1658163600000
44.68,44.375,44.8,44.25,30743,1658167200000
44.35,44.41,45.17,44.31,97714,1658170800000
45.165,46.13,46.285,45.08,19703,1658239200000
46.13,45.82,46.22,45.55,17287,1658242800000
45.77,45.59,45.77,45.21,14816,1658246400000
45.805,46.06,46.3,45.75,22597,1658250000000
46.2,45.93,46.39,45.82,24113,1658253600000
46.02,46.07,46.11,45.71,50772,1658257200000
46.28,47.93,47.94,46.22,18140,1658325600000
47.905,47.47,47.95,47.47,20152,1658329200000
47.54,47.035,47.84,46.69,20839,1658332800000
46.985,47.015,47.33,46.76,14582,1658336400000
47.015,47.14,47.355,46.955,18814,1658340000000
47.239,47.02,47.49,47,44130,1658343600000
46.23,45.76,46.72,45.28,31024,1658412000000
45.64,46.06,46.06,45.37,18408,1658415600000
45.9898,46.91,46.97,45.985,16670,1658419200000
46.86,46.63,46.86,46.49,13147,1658422800000
46.69,46.8,46.85,46.48,14460,1658426400000
46.75,47.32,47.32,46.67,46746,1658430000000
46.62,47.03,47.07,46.22,26839,1658498400000
46.955,46.03,46.955,45.97,14074,1658502000000
46.05,45.62,46.18,45.62,15742,1658505600000
45.8,45.039,45.8,45.039,17505,1658509200000
45.01,45.22,45.39,44.73,15784,1658512800000
45.17,45.41,45.41,45.06,57735,1658516400000
46.165,46.25,46.39,45.51,23531,1658757600000
46.35,46.38,46.51,45.96,14497,1658761200000
46.31,46.5,46.64,46.16,14636,1658764800000
46.45,45.94,46.45,45.94,17255,1658768400000
45.94,46.11,46.41,45.89,24956,1658772000000
46.15,46.49,46.59,45.88,68839,1658775600000
45.35,45.77,45.77,44.7,27039,1658844000000
45.79,45.505,46.14,45.48,19684,1658847600000
45.51,45.68,45.83,45.44,10799,1658851200000
45.68,45.335,45.74,45.265,15368,1658854800000
45.42,45.72,45.77,45.39,22840,1658858400000
45.72,45.44,45.89,45.35,100030,1658862000000
46.9,47.1,47.2,46.78,25111,1658930400000
47.195,47.46,47.465,46.88,18816,1658934000000
47.49,47.405,47.605,47.35,10329,1658937600000
47.4,47.445,47.55,47.2,15124,1658941200000
47.53,48.68,48.68,47.44,25957,1658944800000
48.675,49.36,49.76,48.6,147451,1658948400000
54.36,53.88,54.41,52.74,76029,1659016800000
53.79,54.29,54.77,53.71,43403,1659020400000
54.12,53.575,54.12,52.85,54001,1659024000000
53.58,54.16,54.31,52.9359,42640,1659027600000
54.11,54.04,54.31,53.58,57133,1659031200000
54.03,54.66,54.75,53.92,133779,1659034800000
55.48,56.1775,56.81,55.42,105081,1659103200000
56.07,56.3,56.96,55.975,52224,1659106800000
56.395,56.535,56.99,56.215,35966,1659110400000
56.5,56.83,56.845,55.92,94083,1659114000000
56.83,57,57.33,56.445,73368,1659117600000
57.04,57.16,57.455,56.97,127260,1659121200000
56.43,57.06,57.755,56.43,43183,1659362400000
57.09,57.96,58.44,56.79,43600,1659366000000
