o,c,h,l,v,t
253.69,255.51,255.55,252.305,158298,1657720800000
255.51,254.69,255.98,254.19,172410,1657724400000
254.73,257.53,257.54,254.73,67399,1657728000000
257.4,257.94,258.21,256.72,132263,1657731600000
257.91,257.69,257.96,256.45,114830,1657735200000
257.72,255.88,257.82,255.85,254667,1657738800000
254.2,254.06,255.39,251.75,223642,1657807200000
254.23,256.89,257.77,254.23,102244,1657810800000
257,255.775,257.08,255.06,106930,1657814400000
255.71,256.27,256.2975,254.93,88990,1657818000000
256.31,256.95,257.85,256.28,111118,1657821600000
256.96,256.49,257.1378,255.59,302666,1657825200000
259.23,258.61,260.785,257.4,171586,1657893600000
258.62,259.24,260.32,258.62,111840,1657897200000
259.3,257.49,259.38,257.49,57898,1657900800000
257.46,256.73,257.635,256.49,92562,1657904400000
256.68,256.12,256.74,256.04,62867,1657908000000
256.07,257.01,257.25,255.33,262657,1657911600000
254.16,251.42,254.7,250.88,161967,1658152800000
251.49,250.6,253.0279,250.6,179671,1658156400000
250.66,251,251.8,250.2,135479,1658160000000
251.045,250.96,251.435,250.7,138402,1658163600000
250.87,250.28,251.29,250.215,142969,1658167200000
250.28,249.26,250.55,248.58,378637,1658170800000
254.51,254.66,255.46,253.01,138889,1658239200000
254.62,253.89,255.21,253.08,144058,1658242800000
253.92,254.53,254.53,253,108951,1658246400000
254.66,255.925,255.93,254.524,104355,1658250000000
255.935,256.2,256.81,255.78,115178,1658253600000
256.23,257.15,257.27,256,374619,1658257200000
250.37,255.56,255.56,249.67,213786,1658325600000
255.58,254.715,256.03,253.44,161376,1658329200000
254.71,252.18,254.76,251.49,124862,1658332800000
252.08,250.06,252.24,250.02,129690,1658336400000
250.06,251.2,251.68,249.93,119694,1658340000000
251.15,249.79,251.87,249.43,337586,1658343600000
251.51,253.46,253.46,250.34,127387,1658412000000
253.36,254.84,255.9899,253.19,175797,1658415600000
254.77,254.27,255.207,254.14,111725,1658419200000
254.28,254.35,254.805,253.42,89015,1658422800000
254.41,254.665,255.07,254.16,109618,1658426400000
254.61,255.4,255.6,254.39,297182,1658430000000
258.92,259.0011,260.36,258.63,172829,1658498400000
258.92,258.61,258.98,257.91,200830,1658502000000
258.67,258.83,258.83,257.375,154326,1658505600000
258.9697,258.05,259.38,257.79,111788,1658509200000
258.31,257.89,258.335,256.78,101989,1658512800000
257.79,259.65,259.73,257.77,441419,1658516400000
258.45,258.055,259.01,257.425,228288,1658757600000
258.03,258.61,258.94,257.76,98320,1658761200000
258.675,257.7,259.0975,257.7,74510,1658764800000
257.695,257.295,258.18,257.165,75885,1658768400000
257.27,256.43,257.4668,256.38,102301,1658772000000
256.4,257.21,257.405,255.9,353070,1658775600000
261.305,259.12,262.2399,258.35,209578,1658844000000
259.27,259.16,259.98,258.91,116375,1658847600000
259.15,259.73,260.34,258.93,126586,1658851200000
259.72,259.18,259.905,258.93,137340,1658854800000
259.19,259.39,259.665,258.5,180038,1658858400000
259.395,258.88,259.77,258.85,456378,1658862000000
260.08,256.5668,260.53,256.4435,160773,1658930400000
256.545,256.87,257.38,256.34,116316,1658934000000
256.845,256.48,257.25,256.36,110906,1658937600000
256.42,256.85,257.22,256.35,98566,1658941200000
256.68,257.09,257.8,255.375,166717,1658944800000
257.21,258.26,258.655,256.94,557309,1658948400000
265.51,267.82,268.65,262.88,360902,1659016800000
267.83,265.095,268.59,265.095,217844,1659020400000
265.19,268.14,268.45,265.04,242527,1659024000000
268.16,268.57,269.015,267.885,182734,1659027600000
268.52,267.79,268.56,267.29,321683,1659031200000
267.76,268.9,269.56,267.19,778037,1659034800000
271.485,270.66,273.28,270.35,198038,1659103200000
270.71,272.21,272.3,270.02,133656,1659106800000
272.32,273.55,273.95,272.13,138913,1659110400000
273.4,271.59,273.53,271.51,121431,1659114000000
271.7,271.82,273.16,271.55,163840,1659117600000
271.815,271.01,272.742,270.57,442079,1659121200000
267.11,268.65,269.43,266.26,205655,1659362400000
268.71,268.93,270.2,267.98,105153,1659366000000
268.8,268.6,269.07,268.07,72739,1659369600000
268.47,268.03,268.61,266.97,78571,1659373200000
267.95,268.36,268.635,267.075,99494,1659376800000
268.405,268.62,269.74,267.67,400940,1659380400000
267.93,268.64,269.785,267.15,117712,1659448800000
268.84,267.71,268.8878,267.19,75835,1659452400000
267.71,270.38,270.38,267.48,86528,1659456000000
270.34,270.52,271.18,269.85,182550,1659459600000
270.505,269.32,270.71,268.92,178610,1659463200000
