o,c,h,l,v,t
2.06,2.08,2.176,2.02,14836.5,1657720800000
2.1,2.1,2.156,2.06,7039.5,1657724400000
2.1,2.1002,2.12,2.08,8788,1657728000000
2.1002,2.1,2.1146,2.08,5136,1657731600000
2.1,2.1,2.12,2.1,7679,1657735200000
2.1,2.16,2.18,2.08,21956.5,1657738800000
2.14,2.14,2.1426,2.12,9687,1657807200000
2.14,2.14,2.16,2.14,7284.5,1657810800000
2.14,2.14,2.16,2.14,6689,1657814400000
2.14,2.14,2.14,2.12,4906,1657818000000
2.14,2.14,2.16,2.14,8567,1657821600000
2.12,2.1,2.16,2.06,34765.5,1657825200000
2.324,2.26,2.34,2.26,8436,1657893600000
2.26,2.43,2.6,2.26,38919.5,1657897200000
2.5,2.34,2.58,2.34,22105,1657900800000
2.34,2.22,2.34,2.2,19340,1657904400000
2.23,2.2,2.4,2.2,33813.5,1657908000000
2.2,2.24,2.27,2.14,31200,1657911600000
2.3,2.28,2.34,2.16,45938.5,1658152800000
2.28,2.24,2.28,2.24,618,1658156400000
2.3,2.32,2.36,2.26,17698,1658160000000
2.3348,2.22,2.3348,2.22,3714.5,1658163600000
2.298,2.28,2.3,2.28,3078,1658167200000
2.28,2.3,2.3,2.22,8149.5,1658170800000
2.4,2.32,2.4,2.28,6367.5,1658239200000
2.32,2.26,2.38,2.26,4136.5,1658242800000
2.28,2.28,2.28,2.28,56.5,1658250000000
2.3198,2.28,2.3198,2.26,1575.5,1658253600000
2.3,2.28,2.3,2.26,4270,1658257200000
2.3,2.26,2.3,2.22,3729.5,1658325600000
2.28,2.22,2.292,2.2,2833.5,1658329200000
2.2926,2.22,2.294,2.22,768,1658332800000
2.3,2.27,2.3,2.24,400,1658336400000
2.27,2.24,2.27,2.24,201.5,1658340000000
2.28,2.2498,2.28,2.2498,195,1658343600000
2.24,2.2,2.2998,2.2,1801.5,1658412000000
2.24,2.14,2.24,2.14,2362.5,1658415600000
2.16,2.1,2.16,2.1,7077.5,1658419200000
2.139,2.1266,2.1578,2.06,8229,1658422800000
2.14,2.1,2.14,2.1,2835.5,1658426400000
2.12,2.06,2.14,2.06,6490.5,1658430000000
2.1,2.1,2.1186,2.1,221,1658498400000
2.1188,2.1,2.1188,2.1,200,1658502000000
2.12,2.1,2.14,2.1,5483,1658509200000
2.13,2.3648,2.46,2.08,176482,1658512800000
2.4,4.445,5.28,2.32,1732147.0,1658516400000
4.06,4.3214,5,3.66,1617950.0,1658757600000
4.3002,4.3938,4.64,3.9,505059,1658761200000
4.37,4.36,4.54,4.18,535196,1658764800000
4.36,4.28,4.62,4.26,430097.5,1658768400000
4.2806,3.94,4.3,3.76,195998.5,1658772000000
3.92,3.88,4.22,3.76,208096.5,1658775600000
3.39,3.42,3.52,3.38,84034,1658844000000
3.44,3.8354,4.0798,3.42,426438,1658847600000
3.84,3.46,3.8964,3.46,183122,1658851200000
3.4602,3.44,3.52,3.42,29706,1658854800000
3.4998,3.64,3.92,3.42,450569.5,1658858400000
3.65,3.57,3.8,3.52,291334,1658862000000
3.24,3.16,3.3198,3.08,249208.5,1658930400000
3.1632,3.1198,3.26,3.1,227593.5,1658934000000
3.1,2.9998,3.1178,2.96,160065.5,1658937600000
3,3,3.1,2.98,89354,1658941200000
3.056,3.28,3.5,2.92,1658784.5,1658944800000
3.29,2.8802,3.38,2.8,632016.5,1658948400000
2.9,2.8202,3.28,2.62,983647,1659016800000
2.9,2.94,3,2.72,957426,1659020400000
2.9202,3.37,3.92,2.8108,5382470.5,1659024000000
3.3786,3.06,3.4,2.94,1290618.0,1659027600000
3.06,3.2286,3.32,2.92,1120694.5,1659031200000
3.221,2.89,3.4,2.88,2024683.0,1659034800000
3.5,3.4196,3.54,3.08,1939006.0,1659103200000
3.4076,4.04,4.1798,3.36,2905335.0,1659106800000
4.0202,3.9214,4.16,3.62,3889571.0,1659110400000
3.9,3.68,3.98,3.46,1334465.5,1659114000000
3.6874,3.92,3.92,3.58,699479,1659117600000
3.91,3.55,3.98,3.52,1229432.0,1659121200000
3.64,3.5,3.7,3.44,829100.5,1659362400000
3.51,3.28,3.5384,3.22,393766,1659366000000
3.3,3.2802,3.4198,3.26,361038.5,1659369600000
3.32,3.279,3.4,3.22,244789.5,1659373200000
3.2518,3.2,3.28,3.14,133763.5,1659376800000
3.22,4.1496,4.58,3.22,3211669.0,1659380400000
19.4628,19.48,20.8,14.5,17123948.0,1659448800000
19.44,17.6398,20.5,15.36,12907136.5,1659452400000
17.6298,19.0002,22.34,16.4,15920009.5,1659456000000
19.01,16.4998,19.06,16,13284886.5,1659459600000
