o,c,h,l,v,t
18.78,19.04,19.05,18.64,490878,1657720800000
19.0499,19.23,19.25,18.95,371001,1657724400000
19.23,19.425,19.44,19.18,288088,1657728000000
19.42,19.43,19.58,19.395,365680,1657731600000
19.43,19.22,19.44,19.15,526560,1657735200000
19.22,19.105,19.25,19.08,1227997.0,1657738800000
18.76,18.66,18.78,18.64,220024,1657807200000
18.66,18.63,18.715,18.58,257029,1657810800000
18.63,18.505,18.64,18.46,304380,1657814400000
18.51,18.545,18.56,18.48,190399,1657818000000
18.55,18.545,18.6,18.51,293811,1657821600000
18.545,18.42,18.57,18.36,1023858.0,1657825200000
18.62,18.585,18.655,18.495,452906,1657893600000
18.585,18.63,18.66,18.57,419870,1657897200000
18.63,18.62,18.72,18.61,375856,1657900800000
18.62,18.56,18.655,18.56,367805,1657904400000
18.56,18.57,18.6294,18.56,243383,1657908000000
18.575,18.68,18.705,18.56,803739,1657911600000
18.85,19.047,19.05,18.845,145431,1658152800000
19.047,18.9232,19.05,18.88,145907,1658156400000
18.92,18.965,18.97,18.91,117474,1658160000000
18.965,18.88,18.98,18.87,137103,1658163600000
18.88,18.785,18.89,18.785,130613,1658167200000
18.78,18.775,18.845,18.75,247163,1658170800000
18.94,18.905,18.98,18.83,207596,1658239200000
18.905,18.855,18.92,18.82,198608,1658242800000
18.85,18.8,18.86,18.79,150144,1658246400000
18.8,18.785,18.8,18.71,99195,1658250000000
18.785,18.855,18.87,18.78,151099,1658253600000
18.85,18.98,19.0299,18.84,548760,1658257200000
18.73,18.8,18.825,18.68,148135,1658325600000
18.795,18.725,18.82,18.685,236018,1658329200000
18.72,18.58,18.76,18.56,144130,1658332800000
18.58,18.49,18.58,18.465,208318,1658336400000
18.495,18.445,18.52,18.44,181178,1658340000000
18.44,18.43,18.52,18.415,506521,1658343600000
18.27,18.2612,18.2889,18.18,151950,1658412000000
18.26,18.39,18.405,18.26,108308,1658415600000
18.385,18.37,18.39,18.345,96146,1658419200000
18.375,18.37,18.43,18.35,143578,1658422800000
18.375,18.37,18.44,18.365,166976,1658426400000
18.375,18.51,18.53,18.37,483087,1658430000000
18.55,18.615,18.645,18.52,106449,1658498400000
18.61,18.76,18.76,18.56,223985,1658502000000
18.75,18.68,18.76,18.67,127579,1658505600000
18.68,18.59,18.68,18.575,160993,1658509200000
18.59,18.49,18.595,18.49,133912,1658512800000
18.5,18.67,18.68,18.495,401074,1658516400000
18.775,18.68,18.85,18.675,193039,1658757600000
18.67,18.64,18.74,18.585,182606,1658761200000
18.64,18.74,18.74,18.62,153968,1658764800000
18.74,18.665,18.785,18.665,251805,1658768400000
18.665,18.6,18.7,18.595,205901,1658772000000
18.6,18.51,18.6,18.49,400107,1658775600000
18.44,18.49,18.525,18.35,184318,1658844000000
