o,c,h,l,v,t
111.935,112.21,112.5,110.4,79418,1657720800000
112.3453,111.115,112.64,110.885,72260,1657724400000
111.16,111.76,112.25,111.155,35396,1657728000000
111.825,112.72,112.81,111.625,42047,1657731600000
112.59,113.48,113.48,112.03,74854,1657735200000
113.5,113.79,114.43,113.38,441084,1657738800000
109.59,109.08,110.55,108.7466,186235,1657807200000
109.17,110.09,110.5,109.17,69436,1657810800000
110.115,110.07,110.32,109.54,81229,1657814400000
110.045,110.64,110.78,109.96,52587,1657818000000
110.66,111.555,112.2,110.57,56695,1657821600000
111.565,111.63,111.9,111.33,167752,1657825200000
112.72,114.93,115.63,112.72,93113,1657893600000
114.96,114.47,115.83,114.385,90046,1657897200000
114.57,114.53,114.77,114.15,44014,1657900800000
114.61,113.455,114.785,113.4,75955,1657904400000
113.4,113.71,113.71,113.13,35313,1657908000000
113.64,114.47,114.61,113.64,120872,1657911600000
117.42,118.29,118.81,116.36,80108,1658152800000
118.18,118.67,118.88,118.05,58690,1658156400000
118.71,117.57,119.07,117.4795,51150,1658160000000
117.64,117.68,118.54,117.19,55574,1658163600000
117.6341,116.7,117.89,116.65,82817,1658167200000
116.725,117.22,117.31,116.47,207035,1658170800000
120.09,122.215,122.85,120.05,83024,1658239200000
122.21,123.87,123.94,121.8,142350,1658242800000
123.82,123.92,124.99,123.5823,149166,1658246400000
123.8708,124.52,124.52,123.2801,71831,1658250000000
124.415,123.81,124.81,123.68,81093,1658253600000
123.87,124.18,124.42,123.36,258318,1658257200000
119.52,122.06,122.16,117.34,185694,1658325600000
122.06,119.08,122.37,119.08,129740,1658329200000
119.119,119.82,120.04,118.52,127554,1658332800000
119.775,120.22,120.405,119.0601,123284,1658336400000
120.34,121.22,121.51,119.91,82392,1658340000000
121.2,122.12,122.22,121.19,277046,1658343600000
121.18,120.34,122.09,116.16,232145,1658412000000
120.34,117.23,120.82,117.23,196614,1658415600000
117.19,116.855,118.07,116.53,141220,1658419200000
116.79,116.285,116.955,115.93,94023,1658422800000
116.265,115.485,116.91,115.47,124323,1658426400000
115.47,115.59,115.91,114.795,337788,1658430000000
120.525,119.175,121.7145,118.67,178109,1658498400000
119.03,118.91,120.04,118.06,89241,1658502000000
118.88,117.73,118.935,117.425,54733,1658505600000
117.68,117.5,118.44,117.175,98394,1658509200000
117.51,117.425,117.72,117.135,65868,1658512800000
117.37,117.09,118.13,116.74,248918,1658516400000
120.235,117.4,120.83,117.31,114113,1658757600000
117.35,117.205,117.645,116.17,73079,1658761200000
117.18,116.36,117.485,115.91,58656,1658764800000
116.34,115.15,116.5,114.83,85354,1658768400000
115.15,115.1,115.495,114.565,78493,1658772000000
115.09,113.79,115.25,113.74,231382,1658775600000
112.56,114.65,114.65,111.18,142731,1658844000000
114.68,111.92,114.81,111.38,111962,1658847600000
111.76,111.79,111.99,110.87,77829,1658851200000
111.79,111.16,112.14,111.15,54081,1658854800000
111.18,111.27,111.27,110.6,61875,1658858400000
111.19,111.07,111.68,110.69,193969,1658862000000
110.465,111.595,112.16,110.3062,86465,1658930400000
111.61,111.325,111.72,111.1,67674,1658934000000
111.41,111.6612,111.816,111.33,63103,1658937600000
111.6211,111.065,111.785,110.75,68774,1658941200000
111.275,111.03,111.697,110.14,221326,1658944800000
111.06,112.61,112.74,111.03,406891,1658948400000
111.64,112.39,112.78,110.78,93758,1659016800000
112.51,114.48,114.49,112.07,80389,1659020400000
114.49,117.04,117.54,114.49,221335,1659024000000
117.01,116.995,117.4,116.68,106259,1659027600000
117,117.7099,117.7099,116.6,91460,1659031200000
117.645,117.58,117.96,116.97,218102,1659034800000
116.12,116.54,117.18,115.15,53904,1659103200000
116.5696,117.695,117.88,116.545,43334,1659106800000
117.74,118.15,118.3,117.63,41091,1659110400000
118.09,119.17,119.17,117.73,38057,1659114000000
119.08,119.46,119.7,119,51298,1659117600000
119.6,118.75,119.72,118.65,123038,1659121200000
120.815,119.99,120.82,118.3,70623,1659362400000
120,120.71,120.795,119.42,70858,1659366000000
120.6716,121.04,121.25,120.24,75968,1659369600000
121.12,120.74,121.28,120.1701,42273,1659373200000
120.71,120.89,121.49,120.58,47272,1659376800000
120.89,120.5,121.45,120.25,129050,1659380400000
116.8709,117.275,117.595,115.67,91705,1659448800000
117.37,117.305,117.605,116.72,57273,1659452400000
117.27,117.55,117.845,117.27,38151,1659456000000
117.46,116.77,117.8,116.4,35452,1659459600000
116.7,117.045,117.48,116.59,45119,1659463200000
117.12,116.28,117.5,116.24,184861,1659466800000
119.35,117.7,119.935,117.42,115566,1659535200000
117.74,119.66,119.78,117.74,55313,1659538800000
119.652,119.6744,119.92,119.17,39564,1659542400000
119.675,120.5,120.5,119.185,42802,1659546000000
120.52,120.3883,120.66,120.08,40395,1659549600000
120.37,120.03,120.87,119.8012,109161,1659553200000
120.5,120.315,121.28,119.66,40650,1659621600000
120.32,120.21,120.81,119.73,36963,1659625200000
120.22,119.72,120.53,119.6,33447,1659628800000
119.83,120.185,120.49,119.555,43358,1659632400000
120.11,120.04,120.34,119.53,55531,1659636000000
120.0845,119.75,120.28,119.68,139856,1659639600000
119.53,120,121.475,119.08,100829,1659708000000
119.86,119.765,120.45,119.43,53297,1659711600000
119.765,120.625,120.64,119.68,37422,1659715200000
120.6,120.25,121.075,120.09,32185,1659718800000
120.19,120.2,120.57,120.08,35095,1659722400000
120.24,120.82,120.84,120.08,124848,1659726000000
123.6,125.235,125.4,123.52,115241,1659967200000
125.04,125.2,125.4,124.1,77625,1659970800000
125.245,124.85,125.73,124.3,84518,1659974400000
124.88,124.17,125.27,124,43428,1659978000000
124.16,123.39,124.25,122.9736,71258,1659981600000
123.4,123.03,123.71,122.96,140840,1659985200000
121,120.53,121.58,120.22,74361,1660053600000
120.36,120.38,120.97,119.27,46158,1660057200000
120.31,120.48,120.77,120.06,39124,1660060800000
120.46,120.69,120.71,119.87,29711,1660064400000
120.51,120.51,120.99,120,38016,1660068000000
120.545,121.14,121.23,120.19,113707,1660071600000
124.79,124.68,125.345,123.65,74587,1660140000000
124.58,124.425,125.07,123.77,43878,1660143600000
124.55,123.79,124.57,123.595,35283,1660147200000
123.7,123.24,123.92,123.145,33478,1660150800000
123.32,122.245,123.37,122.15,63723,1660154400000
122.19,123.2,123.39,122.13,177552,1660158000000
125.34,125.66,126.275,125.12,93846,1660226400000
125.64,124.65,125.74,124.51,58559,1660230000000
124.61,125,125.16,124.36,70695,1660233600000
125.01,125.115,125.125,124.73,52483,1660237200000
125.08,124.56,125.245,124.42,65501,1660240800000
124.445,123.91,124.68,123.57,215590,1660244400000
123.31,124.47,124.58,123,48836,1660312800000
124.47,124.79,125.23,124.31,34661,1660316400000
124.8,124.705,125.1,124.67,27805,1660320000000
