o,c,h,l,v,t
97.67,98.71,99.08,97.2125,257862,1657720800000
98.77,98.19,99.37,97.74,279945,1657724400000
98.26,98.9,98.93,98.21,112563,1657728000000
98.94,98.82,99.24,98.52,96735,1657731600000
98.78,98.98,98.98,98.17,108801,1657735200000
99,98.29,99,98.1089,368905,1657738800000
95.99,96.45,96.65,94.9,193240,1657807200000
96.55,97.65,97.65,96.55,163571,1657810800000
97.68,97.17,97.84,96.99,159411,1657814400000
97.165,97.84,98.02,96.9,140366,1657818000000
97.875,98.97,99.21,97.81,165770,1657821600000
98.99,99.1,99.33,98.6,380584,1657825200000
99.21,100.0546,100.06,99.105,180416,1657893600000
99.99,100.79,100.8575,99.98,121454,1657897200000
100.765,100.84,100.99,100.5315,94131,1657900800000
100.85,101.14,101.375,100.81,69508,1657904400000
101.1332,101.36,101.58,101,90254,1657908000000
101.3,101.69,101.77,101.2,336618,1657911600000
101.555,100.605,101.69,100.28,116684,1658152800000
100.59,101.255,101.28,100.38,151861,1658156400000
101.26,101.27,101.44,101.21,58766,1658160000000
101.275,100.62,101.53,100.5,147164,1658163600000
100.59,100.58,101.1,100.37,218859,1658167200000
100.535,100.64,101.13,100.12,363517,1658170800000
103.29,104.09,104.1,102.3,245911,1658239200000
104.11,104.28,104.5,103.955,139161,1658242800000
104.23,104.45,104.47,103.86,104038,1658246400000
104.415,104.475,104.61,104.13,115825,1658250000000
104.49,104.37,104.73,104.12,248696,1658253600000
104.39,104.7,105.04,104.25,516471,1658257200000
104.18,105.32,105.39,103.53,433101,1658325600000
105.34,104.695,105.34,104.22,248983,1658329200000
104.695,104.83,105.245,104.39,264997,1658332800000
104.81,103.585,104.85,103.46,126423,1658336400000
103.61,104.69,104.89,103.61,158254,1658340000000
104.685,104.91,105.37,104.6,436661,1658343600000
105.04,104.01,105.33,103.46,296170,1658412000000
104.03,104.32,105.07,103.95,255526,1658415600000
104.33,105.07,105.22,104.25,218208,1658419200000
105.08,104.9867,105.18,104.55,158342,1658422800000
104.99,105.505,105.68,104.94,239266,1658426400000
105.505,106,106,105.355,390940,1658430000000
103.82,103.1058,103.85,102.75,390818,1658498400000
103.13,102.41,103.19,102.04,230371,1658502000000
102.4,101.76,102.51,101.7,129061,1658505600000
101.74,102.1,102.33,101.58,175451,1658509200000
102.1,101.98,102.12,101.6,156896,1658512800000
101.95,102.42,102.43,101.74,416357,1658516400000
102.52,103.09,103.47,101.86,172708,1658757600000
103.09,103.62,103.85,102.8632,171061,1658761200000
103.605,103.78,104.125,103.295,150451,1658764800000
103.765,103.21,104.12,102.83,165691,1658768400000
103.18,102.765,103.3,102.63,220047,1658772000000
102.815,103.45,103.68,102.39,458025,1658775600000
105.9,105.205,106.06,104.5,255279,1658844000000
105.16,104.05,105.32,104,196667,1658847600000
104.02,103.85,104.12,103.7,251427,1658851200000
103.855,103.25,104.1,103.22,154600,1658854800000
103.26,102.87,103.535,102.675,263998,1658858400000
102.88,103.3,103.505,102.58,589735,1658862000000
106.7,106.74,107.13,106,232223,1658930400000
106.74,106.22,106.94,106.18,167536,1658934000000
106.19,106.37,106.57,105.76,127944,1658937600000
106.4,106.945,107.08,106.19,151095,1658941200000
107.06,108.65,108.95,106.71,336912,1658944800000
108.65,109.12,109.58,108.51,687545,1658948400000
113.14,113.85,113.92,112.12,400274,1659016800000
113.89,115.07,115.45,113.87,326741,1659020400000
115.075,114.775,115.24,114.36,263694,1659024000000
114.79,116.145,116.43,114.49,254740,1659027600000
116.11,115.96,116.15,115.37,336342,1659031200000
115.98,115.33,116.11,115.22,815569,1659034800000
114.88,115.67,116.06,114.86,236369,1659103200000
115.655,115.99,116.19,115.315,233739,1659106800000
115.97,116.48,116.52,115.76,114423,1659110400000
116.48,116.795,116.93,116.47,110391,1659114000000
116.83,116.95,117.25,116.65,151510,1659117600000
116.95,116.72,117.33,116.65,564095,1659121200000
116.25,117.91,118.055,116.14,266214,1659362400000
117.95,117.63,118,117.03,230912,1659366000000
117.625,117.33,118.13,116.95,241172,1659369600000
117.32,117.33,117.335,116.68,206389,1659373200000
117.29,117.65,117.8,116.95,238780,1659376800000
117.67,117.64,117.81,117.06,617836,1659380400000
118.355,119.24,119.5,117,564192,1659448800000
119.24,118.51,119.36,117.65,366344,1659452400000
118.57,118.49,118.99,118.43,386380,1659456000000
118.49,117.565,118.52,116.87,462517,1659459600000
117.5,117.69,118.26,117.47,390294,1659463200000
117.745,117.13,118.66,117.08,1090766.0,1659466800000
119.52,118.87,120.29,118.24,209692,1659535200000
118.91,120.18,120.19,118.66,190702,1659538800000
120.18,121.49,121.54,120.13,297500,1659542400000
121.53,121.85,122.41,121.53,348715,1659546000000
121.83,120.5745,121.97,120.49,217446,1659549600000
120.57,122,122.03,120.45,950730,1659553200000
123.94,123.48,124.03,122.62,349703,1659621600000
123.47,123.42,123.72,122,222073,1659625200000
123.43,122.86,123.67,122.49,218116,1659628800000
122.87,123.25,123.45,122.87,197619,1659632400000
123.246,123.45,123.53,122.945,158106,1659636000000
123.425,123.06,123.66,122.91,423258,1659639600000
123.83,124.06,125.13,123.66,260261,1659708000000
124.11,124.79,124.81,123.725,290033,1659711600000
124.815,125.74,126.05,124.815,282761,1659715200000
125.755,126.645,126.82,125.73,351850,1659718800000
126.63,126.47,126.64,125.79,280588,1659722400000
126.465,126.66,126.84,125.855,617240,1659726000000
125.21,124.67,125.6,124.5,263737,1659967200000
124.67,124.75,125.1,124.31,256267,1659970800000
124.7996,124.31,125.17,124.03,191661,1659974400000
124.28,123.91,124.32,123.605,160181,1659978000000
123.87,124.045,124.17,123.47,234032,1659981600000
124.115,124.68,125.01,123.51,622773,1659985200000
123.1,122.435,123.99,121.64,379260,1660053600000
122.42,122.035,122.48,121.63,301829,1660057200000
122.13,121.25,122.2,121.11,222497,1660060800000
121.24,121.42,121.53,120.86,149927,1660064400000
121.38,121.6,121.77,121.08,193085,1660068000000
121.6,120.95,121.8,120.9,488963,1660071600000
124.31,125.27,125.29,123.4741,170567,1660140000000
125.26,125.73,125.74,124.91,154482,1660143600000
125.73,125.78,125.8,125.3892,172656,1660147200000
125.8,126.485,126.56,125.49,164198,1660150800000
126.505,127.015,127.19,126.37,264419,1660154400000
127,127.45,127.75,126.87,711399,1660158000000
126.64,127.6,127.92,126.6,222685,1660226400000
127.61,126.84,127.72,126.69,152745,1660230000000
126.855,127.5799,127.72,126.65,166741,1660233600000
127.53,127.04,127.53,127.01,91754,1660237200000
127.12,126.27,127.13,126.17,106376,1660240800000
126.28,126.02,126.33,125.8,356014,1660244400000
127.51,127.47,128.06,127.1,102559,1660312800000
127.43,126.77,127.59,126.66,101170,1660316400000
126.78,126.98,127.11,126.68,65635,1660320000000
126.98,126.82,127.11,126.7,83740,1660323600000
126.87,126.89,127.3,126.84,113540,1660327200000
126.89,126.86,127.056,126.4,305305,1660330800000
127.215,127.15,127.74,126.78,102731,1660572000000
127.1,128.116,128.28,126.805,121570,1660575600000
128.08,128.2,128.46,127.92,71481,1660579200000
128.17,128.38,128.52,128.085,113521,1660582800000
128.4,128.75,128.765,128.18,94405,1660586400000
128.76,128.72,128.95,128.53,354708,1660590000000
128.46,128.315,128.86,127.855,120852,1660658400000
128.4,129.22,129.3,128.31,118653,1660662000000
129.17,129.08,129.27,128.91,88415,1660665600000
129.115,129.73,129.81,129.09,93667,1660669200000
129.7,129.265,130.25,128.86,162087,1660672800000
129.24,129.9,129.94,128.87,368856,1660676400000
128.85,128.57,129.7,128.4,392013,1660744800000
128.63,128.74,129.27,128.467,103078,1660748400000
128.77,129.16,129.215,128.73,70616,1660752000000
129.13,129.21,129.34,128.93,81270,1660755600000
129.26,129.97,130.7099,129.245,132726,1660759200000
130,129.39,130.25,129.285,283172,1660762800000
131.28,131.0753,131.37,130.78,254636,1660831200000
131.09,131.91,132.2572,131.06,146185,1660834800000
131.94,131.53,131.98,131.41,110470,1660838400000
131.59,132.03,132.1999,131.45,118087,1660842000000
132.06,132.085,132.5,131.81,136453,1660845600000
132.06,132.74,132.87,132.045,494307,1660849200000
129.45,129.42,130.03,129.035,238992,1660917600000
129.455,129.97,130.16,129.33,143523,1660921200000
129.9,129.96,130.11,129.65,138134,1660924800000
129.99,129.96,130.09,129.38,106139,1660928400000
129.93,129.92,130.05,129.67,90464,1660932000000
129.92,129.96,130.4,129.66,289893,1660935600000
126.77,125.59,126.85,125.59,182072,1661176800000
125.53,126.3,126.34,125.53,148653,1661180400000
126.295,127.29,127.29,126.25,123533,1661184000000
127.3,126.55,127.33,126.43,126801,1661187600000
126.5838,126.8,126.93,126.5,99948,1661191200000
126.81,127.15,127.41,126.5701,335710,1661194800000
128.04,128.25,129.22,127.82,148063,1661263200000
128.29,127.985,128.625,127.94,201851,1661266800000
127.9,127.89,128.03,127.48,63085,1661270400000
127.885,127,127.885,126.86,159013,1661274000000
127,127.09,127.5,126.9,142454,1661277600000
127.11,126.95,127.54,126.94,406832,1661281200000
125.915,126.195,126.365,125.63,160604,1661349600000
126.18,126.1,126.5,125.98,171068,1661353200000
126.1,125.48,126.31,125.22,168725,1661356800000
125.49,125.59,125.67,125.24,150956,1661360400000
125.63,125.75,125.945,125.43,127284,1661364000000
125.72,125.64,126.16,125.55,395164,1661367600000
126.495,126.55,127.14,126.48,352585,1661436000000
126.54,126.12,126.795,125.65,211630,1661439600000
126.145,126.35,126.41,125.88,133070,1661443200000
126.34,126.2,126.48,126.0101,168915,1661446800000
126.2,126.02,126.26,125.9,117861,1661450400000
126.04,126.5,126.8,125.93,573274,1661454000000
125.64,124.4,126.23,123.52,217236,1661522400000
124.34,124.05,124.54,123.44,187661,1661526000000
124.035,124.18,124.205,123.51,88751,1661529600000
124.17,123.875,124.38,123.74,65204,1661533200000
123.88,123.3,123.92,123.21,94789,1661536800000
123.28,123.03,123.53,122.97,307949,1661540400000
122.32,121.45,123.02,121.3,210505,1661781600000
121.48,122.21,122.25,121.2,80191,1661785200000
122.29,122.38,122.69,122.03,80261,1661788800000
122.49,122.52,122.855,122.22,88270,1661792400000
122.44,122.34,122.54,121.99,95207,1661796000000
122.375,121.59,122.71,121.51,282554,1661799600000
122.06,120.81,123.21,120.05,138612,1661868000000
120.73,120.675,121.045,120.41,85588,1661871600000
120.71,120.455,121.23,120.26,73887,1661875200000
120.43,120.67,120.74,119.72,128280,1661878800000
120.57,120.74,120.93,120.41,90023,1661882400000
120.81,121.11,121.45,120.69,275761,1661886000000
122.07,120.43,122.31,120.43,152846,1661954400000
120.39,120.98,121.02,119.72,115308,1661958000000
120.97,120.22,120.97,120.18,114140,1661961600000
120.26,119.37,120.2725,119.31,143450,1661965200000
119.38,119.7,120.26,119.35,140672,1661968800000
119.71,119.89,120.63,119.6,499244,1661972400000
116.97,115.94,117.25,115.83,386757,1662040800000
115.915,115.02,115.96,114.85,231753,1662044400000
114.99,114.36,115.35,114.23,217645,1662048000000
114.355,115.035,115.49,114.26,178696,1662051600000
115.05,116.615,116.865,114.93,225845,1662055200000
116.55,117.31,117.38,116.2528,409278,1662058800000
117.82,120.07,120.51,117.82,233193,1662127200000
120.085,120.33,120.41,119.8435,82799,1662130800000
120.32,118.788,120.39,118.53,81734,1662134400000
118.74,117.35,118.775,117.27,116770,1662138000000
117.39,117.57,118.11,117.38,77472,1662141600000
117.62,117.29,118.14,116.88,371251,1662145200000
117.81,118.3,118.4,115.824,205759,1662472800000
118.27,118.63,118.84,117.9,135986,1662476400000
118.63,117.82,118.7751,117.395,107625,1662480000000
117.77,117.1,117.821,116.71,91224,1662483600000
117.095,117.38,117.72,117.03,112060,1662487200000
117.45,117.56,117.85,117.13,446273,1662490800000
117.51,117.89,118.295,117.14,167737,1662559200000
117.94,118.36,118.67,117.69,145273,1662562800000
118.39,118.01,118.62,117.9594,122697,1662566400000
118.005,118.61,118.83,118.005,114297,1662570000000
118.63,119.58,119.6,118.575,118902,1662573600000
119.55,120.26,120.33,119.5,517085,1662577200000
121.09,121.77,121.855,120.1625,171093,1662645600000
121.82,122.19,122.685,121.7,238381,1662649200000
122.23,121.8,122.33,120.7,164493,1662652800000
121.77,122.08,122.35,121.45,102926,1662656400000
122.03,121.93,122.27,121.62,119788,1662660000000
121.95,122.79,122.88,121.62,464142,1662663600000
123.92,125.01,125.05,123.75,247871,1662732000000
125,124.99,125.15,124.61,194625,1662735600000
125.01,125.18,125.27,124.55,146470,1662739200000
125.15,124.995,125.29,124.84,171410,1662742800000
124.98,124.63,125.02,124.37,114923,1662746400000
124.62,124.45,125.1,124.39,336475,1662750000000
125.04,125.475,126.7,125.04,262641,1662991200000
125.36,124.305,125.415,124.175,101920,1662994800000
