o,c,h,l,v,t
16.8,16.97,17.1,16.65,314593,1657720800000
16.94,16.78,17.01,16.665,127855,1657724400000
16.775,16.9,16.94,16.75,62923,1657728000000
16.9,16.93,16.97,16.85,54775,1657731600000
16.92,16.955,16.96,16.79,79931,1657735200000
16.96,16.87,16.97,16.82,227401,1657738800000
16.65,16.44,16.65,16.39,133972,1657807200000
16.49,16.55,16.57,16.41,72509,1657810800000
16.56,16.4,16.58,16.31,98589,1657814400000
16.39,16.44,16.44,16.31,72449,1657818000000
16.43,16.44,16.56,16.4,81427,1657821600000
16.43,16.52,16.59,16.34,221787,1657825200000
16.31,16.49,16.72,16.28,154887,1657893600000
16.48,16.5606,16.65,16.43,78041,1657897200000
16.57,16.62,16.68,16.55,69319,1657900800000
16.63,16.655,16.71,16.56,60072,1657904400000
16.66,16.62,16.66,16.585,70902,1657908000000
16.615,16.7,16.74,16.59,231446,1657911600000
17.25,17.315,17.32,16.99,153523,1658152800000
17.31,17.5,17.53,17.27,154594,1658156400000
17.5,17.32,17.55,17.3,99805,1658160000000
17.335,17.17,17.415,17.145,114475,1658163600000
17.17,16.945,17.21,16.94,288033,1658167200000
16.945,16.86,17.129,16.82,636940,1658170800000
17.4,17.54,17.58,17.33,174958,1658239200000
17.53,17.9,17.96,17.525,146134,1658242800000
17.89,17.775,17.94,17.72,58543,1658246400000
17.78,17.78,17.8,17.66,103264,1658250000000
17.78,17.79,17.88,17.75,103481,1658253600000
17.79,17.88,17.91,17.75,433406,1658257200000
17.74,18.22,18.23,17.49,255562,1658325600000
18.21,18.14,18.41,18.11,298048,1658329200000
18.14,18.02,18.21,17.91,89392,1658332800000
18.02,18.06,18.14,17.925,69080,1658336400000
18.06,18.3,18.31,18.06,88237,1658340000000
18.29,18.505,18.52,18.26,463220,1658343600000
18.33,18.215,18.37,17.86,141184,1658412000000
18.21,18.13,18.29,18.06,112965,1658415600000
18.13,18.36,18.39,18.13,71162,1658419200000
18.34,18.32,18.4,18.215,81168,1658422800000
18.31,18.365,18.46,18.28,127804,1658426400000
18.36,18.67,18.67,18.355,287890,1658430000000
18.64,18.63,18.85,18.56,108164,1658498400000
18.63,18.47,18.67,18.3811,70427,1658502000000
18.48,18.46,18.54,18.34,72765,1658505600000
18.455,18.35,18.47,18.31,67817,1658509200000
18.36,18.35,18.46,18.24,106088,1658512800000
18.35,18.57,18.57,18.31,329964,1658516400000
18.495,18.335,18.515,18.255,131338,1658757600000
18.33,18.38,18.5,18.32,54679,1658761200000
18.37,18.195,18.41,18.18,100626,1658764800000
18.2,18.165,18.23,18.105,189628,1658768400000
18.16,18.21,18.33,18.075,132055,1658772000000
18.205,18.3,18.325,18.14,310497,1658775600000
17.355,17.63,17.66,17.3,232064,1658844000000
17.63,17.32,17.65,17.315,144632,1658847600000
17.31,17.38,17.45,17.265,108415,1658851200000
17.38,17.295,17.4299,17.24,65307,1658854800000
17.295,17.085,17.35,17.08,145250,1658858400000
17.085,17.035,17.235,17.025,433977,1658862000000
16.88,17.12,17.13,16.81,99172,1658930400000
17.13,17.06,17.16,17,60336,1658934000000
17.07,16.98,17.14,16.96,43955,1658937600000
16.98,17.02,17.04,16.9401,53821,1658941200000
17.04,17.285,17.32,16.84,189156,1658944800000
17.28,17.46,17.58,17.28,306824,1658948400000
17.55,17.215,17.56,17.155,198070,1659016800000
17.21,17.64,17.69,17.195,102747,1659020400000
17.64,17.605,17.7,17.57,82849,1659024000000
17.59,17.61,17.69,17.55,81021,1659027600000
17.605,17.8,17.8,17.575,105962,1659031200000
17.79,17.89,18.02,17.74,583697,1659034800000
17.485,17.61,17.7,17.45,90211,1659103200000
17.63,17.475,17.64,17.42,69559,1659106800000
17.49,17.43,17.51,17.345,52196,1659110400000
17.43,17.61,17.63,17.42,62547,1659114000000
17.62,17.73,17.76,17.605,79961,1659117600000
17.74,17.8,17.86,17.64,219269,1659121200000
18.06,17.97,18.15,17.74,106066,1659362400000
17.98,17.85,18,17.72,113278,1659366000000
17.83,17.79,17.85,17.66,60652,1659369600000
17.77,17.54,17.79,17.49,108442,1659373200000
17.55,17.57,17.62,17.475,143253,1659376800000
17.58,17.36,17.75,17.34,568573,1659380400000
17.01,17.37,17.38,16.94,208764,1659448800000
17.38,17.46,17.5499,17.37,114384,1659452400000
17.46,17.54,17.55,17.42,87972,1659456000000
17.54,17.33,17.54,17.25,93900,1659459600000
17.33,17.5,17.51,17.245,178488,1659463200000
17.485,17.55,17.64,17.485,467125,1659466800000
17.81,17.44,17.81,17.36,268404,1659535200000
17.44,17.67,17.77,17.36,138238,1659538800000
17.67,17.7,17.72,17.46,172206,1659542400000
17.7,17.875,17.93,17.7,176376,1659546000000
17.88,17.97,18,17.87,158348,1659549600000
17.96,18.02,18.12,17.95,394938,1659553200000
18.14,17.82,18.2,17.75,140580,1659621600000
17.825,18.03,18.25,17.81,115679,1659625200000
18.02,18.27,18.37,17.93,276391,1659628800000
18.28,18.27,18.42,18.22,110858,1659632400000
18.26,18.16,18.27,18.06,101476,1659636000000
18.15,18.06,18.2,18,350821,1659639600000
18.02,18.33,18.54,17.93,292028,1659708000000
18.31,18.24,18.31,18.12,131823,1659711600000
18.24,18.3099,18.36,18.18,84824,1659715200000
18.3,18.081,18.31,18.03,70906,1659718800000
18.09,17.91,18.12,17.9,75920,1659722400000
17.91,18.03,18.08,17.9,271076,1659726000000
19.3,19.515,19.59,19.24,375333,1659967200000
19.52,20.12,20.15,19.5,481312,1659970800000
20.12,19.48,20.14,19.41,345766,1659974400000
19.48,19.47,19.56,19.37,201179,1659978000000
19.48,19.5,19.72,19.43,197529,1659981600000
19.495,19.3,19.58,19.29,606339,1659985200000
18.46,18.13,18.46,18.03,239584,1660053600000
18.13,17.97,18.18,17.94,122446,1660057200000
17.96,18.12,18.1499,17.89,112550,1660060800000
18.1111,18.05,18.13,17.91,129579,1660064400000
18.04,18.1,18.12,17.99,95478,1660068000000
18.11,17.99,18.13,17.865,409570,1660071600000
18.48,18.52,18.62,18.245,153498,1660140000000
18.51,18.99,18.99,18.51,270661,1660143600000
18.985,18.94,19.035,18.805,187197,1660147200000
18.95,19.035,19.04,18.83,119052,1660150800000
19.035,18.84,19.085,18.84,127465,1660154400000
18.8491,18.8,18.87,18.75,387230,1660158000000
19.44,19.665,19.8,19.39,304602,1660226400000
19.67,18.96,19.67,18.9,176196,1660230000000
18.97,19.42,19.52,18.885,348671,1660233600000
19.425,19.41,19.63,19.41,120640,1660237200000
19.42,19.17,19.48,19.155,127510,1660240800000
19.17,19.33,19.38,19.13,272253,1660244400000
19.23,19.41,19.54,19.1,166140,1660312800000
19.4,19.455,19.62,19.39,100067,1660316400000
19.45,19.49,19.53,19.45,67576,1660320000000
19.49,19.51,19.57,19.46,61609,1660323600000
19.51,19.63,19.69,19.51,98067,1660327200000
19.62,19.7,19.7,19.6,284177,1660330800000
19.385,19.59,19.69,19.25,368694,1660572000000
19.5999,19.6,19.75,19.5,201836,1660575600000
19.61,19.53,19.71,19.43,116915,1660579200000
19.52,19.635,19.64,19.495,101450,1660582800000
19.64,19.62,19.695,19.6,99586,1660586400000
19.62,19.78,19.79,19.61,376889,1660590000000
20.745,20.51,20.805,20.14,446000,1660658400000
20.49,21.43,21.47,20.47,447383,1660662000000
21.435,21.94,22.0299,21.435,380780,1660665600000
21.95,22.64,22.68,21.95,617322,1660669200000
22.63,21.71,22.635,21.54,585311,1660672800000
21.71,21.6,21.78,21.39,932337,1660676400000
21.18,20.81,21.52,20.74,356598,1660744800000
20.75,20.83,20.98,20.735,278992,1660748400000
20.8,20.955,20.98,20.65,116901,1660752000000
20.955,20.97,21.1,20.89,105340,1660755600000
21,21.11,21.31,20.99,148792,1660759200000
21.09,20.84,21.205,20.68,536218,1660762800000
20.43,20.98,21.2,20.41,182164,1660831200000
20.96,21.1,21.21,20.87,282015,1660834800000
21.11,20.925,21.17,20.92,162471,1660838400000
20.945,20.85,20.9757,20.755,93728,1660842000000
20.85,20.935,20.945,20.81,105923,1660845600000
20.93,21.23,21.23,20.93,341912,1660849200000
20.98,20.585,21.01,20.53,229152,1660917600000
20.59,20.595,20.7,20.505,150203,1660921200000
20.59,20.66,20.715,20.515,131094,1660924800000
20.68,20.59,20.725,20.57,88896,1660928400000
20.59,20.5,20.625,20.45,134950,1660932000000
20.49,20.59,20.68,20.44,365583,1660935600000
19.73,19.6,19.82,19.34,427561,1661176800000
19.61,19.7163,19.915,19.6,229027,1661180400000
19.7,19.63,19.74,19.56,190625,1661184000000
19.63,19.38,19.64,19.325,163360,1661187600000
19.38,19.61,19.635,19.34,204765,1661191200000
19.615,19.81,19.82,19.575,574109,1661194800000
20.295,19.8,20.415,19.79,270473,1661263200000
19.79,19.76,19.945,19.63,232039,1661266800000
19.75,19.72,19.79,19.58,129076,1661270400000
19.71,19.65,19.78,19.61,112279,1661274000000
19.631,19.76,19.86,19.6,121676,1661277600000
