o,c,h,l,v,t
7.98,8.055,8.0601,7.97,44154,1657720800000
8.0539,8.035,8.075,8.03,27910,1657724400000
8.035,8.0563,8.06,8.035,10956,1657728000000
8.06,8.055,8.0899,8.0506,16678,1657731600000
8.05,8.08,8.08,8.0268,18947,1657735200000
8.076,8.02,8.079,8.02,24730,1657738800000
7.93,7.924,7.94,7.92,27015,1657807200000
7.925,7.9592,7.97,7.925,29413,1657810800000
7.955,7.94,7.96,7.9321,30193,1657814400000
7.9479,7.965,7.97,7.945,26485,1657818000000
7.965,7.9818,7.99,7.965,20761,1657821600000
7.99,7.99,7.99,7.97,29287,1657825200000
8.04,8.105,8.107,8.04,45919,1657893600000
8.1077,8.105,8.12,8.1007,14136,1657897200000
8.105,8.095,8.11,8.09,20994,1657900800000
8.0901,8.107,8.11,8.0901,15575,1657904400000
8.1,8.1145,8.13,8.09,61826,1657908000000
8.1192,8.09,8.12,8.09,43473,1657911600000
8.19,8.195,8.2,8.175,75779,1658152800000
8.19,8.195,8.2,8.175,21601,1658156400000
8.195,8.17,8.2,8.17,19393,1658160000000
8.175,8.1414,8.18,8.1414,23537,1658163600000
8.145,8.1101,8.15,8.1101,23896,1658167200000
8.1126,8.09,8.13,8.07,45296,1658170800000
8.18,8.195,8.2,8.1586,71788,1658239200000
8.1921,8.195,8.2,8.1909,28953,1658242800000
8.2,8.205,8.2188,8.19,63521,1658246400000
8.205,8.22,8.22,8.2,55940,1658250000000
8.22,8.2399,8.24,8.2113,96445,1658253600000
8.24,8.24,8.25,8.23,78958,1658257200000
8.1997,8.25,8.25,8.1997,83481,1658325600000
8.25,8.25,8.25,8.2401,20293,1658329200000
8.25,8.24,8.27,8.23,61122,1658332800000
8.245,8.23,8.2482,8.22,34714,1658336400000
8.235,8.25,8.26,8.23,26322,1658340000000
8.25,8.25,8.26,8.23,61339,1658343600000
8.1701,8.1491,8.1701,8.125,26527,1658412000000
8.15,8.165,8.17,8.1411,23684,1658415600000
8.17,8.1805,8.19,8.165,15504,1658419200000
8.18,8.179,8.19,8.16,12861,1658422800000
8.17,8.19,8.19,8.17,19255,1658426400000
8.19,8.22,8.22,8.19,34654,1658430000000
8.22,8.22,8.22,8.195,24699,1658498400000
8.21,8.1816,8.215,8.175,30440,1658502000000
8.185,8.18,8.1976,8.175,14105,1658505600000
8.17,8.145,8.18,8.14,19954,1658509200000
8.145,8.14,8.15,8.13,23358,1658512800000
8.14,8.17,8.175,8.14,61232,1658516400000
8.205,8.185,8.205,8.17,36556,1658757600000
8.185,8.185,8.19,8.1804,25309,1658761200000
8.18,8.1861,8.19,8.18,26519,1658764800000
8.1866,8.185,8.19,8.18,20401,1658768400000
8.19,8.19,8.195,8.18,51590,1658772000000
8.19,8.18,8.19,8.18,24165,1658775600000
8.13,8.125,8.132,8.11,14618,1658844000000
8.12,8.11,8.125,8.1,28836,1658847600000
8.1078,8.119,8.12,8.1019,28287,1658851200000
8.11,8.1,8.12,8.1,26528,1658854800000
8.105,8.12,8.12,8.1,75623,1658858400000
8.12,8.1,8.12,8.1,15739,1658862000000
8.19,8.205,8.21,8.18,20990,1658930400000
8.21,8.21,8.21,8.2,24311,1658934000000
8.21,8.2,8.21,8.2,21123,1658937600000
8.195,8.2,8.2,8.1923,10787,1658941200000
8.2,8.2578,8.27,8.185,108957,1658944800000
8.255,8.27,8.275,8.25,110892,1658948400000
8.27,8.29,8.3,8.25,59466,1659016800000
8.3,8.315,8.32,8.29,77135,1659020400000
8.3196,8.32,8.32,8.31,23279,1659024000000
8.315,8.34,8.34,8.31,83873,1659027600000
8.335,8.34,8.34,8.33,49337,1659031200000
8.335,8.35,8.35,8.335,88048,1659034800000
8.39,8.3909,8.4,8.39,109903,1659103200000
8.39,8.4,8.4,8.38,27810,1659106800000
8.4,8.4,8.4,8.39,49123,1659110400000
8.3978,8.4,8.4,8.395,30383,1659114000000
8.395,8.4161,8.42,8.395,21085,1659117600000
8.4199,8.42,8.43,8.41,103218,1659121200000
8.38,8.41,8.41,8.37,119589,1659362400000
8.41,8.41,8.41,8.39,47256,1659366000000
8.408,8.3901,8.4099,8.39,16936,1659369600000
8.3996,8.355,8.3996,8.345,38922,1659373200000
8.355,8.37,8.37,8.35,27687,1659376800000
8.365,8.37,8.37,8.36,53046,1659380400000
8.32,8.355,8.3674,8.3,89425,1659448800000
8.355,8.35,8.38,8.35,80262,1659452400000
8.35,8.35,8.36,8.34,56789,1659456000000
8.3575,8.32,8.36,8.3,50957,1659459600000
8.32,8.3301,8.35,8.32,90150,1659463200000
8.336,8.305,8.35,8.3,150624,1659466800000
8.3654,8.36,8.38,8.35,45737,1659535200000
8.3567,8.37,8.37,8.3511,52338,1659538800000
8.365,8.38,8.38,8.36,54902,1659542400000
8.38,8.38,8.38,8.3701,24636,1659546000000
8.38,8.395,8.4,8.38,87775,1659549600000
8.4,8.4,8.41,8.3901,109312,1659553200000
8.405,8.405,8.415,8.395,73602,1659621600000
8.405,8.415,8.42,8.4,29119,1659625200000
8.416,8.41,8.42,8.4004,51164,1659628800000
8.405,8.4013,8.41,8.4,84913,1659632400000
8.405,8.4082,8.42,8.4,152283,1659636000000
8.41,8.43,8.43,8.405,70812,1659639600000
8.345,8.3511,8.375,8.345,39440,1659708000000
8.355,8.335,8.36,8.33,27204,1659711600000
8.33,8.34,8.34,8.325,87686,1659715200000
8.3314,8.345,8.36,8.3314,115512,1659718800000
8.345,8.345,8.35,8.34,9878,1659722400000
8.35,8.37,8.37,8.34,31305,1659726000000
8.43,8.42,8.44,8.42,31954,1659967200000
8.4291,8.43,8.44,8.405,36823,1659970800000
8.425,8.405,8.4287,8.3945,19875,1659974400000
8.41,8.42,8.43,8.4007,17242,1659978000000
8.425,8.41,8.43,8.395,76098,1659981600000
8.405,8.4,8.42,8.4,48371,1659985200000
8.3692,8.39,8.4,8.36,33580,1660053600000
8.38,8.385,8.4,8.37,26779,1660057200000
8.38,8.4,8.41,8.37,56359,1660060800000
8.4007,8.395,8.41,8.39,42272,1660064400000
8.395,8.39,8.4,8.38,19057,1660068000000
8.3884,8.4,8.4,8.38,41053,1660071600000
8.49,8.51,8.51,8.47,71866,1660140000000
8.51,8.52,8.52,8.5,71641,1660143600000
8.52,8.51,8.52,8.5,53263,1660147200000
8.51,8.5197,8.52,8.501,42309,1660150800000
8.52,8.55,8.55,8.51,78812,1660154400000
8.55,8.56,8.56,8.54,86638,1660158000000
8.5997,8.605,8.6199,8.59,61868,1660226400000
8.6,8.57,8.61,8.57,59321,1660230000000
8.57,8.575,8.58,8.57,171848,1660233600000
8.57,8.57,8.5888,8.57,18485,1660237200000
8.575,8.56,8.575,8.54,28575,1660240800000
8.56,8.57,8.57,8.55,38894,1660244400000
8.59,8.6,8.6,8.5706,30577,1660312800000
8.6,8.605,8.61,8.57,79505,1660316400000
8.61,8.615,8.62,8.6011,67656,1660320000000
8.615,8.6254,8.6254,8.6101,19491,1660323600000
8.6299,8.6388,8.64,8.6234,28568,1660327200000
8.6399,8.6,8.64,8.58,224295,1660330800000
8.63,8.63,8.635,8.61,47053,1660572000000
8.63,8.64,8.645,8.6248,47087,1660575600000
8.64,8.66,8.66,8.631,54195,1660579200000
8.6529,8.66,8.66,8.65,38236,1660582800000
8.66,8.6575,8.67,8.651,49572,1660586400000
8.66,8.65,8.66,8.65,36389,1660590000000
8.635,8.6387,8.64,8.62,19681,1660658400000
8.64,8.6591,8.6591,8.635,10709,1660662000000
8.6588,8.67,8.67,8.65,36414,1660665600000
8.67,8.67,8.67,8.6601,48501,1660669200000
8.665,8.67,8.67,8.65,47212,1660672800000
8.67,8.66,8.67,8.65,106358,1660676400000
8.6333,8.615,8.64,8.6113,48926,1660744800000
8.615,8.6103,8.63,8.61,81381,1660748400000
8.615,8.6299,8.63,8.6108,22581,1660752000000
8.625,8.6289,8.63,8.62,20770,1660755600000
8.63,8.675,8.7,8.6267,109768,1660759200000
8.67,8.62,8.67,8.62,50886,1660762800000
