o,c,h,l,v,t
268.37,271.21,271.445,266.87,142568,1657720800000
271.16,270.48,272.23,270.38,114312,1657724400000
270.51,272.15,272.33,270.39,33049,1657728000000
272.23,271.25,272.93,271.18,40709,1657731600000
271.16,272.505,272.63,269.41,75073,1657735200000
272.37,269.28,272.37,269.27,155231,1657738800000
263.57,263.54,264.215,262.42,141931,1657807200000
263.54,265.785,265.92,262.93,64555,1657810800000
265.735,265.38,265.83,263.925,86559,1657814400000
265.23,266.37,266.5,264.66,103030,1657818000000
266.37,267.295,268.33,266.31,71033,1657821600000
267.41,268.99,269.1,266.95,283587,1657825200000
273.19,273.19,274.68,272.68,120645,1657893600000
273.055,273.615,273.98,272.89,90592,1657897200000
273.49,271.89,273.91,271.78,86102,1657900800000
271.99,271.99,272.6,271.61,82520,1657904400000
271.83,272.71,273.11,271.65,110352,1657908000000
272.54,271.58,272.69,271.01,380636,1657911600000
271.09,272.93,273.5,270.96,67369,1658152800000
272.74,271.46,272.84,271.46,47427,1658156400000
271.28,270.84,272.01,270.74,74733,1658160000000
271.03,270.2031,271.115,269.88,60453,1658163600000
270.405,269.45,270.915,269.27,52255,1658167200000
269.45,267.06,269.485,266.33,181550,1658170800000
271.33,273.7,274.21,271.32,57677,1658239200000
273.84,274.18,274.7487,273.2,134428,1658242800000
274.18,274.065,274.57,273.055,87601,1658246400000
274.06,274.53,274.54,273.135,80056,1658250000000
274.53,274.58,275.03,273.95,94745,1658253600000
274.58,275.46,276.07,274.16,212100,1658257200000
274.14,276.92,277.5,274.14,104764,1658325600000
277.23,278.335,278.45,276.31,139554,1658329200000
278.23,277.495,278.55,276.17,127554,1658332800000
277.47,276.18,278.12,275.67,168765,1658336400000
276.19,276.105,277.49,275.845,157291,1658340000000
276.1,275.2,276.92,274.57,242342,1658343600000
277.45,278.19,278.51,276.99,103054,1658412000000
278.2,278.27,278.83,277.08,107831,1658415600000
278.22,279.67,279.8,277.975,74478,1658419200000
279.705,280.09,280.38,279.21,54715,1658422800000
280.14,280.02,281.17,279.85,59871,1658426400000
280.12,280.67,280.75,279.34,199365,1658430000000
281.74,283.51,283.67,280.67,220738,1658498400000
283.4,282.35,284.22,281.97,76436,1658502000000
282.46,281.12,282.71,280.82,63009,1658505600000
280.985,278.47,281.028,278.09,85906,1658509200000
278.28,278.39,278.63,277.2375,75276,1658512800000
278.32,279.35,279.7,278.08,241047,1658516400000
282.15,283,283.77,282.105,71298,1658757600000
282.76,281.62,283.67,281.62,56780,1658761200000
281.68,280.36,281.82,280.19,65317,1658764800000
280.35,280.25,280.98,280.08,109051,1658768400000
280.31,279.58,280.42,279.535,59249,1658772000000
279.83,281.16,281.49,278.28,293918,1658775600000
280.93,279.47,280.96,278.81,59820,1658844000000
279.48,278.63,279.73,278.23,54053,1658847600000
278.81,279.52,279.77,278.59,38626,1658851200000
279.58,279.07,280.27,278.945,44036,1658854800000
279.09,279.17,279.535,278.465,47931,1658858400000
279.01,279.24,279.64,278.73,135989,1658862000000
280.03,280.53,281.81,279.76,93639,1658930400000
280.56,282.49,282.49,280.33,64325,1658934000000
282.43,282.845,283.5,282.42,81926,1658937600000
282.83,283.1,283.9,282.4,63225,1658941200000
283.21,285.32,285.91,282.53,92047,1658944800000
285.48,285.95,287.73,285.08,185907,1658948400000
286.06,286.6,286.6,283.81,64891,1659016800000
286.82,288.89,289.62,286.2036,67067,1659020400000
289.12,291.65,291.965,288.62,138196,1659024000000
291.58,292.62,292.83,291.28,108412,1659027600000
292.435,292.54,294.29,292.25,119618,1659031200000
292.55,292.62,292.89,291.98,264251,1659034800000
296.63,293.84,297.45,292.98,206041,1659103200000
293.95,293.66,294.29,292.41,127775,1659106800000
293.57,293.055,294.35,293.055,71828,1659110400000
293.075,291.76,293.64,291.21,86274,1659114000000
291.735,291.97,292.43,291.035,89269,1659117600000
292.03,291.12,292.9,290.71,339457,1659121200000
283.55,285.245,285.67,282.43,84075,1659362400000
285.4,285.53,286.19,284.665,63844,1659366000000
285.5,282.3,285.5,282.19,81070,1659369600000
282.23,280.89,282.68,280.305,73196,1659373200000
280.82,281.015,281.24,279.33,77110,1659376800000
280.84,280.45,281.49,279.62,278605,1659380400000
278.65,282.97,283.6,278.65,96177,1659448800000
283.2882,284.09,284.3,282.85,82257,1659452400000
284.155,284.95,285.14,283.6035,83364,1659456000000
284.95,283.77,285.21,283.47,88145,1659459600000
283.64,282.45,284.05,282.275,110029,1659463200000
282.48,280.5,282.52,280.04,253554,1659466800000
281.3,281.745,282.355,280.57,107134,1659535200000
281.92,284.62,284.76,281.92,77822,1659538800000
284.52,285.55,285.55,283.98,71940,1659542400000
285.62,286.15,286.4145,285.3,73390,1659546000000
286.21,286.42,286.7,285.58,85881,1659549600000
286.42,285.92,287.8,285.82,256178,1659553200000
284.01,285.27,285.81,283.5,96821,1659621600000
285.44,286.47,287.02,285.02,77434,1659625200000
286.67,285.545,286.7225,285.475,59905,1659628800000
285.53,286.52,286.56,285.19,60705,1659632400000
286.52,285.8,286.52,285.44,79015,1659636000000
285.84,285.75,286.67,285.58,198161,1659639600000
285.75,285.51,287.1961,285,77720,1659708000000
285.51,284.87,285.79,284.68,49623,1659711600000
284.87,285.99,286.37,284.815,48526,1659715200000
286.14,286.005,286.85,286,50493,1659718800000
286.02,286.32,286.37,285.55,51731,1659722400000
286.39,287.53,287.63,286.14,145571,1659726000000
289.12,291.045,291.09,289.08,46906,1659967200000
291.06,289.56,291.44,289.14,53939,1659970800000
289.4,289.39,289.58,288.3,49973,1659974400000
289.41,290.69,291.09,289.3,41538,1659978000000
290.64,289.85,290.675,289.5,56536,1659981600000
289.775,289.83,290.87,289.37,159699,1659985200000
290.76,292.88,293.89,289.37,86196,1660053600000
292.9,293.46,294,292.39,66527,1660057200000
293.56,293.03,294.37,292.5,61581,1660060800000
293.08,293.395,293.635,292.5,69320,1660064400000
293.31,293.12,293.48,292.5,73239,1660068000000
293.19,293.53,294.05,292.62,189873,1660071600000
298.06,297.8127,298.83,296.41,111862,1660140000000
297.74,298.71,298.76,297.35,74271,1660143600000
298.8,296.55,298.94,296.55,90769,1660147200000
296.55,295.7484,296.74,295.01,78506,1660150800000
295.64,294.92,296,294.76,78579,1660154400000
294.77,297.73,298.01,294.77,319716,1660158000000
301.38,299.86,302.33,299.765,62886,1660226400000
300.075,297.37,300.075,297.03,63046,1660230000000
297.095,298.59,299.2,296.95,67342,1660233600000
298.79,297.46,298.86,297.35,63387,1660237200000
297.525,295.36,297.525,294.645,110112,1660240800000
295.36,296.71,296.86,294.73,195480,1660244400000
299.99,299.51,300.32,298.57,75419,1660312800000
299.5697,299.96,300.65,299.51,61803,1660316400000
299.5675,300.105,300.55,299.43,47026,1660320000000
300.19,300.61,301.015,299.695,47331,1660323600000
300.72,301.065,301.63,300.42,83571,1660327200000
301.02,301.4,302.03,300.82,217957,1660330800000
300.775,299.73,301.43,299.35,105182,1660572000000
299.77,300.51,301.21,299.25,148880,1660575600000
300.355,300.225,301.335,299.96,212499,1660579200000
300.21,300.41,300.85,300.01,83934,1660582800000
300.45,301.615,301.778,300.44,139441,1660586400000
301.575,300.66,301.62,300.54,184725,1660590000000
299.66,300.01,300.275,299.14,94280,1660658400000
300.11,301.74,302.16,300.11,104643,1660662000000
301.72,301.955,302.22,301.44,50856,1660665600000
301.925,302.06,302.29,301.37,54764,1660669200000
301.9,300.61,302.59,299.94,72216,1660672800000
300.43,301.02,301.13,299.47,209218,1660676400000
300.54,299.29,301.32,299.29,61708,1660744800000
299.39,299.62,300.845,299.21,55973,1660748400000
299.54,300.54,300.95,299.31,46303,1660752000000
300.52,300.289,300.905,300.085,38966,1660755600000
300.4,301.09,301.8,300.32,45453,1660759200000
301.08,300.51,301.24,300.02,93992,1660762800000
299.97,299.29,300.45,299.115,67423,1660831200000
299.075,300.71,301.07,298.65,55428,1660834800000
300.83,300.6,300.93,299.78,39660,1660838400000
300.51,300.63,301.71,300.32,56105,1660842000000
300.68,302.31,302.31,300.44,77770,1660845600000
302.29,302.58,303.29,302.13,172170,1660849200000
299.06,298.71,299.77,298.49,67978,1660917600000
298.78,298.76,299.05,298.09,62339,1660921200000
298.64,299.74,300.26,298.53,47829,1660924800000
299.74,300.31,300.48,299.67,37914,1660928400000
300.22,300.34,300.68,299.895,77858,1660932000000
300.325,299.83,300.615,299.7,180616,1660935600000
297.59,294.9,297.59,294.88,86669,1661176800000
294.9,294.76,295.14,294.14,58011,1661180400000
294.69,295.07,295.46,294.51,42568,1661184000000
294.92,293.58,294.93,293.27,47726,1661187600000
293.31,293.11,293.45,292.78,54879,1661191200000
293.2934,292.75,293.715,292.4,160327,1661194800000
291.59,290.2,292.42,290.2,58257,1661263200000
290.07,290.1,290.5,289.5,61641,1661266800000
289.94,289.29,289.94,288.76,45067,1661270400000
289.36,287.94,289.36,287.87,60386,1661274000000
287.94,288.12,288.56,287.43,65729,1661277600000
288.14,286.61,288.34,286.33,244916,1661281200000
285.39,287.52,287.64,285.27,95520,1661349600000
287.52,287.86,288.56,287.29,80445,1661353200000
287.88,285.88,287.88,285.75,50047,1661356800000
285.83,286.39,286.51,285.26,54454,1661360400000
286.44,287.35,287.35,286.44,44380,1661364000000
287.27,287.43,288.4,287.07,146524,1661367600000
287.77,288.83,289.32,287.4,104021,1661436000000
288.73,287.91,288.93,287.5,61096,1661439600000
287.91,287.4,288.12,286.84,66738,1661443200000
287.28,287.43,287.465,286.77,58086,1661446800000
287.42,287.9,287.9,287.01,74795,1661450400000
287.885,290.35,290.36,287.765,193783,1661454000000
291.8642,290.29,292.52,289.01,107640,1661522400000
290.06,289.23,290.06,288.81,71991,1661526000000
289.27,288.44,289.35,287.29,116284,1661529600000
288.32,288.32,289.2,287.9,66276,1661533200000
288.47,286.865,288.61,286.63,97307,1661536800000
286.79,285.95,287.23,285.69,202429,1661540400000
281.63,281.06,283.34,280.84,51254,1661781600000
281.14,282.8975,282.96,280.92,33630,1661785200000
283.01,284.33,284.88,283.01,49988,1661788800000
284.28,284.44,285.18,283.94,62523,1661792400000
284.44,284.77,285.1,284.18,70687,1661796000000
284.87,283.01,285.13,282.89,107117,1661799600000
283.16,281.24,283.48,279.55,85010,1661868000000
281.49,281.91,282.07,280.83,55773,1661871600000
281.85,281.85,282.31,281.1,39220,1661875200000
281.72,281.24,281.84,280.43,43689,1661878800000
281.36,281.785,281.995,281.25,62785,1661882400000
281.79,282.12,282.975,281.21,147322,1661886000000
284.12,283.37,284.47,282.68,50958,1661954400000
283.28,283.135,283.535,282.34,48792,1661958000000
283.07,281.73,283.0967,281.32,38843,1661961600000
281.765,280.64,281.94,280.3088,36981,1661965200000
280.65,279.71,280.76,278.76,61831,1661968800000
279.73,279.26,281.48,278.79,225502,1661972400000
279.16,275.84,279.37,275.28,79441,1662040800000
276,277.65,278.64,275.69,65354,1662044400000
277.815,277.91,279.04,277.61,45432,1662048000000
277.96,278.48,279.58,277.92,56741,1662051600000
278.485,279.45,279.68,278.08,69363,1662055200000
279.41,280.87,280.96,278.79,187944,1662058800000
283.17,285.13,285.76,282.39,51158,1662127200000
285.17,285.08,286.08,284.88,63125,1662130800000
285.22,282.36,285.285,282.235,64891,1662134400000
282.21,279.42,282.21,279.04,51120,1662138000000
279.31,279.09,280.13,279.07,46334,1662141600000
279.02,278.5,279.77,276.96,112295,1662145200000
280.01,282.04,282.43,278.2,73211,1662472800000
281.7,282.03,282.34,280.67,67129,1662476400000
282.08,281.39,282.23,280.21,62934,1662480000000
281.24,280.75,281.42,279.96,75705,1662483600000
280.53,281.04,281.73,280.36,85502,1662487200000
281.08,281.22,281.99,280.66,233690,1662490800000
282.46,283.975,285.12,282.16,60814,1662559200000
283.93,284.93,285.97,283.93,56281,1662562800000
285.105,286.75,286.75,284.73,43847,1662566400000
286.74,288.26,288.305,286.53,38020,1662570000000
288.23,288.32,288.84,287.62,47934,1662573600000
288.57,288.56,288.86,287.92,118007,1662577200000
290.15,291.47,291.66,289.41,85373,1662645600000
291.58,290.025,292.28,289.75,58573,1662649200000
289.85,289.59,290.435,288.45,113109,1662652800000
289.6816,291.09,291.73,289.21,55373,1662656400000
291.1794,290.155,291.25,289.97,44059,1662660000000
290.25,290.95,291.11,289.88,178595,1662663600000
290.74,292.21,292.74,290.32,61007,1662732000000
292.35,292.3,292.87,291.81,56229,1662735600000
292.14,292.35,292.4,291.54,57931,1662739200000
292.42,293.43,293.58,292.365,48666,1662742800000
293.35,293.55,293.65,292.56,67089,1662746400000
293.53,291.87,294.02,291.84,234809,1662750000000
293.26,292.51,294.3642,292.4,94213,1662991200000
292.53,293.245,294.275,292.44,85004,1662994800000
293.15,293.14,293.42,292.515,50697,1662998400000
293.25,293.16,294.37,293.05,71193,1663002000000
293.16,293.19,293.49,292.43,70659,1663005600000
293.14,294.01,294.12,292.49,178368,1663009200000
287.35,286,287.35,285.79,57891,1663077600000
285.88,286.39,286.93,285.6,47495,1663081200000
286.54,286.74,287.41,286.33,30627,1663084800000
286.76,286.92,288.29,286.585,48101,1663088400000
286.935,286.105,286.935,285.48,86208,1663092000000
286.1,284.03,286.33,283.2801,296700,1663095600000
283.73,284.76,285.29,282.36,117863,1663164000000
284.805,284.84,285.61,283.9,72114,1663167600000
284.62,285.165,285.7,284.29,57053,1663171200000
285.435,284.1,285.435,283.77,65560,1663174800000
284,283.205,284.225,283.02,87246,1663178400000
283.295,283.87,284,282.115,290800,1663182000000
283,280.87,284.15,280.71,112421,1663250400000
281,280.51,282.1,280.5,71258,1663254000000
280.84,281.83,281.94,280.285,70851,1663257600000
281.99,282.2901,283.44,281.975,141108,1663261200000
282.19,281.06,282.32,280.97,72034,1663264800000
281.13,280.11,281.22,279.85,331549,1663268400000
278.26,278.33,279.99,278.075,58233,1663336800000
278.39,277.6,278.71,276.97,74919,1663340400000
277.45,276.15,277.48,275.625,56731,1663344000000
275.845,275.63,276.02,275.07,53631,1663347600000
275.61,275.98,276.51,275.245,113530,1663351200000
275.98,277.08,277.39,275.76,358997,1663354800000
276.03,277.2,278.1,275.29,55728,1663596000000
277.38,276.15,277.75,276.15,41358,1663599600000
276.4,277.18,277.61,276.14,34302,1663603200000
277.25,276.54,277.58,276.52,57655,1663606800000
276.6,276.5,276.64,275.53,46381,1663610400000
276.57,278.78,278.78,276.57,231353,1663614000000
274.04,275.25,275.35,272.88,73811,1663682400000
275.28,275.59,275.735,274.61,37654,1663686000000
275.76,274.7,276.13,274.56,35092,1663689600000
274.66,273.27,275.09,273.12,74143,1663693200000
273.37,275.48,275.58,273.36,63243,1663696800000
275.32,276.24,277.27,275.09,158165,1663700400000
279.12,281.225,281.71,279.09,105414,1663768800000
281.16,280.86,281.31,280.2,118412,1663772400000
280.73,280.04,281.13,279.62,65636,1663776000000
279.87,280.53,280.77,279.21,46502,1663779600000
280.36,280,280.78,275.83,113333,1663783200000
280.15,272.9,280.15,272.84,235669,1663786800000
271.01,268.31,272.005,268.255,97945,1663855200000
268.25,270.73,271.045,268.1,131765,1663858800000
270.76,271.52,272.37,270.63,127996,1663862400000
271.47,272.0675,272.37,270.89,65071,1663866000000
272.0201,272.38,272.57,271.105,74823,1663869600000
272.39,272.23,273.925,271.93,375654,1663873200000
274.02,271.91,274.78,271.565,141513,1663941600000
271.88,272.27,272.91,271.61,115181,1663945200000
272.175,272.36,272.87,271.13,143350,1663948800000
272.28,271.99,273.23,271.37,165289,1663952400000
271.9,270.345,272.025,270.18,171655,1663956000000
270.34,273.93,274.16,270.27,285341,1663959600000
273.095,273.39,273.99,271.92,73767,1664200800000
273.29,272.925,273.29,271.525,94850,1664204400000
272.66,271.7,272.66,270.54,81402,1664208000000
271.65,269.65,271.65,269.4,103041,1664211600000
269.57,270.58,271.1164,269.16,88058,1664215200000
270.58,270,271.9125,269.71,222717,1664218800000
272.1,272.27,273.025,269.88,77838,1664287200000
272.335,269.92,272.86,269.92,53503,1664290800000
269.91,269.45,270.18,268.72,52884,1664294400000
269.4,268.755,269.57,268.035,117746,1664298000000
268.94,270.78,271.2749,268.81,76963,1664301600000
270.79,271.23,271.55,269.99,219585,1664305200000
273.175,274.14,274.66,272.015,89843,1664373600000
274.01,274.32,275.06,273.4913,84367,1664377200000
274.54,275.74,275.795,274.3,90649,1664380800000
275.78,275.42,276.71,275.16,103476,1664384400000
275.44,275.68,276,274.55,78978,1664388000000
275.64,275.13,276.59,274.815,252018,1664391600000
272.1578,270.99,272.1578,270.45,57715,1664460000000
270.895,272.29,272.85,270.82,80152,1664463600000
272.29,271.05,272.65,270.99,49812,1664467200000
271.02,270.535,271.66,270.535,60455,1664470800000
270.32,269.66,271,269.648,69156,1664474400000
269.6315,271.05,271.78,269.46,190500,1664478000000
270.985,270.16,271.44,269.38,54061,1664546400000
270.43,270.66,272.95,270.31,69548,1664550000000
270.66,271.11,271.36,270.21,37234,1664553600000
271.02,270.55,271.65,270.48,42000,1664557200000
270.46,269.28,271.115,269.08,37854,1664560800000
269.08,268.27,270.21,267.76,215907,1664564400000
269.4,273.22,273.65,269.4,81747,1664805600000
273.16,272.92,274.04,272.88,59301,1664809200000
272.95,273.06,273.69,272.64,37751,1664812800000
273.21,274.52,275.14,272.87,37968,1664816400000
274.54,276.62,276.88,274.49,66792,1664820000000
276.27,275.59,276.62,275.15,168233,1664823600000
282.36,283.18,283.4,281.94,67639,1664892000000
283.19,283.37,283.72,282.29,63158,1664895600000
283.7,283.63,284.78,283.405,39064,1664899200000
283.82,283.045,283.82,282.53,65151,1664902800000
283.05,283.05,283.24,282.29,97090,1664906400000
283.065,284.38,284.6,281.905,246627,1664910000000
282.1,280.785,282.1,280.05,65014,1664978400000
280.6188,281.795,282.125,280.43,48879,1664982000000
281.83,282.88,283.1,281.54,53069,1664985600000
282.91,283.39,284.29,282.83,80770,1664989200000
283.485,283.305,283.96,283.2,110992,1664992800000
283.43,283,284.49,282.63,300902,1664996400000
281.66,282.3122,282.3122,280.155,60579,1665064800000
282.27,281.74,282.84,281.4,56140,1665068400000
281.62,281.365,282.5,280.99,54892,1665072000000
281.43,281.25,281.9,281.01,72637,1665075600000
281.275,280.34,281.48,280.06,103233,1665079200000
280.24,280.72,281.84,279.69,218162,1665082800000
275.47,276.45,277.43,274.61,85850,1665151200000
276.45,274.67,276.89,274.51,44509,1665154800000
274.59,273.89,274.96,273.46,44483,1665158400000
273.875,273.94,274.39,273.41,41929,1665162000000
274.05,273.035,274.135,272.72,48607,1665165600000
273.04,272.99,273.2668,270.92,152539,1665169200000
276.335,277.39,277.88,275.17,90262,1665410400000
277.37,278.1,278.43,276.43,67809,1665414000000
278.11,275.94,278.37,275.61,70415,1665417600000
275.97,279.1,279.335,275.92,78875,1665421200000
279.14,278.645,279.59,278.06,73567,1665424800000
278.575,279.51,280.15,278.1,188458,1665428400000
