o,c,h,l,v,t
55.12,55.22,55.33,54.52,107305,1657720800000
55.27,54.86,55.415,54.78,86093,1657724400000
54.865,55.605,55.605,54.865,80942,1657728000000
55.58,55.51,55.825,55.48,65265,1657731600000
55.5,55.797,55.8,55.21,152556,1657735200000
55.79,55.48,55.82,55.45,221995,1657738800000
53.2,53.33,53.48,52.95,131773,1657807200000
53.35,53.89,54.08,53.35,110304,1657810800000
53.88,53.3,53.9,53.16,108195,1657814400000
53.31,53.235,53.32,53,124873,1657818000000
53.25,53.66,53.82,53.25,139865,1657821600000
53.67,54.13,54.16,53.57,435881,1657825200000
55.71,56.38,56.79,55.655,194620,1657893600000
56.405,56.685,56.93,56.36,87188,1657897200000
56.685,56.855,56.855,56.48,79805,1657900800000
56.87,56.53,56.89,56.51,87577,1657904400000
56.53,56.675,56.68,56.48,81639,1657908000000
56.66,56.65,56.735,56.335,269695,1657911600000
56.24,56.05,56.26,55.56,110795,1658152800000
56.03,56.105,56.12,55.84,83071,1658156400000
56.105,55.87,56.1179,55.84,60181,1658160000000
55.86,55.785,56.04,55.76,93217,1658163600000
55.8,55.775,55.91,55.71,79436,1658167200000
55.76,55.43,55.9,55.11,243942,1658170800000
56.185,56.67,56.74,56.14,96815,1658239200000
56.66,56.9155,57.11,56.63,98491,1658242800000
56.9,57.08,57.09,56.76,63134,1658246400000
57.09,57.2,57.24,56.85,88343,1658250000000
57.205,57.49,57.52,57.205,63505,1658253600000
57.49,57.45,57.6,57.39,179631,1658257200000
57.41,57.845,57.88,57.32,59008,1658325600000
57.86,57.72,57.91,57.62,56841,1658329200000
57.71,57.49,57.86,57.38,46583,1658332800000
57.46,57.395,57.63,57.27,61198,1658336400000
57.41,57.705,57.88,57.41,62536,1658340000000
57.7,57.86,57.93,57.7,124522,1658343600000
58.04,58.21,58.26,57.67,143958,1658412000000
58.21,58.4,58.555,58.17,69503,1658415600000
58.39,58.56,58.68,58.38,52851,1658419200000
58.57,58.38,58.61,58.23,43417,1658422800000
58.385,58.53,58.58,58.37,59664,1658426400000
58.52,58.95,58.965,58.51,204203,1658430000000
59.12,59.44,59.535,59,64433,1658498400000
59.445,59.19,59.505,59.02,57820,1658502000000
59.18,58.98,59.19,58.945,53946,1658505600000
58.88,58.71,58.96,58.63,115728,1658509200000
58.69,58.775,58.83,58.58,67703,1658512800000
58.725,59.015,59.03,58.7217,148368,1658516400000
59.21,59.01,59.445,58.94,63392,1658757600000
59.02,59.03,59.13,58.84,37418,1658761200000
59,59.02,59.06,58.87,47169,1658764800000
59.01,58.78,59.06,58.72,77149,1658768400000
58.78,58.66,58.83,58.63,74012,1658772000000
58.65,58.9,58.98,58.595,163465,1658775600000
58.45,59.145,59.195,58.36,96542,1658844000000
59.15,58.55,59.21,58.55,74256,1658847600000
58.56,58.8,58.8,58.45,116601,1658851200000
58.78,59.03,59.1,58.65,70903,1658854800000
59.015,58.995,59.2,58.8278,75635,1658858400000
58.99,59.03,59.145,58.84,221959,1658862000000
59.26,59.54,59.66,59.23,67985,1658930400000
