o,c,h,l,v,t
3.7,3.7,3.7,3.6966,598,1657720800000
3.77,3.67,3.77,3.67,22100,1657724400000
3.77,3.7107,3.77,3.7107,698,1657735200000
3.78,3.93,3.93,3.78,2506,1657738800000
3.75,3.9,4.2,3.75,1455,1657810800000
3.995,3.995,3.995,3.995,100,1657814400000
4.05,4.05,4.05,4.05,191,1657818000000
4.05,4.0397,4.05,4.0397,421,1657821600000
3.9613,3.9925,4,3.9323,2292,1657825200000
4.01,4,4.01,4,4700,1657893600000
4.035,4.035,4.035,4.035,600,1657897200000
4,4,4,4,200,1657900800000
4,4,4,4,700,1657904400000
4.03,3.91,4.05,3.91,2317,1657908000000
4.03,4.15,4.15,4.03,2872,1657911600000
4.2236,4.24,4.25,4.18,2756,1658152800000
4.3,4.33,4.33,4.24,1468,1658156400000
4.23,4.23,4.23,4.23,230,1658160000000
4.33,4.25,4.33,4.25,726,1658167200000
4.23,4.35,4.35,4.175,1911,1658170800000
4.135,4.2,4.2,4.135,340,1658253600000
4.229,4.34,4.34,4.229,693,1658257200000
4.428,4.428,4.428,4.428,225,1658325600000
4.39,4.38,4.5,4.38,17470,1658329200000
4.5,4.5,4.5,4.5,150,1658332800000
4.4472,4.4472,4.4472,4.4472,100,1658336400000
4.5299,4.48,4.5299,4.33,1261,1658340000000
4.435,4.539,4.539,4.37,8564,1658343600000
4.36,4.36,4.36,4.36,500,1658412000000
4.36,4.26,4.37,4.26,2883,1658422800000
4.26,4.26,4.26,4.26,100,1658430000000
4.12,4.12,4.12,4.12,119,1658502000000
4.1,4.1,4.1,4.1,100,1658512800000
4.11,4.5,4.5,4.0727,3293,1658516400000
4.27,4.27,4.27,4.27,111,1658772000000
4.175,4.175,4.175,4.175,774,1658775600000
4.2499,4.15,4.2499,4.15,700,1658844000000
4.1,4.1,4.1,4.1,240,1658847600000
4.1,4.1,4.1,4.1,155,1658851200000
4.07,4.07,4.07,4.07,318,1658854800000
4.08,4.05,4.08,4.05,525,1658862000000
4.1393,4.1393,4.1393,4.1393,100,1658930400000
4.1,4.1,4.1,4.1,100,1658937600000
4.09,4.05,4.1,4.05,857,1658944800000
4.05,4.17,4.17,3.945,18871,1658948400000
4.02,4.035,4.05,4.02,1357,1659016800000
4.13,4.13,4.13,4.13,533,1659031200000
4.2,4.2,4.2,4.19,346,1659034800000
4.3999,4.3999,4.3999,4.3999,1500,1659103200000
