o,c,h,l,v,t
33.35,33.29,33.363,32.37,1441047.0,1657720800000
33.31,32.57,33.5401,32.54,1435606.0,1657724400000
32.56,32.86,32.9,32.49,721724,1657728000000
32.85,33.135,33.1499,32.77,830067,1657731600000
33.14,33.39,33.475,32.88,696624,1657735200000
33.395,32.9,33.4001,32.82,1316199.0,1657738800000
31.045,30.95,31.13,30.44,2083619.0,1657807200000
30.95,31.22,31.52,30.6541,985178,1657810800000
31.225,30.7984,31.3,30.71,583921,1657814400000
30.8,31.06,31.1,30.72,703446,1657818000000
31.07,31.53,31.53,30.88,723546,1657821600000
31.54,31.58,31.8399,31.38,2979394.0,1657825200000
31.71,31.645,32.19,31.59,942018,1657893600000
31.65,31.64,31.9279,31.52,737964,1657897200000
31.64,31.519,31.6789,31.45,512274,1657900800000
31.51,31.49,31.78,31.44,735253,1657904400000
31.49,31.71,31.735,31.42,599506,1657908000000
31.705,31.98,32.04,31.685,1504983.0,1657911600000
33.51,33.3,33.54,33.09,755674,1658152800000
33.29,33.26,33.42,33.02,575604,1658156400000
33.25,33.09,33.28,33.01,416329,1658160000000
33.08,33.02,33.59,33.0109,758003,1658163600000
33.02,32.83,33.04,32.71,546394,1658167200000
32.82,32.8,33.035,32.54,1237255.0,1658170800000
33.25,33.235,33.66,33.05,1132831.0,1658239200000
33.235,33.715,33.72,33.19,926537,1658242800000
33.71,34.21,34.2714,33.65,1302415.0,1658246400000
34.21,34.355,34.48,34.21,651833,1658250000000
34.355,34.16,34.38,34.025,625858,1658253600000
34.16,34.34,34.485,34.04,1422534.0,1658257200000
34.01,34.48,34.51,33.58,1487040.0,1658325600000
34.52,34.3449,34.52,34.01,677502,1658329200000
34.34,34.62,34.62,34.21,595534,1658332800000
34.6102,34.3,34.6102,34.2,1348750.0,1658336400000
34.3,34.715,34.78,34.18,733324,1658340000000
34.72,34.99,35.1,34.7197,1135313.0,1658343600000
33.49,33.03,33.5778,32.445,1034203.0,1658412000000
33.04,33.11,33.23,32.69,698867,1658415600000
33.1,33.22,33.25,32.95,587133,1658419200000
33.21,33.05,33.29,32.96,413670,1658422800000
33.04,32.9,33.1,32.69,499298,1658426400000
32.92,33.3,33.31,32.805,1893702.0,1658430000000
33.45,33.7,33.97,33.27,1321793.0,1658498400000
33.69,33.44,33.92,33.39,437937,1658502000000
33.47,33.145,33.48,33.11,476066,1658505600000
33.14,32.59,33.14,32.51,735610,1658509200000
32.58,32.47,32.595,32.2,514598,1658512800000
32.45,32.42,32.67,32.35,816570,1658516400000
33.22,33.3504,33.48,33.07,1464981.0,1658757600000
33.35,34.25,34.33,33.335,1749238.0,1658761200000
34.26,34.465,34.48,34.19,977475,1658764800000
34.465,34.34,34.62,34.28,590216,1658768400000
34.32,34.35,34.55,34.1923,811532,1658772000000
34.35,34.44,34.48,34.26,924212,1658775600000
34.68,34.23,34.68,34.07,786447,1658844000000
34.24,33.4099,34.24,33.33,859588,1658847600000
33.4,33.36,33.44,33.08,646775,1658851200000
33.35,33.61,33.675,33.31,572400,1658854800000
33.6,33.46,33.78,33.29,751200,1658858400000
33.46,33.84,33.905,33.39,1504461.0,1658862000000
33.46,34.34,34.37,33.28,706601,1658930400000
34.34,34.08,34.48,34.07,610060,1658934000000
34.105,33.93,34.1301,33.88,759807,1658937600000
33.925,34.2,34.27,33.925,448332,1658941200000
34.22,34.715,34.82,33.98,1106154.0,1658944800000
34.72,35.18,35.345,34.66,2125920.0,1658948400000
35.29,35.16,35.7,34.705,1109298.0,1659016800000
35.16,35.75,35.88,35.08,516805,1659020400000
35.76,35.745,36,35.59,604361,1659024000000
35.75,35.64,35.75,35.31,436977,1659027600000
35.65,35.17,35.675,35.1,1096722.0,1659031200000
35.165,35.61,35.68,35.155,1299414.0,1659034800000
36.52,37.105,37.3,36.45,1272017.0,1659103200000
37.105,36.74,37.185,36.58,641295,1659106800000
36.755,36.71,36.93,36.56,513036,1659110400000
36.715,36.915,36.95,36.635,444541,1659114000000
36.94,37.3978,37.424,36.9,811813,1659117600000
37.4,37.17,37.44,37.13,1526674.0,1659121200000
35.57,35.66,36.19,35.23,1357309.0,1659362400000
35.65,35.84,35.92,35.29,942883,1659366000000
35.8685,35.69,36.13,35.54,777270,1659369600000
35.7,35.48,35.75,35.32,414002,1659373200000
35.48,36.09,36.215,35.455,875271,1659376800000
36.1,36.01,36.39,35.91,1151150.0,1659380400000
35.44,35.67,35.98,35.17,843457,1659448800000
