o,c,h,l,v,t
34.94,35.2,35.27,34.73,55932,1657720800000
35.15,35.37,35.52,35.15,85270,1657724400000
35.39,35.66,35.78,35.39,52035,1657728000000
35.65,35.63,35.73,35.4457,44127,1657731600000
35.62,35.61,35.6336,35.26,57506,1657735200000
35.62,35.49,35.715,35.42,118189,1657738800000
34.79,35.05,35.195,34.66,28132,1657807200000
35.12,35.323,35.335,34.97,26566,1657810800000
35.31,34.91,35.31,34.88,48703,1657814400000
34.95,34.87,34.95,34.73,50860,1657818000000
34.87,35.13,35.18,34.87,40973,1657821600000
35.13,35.15,35.24,35.0662,85386,1657825200000
35.34,35.585,35.86,35.34,26320,1657893600000
35.61,35.7618,35.8,35.6,62045,1657897200000
35.75,35.85,35.87,35.69,40967,1657900800000
35.85,35.97,36.07,35.805,33737,1657904400000
35.9809,35.9,36.04,35.89,39789,1657908000000
35.9,35.74,35.9,35.56,132787,1657911600000
35.91,35.93,36.01,35.705,44402,1658152800000
35.92,35.999,35.999,35.815,30052,1658156400000
35.97,35.77,36.035,35.77,35882,1658160000000
35.78,35.459,35.79,35.42,40212,1658163600000
35.42,35.12,35.46,35.105,37198,1658167200000
35.12,35.09,35.25,35.02,82346,1658170800000
35.68,36.14,36.16,35.68,55148,1658239200000
36.17,36.11,36.24,36.03,31715,1658242800000
36.11,36.13,36.18,35.95,37291,1658246400000
36.1999,36.41,36.41,36.14,30966,1658250000000
36.435,36.39,36.49,36.33,38680,1658253600000
36.3919,36.53,36.7,36.34,117303,1658257200000
36.59,37.1247,37.17,36.47,36590,1658325600000
37.15,37.21,37.27,37.02,27364,1658329200000
37.225,37.09,37.3,37.03,19302,1658332800000
37.04,37.045,37.16,36.84,26366,1658336400000
37.12,37.29,37.33,37.1,31739,1658340000000
37.3,37.27,37.41,37.22,77959,1658343600000
37.24,37.125,37.27,36.78,27309,1658412000000
37.15,37.25,37.29,37.07,9267,1658415600000
37.3,37.47,37.47,37.3,12903,1658419200000
37.47,37.275,37.5,37.255,23881,1658422800000
37.3,37.35,37.39,37.23,20211,1658426400000
37.39,37.67,37.67,37.39,61095,1658430000000
37.68,37.8439,37.9,37.62,23667,1658498400000
37.81,37.6,37.87,37.6,14748,1658502000000
37.7,37.63,37.7,37.47,16255,1658505600000
37.55,37.3,37.55,37.24,20394,1658509200000
37.31,37.36,37.42,37.165,17918,1658512800000
37.36,37.42,37.47,37.26,123088,1658516400000
37.73,37.7,37.92,37.54,28116,1658757600000
37.715,37.625,37.715,37.45,30784,1658761200000
37.62,37.73,37.75,37.51,16425,1658764800000
37.71,37.71,37.89,37.65,21078,1658768400000
37.66,37.54,37.805,37.53,77395,1658772000000
37.55,37.9,37.92,37.5,106717,1658775600000
37.74,37.74,37.77,37.535,24299,1658844000000
37.775,37.37,37.775,37.37,23310,1658847600000
37.3256,37.42,37.44,37.24,17700,1658851200000
37.39,37.385,37.48,37.3,22099,1658854800000
37.3701,37.39,37.52,37.28,36824,1658858400000
37.41,37.36,37.47,37.31,57036,1658862000000
37.84,37.68,38,37.63,34961,1658930400000
37.645,37.82,37.82,37.645,25889,1658934000000
37.81,37.92,38.03,37.78,23442,1658937600000
37.875,37.95,38,37.825,24720,1658941200000
37.98,38.33,38.43,37.94,46564,1658944800000
38.34,38.38,38.62,38.315,68658,1658948400000
38.51,38.56,38.6,38.22,22316,1659016800000
38.58,38.96,39.03,38.53,21378,1659020400000
38.975,39.08,39.12,38.945,33773,1659024000000
39.05,39.325,39.35,39.01,49091,1659027600000
39.31,39.37,39.43,39.26,31790,1659031200000
39.35,39.42,39.5,39.315,64737,1659034800000
39.4996,39.75,39.88,39.48,24020,1659103200000
39.77,39.63,39.8,39.505,16688,1659106800000
39.61,39.8306,39.84,39.57,20167,1659110400000
39.815,40.05,40.07,39.765,19948,1659114000000
40.05,40.235,40.35,40.02,47964,1659117600000
40.235,39.76,40.235,39.7,204395,1659121200000
39.87,40.065,40.22,39.62,33684,1659362400000
40.075,40.115,40.25,40.01,24818,1659366000000
40.1,40.24,40.29,40.07,25820,1659369600000
40.17,40.235,40.33,40.11,34562,1659373200000
40.22,40.52,40.56,40.19,37990,1659376800000
40.52,40.54,40.68,40.46,84443,1659380400000
39.86,39.985,40.07,39.86,58065,1659448800000
40.01,40.15,40.18,39.98,25224,1659452400000
40.17,40.49,40.49,40.16,19193,1659456000000
40.5,40.28,40.5,40.15,22485,1659459600000
40.28,40.42,40.46,40.27,27193,1659463200000
40.4,39.97,40.46,39.94,127692,1659466800000
37.51,37.88,38.05,37.41,117968,1659535200000
37.875,38.21,38.21,37.85,66713,1659538800000
38.21,38.4,38.48,38,46177,1659542400000
38.43,38.5103,38.72,38.28,51048,1659546000000
38.49,38.6496,38.845,38.49,105002,1659549600000
38.58,38.58,38.795,38.45,157162,1659553200000
39.46,39,39.61,38.84,78535,1659621600000
39.035,38.715,39.035,38.59,41940,1659625200000
38.69,38.56,38.7095,38.5,24277,1659628800000
38.54,38.59,38.76,38.525,19394,1659632400000
38.58,38.36,38.58,38.21,38749,1659636000000
38.335,38.38,38.49,38.31,78156,1659639600000
38.22,38.33,38.59,38.22,39518,1659708000000
38.34,37.835,38.34,37.765,22509,1659711600000
37.78,37.98,37.995,37.685,147625,1659715200000
38.02,37.43,38.05,37.38,86145,1659718800000
37.43,37.19,37.44,37.17,70917,1659722400000
37.195,37.28,37.41,37.16,169224,1659726000000
37.43,37.815,37.965,37.41,84906,1659967200000
37.81,37.65,37.89,37.45,176674,1659970800000
37.68,37.31,37.695,37.27,31211,1659974400000
37.29,37.38,37.4504,37.21,37106,1659978000000
37.37,37.78,37.78,37.285,129284,1659981600000
37.77,37.7,37.91,37.64,266225,1659985200000
37.21,37.11,37.37,36.951,48217,1660053600000
37,36.83,37.13,36.815,32772,1660057200000
36.84,36.74,36.92,36.682,29334,1660060800000
36.76,36.7,36.86,36.625,27218,1660064400000
36.715,36.725,36.815,36.52,55904,1660068000000
36.74,36.82,36.84,36.67,90383,1660071600000
37.985,37.97,38.115,37.89,44119,1660140000000
37.98,37.8375,38.12,37.755,29017,1660143600000
37.87,37.8,37.88,37.7,26384,1660147200000
37.805,37.865,37.89,37.7675,22194,1660150800000
37.86,37.9,37.9,37.68,46873,1660154400000
37.92,38.04,38.1,37.88,65249,1660158000000
38.2,38.55,38.58,38.2,36183,1660226400000
38.51,38.4,38.59,38.36,39710,1660230000000
38.43,38.45,38.525,38.33,39227,1660233600000
38.41,38.15,38.42,38.11,26955,1660237200000
38.14,38.29,38.37,38.14,33277,1660240800000
38.26,38.38,38.47,38.24,85725,1660244400000
38.5324,38.705,38.86,38.5324,113238,1660312800000
38.73,39.09,39.14,38.73,16821,1660316400000
39.12,39.09,39.24,39.09,16800,1660320000000
39.09,39.15,39.195,39.02,22366,1660323600000
39.14,39.16,39.19,39.06,42637,1660327200000
39.15,39.27,39.35,38.27,654130,1660330800000
38.78,38.215,38.78,38.215,49308,1660572000000
38.21,38.57,38.59,38.01,79241,1660575600000
38.56,38.76,38.77,38.52,39962,1660579200000
38.76,38.775,38.94,38.72,29699,1660582800000
38.77,38.88,38.9,38.7399,31868,1660586400000
38.88,38.7,38.88,38.69,112983,1660590000000
38.02,37.71,38.08,37.5801,40099,1660658400000
37.73,38.05,38.05,37.64,95438,1660662000000
38.03,38.06,38.11,38.01,53243,1660665600000
38.05,38.16,38.2,38.05,31054,1660669200000
38.15,38.06,38.2801,37.95,45998,1660672800000
38.03,37.98,38.085,37.88,95865,1660676400000
37.54,37.53,37.675,37.385,48456,1660744800000
37.54,37.26,37.57,37.24,25263,1660748400000
37.2,37.5,37.5,37.2,19721,1660752000000
37.46,37.53,37.56,37.41,19645,1660755600000
37.57,37.71,37.86,37.53,26793,1660759200000
37.7,37.7,37.76,37.58,61820,1660762800000
37.75,37.84,38,37.62,37540,1660831200000
37.84,37.7254,37.8982,37.685,46754,1660834800000
37.73,37.705,37.74,37.6,30078,1660838400000
37.689,37.7,37.909,37.65,31053,1660842000000
37.7,37.79,37.87,37.68,62153,1660845600000
37.78,37.81,37.925,37.68,187952,1660849200000
36.53,36.47,36.695,36.43,66775,1660917600000
36.4797,36.135,36.49,36.135,43913,1660921200000
36.15,36.255,36.28,36.1,30577,1660924800000
36.26,36.1813,36.2937,36.1,21440,1660928400000
36.17,36.14,36.22,36.08,18656,1660932000000
36.13,36.15,36.2825,36.04,85134,1660935600000
35.57,35.17,35.61,35.05,30731,1661176800000
35.17,35.4495,35.4495,35.17,30681,1661180400000
35.4281,35.39,35.46,35.28,23800,1661184000000
35.42,35.62,35.62,35.39,48575,1661187600000
35.64,35.43,35.64,35.405,28685,1661191200000
35.43,35.51,35.535,35.37,95064,1661194800000
35.5,35.56,35.91,35.46,53488,1661263200000
35.53,35.66,35.86,35.47,43216,1661266800000
35.64,35.541,35.64,35.45,13622,1661270400000
35.535,35.37,35.555,35.34,17319,1661274000000
35.34,35.42,35.45,35.3,17120,1661277600000
35.46,35.38,35.46,35.3,53693,1661281200000
35.38,35.38,35.5,35.32,30288,1661349600000
35.37,35.53,35.59,35.36,25571,1661353200000
35.51,35.2,35.52,35.15,23187,1661356800000
35.19,35.23,35.26,35.11,18404,1661360400000
35.21,35.27,35.31,35.165,19548,1661364000000
35.3,35.18,35.35,35.17,65960,1661367600000
35.57,35.9391,36.02,35.57,28814,1661436000000
35.89,35.74,35.89,35.6285,17154,1661439600000
35.75,35.4915,35.75,35.45,26427,1661443200000
35.51,35.515,35.55,35.42,51030,1661446800000
35.54,35.485,35.59,35.4157,17248,1661450400000
35.49,35.64,35.65,35.49,42748,1661454000000
35.41,34.68,35.42,34.63,40273,1661522400000
34.61,34.5575,34.63,34.39,41744,1661526000000
34.56,34.65,34.65,34.43,30116,1661529600000
34.63,34.765,34.765,34.61,32394,1661533200000
34.79,34.74,34.81,34.61,55808,1661536800000
34.75,34.65,34.91,34.62,198125,1661540400000
34.2378,34.1,34.39,34.07,43867,1661781600000
34.095,34.31,34.31,34.02,25703,1661785200000
34.32,34.45,34.49,34.32,19288,1661788800000
34.43,34.47,34.5,34.34,15520,1661792400000
34.46,34.435,34.49,34.31,36758,1661796000000
34.43,34.02,34.4625,34.02,69624,1661799600000
33.98,33.96,34.06,33.744,35107,1661868000000
33.95,33.96,34.04,33.85,23948,1661871600000
33.93,33.91,34.02,33.84,40091,1661875200000
33.92,33.88,33.92,33.7044,21343,1661878800000
33.86,33.89,33.94,33.82,24919,1661882400000
33.91,34.11,34.14,33.89,91374,1661886000000
34.27,34.06,34.41,33.97,49584,1661954400000
34.02,34.11,34.16,33.9901,32187,1661958000000
34.08,33.79,34.09,33.73,28673,1661961600000
33.8,33.71,33.8543,33.64,25883,1661965200000
33.73,33.62,33.78,33.56,29254,1661968800000
33.63,33.77,33.83,33.63,103198,1661972400000
33.31,33.0312,33.3499,32.88,40929,1662040800000
33.02,33.26,33.43,33,44319,1662044400000
33.25,33.2,33.36,33.165,38630,1662048000000
33.22,33.28,33.45,33.215,35649,1662051600000
33.31,33.34,33.38,33.17,41745,1662055200000
33.35,33.48,33.52,33.24,85844,1662058800000
33.31,33.75,33.86,33.2,48742,1662127200000
33.73,33.69,33.79,33.605,25839,1662130800000
33.685,33.235,33.755,33.19,59470,1662134400000
33.21,32.8327,33.21,32.78,28897,1662138000000
32.88,32.86,32.98,32.83,32563,1662141600000
32.85,32.61,32.91,32.48,92101,1662145200000
32.34,32.77,32.77,32.04,48874,1662472800000
32.7,32.87,32.89,32.64,30168,1662476400000
32.84,32.64,32.87,32.57,28391,1662480000000
32.61,32.56,32.61,32.4204,22715,1662483600000
32.6,32.72,32.795,32.56,40393,1662487200000
32.73,32.76,32.84,32.6163,79120,1662490800000
32.83,32.66,32.83,32.5,19537,1662559200000
32.64,32.6538,32.76,32.57,25681,1662562800000
32.65,32.7,32.77,32.605,22497,1662566400000
32.6916,32.8,32.82,32.65,24296,1662570000000
32.8141,32.99,32.99,32.72,27728,1662573600000
32.99,32.99,33.02,32.87,74142,1662577200000
32.65,33.325,33.325,32.62,35207,1662645600000
33.41,33.42,33.445,33.25,22004,1662649200000
33.38,33.335,33.44,33.08,37360,1662652800000
33.35,33.69,33.7,33.2605,41808,1662656400000
33.72,33.63,33.76,33.3295,136570,1662660000000
33.615,33.65,33.73,33.5,135460,1662663600000
34.25,34.13,34.37,34.11,26387,1662732000000
34.1,34.08,34.115,33.805,151077,1662735600000
34.07,33.97,34.11,33.89,27525,1662739200000
33.97,34.0628,34.07,33.95,26361,1662742800000
34.05,33.95,34.06,33.929,47332,1662746400000
33.96,33.85,34.06,33.845,97401,1662750000000
34.46,34.13,34.46,34.11,70214,1662991200000
34.1,34.065,34.18,33.98,57269,1662994800000
34.065,34.27,34.275,34.03,47628,1662998400000
