o,c,h,l,v,t
227.24,228.92,229.4,226.41,127598,1657720800000
228.74,229.31,230.07,228.59,111502,1657724400000
229.07,230,230.095,228.94,66891,1657728000000
230,229.5,230.225,229.09,99687,1657731600000
229.5,229.635,229.7022,228.435,65415,1657735200000
229.72,228.01,229.765,227.89,202899,1657738800000
221.6,220.6706,225,220.13,114334,1657807200000
220.845,221.81,222.495,220.51,303408,1657810800000
222.06,219.565,222.07,219.0201,123274,1657814400000
219.62,221.15,221.4999,218.88,147750,1657818000000
221.17,221.29,221.79,220.79,235045,1657821600000
221.35,221.99,222.27,221.0089,510036,1657825200000
224.52,224.65,225.4,224.07,177656,1657893600000
224.7,225.33,225.72,224.7,195635,1657897200000
225.36,224.85,225.535,224.79,90571,1657900800000
224.96,224.7706,225.3,224.59,158727,1657904400000
224.8,225.14,225.23,224.36,76409,1657908000000
225.07,225.19,225.35,224.3295,467613,1657911600000
227.235,227.85,227.969,226.91,99449,1658152800000
227.83,227.125,227.83,226.71,77961,1658156400000
227.19,226.44,227.19,226.34,67473,1658160000000
226.46,225.7875,226.877,225.785,92151,1658163600000
225.795,224.845,225.845,224.74,85648,1658167200000
224.875,223.41,225.075,222.79,334187,1658170800000
226.5,227.91,228.21,226.495,121769,1658239200000
227.98,227.16,228.24,226.8,148469,1658242800000
227.07,227.27,227.36,226.18,111146,1658246400000
227.26,228.77,228.83,227.22,99110,1658250000000
228.9,229.315,229.59,228.9,97647,1658253600000
229.37,229.86,230.02,229.16,355481,1658257200000
229.15,231.94,232.1,228.89,104029,1658325600000
231.77,230.87,231.92,230.32,69898,1658329200000
230.71,231.04,231.76,230.43,80937,1658332800000
230.99,230.26,231.115,230.07,73905,1658336400000
230.45,231.47,231.91,230.34,61501,1658340000000
231.6,231.69,232.18,231.48,178823,1658343600000
233.175,233.245,233.635,232.21,64094,1658412000000
233.19,233.75,233.95,232.65,91197,1658415600000
233.665,234.29,234.74,233.58,65019,1658419200000
234.295,233.715,234.465,233.42,64104,1658422800000
233.77,233.815,234.14,233.44,75789,1658426400000
233.86,234.575,234.66,233.76,175676,1658430000000
234.77,235.71,236.02,234.35,59105,1658498400000
235.7,234.92,235.98,234.145,71422,1658502000000
235,234.905,235.3625,234.63,32866,1658505600000
234.8,234.33,235.115,233.82,41743,1658509200000
234.3,234.19,234.36,233.79,42476,1658512800000
234.01,234.58,234.63,233.93,126310,1658516400000
234.75,234.5,235.23,233.89,65200,1658757600000
234.42,234.99,235.23,234.01,63211,1658761200000
234.95,234.895,235.125,234.24,42759,1658764800000
235.01,234.5507,235.59,234.36,55743,1658768400000
234.575,234.06,234.886,234.06,46670,1658772000000
234.22,235.21,235.35,233.9813,171615,1658775600000
233.6,234.635,234.65,233.1091,68369,1658844000000
234.685,233.59,234.86,233.59,71213,1658847600000
233.61,234.86,235.01,233.39,51980,1658851200000
234.75,234.98,235.14,234.665,59888,1658854800000
235,233.84,235.43,233.79,57682,1658858400000
233.845,234.61,235,233.46,133619,1658862000000
232.97,233.995,234.14,232.68,56700,1658930400000
234.03,235.535,235.85,233.96,64946,1658934000000
235.58,234.95,236.185,234.95,57620,1658937600000
234.9,236.07,236.155,234.9,55179,1658941200000
236.13,237.15,237.67,235.17,111202,1658944800000
237.27,237.88,238.84,237.24,246733,1658948400000
240.58,241.695,242,239.09,122988,1659016800000
241.61,242.4827,243.65,241.43,78920,1659020400000
242.53,242.4771,242.7986,241.86,69380,1659024000000
242.43,243.74,243.74,242.16,65107,1659027600000
243.54,243.76,244.34,243.28,79592,1659031200000
243.8,244.12,244.28,243.385,192087,1659034800000
247.64,248.325,249.69,247.64,65386,1659103200000
248.42,248.5141,248.89,247.94,89514,1659106800000
248.45,248.5,248.61,247.444,77440,1659110400000
248.41,249.34,249.4,248.09,67561,1659114000000
249.2648,248.89,249.2648,248.4224,40272,1659117600000
248.9371,248.3,249.06,247.77,193992,1659121200000
246.09,246.79,246.9459,244.6,120601,1659362400000
246.765,246.8775,247.84,246.01,114484,1659366000000
246.93,246.86,247.06,246.355,76136,1659369600000
246.83,246.09,246.94,245.235,98576,1659373200000
245.93,247.155,247.28,245.635,85607,1659376800000
247.11,247.02,247.84,246.75,275457,1659380400000
242.19,244.44,244.78,240.42,209536,1659448800000
244.42,246.01,246.02,243.88,106108,1659452400000
246.05,246.72,246.92,246.04,97904,1659456000000
246.755,244.515,246.755,244.26,101635,1659459600000
244.55,244.77,245.57,244.35,93421,1659463200000
244.79,244.2,245.39,243.82,183758,1659466800000
244.49,242.755,244.49,242.52,193492,1659535200000
242.75,245.44,245.52,242.74,206852,1659538800000
245.42,245.67,246.03,244.49,176202,1659542400000
245.69,245.58,246.28,244.69,161679,1659546000000
245.47,245.74,246.19,245.3,92859,1659549600000
245.74,245.63,246.13,245.52,223852,1659553200000
254.685,258.265,258.79,254.05,217980,1659621600000
258.36,256.7,260.17,256.29,237620,1659625200000
256.715,256.565,257.93,255.54,167681,1659628800000
256.45,257.49,257.765,255.46,117627,1659632400000
257.45,258.45,258.81,257.44,141172,1659636000000
258.38,257.73,259.43,257.05,422981,1659639600000
259.12,259.7703,262.93,258.6208,230733,1659708000000
259.675,260.4,260.505,258.61,165230,1659711600000
260.43,260.385,261.25,259.945,121406,1659715200000
260.47,261.345,261.64,260.47,88968,1659718800000
261.39,261.935,262.09,261.34,91630,1659722400000
261.99,262.785,262.94,261.9,345951,1659726000000
264.395,264.45,266.45,263.84,188374,1659967200000
264.45,263.55,264.975,262.0047,183272,1659970800000
263.46,263.05,263.72,261.82,112387,1659974400000
262.94,262.88,263.54,262.33,63560,1659978000000
262.93,262.885,262.99,261.6,94993,1659981600000
262.88,261.77,262.96,261.67,247695,1659985200000
260.26,260.49,261.3299,260.15,86366,1660053600000
260.57,260.35,261.22,259.45,94788,1660057200000
260.44,260.19,260.44,258.93,65599,1660060800000
260.27,259.65,260.69,259.33,74728,1660064400000
259.56,258.79,259.83,258.35,73401,1660068000000
258.89,258.74,259.42,258.6,226819,1660071600000
266.85,266.025,268.19,265.1808,106411,1660140000000
266.17,267.33,267.33,265.95,65396,1660143600000
267.19,266.965,267.34,266.28,62249,1660147200000
266.94,267.03,267.37,266.8,49784,1660150800000
267.0071,265.77,267.2,265.5301,100856,1660154400000
265.75,265.52,265.79,265.02,191503,1660158000000
266.014,266.4,266.8716,264.9,105733,1660226400000
266.45,266.47,267.0099,265.43,70045,1660230000000
266.44,267.43,267.76,265.96,61317,1660233600000
267.43,267.3997,268.29,267.32,53931,1660237200000
267.32,266.11,267.41,265.73,83549,1660240800000
266.08,264.86,266.08,264.161,191767,1660244400000
266.975,267.87,268.25,266.295,77871,1660312800000
268.055,270.07,270.4,267.98,116557,1660316400000
270.02,270.635,270.81,270.02,63238,1660320000000
270.585,270.75,271.31,270.585,172894,1660323600000
270.76,271.265,271.66,270.54,70423,1660327200000
271.18,270.8,271.7,270.47,219157,1660330800000
273,274.02,274.89,272.795,152653,1660572000000
273.95,274.09,274.835,273.24,105387,1660575600000
273.99,274.5184,274.63,273.87,95441,1660579200000
274.48,274.01,274.555,273.94,86552,1660582800000
274,274.39,274.48,273.985,64354,1660586400000
274.43,274.16,274.69,273.89,297378,1660590000000
273.435,273.37,273.87,272.84,65750,1660658400000
273.2851,272.87,273.66,272.613,64857,1660662000000
272.79,273.15,273.585,271.81,72936,1660665600000
273.09,273.4,273.48,272.765,76171,1660669200000
273.47,273.14,274.63,272.54,75035,1660672800000
272.95,273.39,274.0868,272.6949,154000,1660676400000
269.61,268.66,270,268.57,87495,1660744800000
268.61,268.265,269.15,267.9,113979,1660748400000
268.2894,268.23,269.3007,267.9,137615,1660752000000
268.13,267.45,268.365,267.32,111457,1660755600000
267.56,268.08,269.27,267.5,159523,1660759200000
268.01,267.99,268.28,266.82,375617,1660762800000
267.09,267.52,267.565,266.95,61145,1660831200000
267.57,267.7,268.32,267.14,106104,1660834800000
267.83,267.93,268.39,267.28,84967,1660838400000
267.88,268.02,268.4923,267.88,45835,1660842000000
267.98,267.92,268.285,267.58,42894,1660845600000
267.875,267.82,268.36,267.39,167102,1660849200000
264.82,263.45,264.95,263.24,106109,1660917600000
263.48,263.745,264.16,262.55,98732,1660921200000
263.71,263.465,263.765,262.67,70089,1660924800000
263.51,263.92,264.03,262.72,70556,1660928400000
263.74,262.53,263.875,262.44,75575,1660932000000
262.61,263.64,263.978,262.39,210041,1660935600000
261.245,260.21,261.66,260.1,50510,1661176800000
260.15,260.3919,261.01,260.11,76640,1661180400000
260.49,260.73,261.76,260.38,51584,1661184000000
260.75,259.415,260.75,259.415,73519,1661187600000
259.59,260.08,260.33,259.455,70060,1661191200000
260.47,260.92,261.275,260.46,172208,1661194800000
260.65,260.74,262.37,260.53,41106,1661263200000
260.72,260.69,261.44,260.278,35718,1661266800000
260.7051,260.97,261.09,260,44018,1661270400000
261.08,260.44,261.08,260.34,39470,1661274000000
260.4,260.89,261.15,260.395,42692,1661277600000
260.89,261.32,261.64,260.87,150314,1661281200000
261.44,262.38,262.62,260.83,58382,1661349600000
262.4599,263.19,263.4645,262.24,58150,1661353200000
263.2,262.15,263.84,262.0281,57269,1661356800000
262.15,261.54,262.25,261.25,37383,1661360400000
261.55,262.51,262.62,261.54,47668,1661364000000
262.57,262.73,263.03,262.29,158017,1661367600000
265.07,263.39,265.17,263.26,82626,1661436000000
263.39,262.83,263.39,262.2,63504,1661439600000
262.865,263.115,263.115,262.16,59802,1661443200000
263.23,264.5,264.5,262.82,45815,1661446800000
264.59,264.59,264.72,264.01,46662,1661450400000
264.64,266.67,266.68,264,159626,1661454000000
266.675,265.215,267.44,263.95,108953,1661522400000
265.14,263.68,265.26,262.9129,193916,1661526000000
263.79,263.895,264.08,263.003,160480,1661529600000
263.82,263.2,264.345,263.2,53801,1661533200000
263.31,262.44,263.405,262.23,63638,1661536800000
262.49,262.23,263.32,262.11,275891,1661540400000
260.86,260.43,261.055,259.99,68528,1661781600000
260.53,262.15,262.375,259.995,64366,1661785200000
262.33,262.17,262.675,261.385,43837,1661788800000
262.21,262.595,263.01,261.71,41026,1661792400000
262.45,261.92,262.55,261.24,54596,1661796000000
262.07,260.7,262.34,260.64,217003,1661799600000
260.7066,257.89,260.95,257.11,71919,1661868000000
258.21,258.36,258.55,257.18,91559,1661871600000
258.43,258.195,259.18,257.6292,50567,1661875200000
258.27,257.85,258.44,257.4701,45876,1661878800000
257.85,256.6,258.03,256.17,54073,1661882400000
256.61,255.99,257.53,255.55,288126,1661886000000
256.355,254.8,256.53,254.42,101282,1661954400000
254.95,254.99,255.32,254.13,145573,1661958000000
254.91,253.81,255.18,253.57,75275,1661961600000
253.82,253.82,254.52,253.42,73400,1661965200000
253.76,253.04,254.065,252.72,74058,1661968800000
253.01,252.41,253.81,252.35,349148,1661972400000
250.47,249.56,250.47,248.815,90984,1662040800000
249.52,250.97,251.39,249.345,103453,1662044400000
251.03,249.77,251.105,249.43,88084,1662048000000
249.79,249.78,250.34,249.4101,97092,1662051600000
250.02,249.005,250.02,248.5,68592,1662055200000
249.03,249.96,250.38,248.65,236117,1662058800000
251.47,252.95,253.15,250.91,347896,1662127200000
252.98,253.045,253.505,252.29,133064,1662130800000
253.08,249.83,253.14,249.671,102996,1662134400000
249.17,247.66,249.255,247.12,117030,1662138000000
247.76,247.85,248.79,247.5793,83530,1662141600000
247.89,246.64,248.39,245.83,312121,1662145200000
246.73,247.37,247.85,244.69,75680,1662472800000
247.09,247.15,248.05,246.79,117182,1662476400000
247.16,246.84,247.25,246.17,96879,1662480000000
246.71,246.33,246.72,245.6,57426,1662483600000
246.31,246.7068,247.15,246.15,58992,1662487200000
246.75,246.17,246.95,245.265,354734,1662490800000
247.67,248.84,249.17,247.13,82770,1662559200000
248.93,249.85,250.32,248.78,177755,1662562800000
249.92,250.72,251.01,249.06,101141,1662566400000
250.72,252.42,252.42,250.53,90581,1662570000000
252.42,253.45,253.51,252.17,59194,1662573600000
253.38,253.9,254.05,253.01,162830,1662577200000
