o,c,h,l,v,t
63.7,64.215,64.33,63.365,151895,1657720800000
64.22,64.125,64.47,63.96,152954,1657724400000
64.12,64.41,64.41,64.075,79358,1657728000000
64.44,64.49,64.63,64.34,105632,1657731600000
64.48,64.6,64.6,64.09,107366,1657735200000
64.59,64.17,64.595,64.16,297106,1657738800000
63.64,63.48,63.66,63.165,183141,1657807200000
63.485,64.07,64.07,63.42,168635,1657810800000
64.07,63.88,64.13,63.74,150246,1657814400000
63.89,64.22,64.27,63.75,165998,1657818000000
64.21,64.78,64.81,64.18,176826,1657821600000
64.79,64.74,64.83,64.58,329726,1657825200000
65.45,65.91,66.04,65.44,159385,1657893600000
65.89,65.95,66.17,65.88,124941,1657897200000
65.94,65.72,66,65.68,120101,1657900800000
65.725,65.71,65.935,65.675,103945,1657904400000
65.71,65.8,65.8884,65.64,110185,1657908000000
65.795,66.12,66.16,65.79,380438,1657911600000
66.12,66.09,66.24,65.75,109720,1658152800000
66.1,66.205,66.21,65.98,79764,1658156400000
66.2,66.05,66.27,66.01,91685,1658160000000
66.05,65.63,66.091,65.63,150014,1658163600000
65.61,65.32,65.72,65.32,136031,1658167200000
65.33,65.2,65.55,64.96,315557,1658170800000
66.68,67.12,67.16,66.6,109631,1658239200000
67.12,67.23,67.24,67.03,198048,1658242800000
67.21,67.29,67.33,67.02,141029,1658246400000
67.27,67.34,67.34,67.13,137243,1658250000000
67.35,67.55,67.57,67.33,195404,1658253600000
67.56,67.615,67.75,67.48,461082,1658257200000
67.7,68.44,68.495,67.65,131878,1658325600000
68.45,68.51,68.51,68.25,107551,1658329200000
68.51,68.48,68.585,68.22,108597,1658332800000
68.46,68.32,68.58,68.16,134959,1658336400000
68.32,68.54,68.62,68.32,118438,1658340000000
68.54,68.7,68.94,68.54,505313,1658343600000
69.095,69.175,69.245,68.64,145513,1658412000000
69.19,69.29,69.385,69.01,141362,1658415600000
69.28,69.54,69.65,69.27,140323,1658419200000
69.56,69.53,69.62,69.27,136035,1658422800000
69.57,69.52,69.7,69.38,143818,1658426400000
69.51,69.93,69.95,69.51,366215,1658430000000
70.01,69.93,70.06,69.69,138657,1658498400000
69.935,69.657,69.96,69.51,124795,1658502000000
69.67,69.61,69.73,69.51,105892,1658505600000
69.6,69.57,69.64,69.27,191862,1658509200000
69.56,69.53,69.61,69.385,236353,1658512800000
69.535,69.85,69.88,69.455,672643,1658516400000
69.47,69.44,69.63,69.22,183271,1658757600000
69.41,69.56,69.639,69.255,92762,1658761200000
69.555,69.445,69.58,69.29,98891,1658764800000
69.445,69.29,69.59,69.29,173278,1658768400000
69.275,69.06,69.32,69.03,179674,1658772000000
