o,c,h,l,v,t
49.48,50.34,50.39,48.9601,315265,1657720800000
50.39,49.68,50.61,49.51,161791,1657724400000
49.63,50.18,50.18,49.56,94043,1657728000000
50.175,50.35,50.395,50.1091,126531,1657731600000
50.33,50.575,50.575,49.97,171199,1657735200000
50.6,50.3,50.62,50.12,412931,1657738800000
48.3,48.125,48.45,48,277003,1657807200000
48.125,48.47,48.55,48.0154,357759,1657810800000
48.49,47.895,48.5,47.75,198918,1657814400000
47.88,48.085,48.1596,47.85,179279,1657818000000
48.065,48.71,48.78,48.05,194497,1657821600000
48.71,48.67,48.88,48.58,518174,1657825200000
48.83,49.42,49.695,48.82,219920,1657893600000
49.425,50.035,50.16,49.41,210624,1657897200000
50.04,50.03,50.21,49.99,203864,1657900800000
50.03,50.31,50.31,49.9861,159204,1657904400000
50.33,50.725,50.88,50.235,232801,1657908000000
50.71,50.83,50.95,50.54,661015,1657911600000
52.11,52.22,52.26,51.55,164597,1658152800000
52.23,52.5,52.525,52.06,129750,1658156400000
52.4933,52.13,52.5,52.13,92566,1658160000000
52.14,51.67,52.24,51.6,96479,1658163600000
51.67,51.37,51.919,51.28,103581,1658167200000
51.36,51.31,51.55,51.11,263671,1658170800000
52.14,52.15,52.59,51.88,210148,1658239200000
52.14,52.295,52.37,52.08,176984,1658242800000
52.31,52.49,52.49,52.03,148862,1658246400000
52.49,52.765,52.8,52.3847,188175,1658250000000
52.765,52.91,53.06,52.73,265088,1658253600000
52.92,53.06,53.19,52.8823,581092,1658257200000
53.24,54.12,54.25,52.9,168597,1658325600000
54.13,54.08,54.24,53.86,131376,1658329200000
54.05,54.05,54.22,53.66,157755,1658332800000
54.035,54.055,54.205,53.67,113745,1658336400000
54.02,54.13,54.19,53.87,90728,1658340000000
54.12,54.18,54.255,53.9899,375796,1658343600000
53.48,54.06,54.06,53.19,160006,1658412000000
54.01,54.36,54.42,53.96,211684,1658415600000
54.37,54.645,54.755,54.36,120650,1658419200000
54.62,54.365,54.68,54.23,105563,1658422800000
54.38,54.45,54.53,54.29,129832,1658426400000
54.45,54.57,54.79,54.36,491390,1658430000000
54.46,54.54,54.62,54.05,91422,1658498400000
54.52,54.13,54.59,53.915,120468,1658502000000
54.12,54.03,54.26,53.985,80546,1658505600000
54,53.79,54.0442,53.64,88188,1658509200000
53.81,53.6418,53.81,53.5093,79508,1658512800000
53.61,53.93,53.96,53.56,204517,1658516400000
53.85,53.96,54.24,53.79,140425,1658757600000
53.93,54.19,54.23,53.715,121254,1658761200000
54.175,54.41,54.43,54.06,99035,1658764800000
54.39,54.155,54.485,54.12,68522,1658768400000
54.15,53.64,54.15,53.64,81578,1658772000000
53.66,54.01,54.07,53.55,321082,1658775600000
53.88,53.83,53.88,53.35,111293,1658844000000
53.87,53.13,53.9,53.1,85062,1658847600000
53.08,53.01,53.2,52.96,78189,1658851200000
52.99,53.12,53.15,52.92,54556,1658854800000
53.1067,53.37,53.37,52.97,147485,1658858400000
53.36,53.55,53.55,53.195,344224,1658862000000
54.36,53.86,54.42,53.75,112510,1658930400000
53.88,54.02,54.065,53.76,117350,1658934000000
54.01,53.92,54.18,53.91,62724,1658937600000
53.94,53.99,54.02,53.78,71948,1658941200000
54.1,54.71,54.855,53.76,155878,1658944800000
54.77,54.83,55.05,54.69,328862,1658948400000
