o,c,h,l,v,t
31.8,32.18,32.21,30.99,771269,1657720800000
32.1999,32.19,32.345,32.04,1031646.0,1657724400000
32.185,33.03,33.045,32.185,1187069.0,1657728000000
33.04,33.464,33.48,32.86,808289,1657731600000
33.46,33.375,33.72,33.17,1150413.0,1657735200000
33.375,32.98,33.54,32.9325,2199618.0,1657738800000
31.44,30.895,31.455,30.63,1658083.0,1657807200000
30.9,31.59,31.86,30.84,1464058.0,1657810800000
31.585,31.12,31.706,31.04,618730,1657814400000
31.13,31.34,31.38,31.08,627057,1657818000000
31.33,31.72,31.72,31.23,570409,1657821600000
31.74,31.825,31.98,31.6801,1602121.0,1657825200000
31.78,31.87,32.27,31.63,569247,1657893600000
31.86,32.09,32.135,31.66,500132,1657897200000
32.08,32.1,32.2,31.85,508698,1657900800000
32.11,32.21,32.4799,32.11,429331,1657904400000
32.21,32.53,32.58,32.05,865349,1657908000000
32.52,32.66,32.79,32.48,1158782.0,1657911600000
34.29,34.83,35.035,34.135,1668059.0,1658152800000
34.83,34,34.83,33.9,745868,1658156400000
34.005,34.01,34.14,33.88,568168,1658160000000
34.01,34.02,34.54,33.98,655845,1658163600000
34.01,34.03,34.12,33.835,449645,1658167200000
34.02,33.59,34.14,33.47,1343463.0,1658170800000
34.32,33.94,34.37,33.84,550692,1658239200000
33.94,34.16,34.19,33.83,452605,1658242800000
34.16,34.47,34.59,34.08,685968,1658246400000
34.47,34.5,34.67,34.32,512464,1658250000000
34.52,34.475,34.64,34.265,463879,1658253600000
34.48,34.86,34.955,34.4099,1259755.0,1658257200000
35.01,35.63,35.64,34.66,1067556.0,1658325600000
35.63,35.3057,35.63,35.065,444127,1658329200000
35.3,35.84,35.87,35.2,345312,1658332800000
35.85,35.88,36.16,35.46,759110,1658336400000
35.89,36.58,36.63,35.63,764665,1658340000000
36.59,36.7,36.91,36.48,1548824.0,1658343600000
35.22,36.12,36.23,34.72,1642691.0,1658412000000
36.13,36.17,36.33,35.84,634764,1658415600000
36.17,36.13,36.215,35.81,285571,1658419200000
36.15,36.095,36.3252,35.95,249991,1658422800000
36.0801,36.07,36.1899,35.825,376958,1658426400000
36.08,36.83,36.83,36.03,1246802.0,1658430000000
37.11,37.48,37.92,37.06,1023761.0,1658498400000
37.46,37.34,37.6,37.08,500562,1658502000000
37.35,37.107,37.36,37.0317,329053,1658505600000
37.105,36.84,37.13,36.53,741718,1658509200000
36.825,36.99,37.075,36.55,626613,1658512800000
36.98,36.75,37.1099,36.6,1241270.0,1658516400000
37.475,38.29,38.49,37.155,1134284.0,1658757600000
38.28,38.55,38.84,38.18,1002217.0,1658761200000
38.55,38.65,38.71,38.17,553541,1658764800000
38.66,38.72,38.8,38.57,447513,1658768400000
38.69,38.93,38.986,38.63,426043,1658772000000
38.94,39.15,39.21,38.732,1092019.0,1658775600000
40.15,39.72,40.15,39.41,1490996.0,1658844000000
39.7,38.96,39.75,38.96,1022404.0,1658847600000
38.96,39.065,39.19,38.52,815111,1658851200000
39.02,39.365,39.52,38.94,638504,1658854800000
39.35,39.17,39.635,38.93,448250,1658858400000
39.18,39.35,39.435,38.97,965305,1658862000000
38.695,39.5,39.6,38.45,756165,1658930400000
39.52,39.015,39.6982,39,446581,1658934000000
39.03,38.9,39.1,38.77,576749,1658937600000
38.89,38.93,39.08,38.79,655751,1658941200000
38.93,39.655,40.06,38.91,982199,1658944800000
39.67,39.9,40.35,39.52,1684356.0,1658948400000
38.33,38.56,39.21,37.52,1585456.0,1659016800000
38.56,39.38,39.58,38.3,1251688.0,1659020400000
39.38,39.04,39.66,38.895,695006,1659024000000
39.03,38.69,39.06,38.49,675621,1659027600000
38.69,38.42,38.72,37.83,914457,1659031200000
38.41,38.59,38.8,38.253,1490986.0,1659034800000
40.4,39.78,40.76,39.76,1012412.0,1659103200000
39.75,39.41,39.98,39.36,501283,1659106800000
39.3912,39.27,39.58,39.075,431892,1659110400000
39.285,39.325,39.505,39.16,389639,1659114000000
39.33,39.775,39.85,39.27,549113,1659117600000
39.78,39.65,39.85,39.43,1248510.0,1659121200000
38.94,38.39,39.45,38.02,1079457.0,1659362400000
38.4,38.35,38.6,38.07,571046,1659366000000
38.35,38.87,38.99,38.34,496475,1659369600000
38.86,38.8,38.88,38.42,289017,1659373200000
38.81,39.3201,39.37,38.755,515369,1659376800000
39.33,39.28,39.52,39.14,1061275.0,1659380400000
37.95,38.06,38.28,37.6743,732269,1659448800000
38.05,38.0459,38.275,37.54,794433,1659452400000
38.04,38.346,38.38,37.96,436998,1659456000000
38.34,37.68,38.53,37.62,502025,1659459600000
37.69,38.0017,38.09,37.64,550341,1659463200000
38.01,37.69,38.13,37.62,1312577.0,1659466800000
