o,c,h,l,v,t
2.53,2.51,2.54,2.51,3789,1657720800000
2.54,2.5302,2.54,2.53,2038,1657724400000
2.53,2.54,2.54,2.53,4188,1657728000000
2.559,2.54,2.559,2.54,1104,1657731600000
2.55,2.545,2.56,2.53,7401,1657735200000
2.55,2.56,2.56,2.54,3144,1657738800000
2.5399,2.52,2.5399,2.5101,2278,1657807200000
2.52,2.53,2.54,2.51,8276,1657810800000
2.51,2.51,2.53,2.51,6563,1657814400000
2.52,2.525,2.525,2.52,967,1657818000000
2.53,2.52,2.53,2.52,5042,1657821600000
2.52,2.52,2.53,2.51,15019,1657825200000
2.535,2.51,2.535,2.51,4283,1657893600000
2.51,2.49,2.53,2.46,32142,1657897200000
2.49,2.495,2.515,2.49,3841,1657900800000
2.495,2.51,2.535,2.49,51727,1657904400000
2.5,2.5,2.5,2.48,5833,1657908000000
2.4801,2.49,2.505,2.4801,6100,1657911600000
2.53,2.542,2.5599,2.53,7959,1658152800000
2.54,2.53,2.56,2.53,19198,1658156400000
2.54,2.546,2.56,2.5225,26888,1658160000000
2.55,2.52,2.56,2.52,15377,1658163600000
2.51,2.49,2.5214,2.48,8505,1658167200000
2.495,2.53,2.53,2.4803,14009,1658170800000
2.5505,2.58,2.59,2.5505,26529,1658239200000
2.5792,2.59,2.6,2.57,13696,1658242800000
2.59,2.59,2.59,2.58,5846,1658246400000
2.57,2.5563,2.57,2.55,5410,1658250000000
2.565,2.57,2.58,2.55,3905,1658253600000
2.57,2.59,2.61,2.57,29992,1658257200000
2.58,2.62,2.635,2.58,19167,1658325600000
2.625,2.64,2.665,2.62,17346,1658329200000
2.6591,2.64,2.66,2.64,13022,1658332800000
2.66,2.62,2.66,2.62,1796,1658336400000
2.64,2.65,2.67,2.63,7450,1658340000000
2.65,2.65,2.69,2.62,26758,1658343600000
2.65,2.6027,2.655,2.6027,11044,1658412000000
2.6299,2.625,2.6299,2.61,3785,1658415600000
2.61,2.625,2.63,2.61,3664,1658419200000
2.63,2.635,2.6393,2.62,7084,1658422800000
2.6368,2.54,2.6368,2.54,23052,1658426400000
2.54,2.54,2.56,2.51,48378,1658430000000
2.5536,2.54,2.56,2.53,10718,1658498400000
2.56,2.57,2.59,2.56,5479,1658502000000
2.5692,2.5583,2.5692,2.55,5465,1658505600000
2.55,2.545,2.55,2.54,1741,1658509200000
2.55,2.56,2.56,2.55,21786,1658512800000
2.57,2.57,2.6,2.56,3312,1658516400000
2.58,2.59,2.6,2.58,11183,1658757600000
2.59,2.6107,2.6107,2.59,1757,1658761200000
2.62,2.615,2.62,2.615,801,1658764800000
2.6183,2.615,2.62,2.61,5788,1658768400000
2.62,2.62,2.63,2.61,17368,1658772000000
2.625,2.63,2.63,2.605,20261,1658775600000
2.6001,2.61,2.61,2.6001,1380,1658844000000
2.62,2.62,2.645,2.62,6698,1658847600000
2.6116,2.6318,2.65,2.6116,8660,1658851200000
2.63,2.615,2.63,2.61,12319,1658854800000
2.62,2.62,2.62,2.62,1326,1658858400000
2.625,2.62,2.64,2.62,3898,1658862000000
2.68,2.69,2.69,2.68,3024,1658930400000
2.68,2.67,2.7,2.66,20224,1658934000000
2.6776,2.67,2.68,2.67,6876,1658937600000
2.6757,2.67,2.6757,2.67,3663,1658941200000
2.68,2.6775,2.69,2.67,6122,1658944800000
2.6709,2.7,2.71,2.67,71140,1658948400000
2.675,2.68,2.69,2.675,3218,1659016800000
2.69,2.68,2.6911,2.68,15503,1659020400000
2.68,2.6766,2.69,2.6701,2045,1659024000000
2.685,2.6899,2.69,2.68,2966,1659027600000
2.69,2.7,2.71,2.68,6974,1659031200000
2.6937,2.7,2.705,2.68,18795,1659034800000
2.705,2.78,2.82,2.705,71339,1659103200000
2.7899,2.77,2.8,2.7601,20690,1659106800000
2.76,2.7884,2.79,2.76,10960,1659110400000
2.78,2.78,2.7972,2.778,18763,1659114000000
2.775,2.75,2.8175,2.75,18918,1659117600000
2.7699,2.81,2.82,2.765,16600,1659121200000
