o,c,h,l,v,t
6.35,6.39,6.39,6.285,50669,1657720800000
6.39,6.38,6.425,6.355,30953,1657724400000
6.385,6.41,6.41,6.35,22679,1657728000000
6.41,6.445,6.46,6.4,25131,1657731600000
6.44,6.4,6.44,6.39,31292,1657735200000
6.4,6.37,6.4,6.37,50651,1657738800000
6.34,6.26,6.34,6.24,45004,1657807200000
6.26,6.28,6.3,6.25,66908,1657810800000
6.28,6.235,6.28,6.23,30050,1657814400000
6.23,6.27,6.28,6.23,39607,1657818000000
6.265,6.255,6.27,6.24,15337,1657821600000
6.255,6.26,6.28,6.235,93978,1657825200000
6.33,6.44,6.455,6.33,86761,1657893600000
6.45,6.51,6.56,6.45,95948,1657897200000
6.51,6.5,6.53,6.5,32883,1657900800000
6.51,6.485,6.51,6.48,66897,1657904400000
6.485,6.485,6.49,6.48,21725,1657908000000
6.48,6.54,6.55,6.47,124276,1657911600000
6.67,6.65,6.69,6.59,53772,1658152800000
6.65,6.705,6.71,6.645,62981,1658156400000
6.705,6.695,6.74,6.69,101005,1658160000000
6.695,6.69,6.74,6.685,69934,1658163600000
6.69,6.61,6.69,6.57,110435,1658167200000
6.615,6.64,6.68,6.595,270809,1658170800000
6.74,6.72,6.77,6.72,21416,1658239200000
6.72,6.68,6.73,6.68,21850,1658242800000
6.68,6.74,6.76,6.66,37207,1658246400000
6.735,6.73,6.76,6.7,76105,1658250000000
6.73,6.73,6.74,6.68,91838,1658253600000
6.73,6.655,6.74,6.65,187143,1658257200000
6.66,6.715,6.72,6.61,62137,1658325600000
6.71,6.72,6.737,6.7,41019,1658329200000
6.71,6.7,6.72,6.685,68223,1658332800000
6.695,6.68,6.7,6.65,38343,1658336400000
6.67,6.675,6.68,6.65,43217,1658340000000
6.67,6.68,6.7,6.66,82036,1658343600000
6.72,6.725,6.73,6.68,27044,1658412000000
6.73,6.705,6.73,6.68,17132,1658415600000
6.705,6.715,6.725,6.6906,25024,1658419200000
6.715,6.75,6.76,6.715,78018,1658422800000
6.75,6.745,6.78,6.725,59522,1658426400000
6.745,6.77,6.77,6.73,140377,1658430000000
6.765,6.785,6.84,6.755,66524,1658498400000
6.785,6.685,6.785,6.68,70192,1658502000000
6.69,6.685,6.7,6.675,28873,1658505600000
6.68,6.635,6.68,6.62,58833,1658509200000
6.635,6.615,6.635,6.59,47754,1658512800000
6.615,6.66,6.66,6.61,97877,1658516400000
6.69,6.685,6.71,6.65,40796,1658757600000
6.68,6.695,6.705,6.665,17460,1658761200000
6.695,6.685,6.7,6.68,32465,1658764800000
6.685,6.705,6.72,6.675,52946,1658768400000
6.705,6.74,6.74,6.693,57836,1658772000000
6.735,6.78,6.79,6.69,110228,1658775600000
6.725,6.715,6.73,6.68,42513,1658844000000
6.72,6.66,6.73,6.65,45875,1658847600000
6.655,6.65,6.68,6.65,32473,1658851200000
6.655,6.605,6.66,6.605,44137,1658854800000
6.6,6.5752,6.61,6.57,40809,1658858400000
6.575,6.5,6.58,6.49,268476,1658862000000
6.765,6.78,6.8,6.73,39823,1658930400000
6.7899,6.75,6.79,6.74,36502,1658934000000
6.76,6.75,6.77,6.74,14853,1658937600000
6.745,6.79,6.8,6.74,90634,1658941200000
6.79,6.895,6.9,6.79,76530,1658944800000
6.895,6.93,6.95,6.89,142703,1658948400000
7.1,7.05,7.13,7.0101,68833,1659016800000
7.05,7.17,7.17,7.05,35484,1659020400000
7.17,7.145,7.17,7.13,21937,1659024000000
7.15,7.185,7.2,7.1489,27118,1659027600000
7.18,7.25,7.25,7.17,46597,1659031200000
7.25,7.31,7.32,7.24,161555,1659034800000
7.365,7.315,7.38,7.31,39774,1659103200000
7.315,7.28,7.315,7.27,50022,1659106800000
7.27,7.245,7.31,7.24,42245,1659110400000
7.245,7.305,7.31,7.245,49787,1659114000000
7.305,7.31,7.32,7.285,105048,1659117600000
7.315,7.26,7.34,7.25,341662,1659121200000
7.32,7.315,7.345,7.235,155845,1659362400000
7.32,7.37,7.37,7.28,252081,1659366000000
7.38,7.395,7.425,7.35,72612,1659369600000
7.395,7.395,7.42,7.36,83127,1659373200000
7.4,7.39,7.41,7.35,157247,1659376800000
7.385,7.345,7.385,7.34,232657,1659380400000
7.395,7.42,7.44,7.3807,186680,1659448800000
7.425,7.39,7.4582,7.37,167084,1659452400000
7.3894,7.4,7.42,7.3894,160205,1659456000000
7.4,7.33,7.4,7.32,35081,1659459600000
7.34,7.375,7.4,7.34,34078,1659463200000
7.38,7.36,7.4,7.35,145684,1659466800000
7.39,7.4,7.425,7.35,72330,1659535200000
7.4,7.455,7.465,7.39,121332,1659538800000
7.455,7.49,7.495,7.455,55640,1659542400000
