o,c,h,l,v,t
12.08,12.0684,12.1,12.05,6907,1657720800000
12.06,12.085,12.13,12.06,9028,1657724400000
12.06,12.08,12.11,12.06,7250,1657728000000
12.08,12.11,12.11,12.07,12919,1657731600000
12.08,12.11,12.15,12.08,3745,1657735200000
12.12,12.15,12.16,12.1,18088,1657738800000
11.95,11.97,11.9843,11.94,3542,1657807200000
11.94,11.96,11.9899,11.94,15810,1657810800000
11.96,11.97,11.9825,11.96,4495,1657814400000
11.97,11.9638,11.9797,11.93,7402,1657818000000
11.95,11.97,11.99,11.95,6536,1657821600000
11.97,11.98,12.0033,11.96,10170,1657825200000
11.975,11.99,12.02,11.96,7853,1657893600000
11.99,12.01,12.05,11.99,12760,1657897200000
12.01,12.03,12.04,12.01,2941,1657900800000
12.03,12.04,12.05,12.03,7460,1657904400000
12.03,12.03,12.05,12.0141,5776,1657908000000
12.02,12.03,12.04,12.01,9425,1657911600000
12.11,12.0399,12.12,12.0399,8289,1658152800000
12.02,12.0197,12.0299,11.985,11666,1658156400000
12.04,12.04,12.07,12.03,17593,1658160000000
12.0444,12.018,12.045,12.01,9167,1658163600000
11.98,12.01,12.03,11.98,7868,1658167200000
12,11.985,12,11.975,8731,1658170800000
12.0528,12.1,12.1,12.05,10813,1658239200000
12.0901,12.12,12.12,12.0901,4884,1658242800000
12.12,12.135,12.14,12.11,6675,1658246400000
12.12,12.1361,12.1463,12.12,9383,1658250000000
12.16,12.19,12.19,12.155,8742,1658253600000
12.19,12.22,12.23,12.19,6547,1658257200000
12.09,12.23,12.23,12.08,20508,1658325600000
12.23,12.2321,12.24,12.2,4670,1658329200000
12.21,12.12,12.21,12.1,28692,1658332800000
12.13,12.12,12.15,12.09,9422,1658336400000
12.135,12.135,12.14,12.12,5624,1658340000000
12.12,12.12,12.15,12.09,15549,1658343600000
12.1344,12.1,12.15,12.09,10028,1658412000000
12.0919,12.2142,12.24,12.0919,19914,1658415600000
12.247,12.25,12.25,12.22,5049,1658419200000
12.235,12.25,12.2599,12.235,1720,1658422800000
12.2505,12.36,12.36,12.25,19964,1658426400000
12.36,12.41,12.41,12.336,15176,1658430000000
12.5295,12.47,12.5295,12.46,7332,1658498400000
12.46,12.42,12.48,12.42,8939,1658502000000
12.43,12.42,12.45,12.4,1005,1658505600000
12.42,12.335,12.42,12.31,7033,1658509200000
12.31,12.31,12.36,12.31,936,1658512800000
12.3595,12.31,12.3595,12.31,7469,1658516400000
12.34,12.345,12.36,12.32,10507,1658757600000
12.37,12.37,12.4199,12.35,11154,1658761200000
12.37,12.37,12.4,12.37,2401,1658764800000
12.39,12.44,12.44,12.39,6663,1658768400000
12.42,12.43,12.435,12.415,4904,1658772000000
12.43,12.36,12.43,12.35,5555,1658775600000
12.29,12.39,12.39,12.29,9516,1658844000000
12.39,12.35,12.4,12.35,7712,1658847600000
12.35,12.37,12.37,12.35,200,1658851200000
12.36,12.45,12.47,12.35,39588,1658854800000
12.4446,12.488,12.53,12.4446,19363,1658858400000
12.47,12.47,12.48,12.4,11555,1658862000000
12.51,12.5199,12.53,12.46,2669,1658930400000
12.505,12.49,12.52,12.48,5982,1658934000000
12.495,12.51,12.51,12.495,4226,1658937600000
12.51,12.5193,12.5193,12.48,4882,1658941200000
12.525,12.53,12.54,12.48,4219,1658944800000
12.54,12.47,12.56,12.47,23190,1658948400000
12.48,12.52,12.54,12.48,11796,1659016800000
12.5316,12.63,12.63,12.53,10812,1659020400000
12.64,12.67,12.68,12.59,25957,1659024000000
12.6457,12.6901,12.71,12.6284,12898,1659027600000
12.7635,12.7493,12.7635,12.69,2939,1659031200000
12.7389,12.74,12.75,12.6904,6145,1659034800000
12.91,12.94,12.98,12.89,9070,1659103200000
12.94,13.02,13.02,12.94,9407,1659106800000
13.02,13.05,13.06,12.9931,20982,1659110400000
13,13.0075,13.025,12.96,8622,1659114000000
13.005,12.975,13.005,12.96,8226,1659117600000
12.9708,12.96,13.01,12.96,13230,1659121200000
13.06,13.05,13.1,13.05,19888,1659362400000
13.0783,13.001,13.0783,13.001,4890,1659366000000
13.03,13.08,13.08,13.03,6125,1659369600000
13.08,13.09,13.1,13.05,5680,1659373200000
13.09,13.1,13.1,13.07,5153,1659376800000
13.125,13.14,13.1499,13.1,1024,1659380400000
13.105,13.08,13.16,13.08,14907,1659448800000
13.08,13.0922,13.12,13.07,4703,1659452400000
13.06,13.0745,13.1,13.06,2365,1659456000000
13.085,13.14,13.14,13.085,6213,1659459600000
13.14,13.1,13.14,13.1,3333,1659463200000
13.115,13.09,13.13,13.08,7287,1659466800000
13.1,13.1,13.13,13.05,11003,1659535200000
13.1,13.1,13.1541,13.1,12064,1659538800000
13.1,13.105,13.12,13.1,2582,1659542400000
13.09,13.1,13.12,13.09,2230,1659546000000
13.0864,13.1386,13.15,13.0864,10518,1659549600000
13.1599,13.08,13.1599,13.08,7530,1659553200000
13.08,13.07,13.1061,13.06,7469,1659621600000
13.07,13.19,13.19,13.06,16795,1659625200000
13.14,13.17,13.19,13.13,3366,1659628800000
13.13,13.13,13.18,13.12,6369,1659632400000
13.1257,13.1699,13.17,13.12,3984,1659636000000
13.135,13.06,13.14,13.06,4526,1659639600000
13.01,13.0398,13.0398,12.98,8689,1659708000000
13.0399,12.96,13.0399,12.96,15653,1659711600000
12.96,13.04,13.04,12.96,7077,1659715200000
13.04,13.0242,13.04,13.0242,5456,1659718800000
13.02,13.08,13.09,13,10625,1659722400000
13.06,13.13,13.15,13.06,25508,1659726000000
13.1,13.14,13.15,13.0801,12494,1659967200000
13.14,13.16,13.28,13.13,21888,1659970800000
13.16,13.215,13.25,13.14,11518,1659974400000
13.24,13.21,13.26,13.19,5866,1659978000000
13.17,13.1999,13.24,13.16,3906,1659981600000
13.18,13.14,13.2,13.14,11235,1659985200000
13.09,13.06,13.12,13.05,9389,1660053600000
13.06,13.06,13.09,13.06,11484,1660057200000
13.06,13.0517,13.07,13.05,6149,1660060800000
13.06,13.04,13.06,13.04,4045,1660064400000
13.04,13.0203,13.042,13.02,7328,1660068000000
13.02,13.01,13.06,13.01,20238,1660071600000
13.195,13.11,13.21,13.11,13814,1660140000000
13.14,13.09,13.1599,13.09,10914,1660143600000
13.09,13.08,13.1318,13.08,6000,1660147200000
13.09,13.12,13.15,13.09,17194,1660150800000
13.12,13.11,13.146,13.11,5076,1660154400000
13.12,13.12,13.1729,13.11,22526,1660158000000
13.19,13.22,13.2536,13.18,8334,1660226400000
13.21,13.17,13.23,13.17,9143,1660230000000
13.17,13.16,13.195,13.15,2362,1660233600000
13.15,13.14,13.2099,13.14,2772,1660237200000
13.165,13.15,13.165,13.14,3680,1660240800000
13.14,13.14,13.2,13.1,29950,1660244400000
13.3161,13.27,13.3399,13.22,19257,1660312800000
13.2,13.285,13.285,13.2,14430,1660316400000
13.32,13.3302,13.34,13.25,31793,1660320000000
13.34,13.41,13.41,13.33,9977,1660323600000
13.4,13.44,13.49,13.39,12504,1660327200000
13.49,13.465,13.5,13.43,15597,1660330800000
13.39,13.35,13.42,13.35,11081,1660572000000
13.35,13.4197,13.43,13.35,12881,1660575600000
13.41,13.41,13.43,13.38,5145,1660579200000
13.38,13.4,13.44,13.38,13344,1660582800000
13.41,13.43,13.48,13.4,9360,1660586400000
13.44,13.47,13.47,13.4,14311,1660590000000
13.39,13.395,13.4599,13.35,7429,1660658400000
13.385,13.46,13.52,13.35,18446,1660662000000
13.46,13.4059,13.46,13.4,13551,1660665600000
13.44,13.39,13.4694,13.39,8864,1660669200000
13.39,13.42,13.49,13.39,14011,1660672800000
13.4,13.43,13.46,13.38,12416,1660676400000
13.33,13.38,13.43,13.31,14895,1660744800000
13.39,13.365,13.42,13.34,11776,1660748400000
13.3702,13.38,13.4,13.35,8525,1660752000000
13.38,13.405,13.405,13.37,3481,1660755600000
13.39,13.38,13.42,13.37,9906,1660759200000
13.38,13.38,13.45,13.37,23475,1660762800000
13.4,13.43,13.44,13.39,9755,1660831200000
13.425,13.4,13.44,13.4,12237,1660834800000
13.4,13.37,13.42,13.36,14023,1660838400000
13.36,13.36,13.41,13.36,5067,1660842000000
13.36,13.35,13.38,13.35,3865,1660845600000
13.35,13.37,13.39,13.35,14444,1660849200000
13.19,13.1825,13.2253,13.1825,4017,1660917600000
13.18,13.21,13.26,13.18,23954,1660921200000
13.2,13.21,13.22,13.2,1600,1660924800000
13.2399,13.18,13.2399,13.18,11800,1660928400000
13.18,13.16,13.21,13.16,5843,1660932000000
13.16,13.18,13.19,13.16,20008,1660935600000
13.0699,13.06,13.07,13.05,8092,1661176800000
13.07,13.075,13.075,13.06,5610,1661180400000
13.073,13.075,13.075,13.0701,1105,1661184000000
13.075,13.0899,13.09,13.07,4511,1661187600000
13.09,13.0799,13.09,13.06,11278,1661191200000
13.06,13.0776,13.09,13.03,7087,1661194800000
13.19,13.18,13.19,13.14,6805,1661263200000
13.185,13.1599,13.19,13.15,11352,1661266800000
13.16,13.132,13.17,13.13,6542,1661270400000
13.14,13.132,13.1424,13.13,1576,1661274000000
13.1455,13.1473,13.1745,13.14,2957,1661277600000
13.143,13.19,13.19,13.14,8288,1661281200000
13.17,13.21,13.255,13.17,9221,1661349600000
