o,c,h,l,v,t
140.66,141.66,141.745,139.93,193181,1657720800000
141.69,140.86,141.85,140.7,157178,1657724400000
140.83,141.5,141.78,140.83,129977,1657728000000
141.5,141.44,142.27,141.36,94376,1657731600000
141.22,141.02,141.46,140.655,99568,1657735200000
141.1,140.7,141.29,140.61,254080,1657738800000
138.8599,138.03,138.8599,137.89,107019,1657807200000
138.135,138.4,138.7,137.98,112954,1657810800000
138.385,137.76,138.46,137.35,63701,1657814400000
137.791,137.85,138.06,137.47,66876,1657818000000
137.83,137.72,138.58,137.54,212208,1657821600000
137.75,137.42,138.02,137.18,308622,1657825200000
140.12,141.5,141.64,140.11,96383,1657893600000
141.51,142.01,142.28,141.51,90333,1657897200000
142.04,141.48,142.08,141.435,49037,1657900800000
141.55,141.7,142.01,141.39,54558,1657904400000
141.69,142,142.16,141.325,77449,1657908000000
141.865,142.75,142.86,141.72,253780,1657911600000
143.44,144.04,144.13,142.83,111478,1658152800000
144.04,143.53,144.04,143.46,98473,1658156400000
143.54,143.57,144,143.41,83294,1658160000000
143.64,143.15,143.84,143.065,76443,1658163600000
143.175,142.54,143.4399,142.39,77707,1658167200000
142.43,141.86,142.465,141.2201,222596,1658170800000
144.12,144.31,144.555,143.16,133304,1658239200000
144.33,145.08,145.12,144.08,210985,1658242800000
145.07,145.38,145.54,145,98518,1658246400000
145.42,145.52,145.59,145.045,87695,1658250000000
145.5,145.7,145.81,145.43,117011,1658253600000
145.73,146.5,146.67,145.56,274157,1658257200000
146.52,149.045,149.21,146.38,205277,1658325600000
149.04,148.41,149.35,148.27,146745,1658329200000
148.405,147.985,148.405,147.5601,134366,1658332800000
148,147.69,148.15,147.15,168009,1658336400000
147.66,147.98,148.18,147.66,203344,1658340000000
147.97,147.86,148.66,147.78,327680,1658343600000
147.26,146.7,147.26,146.08,74810,1658412000000
146.62,147.29,147.81,146.59,101484,1658415600000
147.25,147.34,147.535,147.12,177336,1658419200000
147.3,147.6,147.6,147.03,193282,1658422800000
147.68,147.39,147.84,147.24,196725,1658426400000
147.36,148.18,148.28,147.292,611431,1658430000000
150.86,151.46,151.54,150.54,110233,1658498400000
151.47,150.42,151.48,150.31,72812,1658502000000
150.42,149.92,150.45,149.64,74304,1658505600000
149.89,148.85,149.945,148.51,105805,1658509200000
148.89,149.25,149.29,148.79,70737,1658512800000
149.22,150.22,150.41,149.15,304911,1658516400000
150.59,150.755,151.19,150.4,84541,1658757600000
150.785,151.425,151.47,150.49,63046,1658761200000
151.425,150.45,151.45,150.45,70157,1658764800000
150.43,150.17,150.67,150.17,74941,1658768400000
150.149,149.6599,150.15,149.465,80666,1658772000000
149.64,150.25,150.48,149.28,290690,1658775600000
154.615,154.07,154.98,153.8,194798,1658844000000
154.06,154.1,154.35,153.87,123899,1658847600000
154.1,155.94,156.08,154.04,150089,1658851200000
155.935,155.155,156.3,155.02,114425,1658854800000
155.22,155.58,155.69,155.09,144660,1658858400000
155.575,156.45,157.29,155.32,456904,1658862000000
156.355,156.31,156.37,154.46,106137,1658930400000
156.35,156.035,156.6359,155.93,87415,1658934000000
156.04,155.695,156.06,155.351,65690,1658937600000
155.74,156.36,156.48,155.73,78377,1658941200000
156.36,158.03,158.37,156.31,177405,1658944800000
158.055,158.23,159.39,157.95,417559,1658948400000
159.28,159.885,159.885,158.75,99668,1659016800000
159.88,160.75,161.1,159.71,129846,1659020400000
160.82,162.845,162.96,160.6821,171501,1659024000000
162.845,162.88,163.35,161.99,173804,1659027600000
162.825,162.9,163.09,162.415,156486,1659031200000
162.93,163.2,163.63,162.535,483728,1659034800000
163.9,163.62,164.53,162.83,84777,1659103200000
163.66,164.47,164.68,163.27,57675,1659106800000
164.5,165.68,165.7825,164.22,62510,1659110400000
165.71,165.29,165.88,165.29,106282,1659114000000
165.31,165.48,165.72,165.01,76795,1659117600000
165.49,165.92,166.26,165.39,290795,1659121200000
163.65,164.515,164.73,162.77,155655,1659362400000
164.55,165.2,165.56,164.2,136547,1659366000000
165.18,164.9201,165.31,164.6796,92752,1659369600000
164.93,164.12,164.93,163.8,77373,1659373200000
164.1,164.94,165.005,163.76,106915,1659376800000
164.845,164.33,165.06,164.21,232770,1659380400000
163.235,162.415,163.26,162.11,113895,1659448800000
162.44,162.36,162.69,161.59,79489,1659452400000
162.31,162.675,162.91,162.2,118999,1659456000000
162.675,161.97,162.675,161.36,88640,1659459600000
161.98,161.2,162.14,161.01,86470,1659463200000
161.19,159.73,161.36,159.51,425996,1659466800000
161.94,161.915,162.28,161.515,81373,1659535200000
161.98,161.815,162.07,161.23,88967,1659538800000
161.84,161.565,162.16,161.42,87528,1659542400000
161.59,160.9,161.81,160.9,60529,1659546000000
160.865,160.005,160.865,159.93,57540,1659549600000
159.93,159.37,159.93,159.16,234766,1659553200000
159.14,159.89,160.05,158.89,79999,1659621600000
159.99,159.71,160.11,159.17,46338,1659625200000
