o,c,h,l,v,t
58.63,59.595,59.75,58.29,245688,1657720800000
59.58,59.25,59.985,59.05,47595,1657724400000
59.235,59.35,59.47,59.155,38501,1657728000000
59.34,59.49,59.56,59.145,46195,1657731600000
59.45,59.45,59.55,58.97,60890,1657735200000
59.43,59.21,59.61,59.02,226584,1657738800000
57.355,58.4,58.5,57.18,68205,1657807200000
58.54,58.625,58.785,58.34,68456,1657810800000
58.59,58.17,58.685,58,39171,1657814400000
58.19,58.49,58.49,58,45299,1657818000000
58.43,58.75,59.07,58.43,48825,1657821600000
58.74,58.6,58.955,58.47,114728,1657825200000
59.29,59.79,60.2,59.25,51365,1657893600000
59.75,60.36,60.51,59.75,34720,1657897200000
60.31,60.41,60.48,60.2,29689,1657900800000
60.41,60.59,60.63,60.27,37085,1657904400000
60.67,60.66,60.86,60.4781,37580,1657908000000
60.67,60.65,60.76,60.355,112578,1657911600000
61.78,61.83,62.08,61.38,29744,1658152800000
61.77,61.84,61.955,61.395,53031,1658156400000
61.86,61.53,61.98,61.53,21531,1658160000000
61.555,60.9,61.63,60.88,32115,1658163600000
60.93,60.5,61.17,60.425,80723,1658167200000
60.49,60.56,60.58,60.18,224400,1658170800000
61.8,61.77,62.27,61.39,82642,1658239200000
61.81,61.92,61.9677,61.61,81015,1658242800000
61.99,61.995,62,61.68,43181,1658246400000
62.01,62.175,62.19,61.86,62473,1658250000000
62.18,62.53,62.59,62.175,74916,1658253600000
62.475,62.68,62.71,62.33,192388,1658257200000
62.67,64.46,64.48,62.53,47191,1658325600000
64.425,64.2792,64.425,63.95,40801,1658329200000
64.28,64.28,64.46,63.79,44508,1658332800000
64.28,64.345,64.55,63.895,57179,1658336400000
64.31,64.43,64.56,64.24,62462,1658340000000
64.45,64.24,64.75,64.235,226574,1658343600000
63.245,64.05,64.15,63.19,64646,1658412000000
64.04,64.2,64.3,63.72,58316,1658415600000
64.25,64.6,64.765,64.25,48823,1658419200000
64.61,64.52,64.83,64.39,46875,1658422800000
64.5,64.92,64.97,64.5,45054,1658426400000
64.98,65.56,65.78,64.9,268013,1658430000000
65.69,65.75,66.125,65.27,42226,1658498400000
65.71,65.6,65.82,65.45,45674,1658502000000
65.63,65.34,65.92,65.11,32162,1658505600000
65.27,64.8275,65.41,64.71,32108,1658509200000
64.89,64.52,64.89,64.21,53901,1658512800000
64.52,65.11,65.15,64.51,107698,1658516400000
64.24,64.51,64.73,64.2105,53952,1658757600000
64.51,64.915,64.915,64.33,27210,1658761200000
64.92,65.01,65.01,64.58,25267,1658764800000
65.02,65.03,65.16,64.83,19421,1658768400000
65,64.745,65.05,64.74,39002,1658772000000
64.71,65.22,65.28,64.53,175691,1658775600000
64.675,64.2,64.745,63.9,74597,1658844000000
64.19,63.81,64.335,63.47,107516,1658847600000
63.81,63.8,63.92,63.61,36325,1658851200000
63.76,63.87,63.91,63.7,25193,1658854800000
63.875,64.02,64.05,63.79,43832,1658858400000
64.04,64.12,64.23,63.8462,133732,1658862000000
65.41,64.93,65.49,64.93,36700,1658930400000
64.98,65.075,65.19,64.71,121908,1658934000000
65.09,64.9,65.23,64.79,200977,1658937600000
64.9,64.695,64.95,64.625,78952,1658941200000
64.77,65.335,65.6,64.395,164187,1658944800000
65.365,65.98,66.22,65.3,210949,1658948400000
67.69,68.63,68.65,67.04,134376,1659016800000
68.63,69.41,69.63,68.335,75501,1659020400000
69.31,70.63,70.7,69.2,161736,1659024000000
70.635,71.62,71.82,70.54,223909,1659027600000
71.6,71.33,71.83,71.04,138212,1659031200000
71.34,71.305,71.76,70.92,658363,1659034800000
72.65,73.17,73.45,72.56,147578,1659103200000
73.14,72.63,73.37,72.6,116148,1659106800000
72.615,72.46,72.899,72.24,103666,1659110400000
72.465,72.675,72.845,72.34,92767,1659114000000
72.71,72.76,73.14,72.64,126747,1659117600000
72.76,71.65,72.91,71.54,459013,1659121200000
72.01,73.76,73.9,72,177147,1659362400000
73.79,74.005,74.1,73.38,92470,1659366000000
73.975,73.88,73.98,73.24,78242,1659369600000
73.895,73.07,73.91,72.96,67999,1659373200000
73.04,73.43,73.47,72.82,81108,1659376800000
73.425,72.76,73.425,72.76,218603,1659380400000
71.465,72.25,72.37,70.97,55482,1659448800000
72.26,72.57,72.81,71.88,74995,1659452400000
72.58,73.232,73.27,72.41,66389,1659456000000
73.2,73,73.36,72.83,78001,1659459600000
72.965,73.11,73.36,72.91,51655,1659463200000
73.1,72.63,73.27,72.6,243626,1659466800000
73.7,73.28,73.81,72.93,36875,1659535200000
73.275,73.34,73.48,73.02,40564,1659538800000
73.365,73.19,73.39,72.91,52047,1659542400000
73.225,73.775,73.845,73.2,52883,1659546000000
73.775,73.69,73.79,73.52,48047,1659549600000
73.6623,73.58,73.75,73.42,146139,1659553200000
73.43,73.7694,74.19,73.2,68865,1659621600000
73.78,73.05,73.78,72.76,56676,1659625200000
73.11,72.97,73.2,72.85,40916,1659628800000
73,73.23,73.38,72.98,38746,1659632400000
73.23,73.37,73.415,72.97,52975,1659636000000
73.36,73.95,73.96,73.345,141724,1659639600000
