o,c,h,l,v,t
10.67,10.65,10.77,10.57,113837,1657720800000
10.655,10.672,10.725,10.61,85270,1657724400000
10.68,10.71,10.74,10.67,58963,1657728000000
10.715,10.72,10.75,10.7,66915,1657731600000
10.72,10.735,10.75,10.645,69359,1657735200000
10.73,10.72,10.745,10.7,121833,1657738800000
10.465,10.445,10.5,10.41,103158,1657807200000
10.45,10.485,10.51,10.42,104464,1657810800000
10.48,10.325,10.48,10.315,69935,1657814400000
10.325,10.33,10.3399,10.295,66644,1657818000000
10.33,10.4,10.415,10.32,79980,1657821600000
10.4,10.44,10.46,10.375,186025,1657825200000
10.41,10.6,10.6,10.41,139233,1657893600000
10.6,10.625,10.645,10.59,99529,1657897200000
10.63,10.655,10.72,10.62,70635,1657900800000
10.66,10.665,10.7,10.655,54288,1657904400000
10.66,10.64,10.6689,10.63,89802,1657908000000
10.645,10.615,10.655,10.58,285389,1657911600000
10.645,10.71,10.74,10.61,146985,1658152800000
10.71,10.755,10.76,10.67,55792,1658156400000
10.75,10.71,10.76,10.703,44275,1658160000000
10.72,10.73,10.77,10.7199,55971,1658163600000
10.73,10.71,10.76,10.705,70332,1658167200000
10.7,10.69,10.74,10.655,144795,1658170800000
10.9692,11.05,11.115,10.94,127243,1658239200000
11.055,11.11,11.125,11.05,76268,1658242800000
11.115,11.14,11.16,11.1,45380,1658246400000
11.14,11.17,11.17,11.11,43219,1658250000000
11.18,11.105,11.18,11.1,77098,1658253600000
11.105,11.1,11.15,11.075,186159,1658257200000
11.09,11.27,11.295,11.07,188331,1658325600000
11.27,11.31,11.32,11.26,166013,1658329200000
11.315,11.33,11.35,11.265,152143,1658332800000
11.325,11.3,11.35,11.28,76547,1658336400000
11.31,11.34,11.3661,11.305,83402,1658340000000
11.34,11.35,11.36,11.31,250260,1658343600000
11.27,11.335,11.335,11.2,137169,1658412000000
11.33,11.35,11.4,11.325,75359,1658415600000
11.35,11.39,11.4,11.345,83449,1658419200000
11.399,11.335,11.41,11.29,135216,1658422800000
11.335,11.34,11.375,11.31,436410,1658426400000
11.335,11.42,11.42,11.325,150830,1658430000000
11.405,11.4,11.43,11.37,91035,1658498400000
11.4,11.4,11.43,11.36,65060,1658502000000
11.4,11.355,11.41,11.35,65584,1658505600000
11.35,11.34,11.36,11.31,153986,1658509200000
11.335,11.35,11.38,11.315,112890,1658512800000
11.355,11.43,11.43,11.355,209691,1658516400000
11.47,11.4894,11.525,11.435,76234,1658757600000
11.485,11.49,11.52,11.48,59120,1658761200000
11.5,11.505,11.52,11.465,70447,1658764800000
11.51,11.505,11.52,11.5,43789,1658768400000
11.5,11.515,11.55,11.5,61725,1658772000000
11.52,11.54,11.565,11.51,143633,1658775600000
11.465,11.46,11.49,11.36,97598,1658844000000
11.4671,11.425,11.5,11.425,88808,1658847600000
11.42,11.59,11.6,11.42,152700,1658851200000
11.585,11.565,11.62,11.55,236061,1658854800000
11.565,11.565,11.595,11.53,82430,1658858400000
11.565,11.45,11.63,11.43,409557,1658862000000
12.07,11.91,12.08,11.9,169766,1658930400000
11.92,11.96,11.97,11.91,79573,1658934000000
11.96,11.965,11.99,11.93,124266,1658937600000
11.96,11.975,11.99,11.955,76506,1658941200000
11.98,11.995,12,11.87,196969,1658944800000
12,12.08,12.14,11.99,311971,1658948400000
12.31,12.3514,12.37,12.23,326707,1659016800000
12.36,12.43,12.48,12.3549,196076,1659020400000
12.43,12.455,12.46,12.41,100218,1659024000000
12.45,12.52,12.53,12.435,146261,1659027600000
12.51,12.535,12.55,12.4962,96757,1659031200000
12.54,12.66,12.725,12.525,461251,1659034800000
12.8,12.8711,12.93,12.79,206465,1659103200000
12.88,12.76,12.89,12.755,133492,1659106800000
12.76,12.79,12.815,12.75,75949,1659110400000
12.785,12.87,12.89,12.78,76647,1659114000000
12.8603,12.89,12.89,12.85,61882,1659117600000
12.88,12.77,12.885,12.755,255019,1659121200000
12.65,12.73,12.845,12.65,118903,1659362400000
12.7392,12.73,12.76,12.68,81942,1659366000000
12.73,12.775,12.8,12.73,77407,1659369600000
12.77,12.75,12.805,12.735,61703,1659373200000
12.745,12.775,12.8,12.74,62563,1659376800000
12.78,12.67,12.8,12.66,196831,1659380400000
12.475,12.42,12.51,12.3812,93386,1659448800000
12.415,12.45,12.4789,12.4,56297,1659452400000
12.44,12.445,12.49,12.44,61931,1659456000000
12.44,12.355,12.4587,12.32,191287,1659459600000
12.35,12.24,12.375,12.24,264459,1659463200000
12.25,12.11,12.25,12.11,303914,1659466800000
12.21,12.2289,12.27,12.175,61040,1659535200000
12.22,12.195,12.23,12.15,69878,1659538800000
12.1964,12.24,12.29,12.1964,60556,1659542400000
12.245,12.28,12.3,12.24,52349,1659546000000
12.27,12.285,12.29,12.21,108972,1659549600000
12.285,12.25,12.29,12.235,190015,1659553200000
12.3,12.2112,12.3,12.16,62054,1659621600000
12.22,12.2894,12.3,12.2182,49788,1659625200000
12.289,12.28,12.3,12.26,51211,1659628800000
12.28,12.3,12.325,12.28,41910,1659632400000
12.295,12.28,12.32,12.28,36235,1659636000000
12.28,12.375,12.38,12.275,171372,1659639600000
12.36,12.33,12.36,12.29,67665,1659708000000
12.33,12.375,12.38,12.3,98713,1659711600000
12.38,12.47,12.47,12.375,40276,1659715200000
12.47,12.475,12.5,12.47,64875,1659718800000
12.475,12.51,12.535,12.47,91094,1659722400000
12.51,12.48,12.59,12.47,270883,1659726000000
12.63,12.725,12.775,12.63,100075,1659967200000
12.72,12.69,12.735,12.65,65437,1659970800000
12.69,12.7189,12.74,12.63,79565,1659974400000
12.71,12.725,12.76,12.69,76724,1659978000000
12.73,12.7,12.73,12.685,82644,1659981600000
12.71,12.72,12.78,12.68,287563,1659985200000
12.53,12.555,12.6,12.465,93754,1660053600000
12.56,12.605,12.615,12.535,56800,1660057200000
12.6,12.58,12.61,12.57,58187,1660060800000
12.5791,12.62,12.62,12.5501,48005,1660064400000
