o,c,h,l,v,t
14.1,14.375,14.375,14.1,1351,1657720800000
14.29,14.25,14.35,14.25,700,1657724400000
13.94,13.94,13.94,13.94,100,1657728000000
13.91,13.91,13.91,13.91,100,1657731600000
13.91,13.91,13.91,13.91,100,1657735200000
13.91,14,14.26,13.91,800,1657738800000
14.1,14.25,14.25,14.08,1444,1657810800000
14.1,14.1,14.1,14.1,130,1657814400000
14.29,13.84,14.29,13.75,2391,1657825200000
14.1,14.1,14.1,14.1,118,1657893600000
14.25,14.25,14.25,14.25,510,1657897200000
14.27,14.26,14.27,14.26,200,1657900800000
13.965,13.965,13.965,13.965,101,1657904400000
14.025,14.025,14.025,14.025,800,1657908000000
13.7701,14.11,14.12,13.7701,1742,1657911600000
14.375,14.365,14.375,14.365,203,1658156400000
13.8754,13.8754,13.8754,13.8754,1312,1658167200000
13.8191,14.18,14.18,13.7501,1319,1658253600000
14.13,14.12,14.13,14.12,600,1658257200000
14.24,14.25,14.25,14.1,1246,1658332800000
13.91,13.91,13.91,13.91,102,1658336400000
14.075,14.075,14.075,14.075,100,1658343600000
14.2,14.29,14.29,14.15,4744,1658415600000
14.2701,14.37,14.39,14.2701,1709,1658419200000
14.21,14.21,14.21,14.21,100,1658422800000
14.45,14.2399,15.64,14.225,12606,1658426400000
14.35,15.21,15.21,14.35,3234,1658430000000
15.35,15.34,15.4178,15.34,5052,1658516400000
15.5,15.24,15.5,15.2,3229,1658858400000
15.23,15.32,15.45,15.11,1965,1658862000000
16.08,16.08,16.08,16.08,100,1658948400000
15.9584,15.9584,15.9584,15.9584,245,1659117600000
16.4,15.41,16.4,15.41,2267,1659121200000
15.72,15.72,15.72,15.72,201,1659366000000
16.04,16,16.04,16,212,1659546000000
15.9,15.34,15.9,15.34,2198,1659553200000
14.93,14.93,14.93,14.93,200,1659628800000
14.52,14.67,14.68,14.52,400,1659632400000
14.27,14.27,14.27,14.27,137,1659639600000
14.23,14.23,14.23,14.23,1055,1659711600000
14.18,14.18,14.18,14.18,100,1659715200000
14.11,14.11,14.11,14.11,110,1659726000000
15.35,15.35,15.35,15.35,107,1659970800000
15.34,15.34,15.34,15.34,100,1659974400000
15.35,14.99,15.39,14.99,592,1659978000000
14.84,15.1,15.1,14.82,803,1659985200000
14.3101,14.3101,14.3101,14.3101,900,1660060800000
14.88,14.88,14.88,14.88,615,1660064400000
14.88,15.44,15.44,14.53,825,1660068000000
14.7701,14.96,15.15,14.7701,1283,1660158000000
15.31,14.095,15.31,14.04,5779,1660244400000
14.06,14.06,14.06,14.06,100,1660316400000
14.67,14.25,14.67,14.25,323,1660327200000
14.5439,14.5439,14.5439,14.5439,175,1660330800000
14.8052,14.8052,14.8052,14.8052,140,1660586400000
14.45,14.45,14.45,14.45,110,1660669200000
14.81,15.08,15.13,14.81,950,1660676400000
14.47,14.47,14.47,14.47,116,1660748400000
14.81,15.14,15.14,14.81,827,1660755600000
14.91,14.91,14.91,14.91,103,1660759200000
14.65,14.69,14.7,14.6,1008,1660762800000
14.67,14.67,14.67,14.67,169,1660831200000
14.84,14.84,14.84,14.84,100,1660928400000
15.08,14.9,15.225,14.9,424,1660935600000
14.5,14.635,14.72,14.5,1828,1661180400000
14.41,14.24,14.6,14.24,1130,1661187600000
14.5,14.5,14.5,14.47,810,1661191200000
14.58,14.44,14.72,14.4,1523,1661194800000
14.5,14.5,14.5,14.5,500,1661263200000
14.515,14.61,14.78,14.515,1484,1661364000000
14.75,14.7,14.9,14.7,1021,1661367600000
14.42,14.42,14.42,14.42,100,1661443200000
14.8928,14.57,14.8928,14.57,201,1661454000000
14.16,14.25,14.33,14.16,1559,1661781600000
14.32,14.35,14.35,14.32,212,1661788800000
14.0703,14.177,14.215,14.0506,802,1661875200000
14.1343,14.06,14.215,14.06,1519,1661878800000
14.0825,13.76,14.155,13.75,2882,1661954400000
13.965,14.04,14.04,13.965,805,1661958000000
13.945,13.945,13.945,13.945,100,1661961600000
14.09,14.09,14.09,14.09,324,1661972400000
13.945,13.945,13.945,13.945,136,1662040800000
14.009,14.009,14.009,14.009,200,1662058800000
14.1385,13.9999,14.1385,13.99,745,1662663600000
14.018,14.018,14.018,14.018,201,1662732000000
13.75,13.75,13.75,13.75,111,1663081200000
13.75,13.75,13.75,13.75,338,1663088400000
13.8681,13.75,13.8681,13.75,584,1663254000000
14.14,14.56,15.12,14.14,6300,1663264800000
14.4,14.37,14.4,14.37,200,1663268400000
13.85,13.8,14.02,13.8,1341,1663344000000
13.8234,13.75,13.85,13.75,374,1663354800000
13.81,13.3975,13.81,13.35,3826,1663596000000
13.41,13.9,13.96,13.41,1435,1663599600000
13.85,13.61,13.85,13.56,1027,1663603200000
13.66,13.75,13.75,13.66,403,1663606800000
13.821,13.65,13.87,13.62,1747,1663610400000
14.08,14.41,14.41,13.9,2438,1663614000000
13.65,13.65,13.65,13.65,219,1663682400000
13.88,14.16,14.16,13.88,1009,1663686000000
14.51,14.51,14.51,14.4409,750,1663689600000
14.33,14.33,14.33,14.33,106,1663696800000
13.88,13.9,13.9,13.88,410,1663779600000
14.15,14.2,14.2,14.1,2682,1663783200000
14.5,14.5,14.5,14.5,659,1663786800000
14.1,14.1,14.1,14.1,100,1663855200000
13.91,13.83,13.91,13.81,302,1663858800000
13.925,14.04,14.04,13.925,864,1663862400000
13.95,14.21,14.33,13.95,1204,1663866000000
14.03,14.32,14.345,14.03,934,1663869600000
14.32,14.43,14.45,14.32,804,1663873200000
14.25,14.25,14.25,14.25,274,1663941600000
14.51,14.61,14.61,14.505,965,1663952400000
14.605,14.9,15.03,14.605,6481,1663956000000
15.015,15.42,15.435,14.7895,4441,1663959600000
15,15,15,15,1036,1664208000000
15,15,15,15,108,1664211600000
15.04,15.2,15.3,15,2354,1664215200000
15.15,15.65,15.65,15.15,739,1664287200000
16.06,15.95,16.06,15.95,864,1664290800000
15.67,15.82,15.82,15.67,1446,1664301600000
16.35,16.35,16.38,16.35,532,1664373600000
16.35,16.7125,16.7125,16.35,1731,1664377200000
15.9801,16.0733,16.0733,15.9801,1216,1664380800000
16.47,16.24,16.49,16.2,1966,1664391600000
15.7,15.69,15.7,15.69,702,1664460000000
16.08,16.13,16.14,16.08,1028,1664463600000
15.64,15.6,15.64,15.58,570,1664467200000
15.65,15.75,15.75,15.63,818,1664470800000
16.13,15.91,16.24,15.9,2359,1664474400000
16.275,16.24,16.275,16.24,219,1664478000000
15.78,15.84,15.84,15.78,952,1664546400000
16.2,15.95,16.2,15.95,655,1664550000000
16.03,16.25,16.4,16.01,1175,1664553600000
15.92,15.92,15.92,15.92,153,1664557200000
16.05,15.92,16.05,15.92,465,1664564400000
15.5,16.25,16.25,15.26,2461,1664805600000
16.21,16.21,16.49,16.19,2451,1664809200000
16.21,15.975,16.39,15.91,2097,1664812800000
16.465,16.45,16.465,16.45,209,1664823600000
16.24,16.24,16.24,16.24,494,1664892000000
16.24,16.2,16.49,15.89,10795,1664895600000
16.47,17.19,17.54,16.47,4350,1664910000000
16.92,17.5,18.1,16.55,12882,1664985600000
17.2455,17.17,17.2455,17.16,411,1664989200000
17.225,17.225,17.225,17.225,100,1664996400000
17.2,17.5027,17.67,17.2,1585,1665064800000
17.41,17.96,17.96,17.4,1092,1665068400000
17.5,17,17.5,16.47,4646,1665072000000
16.81,17.02,17.21,16.81,1577,1665075600000
16.775,17.63,18.5,16.775,4088,1665154800000
