o,c,h,l,v,t
30.01,30.19,30.2,29.75,119050,1657720800000
30.185,30.27,30.31,30.08,74527,1657724400000
30.295,30.34,30.36,30.22,50108,1657728000000
30.34,30.37,30.44,30.285,48996,1657731600000
30.355,30.46,30.46,30.18,87982,1657735200000
30.465,30.33,30.5,30.27,277087,1657738800000
30.1401,29.71,30.17,29.67,179138,1657807200000
29.715,29.935,29.97,29.715,140666,1657810800000
29.95,29.85,30,29.75,81220,1657814400000
29.87,30,30.03,29.8,108704,1657818000000
30,30.2,30.245,29.99,161075,1657821600000
30.19,30.07,30.19,29.95,307570,1657825200000
30.24,30.44,30.645,30.23,78464,1657893600000
30.435,30.59,30.61,30.2,936791,1657897200000
30.59,30.65,30.75,30.485,250018,1657900800000
30.65,30.55,30.725,30.53,245382,1657904400000
30.55,30.56,30.61,30.38,233080,1657908000000
30.55,30.715,30.74,30.55,222153,1657911600000
31.02,31.22,31.22,30.85,119848,1658152800000
31.22,31.17,31.23,31.09,89364,1658156400000
31.17,31.08,31.2,31.07,61923,1658160000000
31.09,30.9,31.12,30.88,68596,1658163600000
30.9,30.88,31,30.83,76616,1658167200000
30.88,30.73,30.935,30.65,236826,1658170800000
31.45,31.66,31.795,31.435,145249,1658239200000
31.68,31.4,31.71,31.185,697723,1658242800000
31.4,31.4,31.48,31.28,295110,1658246400000
31.4,31.55,31.555,31.31,316079,1658250000000
31.555,31.635,31.69,31.55,286570,1658253600000
31.63,31.72,31.82,31.6,625286,1658257200000
31.725,32.18,32.22,31.725,202996,1658325600000
32.16,32.17,32.19,32.01,119688,1658329200000
32.19,32.04,32.19,31.915,117387,1658332800000
32.04,32.02,32.14,31.94,178685,1658336400000
32.03,32.2,32.21,32.02,138338,1658340000000
32.21,32.34,32.36,32.21,321006,1658343600000
31.875,31.77,31.88,31.46,120917,1658412000000
31.78,31.785,31.85,31.65,102955,1658415600000
31.78,31.88,31.91,31.78,79496,1658419200000
31.885,31.7,31.885,31.69,85002,1658422800000
31.71,31.795,31.86,31.71,127246,1658426400000
31.795,32.05,32.07,31.795,321338,1658430000000
32.02,32.19,32.3,31.97,48522,1658498400000
32.2,31.96,32.21,31.92,42981,1658502000000
31.975,31.91,32.01,31.89,40882,1658505600000
31.88,31.77,31.89,31.72,49169,1658509200000
31.77,31.83,31.865,31.7,66939,1658512800000
31.83,31.96,31.97,31.75,184590,1658516400000
31.975,31.93,31.99,31.82,85476,1658757600000
31.92,32.08,32.2,31.79,71858,1658761200000
32.08,32,32.095,31.94,33814,1658764800000
31.995,31.93,32.06,31.89,43512,1658768400000
31.92,31.93,32.045,31.905,62542,1658772000000
31.935,32.12,32.13,31.89,171377,1658775600000
32.205,32.43,32.43,32.15,151239,1658844000000
32.45,32.15,32.5,32.13,166032,1658847600000
32.14,32.19,32.22,32.09,122963,1658851200000
32.18,32.19,32.215,32.12,62513,1658854800000
32.2,32.145,32.2475,32.105,128114,1658858400000
32.14,32.26,32.26,32.09,355790,1658862000000
32.72,32.73,32.76,32.58,62063,1658930400000
32.74,32.73,32.76,32.63,68698,1658934000000
32.73,32.75,32.77,32.7,112859,1658937600000
32.75,32.77,32.81,32.69,143869,1658941200000
32.78,32.86,32.9,32.63,341764,1658944800000
32.86,32.96,33.1,32.8,505993,1658948400000
32.99,32.98,33.02,32.79,73434,1659016800000
32.99,33.16,33.26,32.94,140664,1659020400000
33.17,33.15,33.2325,33.1,113697,1659024000000
33.16,33.165,33.19,33.08,226367,1659027600000
33.165,33.305,33.31,33.15,230988,1659031200000
33.31,33.25,33.355,33.2,1015316.0,1659034800000
33.23,33.25,33.33,33.16,122978,1659103200000
33.27,33.26,33.3,33.025,115718,1659106800000
33.29,33.21,33.295,33.17,161706,1659110400000
33.2,33.2,33.24,33.16,165413,1659114000000
33.2,33.3,33.32,33.19,587097,1659117600000
33.31,33.38,33.43,33.255,689793,1659121200000
33.1,33.48,33.505,33.09,142915,1659362400000
33.48,33.585,33.635,33.465,151064,1659366000000
33.59,33.58,33.61,33.465,175421,1659369600000
33.59,33.535,33.68,33.48,122005,1659373200000
33.535,33.7,33.745,33.5,154521,1659376800000
33.7,33.76,33.79,33.6,338901,1659380400000
33.76,33.91,33.96,33.71,105607,1659448800000
33.91,33.98,34.11,33.9,144076,1659452400000
33.97,33.96,34,33.91,154430,1659456000000
33.96,33.83,34.05,33.74,274585,1659459600000
33.83,33.875,34.015,33.79,216279,1659463200000
33.88,33.845,34,33.77,477408,1659466800000
34.15,34.26,34.33,34.02,285813,1659535200000
34.31,34.8,34.81,34.28,144780,1659538800000
34.79,34.95,34.97,34.71,96733,1659542400000
34.95,35.05,35.07,34.87,124969,1659546000000
35.03,35.15,35.21,35.03,130091,1659549600000
35.15,35.31,35.35,35.09,435152,1659553200000
35.325,35.31,35.53,35.12,137868,1659621600000
35.32,35.3,35.47,35.21,287725,1659625200000
35.31,35.24,35.35,35.14,199528,1659628800000
35.24,35.35,35.44,35.17,249051,1659632400000
35.345,35.1,35.37,35.03,124506,1659636000000
35.09,35.06,35.25,35.05,306982,1659639600000
35.01,34.985,35.2,34.985,129816,1659708000000
34.9791,34.9,34.98,34.74,106078,1659711600000
34.9,35.11,35.2,34.9,129160,1659715200000
35.11,35.18,35.24,35.095,120615,1659718800000
35.17,35.13,35.18,35.07,92724,1659722400000
35.135,35.16,35.17,34.995,294031,1659726000000
35.55,35.46,35.755,35.44,189910,1659967200000
35.47,35.36,35.56,35.17,117924,1659970800000
35.37,35.33,35.395,35.14,98195,1659974400000
35.32,35.48,35.49,35.315,110537,1659978000000
35.48,35.335,35.485,35.32,149622,1659981600000
35.33,35.27,35.38,35.21,530871,1659985200000
36,35.9,36.02,35.67,303496,1660053600000
35.9,35.87,36.25,35.79,328571,1660057200000
35.88,36.01,36.04,35.79,141667,1660060800000
36,36.425,36.5,35.9955,217621,1660064400000
36.41,36.26,36.46,36.19,216176,1660068000000
36.25,36.15,36.4,36.11,521877,1660071600000
36.65,36.59,36.72,36.3,112466,1660140000000
36.59,36.525,36.73,36.39,134109,1660143600000
36.525,36.74,36.75,36.42,193546,1660147200000
36.74,36.57,36.75,36.46,137254,1660150800000
36.57,36.303,36.64,36.3,147756,1660154400000
36.305,36.37,36.5,36.27,514443,1660158000000
36.58,36.53,36.8,36.49,477119,1660226400000
36.52,36.23,36.53,36.23,227499,1660230000000
36.23,36.42,36.44,36.23,305054,1660233600000
36.44,36.375,36.45,36.33,180329,1660237200000
36.375,36.2,36.4,36.16,540649,1660240800000
36.195,36.32,36.36,36.01,854658,1660244400000
36.99,37.165,37.18,36.81,285603,1660312800000
37.165,37.145,37.29,37.09,287825,1660316400000
37.14,37.125,37.205,37.05,182129,1660320000000
37.12,37.03,37.18,36.98,160110,1660323600000
37.03,37.005,37.045,36.9704,144330,1660327200000
37.01,37.31,37.32,37,432613,1660330800000
37.2598,37.31,37.46,37.145,356467,1660572000000
37.315,37.29,37.41,37.19,182160,1660575600000
37.29,37.43,37.5,37.27,387669,1660579200000
37.44,37.195,37.445,37.18,172533,1660582800000
37.195,37.275,37.33,37.14,248889,1660586400000
37.275,37.3,37.405,37.23,497958,1660590000000
37.41,37.65,37.74,37.33,435403,1660658400000
37.625,37.71,37.89,37.52,523722,1660662000000
37.705,37.55,37.77,37.54,441019,1660665600000
37.55,37.64,37.65,37.515,139453,1660669200000
37.63,37.56,37.72,37.47,1349205.0,1660672800000
37.56,37.76,37.89,37.55,568459,1660676400000
37.515,37.43,37.55,37.25,254103,1660744800000
37.43,37.43,37.525,37.38,134573,1660748400000
37.425,37.55,37.59,37.4,147702,1660752000000
37.56,37.63,37.64,37.52,74095,1660755600000
37.63,37.81,37.93,37.61,171622,1660759200000
37.81,37.73,37.865,37.695,495966,1660762800000
37.69,37.73,38.045,37.64,327555,1660831200000
37.72,37.86,37.905,37.72,206126,1660834800000
37.86,37.7963,37.875,37.73,106748,1660838400000
37.7963,37.9,37.94,37.75,282919,1660842000000
37.915,38.015,38.025,37.88,122721,1660845600000
38.015,37.95,38.03,37.91,412063,1660849200000
37.485,37.365,37.49,37.32,243438,1660917600000
37.36,37.38,37.415,37.24,140014,1660921200000
37.38,37.475,37.49,37.315,121899,1660924800000
37.475,37.45,37.495,37.39,124522,1660928400000
37.45,37.35,37.455,37.31,135534,1660932000000
37.36,37.56,37.62,37.29,511669,1660935600000
36.905,36.9,37.035,36.8,130375,1661176800000
36.9,37.035,37.12,36.9,118427,1661180400000
37.03,36.775,37.05,36.74,114961,1661184000000
36.78,36.6,36.795,36.55,183176,1661187600000
36.59,36.56,36.655,36.53,129578,1661191200000
36.55,36.51,36.62,36.46,481976,1661194800000
36.86,36.78,36.93,36.72,93840,1661263200000
36.77,36.63,36.77,36.61,74594,1661266800000
36.62,36.545,36.625,36.48,88147,1661270400000
36.54,36.37,36.55,36.345,74433,1661274000000
36.365,36.315,36.445,36.3,93971,1661277600000
36.315,36.17,36.39,36.15,398890,1661281200000
36.19,36.19,36.34,36.16,166028,1661349600000
36.18,36.44,36.47,36.18,233738,1661353200000
36.44,36.32,36.52,36.25,92705,1661356800000
36.32,36.35,36.4,36.28,99434,1661360400000
36.35,36.5,36.5,36.335,74397,1661364000000
36.505,36.53,36.615,36.49,230034,1661367600000
36.905,36.81,36.99,36.805,109174,1661436000000
36.805,36.725,36.845,36.69,79953,1661439600000
36.72,36.83,36.86,36.64,78373,1661443200000
36.82,36.92,36.98,36.77,97446,1661446800000
36.91,36.845,36.91,36.77,108653,1661450400000
36.845,36.99,37,36.79,403860,1661454000000
36.925,36.12,36.925,36.09,216870,1661522400000
36.09,36.01,36.1,35.88,125641,1661526000000
36,35.85,36.01,35.75,109591,1661529600000
35.84,35.91,36.06,35.825,103092,1661533200000
35.92,35.77,35.925,35.75,76283,1661536800000
35.75,35.4,35.8,35.38,344790,1661540400000
35.35,35.385,35.57,35.32,93708,1661781600000
35.38,35.5,35.52,35.36,94174,1661785200000
35.52,35.74,35.75,35.51,70265,1661788800000
35.74,35.875,35.89,35.7,84204,1661792400000
35.875,35.84,35.875,35.775,103090,1661796000000
35.8565,35.69,35.92,35.675,277877,1661799600000
35.94,35.64,35.99,35.41,99903,1661868000000
35.65,35.62,35.75,35.6,101518,1661871600000
35.61,35.58,35.7,35.55,50647,1661875200000
35.5891,35.53,35.62,35.435,61436,1661878800000
35.53,35.59,35.63,35.47,69471,1661882400000
35.6,35.61,35.73,35.54,205702,1661886000000
35.765,35.78,35.89,35.67,82040,1661954400000
35.77,35.85,35.87,35.63,67731,1661958000000
35.86,35.78,35.92,35.73,87730,1661961600000
35.78,35.87,35.91,35.74,115412,1661965200000
35.87,35.71,35.9,35.65,150785,1661968800000
35.705,35.68,36,35.64,589681,1661972400000
35.115,34.78,35.13,34.72,154311,1662040800000
34.78,34.95,35.04,34.57,213465,1662044400000
34.96,34.885,35.06,34.85,117503,1662048000000
34.88,35,35.04,34.85,130273,1662051600000
35,35.125,35.2,34.95,155250,1662055200000
