o,c,h,l,v,t
25.07,25.09,25.09,25.07,47357,1671724800000
25.06,25.05,25.07,25.05,3957,1671732000000
25.02,25.02,25.02,25.02,1000,1671807600000
25.06,25.07,25.07,25.06,351473,1671811200000
25.06,25.06,25.06,25.06,1200,1671825600000
25.06,25.07,25.08,25.06,216985,1672153200000
25.05,25.05,25.05,25.05,100,1672160400000
25.04,25.04,25.04,25.04,100,1672167600000
25.04,25.05,25.05,25.04,246033,1672171200000
25.05,25.05,25.05,25.05,93000,1672243200000
24.95,24.95,24.95,24.95,13500,1672246800000
25.015,25.015,25.015,25.015,428,1672336800000
24.905,24.89,24.905,24.89,3536,1672426800000
24.9,24.9,24.9,24.9,100,1672430400000
25.05,25.04,25.05,25.04,5703,1672761600000
25.04,25.03,25.04,25.03,245828,1672772400000
25.16,25.16,25.16,25.16,100,1672848000000
25.18,25.17,25.18,25.17,6506,1672855200000
25.15,25.11,25.15,25.11,1800,1672862400000
25.09,25.1,25.1,25.08,4246,1672938000000
25.1,25.11,25.11,25.1,300,1672941600000
25.11,25.08,25.11,25.08,332,1672948800000
25.2373,25.24,25.24,25.21,6366,1673031600000
25.23,25.23,25.23,25.23,200,1673035200000
25.345,25.345,25.345,25.345,600,1673276400000
25.36,25.36,25.36,25.36,353,1673280000000
25.36,25.36,25.36,25.36,2600,1673283600000
25.36,25.28,25.36,25.04,255845,1673287200000
25.27,25.27,25.27,25.27,100,1673294400000
25.295,25.295,25.295,25.295,226,1673370000000
25.33,25.32,25.33,25.32,676,1673377200000
25.2995,25.29,25.2995,25.29,494,1673380800000
25.44,25.42,25.52,25.41,11227,1673550000000
25.42,25.42,25.49,25.4,12999,1673553600000
25.5326,25.5326,25.5326,25.5326,319,1673632800000
25.56,25.56,25.56,25.56,362,1673640000000
25.56,25.56,25.56,25.56,500,1673974800000
25.55,25.5599,25.56,25.55,867,1674061200000
25.53,25.53,25.53,25.53,758,1674072000000
25.59,25.59,25.59,25.59,152,1674158400000
25.64,25.64,25.64,25.64,100,1674234000000
25.65,25.74,25.74,25.65,635,1674504000000
25.73,25.76,25.76,25.7168,9246,1674586800000
25.71,25.71,25.71,25.71,489,1674676800000
25.74,25.74,25.74,25.74,3648,1674763200000
25.6,25.6,25.6,25.6,1842,1675108800000
25.6451,25.6451,25.6451,25.6451,4810,1675184400000
25.64,25.64,25.64,25.64,7987,1675191600000
25.59,25.66,25.66,25.59,2935,1675263600000
25.62,25.62,25.62,25.62,4025,1675267200000
25.56,25.53,25.56,25.53,1324,1675353600000
25.56,25.5315,25.56,25.5315,635,1675357200000
25.55,25.5281,25.55,25.5281,1205,1675360800000
25.5,25.4715,25.5,25.4715,1486,1675368000000
25.2,25.2,25.2,25.2,100,1675454400000
25.116,25.1152,25.116,25.1152,300,1675710000000
25.126,25.12,25.13,25.116,4171,1675713600000
25.16,25.16,25.16,25.16,500,1675785600000
25.1899,25.1899,25.1899,25.1899,134,1675789200000
25.17,25.17,25.17,25.17,300,1675886400000
25.075,25.075,25.075,25.075,261,1676307600000
24.78,24.81,24.81,24.7501,2652,1677006000000
24.82,24.81,24.84,24.81,2111,1677009600000
24.74,24.74,24.74,24.74,500,1677096000000
24.73,24.7699,24.7699,24.73,1005,1677175200000
24.764,24.764,24.764,24.764,1000,1677182400000
24.6083,24.5901,24.6083,24.5901,1828,1677268800000
24.6639,24.6639,24.6639,24.6639,100,1677510000000
24.6899,24.69,24.69,24.6899,400,1677513600000
24.7099,24.7099,24.7099,24.7099,200,1677517200000
24.6401,24.6401,24.6401,24.6401,505,1677596400000
24.8,24.74,24.8,24.74,7043,1677693600000
24.795,24.74,24.7999,24.74,2500,1677697200000
24.89,24.89,24.89,24.89,867,1677870000000
24.86,24.86,24.86,24.86,1440,1678132800000
24.8399,24.8399,24.84,24.8399,2000,1678208400000
24.8,24.8,24.8,24.8,747,1678212000000
24.82,24.82,24.82,24.82,747,1678219200000
24.82,24.82,24.82,24.82,114,1678381200000
24.78,24.78,24.78,24.78,76081,1678474800000
24.69,24.69,24.69,24.69,3801,1678716000000
24.7232,24.7232,24.7232,24.7232,116,1678730400000
24.78,24.78,24.78,24.78,228,1678982400000
24.73,24.69,24.73,24.69,597,1678993200000
24.79,24.79,24.79,24.79,148,1679079600000
24.7934,24.7934,24.7934,24.7934,225,1679335200000
24.795,24.795,24.795,24.795,1000,1679425200000
24.95,24.95,24.95,24.95,561,1680192000000
24.98,24.98,24.98,24.98,281,1680285600000
24.95,24.95,24.95,24.95,218,1680289200000
24.98,24.98,24.98,24.98,6222,1680530400000
24.9701,25.0099,25.0099,24.9701,327,1680534000000
25,25,25,25,1039,1680537600000
24.98,24.98,24.98,24.98,6381,1680541200000
24.99,24.99,24.99,24.98,800,1680548400000
25.0203,25.0203,25.0203,25.0203,479,1680620400000
25.01,25,25.01,24.99,3197,1680634800000
25,25,25,25,188,1680807600000
24.98,24.98,24.98,24.98,141,1681142400000
25,25.01,25.01,25,668,1681153200000
25.16,25.13,25.16,25.13,240,1681398000000
25.2,25.2,25.2,25.2,1000,1681412400000
25.08,25.08,25.08,25.08,132,1681495200000
25.09,25.09,25.09,25.09,633,1681758000000
25.13,25.13,25.13,25.13,394,1681840800000
25.05,25.06,25.06,25.05,1066,1682100000000
24.9501,24.9501,24.9501,24.95,1016,1682607600000
25.03,25.04,25.04,25.03,1380,1682618400000
25.0812,25.0812,25.0812,25.0812,121,1682708400000
25.11,25.1,25.15,25.09,4034,1682956800000
25.09,25.1042,25.1042,25.08,1600,1683039600000
25.07,25.0703,25.0703,25.07,700,1683043200000
25.26,25.23,25.29,25.23,12035,1683133200000
25.21,25.21,25.21,25.21,400,1683140400000
25.255,25.255,25.255,25.255,111,1683223200000
25.31,25.28,25.31,25.28,506,1683568800000
25.25,25.23,25.25,25.23,384,1683831600000
25.12,25.12,25.12,25.12,1296,1684256400000
25.12,25.13,25.13,25.12,1500,1684263600000
25,25,25,25,253,1684425600000
25.1403,25.13,25.1403,25.13,1191,1684508400000
25.14,25.14,25.14,25.14,100,1684512000000
25.13,25.13,25.13,25.13,401,1684522800000
25.1,25.1,25.1,25.1,237,1684864800000
25,24.9947,25,24.99,1136,1685116800000
25.09,25.09,25.09,25.09,195,1685462400000
25.02,25.02,25.02,25.02,140,1685469600000
24.89,24.9,24.9,24.89,1500,1685541600000
24.9,24.945,24.96,24.89,5645,1685548800000
25.0498,25.04,25.0891,25.01,14992,1685628000000
25.11,25.12,25.13,25.105,38276,1685631600000
25.07,25.07,25.07,25.05,1850,1685635200000
25.16,25.16,25.16,25.16,700,1685646000000
25.18,25.25,25.25,25.18,2300,1685732400000
25.2399,25.2399,25.2399,25.2399,100,1685977200000
25.17,25.17,25.17,25.17,587,1686078000000
25.08,25.16,25.16,25.08,1638,1686240000000
25.21,25.2199,25.2199,25.1815,1491,1686322800000
25.16,25.16,25.16,25.16,100,1686333600000
25.16,25.205,25.23,25.16,4769,1686337200000
25.35,25.35,25.35,25.35,3516,1686675600000
25.3001,25.3001,25.3001,25.3001,127,1686679200000
25.2701,25.2701,25.2701,25.2701,102,1686765600000
25.32,25.31,25.32,25.31,2700,1686769200000
25.4919,25.4919,25.4919,25.4919,1196,1686848400000
25.45,25.57,25.57,25.45,312,1686852000000
25.56,25.522,25.56,25.522,712,1686855600000
25.5599,25.5599,25.5599,25.5599,211,1686924000000
25.39,25.39,25.39,25.39,295,1687276800000
25.321,25.321,25.321,25.321,1099,1687280400000
25.31,25.31,25.31,25.31,926,1687363200000
25.5498,25.49,25.5498,25.47,5282,1688392800000
25.5264,25.5264,25.5264,25.5264,0,1688403600000
25.5264,25.5264,25.5264,25.5264,0,1688410800000
25.44,25.44,25.44,25.44,103,1688580000000
25.2176,25.2176,25.2176,25.2176,1683,1688659200000
25.27,25.35,25.35,25.27,3073,1689084000000
25.34,25.34,25.34,25.34,317,1689091200000
25.615,25.615,25.615,25.615,195,1689177600000
25.66,25.66,25.66,25.66,466,1689188400000
25.8859,25.8859,25.8859,25.8859,341,1689271200000
