o,c,h,l,v,t
7.05,6.99,7.09,6.97,413062,1657720800000
7,7.015,7.02,6.96,368781,1657724400000
7.02,7.08,7.085,7.02,172176,1657728000000
7.085,7.115,7.1399,7.08,300430,1657731600000
7.11,7.11,7.12,7.05,226006,1657735200000
7.105,7.135,7.15,7.1,438212,1657738800000
6.825,6.79,6.84,6.7694,797891,1657807200000
6.79,6.8389,6.84,6.78,426552,1657810800000
6.84,6.755,6.85,6.74,419922,1657814400000
6.75,6.73,6.76,6.71,471279,1657818000000
6.725,6.765,6.775,6.7,533015,1657821600000
6.77,6.76,6.78,6.74,524687,1657825200000
6.67,6.805,6.81,6.661,349571,1657893600000
6.8025,6.87,6.885,6.8,266922,1657897200000
6.875,6.93,6.95,6.87,198231,1657900800000
6.935,6.935,6.96,6.92,198892,1657904400000
6.935,6.945,6.96,6.91,252780,1657908000000
6.945,6.93,6.95,6.92,286240,1657911600000
6.72,6.755,6.78,6.685,680144,1658152800000
6.75,6.78,6.79,6.72,328970,1658156400000
6.775,6.755,6.798,6.755,213324,1658160000000
6.755,6.76,6.78,6.75,183687,1658163600000
6.76,6.775,6.8,6.76,213117,1658167200000
6.7763,6.74,6.79,6.73,451064,1658170800000
6.9012,6.94,6.96,6.87,287278,1658239200000
6.945,6.97,6.99,6.94,300063,1658242800000
6.97,6.965,6.98,6.95,234826,1658246400000
6.965,7,7,6.94,188444,1658250000000
7,6.965,7.02,6.96,210281,1658253600000
6.965,6.94,6.97,6.93,422762,1658257200000
6.98,7.0588,7.07,6.96,239226,1658325600000
7.055,7.075,7.08,7.04,226546,1658329200000
7.0712,7.06,7.1,7.035,151000,1658332800000
7.065,7.07,7.09,7.04,360585,1658336400000
7.075,7.085,7.11,7.07,261061,1658340000000
7.085,7.06,7.09,7.05,565347,1658343600000
7.03,7.055,7.06,6.9701,312694,1658412000000
7.055,7.095,7.1,7.045,204520,1658415600000
7.095,7.12,7.13,7.09,232406,1658419200000
7.12,7.085,7.14,7.07,229970,1658422800000
7.09,7.12,7.12,7.08,297526,1658426400000
7.11,7.18,7.18,7.11,518901,1658430000000
7.1,7.1,7.14,7.08,448222,1658498400000
7.108,7.11,7.125,7.085,405761,1658502000000
7.105,7.09,7.125,7.085,466322,1658505600000
7.09,7.07,7.09,7.05,143074,1658509200000
7.065,7.105,7.11,7.055,242994,1658512800000
7.1,7.12,7.14,7.085,564086,1658516400000
7.04,7.0999,7.1,7.04,463489,1658757600000
7.1,7.075,7.12,7.07,252649,1658761200000
7.07,7.075,7.1,7.06,147061,1658764800000
7.075,7.085,7.09,7.07,99574,1658768400000
7.08,7.08,7.105,7.075,196062,1658772000000
7.079,7.09,7.095,7.065,524316,1658775600000
7.14,7.145,7.145,7.0704,335188,1658844000000
7.145,7.13,7.155,7.13,168699,1658847600000
7.13,7.165,7.18,7.12,193630,1658851200000
7.165,7.175,7.195,7.15,246995,1658854800000
7.18,7.18,7.195,7.17,210021,1658858400000
7.175,7.15,7.19,7.15,381444,1658862000000
7.23,7.25,7.26,7.21,310491,1658930400000
7.255,7.3,7.3099,7.255,243834,1658934000000
7.3057,7.3,7.325,7.26,273061,1658937600000
7.295,7.295,7.31,7.28,153883,1658941200000
7.295,7.335,7.34,7.26,445282,1658944800000
7.335,7.365,7.385,7.335,571403,1658948400000
7.5525,7.65,7.665,7.54,1262943.0,1659016800000
7.65,7.67,7.76,7.65,783013,1659020400000
7.67,7.7,7.72,7.665,474410,1659024000000
7.705,7.695,7.705,7.67,590849,1659027600000
7.69,7.725,7.74,7.68,786611,1659031200000
7.725,7.8,7.8,7.71,1362872.0,1659034800000
7.825,7.905,7.965,7.82,884818,1659103200000
7.9,7.875,7.925,7.855,428150,1659106800000
7.8794,7.885,7.9,7.85,344549,1659110400000
7.88,7.955,7.96,7.88,520315,1659114000000
7.96,7.955,7.98,7.95,557705,1659117600000
7.95,7.86,7.955,7.85,762298,1659121200000
7.82,7.93,7.96,7.8181,710838,1659362400000
7.94,7.95,7.97,7.91,448558,1659366000000
7.95,7.95,7.975,7.94,425636,1659369600000
7.957,7.95,7.965,7.93,463271,1659373200000
7.95,7.955,7.965,7.945,374860,1659376800000
7.96,7.91,7.96,7.9,774994,1659380400000
7.77,7.7183,7.785,7.685,897270,1659448800000
7.715,7.715,7.74,7.7,366911,1659452400000
7.715,7.715,7.74,7.71,397858,1659456000000
7.71,7.72,7.72,7.68,330229,1659459600000
7.72,7.715,7.73,7.71,287509,1659463200000
7.71,7.67,7.72,7.66,510155,1659466800000
7.735,7.745,7.775,7.72,509917,1659535200000
7.745,7.74,7.7594,7.73,322608,1659538800000
7.74,7.73,7.76,7.71,368895,1659542400000
7.73,7.73,7.74,7.715,240103,1659546000000
7.73,7.7276,7.74,7.72,139163,1659549600000
7.73,7.7,7.73,7.7,383840,1659553200000
7.66,7.615,7.67,7.59,410136,1659621600000
7.615,7.66,7.67,7.615,440817,1659625200000
7.665,7.66,7.67,7.65,195127,1659628800000
7.66,7.67,7.695,7.65,359598,1659632400000
7.665,7.645,7.67,7.63,170911,1659636000000
7.645,7.58,7.655,7.57,751409,1659639600000
7.585,7.5699,7.6,7.5407,347853,1659708000000
7.57,7.5499,7.57,7.51,233070,1659711600000
7.545,7.5899,7.59,7.535,400619,1659715200000
7.5899,7.555,7.6,7.55,268974,1659718800000
7.555,7.575,7.585,7.55,256842,1659722400000
7.575,7.547,7.59,7.54,574108,1659726000000
7.695,7.7091,7.71,7.66,485367,1659967200000
7.71,7.715,7.73,7.7,417427,1659970800000
7.715,7.7026,7.72,7.68,260416,1659974400000
7.705,7.725,7.7281,7.7,289324,1659978000000
7.73,7.715,7.735,7.705,409131,1659981600000
7.715,7.715,7.73,7.7014,523546,1659985200000
7.68,7.66,7.69,7.64,459272,1660053600000
7.655,7.655,7.665,7.63,342266,1660057200000
7.66,7.655,7.66,7.64,192808,1660060800000
7.655,7.675,7.68,7.65,245938,1660064400000
7.675,7.665,7.68,7.6525,173352,1660068000000
7.66,7.655,7.6799,7.64,749218,1660071600000
7.74,7.73,7.7788,7.71,437688,1660140000000
7.74,7.745,7.7593,7.73,231278,1660143600000
7.7457,7.75,7.7799,7.74,222700,1660147200000
7.75,7.74,7.76,7.73,305163,1660150800000
7.745,7.74,7.76,7.72,289899,1660154400000
7.74,7.73,7.75,7.71,872574,1660158000000
7.825,7.815,7.8599,7.815,554726,1660226400000
7.81,7.79,7.825,7.78,330542,1660230000000
7.79,7.79,7.805,7.77,219794,1660233600000
7.795,7.775,7.8,7.77,266045,1660237200000
7.775,7.725,7.79,7.72,584399,1660240800000
7.725,7.74,7.75,7.71,758847,1660244400000
7.6,7.555,7.6,7.52,688722,1660312800000
7.555,7.57,7.58,7.54,423860,1660316400000
7.57,7.5435,7.57,7.53,344604,1660320000000
7.54,7.565,7.575,7.54,239649,1660323600000
7.57,7.565,7.57,7.56,325484,1660327200000
7.565,7.58,7.6,7.56,697068,1660330800000
7.515,7.445,7.515,7.445,3099723.0,1660572000000
7.44,7.4881,7.5,7.43,301194,1660575600000
