o,c,h,l,v,t
111.405,111.94,112.045,110.46,23698,1657720800000
111.96,111.74,112.48,111.42,20258,1657724400000
111.76,112.5,112.55,111.65,23854,1657728000000
112.52,113.09,113.13,112.41,22678,1657731600000
113.06,113.41,113.53,112.445,41069,1657735200000
113.47,113.06,113.65,112.86,110789,1657738800000
110.7,110.25,110.7949,109,35101,1657807200000
110.26,110.65,110.76,109.77,21391,1657810800000
110.75,110.51,110.76,110.1,30907,1657814400000
110.36,111.19,111.28,110,27289,1657818000000
111.21,112.14,112.18,111.17,29108,1657821600000
112.14,112.61,112.72,112.07,97629,1657825200000
112.3,113.25,113.59,112.3,36972,1657893600000
113.31,113.23,113.535,113.085,22913,1657897200000
113.27,113.29,113.44,113.04,17968,1657900800000
113.305,113.13,113.63,113.03,23029,1657904400000
113.139,113.325,113.59,113.139,25067,1657908000000
113.38,113.66,113.69,113.3,118245,1657911600000
113.99,114.75,114.91,113.525,20341,1658152800000
114.66,115.05,115.115,114.395,19318,1658156400000
115.07,114.4,115.17,114.38,14376,1658160000000
114.43,113.48,114.56,113.48,27787,1658163600000
113.484,113.035,113.62,112.83,41243,1658167200000
113.04,112.94,113.6682,112.83,92449,1658170800000
116.84,116.71,117.19,116.23,30954,1658239200000
116.88,117.19,117.24,116.74,20968,1658242800000
117.26,117.49,117.49,117,26393,1658246400000
117.445,117.33,117.445,116.75,36763,1658250000000
117.43,117.54,117.69,117.21,33538,1658253600000
117.63,117.14,117.63,116.97,140161,1658257200000
116.56,117.46,117.745,116.56,28306,1658325600000
117.5309,117.44,118.03,117.225,21965,1658329200000
117.405,117.38,117.96,116.97,16869,1658332800000
117.49,117.715,117.95,117.22,27283,1658336400000
117.9,118.09,118.245,117.79,22752,1658340000000
118.16,118.52,119.01,118.145,87535,1658343600000
118.55,118.92,118.95,117.82,16358,1658412000000
118.85,118.79,119,118.3,15245,1658415600000
118.84,119.53,119.53,118.84,16133,1658419200000
119.49,119.585,119.635,119.09,16088,1658422800000
119.64,119.78,120.12,119.56,45107,1658426400000
119.74,120.47,120.58,119.63,79704,1658430000000
119.97,121.35,121.36,119.91,23270,1658498400000
121.5,120.61,121.62,120.31,26670,1658502000000
120.78,120.63,120.995,120.495,19554,1658505600000
120.48,119.86,120.5,119.485,20189,1658509200000
119.78,119.71,119.84,119.37,20042,1658512800000
119.7,119.515,119.91,119.2417,96507,1658516400000
119.96,120.235,120.66,119.895,25103,1658757600000
120.3,120.54,120.54,119.91,9133,1658761200000
120.44,120,120.48,119.86,14332,1658764800000
120.15,119.85,120.28,119.79,13422,1658768400000
119.84,119.62,119.88,119.58,21379,1658772000000
119.65,120.17,120.25,119.28,62883,1658775600000
120.18,120.685,120.79,120.18,17845,1658844000000
120.74,119.69,120.75,119.64,21466,1658847600000
119.65,120.14,120.16,119.55,11746,1658851200000
120.1,120.01,120.41,119.95,16461,1658854800000
119.995,119.92,120.3,119.76,21118,1658858400000
119.91,120.19,120.29,119.595,69365,1658862000000
121.14,122,122.04,121.125,21082,1658930400000
121.99,121.88,122.15,121.72,22314,1658934000000
121.87,121.9922,122.16,121.81,21647,1658937600000
121.86,121.95,122.075,121.83,14691,1658941200000
122.1,123.04,123.42,121.875,42759,1658944800000
123.09,123.04,124.02,123.04,79788,1658948400000
123.9,123.75,124.105,123.095,21840,1659016800000
123.64,124.176,124.58,123.52,23949,1659020400000
124.22,124.5,124.685,124.2,18477,1659024000000
124.495,125.16,125.4,124.3753,25807,1659027600000
125.13,125.2,125.37,124.96,31037,1659031200000
125.15,125.25,125.45,124.95,78137,1659034800000
126.74,127.29,127.49,126.45,41214,1659103200000
127.28,127.31,127.49,126.58,41319,1659106800000
127.26,127.37,127.405,126.975,35877,1659110400000
127.3,127.89,127.97,127.27,43733,1659114000000
127.79,128.05,128.05,127.71,47331,1659117600000
128.05,128.18,128.74,128.035,186251,1659121200000
127.91,128.87,128.87,127.21,23113,1659362400000
128.82,128.28,129.05,127.97,22929,1659366000000
128.3,128.88,129.56,128.3,26524,1659369600000
128.93,128.23,129.075,128.23,20543,1659373200000
128.22,128.71,128.83,128.005,32503,1659376800000
128.63,128.04,128.72,127.86,83775,1659380400000
126.48,126.59,126.93,125.645,61550,1659448800000
126.58,126.7,126.825,126.27,39170,1659452400000
126.62,126.91,127.01,126.48,48493,1659456000000
126.84,125.995,126.915,125.93,34293,1659459600000
125.94,126.545,126.83,125.89,43840,1659463200000
126.59,125.67,126.64,125.62,152566,1659466800000
125.56,125.34,126.12,125.315,33376,1659535200000
125.51,126.34,126.74,125.32,30107,1659538800000
126.43,126.855,126.87,126.14,28078,1659542400000
126.855,126.985,127.24,126.855,31696,1659546000000
126.83,127.49,127.64,126.83,33724,1659549600000
127.46,126.9,127.62,126.73,125193,1659553200000
121.12,119.99,121.12,119.61,93598,1659621600000
119.985,119.01,120.46,118.86,73923,1659625200000
