o,c,h,l,v,t
13.6,13.9631,14,13.57,15916,1657720800000
14.13,14.05,14.13,13.97,12499,1657724400000
14.02,14.03,14.0507,13.96,15900,1657728000000
14.04,14.06,14.06,13.94,6368,1657731600000
14.02,13.89,14.02,13.89,7396,1657735200000
13.89,13.89,13.9046,13.83,1721,1657738800000
13.355,13.31,13.52,13.1701,9564,1657807200000
13.37,13.48,13.5,13.2801,6103,1657810800000
13.4245,13.2407,13.4245,13.2407,23156,1657814400000
13.245,13.235,13.29,13.2,9432,1657818000000
13.19,13.27,13.3691,13.19,16760,1657821600000
13.25,13.3,13.31,13.18,20038,1657825200000
13.1299,13.135,13.16,13.04,3944,1657893600000
13.14,13.3299,13.3299,13.14,4603,1657897200000
13.3,13.2062,13.3,13.2062,9878,1657900800000
13.23,13.24,13.25,13.23,897,1657904400000
13.22,13.2,13.25,13.2,34086,1657908000000
13.2,13.27,13.29,13.184,11883,1657911600000
13.6001,13.68,13.68,13.5917,4253,1658152800000
13.7001,13.5718,13.735,13.5718,11338,1658156400000
13.65,13.72,13.72,13.6383,3256,1658160000000
13.72,13.66,13.785,13.66,8778,1658163600000
13.59,13.52,13.59,13.49,20850,1658167200000
13.47,13.42,13.479,13.39,3151,1658170800000
13.6534,13.4576,13.6534,13.4576,1932,1658239200000
13.6,13.695,13.7199,13.5999,11550,1658242800000
13.7199,13.625,13.7199,13.6,10756,1658246400000
13.63,13.55,13.63,13.55,991,1658250000000
13.6082,13.58,13.6403,13.56,5290,1658253600000
13.61,13.615,13.63,13.59,9868,1658257200000
13.4745,13.55,13.6049,13.46,7009,1658325600000
13.55,13.608,13.61,13.4817,17487,1658329200000
13.63,13.58,13.63,13.5601,22833,1658332800000
13.565,13.4733,13.565,13.4601,8916,1658336400000
13.5,13.465,13.51,13.46,5890,1658340000000
13.4678,13.44,13.493,13.41,20185,1658343600000
13.6752,13.786,13.786,13.53,5978,1658412000000
13.7999,13.7867,13.87,13.7,12710,1658415600000
13.765,13.79,13.8,13.7555,4822,1658419200000
13.8,13.76,13.8979,13.7242,5973,1658422800000
13.7941,13.7,13.7941,13.685,10440,1658426400000
13.75,13.81,13.8599,13.67,10672,1658430000000
14.23,14.23,14.36,14.23,2486,1658498400000
14.2671,14.26,14.3,14.26,5002,1658502000000
14.07,14.0099,14.07,14.0099,487,1658505600000
13.9,13.885,13.9699,13.79,12287,1658509200000
13.86,13.83,13.905,13.765,11451,1658512800000
13.885,13.76,13.9,13.76,8576,1658516400000
13.55,13.675,13.675,13.5001,6515,1658757600000
13.64,13.62,13.775,13.62,8073,1658761200000
13.68,13.7138,13.7138,13.6147,3389,1658764800000
13.63,13.6799,13.7,13.6,16264,1658768400000
13.64,13.56,13.655,13.54,18959,1658772000000
13.55,13.58,13.6399,13.54,18521,1658775600000
13.8001,13.74,13.8001,13.68,9320,1658844000000
13.68,13.71,13.7599,13.63,6991,1658847600000
13.695,13.688,13.7,13.66,5031,1658851200000
13.69,13.64,13.7014,13.62,15220,1658854800000
13.65,13.66,13.6999,13.62,5893,1658858400000
13.66,13.74,13.7409,13.655,9268,1658862000000
13.6599,13.69,13.69,13.58,3822,1658930400000
13.6835,13.9,13.9,13.6835,4816,1658934000000
13.86,13.855,13.8891,13.855,750,1658937600000
13.86,13.915,13.92,13.82,3939,1658941200000
13.915,14.0975,14.1599,13.8401,14133,1658944800000
14.1892,14.25,14.2501,14.12,27029,1658948400000
14.615,14.685,14.685,14.4701,16518,1659016800000
14.6792,14.81,14.99,14.59,16450,1659020400000
14.7701,14.9001,14.9299,14.7701,4601,1659024000000
14.93,14.86,14.93,14.84,3870,1659027600000
14.8987,14.7818,14.8987,14.7809,4665,1659031200000
14.81,14.79,14.87,14.692,11698,1659034800000
14.975,15.065,15.065,14.975,3741,1659103200000
15.07,15.13,15.2351,15.0699,3078,1659106800000
15.105,15.15,15.15,15.0944,1618,1659110400000
15.1083,15.21,15.21,15.087,2396,1659114000000
15.23,15.1,15.23,15.1,1500,1659117600000
15.145,15.09,15.23,15.09,10964,1659121200000
15.16,15.1299,15.16,14.928,5789,1659362400000
15.1,15.1317,15.17,15.06,4870,1659366000000
15.165,15.1221,15.2124,15.055,4000,1659369600000
15.16,15.1,15.1694,15,1834,1659373200000
15.025,15.03,15.0526,15,13216,1659376800000
15.025,15.09,15.1159,15.015,7935,1659380400000
15.17,15.35,15.49,15.17,9791,1659448800000
15.34,15.3223,15.37,15.3101,3199,1659452400000
15.35,15.36,15.38,15.24,1292,1659456000000
15.41,15.1701,15.455,15.1701,2481,1659459600000
15.12,15.14,15.18,15.12,1401,1659463200000
15.0917,14.85,15.0917,14.85,12098,1659466800000
14.825,14.815,14.9216,14.72,4158,1659535200000
14.7,14.64,14.738,14.6,19497,1659538800000
14.64,14.5956,14.64,14.5956,5988,1659542400000
14.605,14.66,14.66,14.605,2241,1659546000000
14.69,14.665,14.69,14.66,993,1659549600000
14.68,14.75,14.75,14.68,6876,1659553200000
