o,c,h,l,v,t
18.04,17.96,18.07,17.875,159230,1657720800000
17.97,17.935,18.03,17.875,97571,1657724400000
17.94,18.03,18.05,17.91,113629,1657728000000
18.03,18,18.08,17.96,84452,1657731600000
17.99,18.145,18.145,17.9,148241,1657735200000
18.145,18,18.15,17.995,288427,1657738800000
17.62,17.54,17.6928,17.51,190965,1657807200000
17.56,17.64,17.67,17.52,113580,1657810800000
17.65,17.48,17.65,17.45,111704,1657814400000
17.485,17.55,17.57,17.45,74645,1657818000000
17.55,17.655,17.69,17.54,85910,1657821600000
17.66,17.63,17.71,17.6,333053,1657825200000
17.965,18.265,18.33,17.965,264475,1657893600000
18.26,18.335,18.35,18.26,143427,1657897200000
18.335,18.285,18.375,18.275,90543,1657900800000
18.29,18.36,18.395,18.27,138823,1657904400000
18.355,18.35,18.38,18.33,172059,1657908000000
18.35,18.27,18.365,18.24,315318,1657911600000
18.7,18.7701,18.81,18.61,165340,1658152800000
18.78,18.795,18.795,18.715,116190,1658156400000
18.795,18.7,18.8091,18.685,141336,1658160000000
18.71,18.66,18.75,18.645,108953,1658163600000
18.66,18.625,18.67,18.57,122892,1658167200000
18.62,18.57,18.7,18.545,420718,1658170800000
18.97,19.1,19.2,18.96,105201,1658239200000
19.11,19.145,19.15,19.08,50321,1658242800000
19.14,19.175,19.205,19.095,71207,1658246400000
19.18,19.215,19.22,19.13,74236,1658250000000
19.22,19.195,19.25,19.16,91019,1658253600000
19.195,19.17,19.24,19.15,225659,1658257200000
19.04,19.165,19.185,19.01,130982,1658325600000
19.155,19.145,19.2,19.06,92915,1658329200000
19.15,19.06,19.19,19.025,55974,1658332800000
19.06,19.05,19.13,18.985,81927,1658336400000
19.06,19.15,19.18,19.06,98680,1658340000000
19.14,19.26,19.295,19.14,299861,1658343600000
19.18,19.08,19.18,18.87,121800,1658412000000
19.07,19.15,19.18,18.95,239728,1658415600000
19.14,19.229,19.29,19.135,148595,1658419200000
19.225,19.18,19.25,19.1425,110836,1658422800000
19.185,19.065,19.23,19.055,161716,1658426400000
19.07,19.3,19.3,19.07,347949,1658430000000
20.14,20.205,20.27,20.01,392286,1658498400000
20.205,20.07,20.35,20.06,186648,1658502000000
20.09,19.908,20.1,19.84,170677,1658505600000
19.9,19.785,19.92,19.74,215958,1658509200000
19.79,19.63,19.81,19.62,278363,1658512800000
19.61,19.81,19.83,19.58,539985,1658516400000
20.21,20.14,20.3,20.09,181992,1658757600000
20.13,20.205,20.21,20.07,111832,1658761200000
20.2,20.13,20.2,20.055,124649,1658764800000
20.125,20.09,20.14,20.05,123465,1658768400000
20.1,20.085,20.14,20.07,131199,1658772000000
20.08,20.215,20.24,20.05,491900,1658775600000
20.02,20.215,20.225,19.995,100286,1658844000000
20.215,19.93,20.24,19.93,185822,1658847600000
19.925,19.965,19.97,19.855,146280,1658851200000
19.96,19.95,20,19.94,123872,1658854800000
19.95,19.94,20.02,19.895,116429,1658858400000
19.93,20.005,20.02,19.885,388516,1658862000000
20.05,20.08,20.125,19.995,111946,1658930400000
20.08,20.045,20.11,20.025,154028,1658934000000
20.04,19.95,20.045,19.95,155884,1658937600000
19.96,19.97,20.02,19.89,172766,1658941200000
19.98,20.2,20.255,19.96,166135,1658944800000
20.21,20.32,20.36,20.19,423972,1658948400000
20.12,19.915,20.13,19.81,241423,1659016800000
19.915,19.96,20.015,19.86,105537,1659020400000
19.965,19.915,19.99,19.87,81683,1659024000000
19.915,19.91,19.93,19.86,83089,1659027600000
19.9,19.86,19.91,19.85,116001,1659031200000
19.865,19.83,19.935,19.8,379731,1659034800000
20.02,19.97,20.05,19.91,112489,1659103200000
19.97,19.92,19.995,19.861,167763,1659106800000
19.915,19.915,19.94,19.84,93954,1659110400000
19.915,19.955,19.97,19.89,59976,1659114000000
19.96,20.06,20.07,19.94,105881,1659117600000
20.07,20.1,20.1275,20.06,284346,1659121200000
20.08,20.08,20.16,19.94,177392,1659362400000
20.08,19.97,20.1,19.965,108376,1659366000000
19.97,20.1,20.13,19.965,107164,1659369600000
20.095,20.04,20.12,20,97308,1659373200000
20.03,20.17,20.195,20.01,130408,1659376800000
20.18,20.16,20.25,20.12,287055,1659380400000
19.9975,19.965,20.025,19.87,108490,1659448800000
19.96,20.04,20.09,19.96,87923,1659452400000
20.035,20.145,20.155,20.03,80641,1659456000000
20.14,19.955,20.155,19.94,80245,1659459600000
19.955,20.015,20.05,19.945,90878,1659463200000
20.02,19.86,20.02,19.86,331342,1659466800000
19.95,19.975,20.06,19.9,137692,1659535200000
19.98,20.01,20.045,19.96,161406,1659538800000
20.02,20.145,20.15,19.98,139296,1659542400000
20.15,20.245,20.26,20.145,109944,1659546000000
20.24,20.305,20.31,20.185,209223,1659549600000
20.295,20.21,20.33,20.19,329645,1659553200000
20.005,19.89,20.01,19.86,148369,1659621600000
19.885,19.85,19.93,19.8,60135,1659625200000
19.86,19.875,19.88,19.835,76188,1659628800000
19.88,19.865,19.905,19.85,64832,1659632400000
19.865,19.87,19.88,19.815,103940,1659636000000
19.86,19.94,19.95,19.85,280577,1659639600000
20.12,20.18,20.205,20.105,120926,1659708000000
20.175,20.11,20.205,20.1,158183,1659711600000
20.11,20.32,20.32,20.11,90154,1659715200000
20.31,20.285,20.35,20.26,67210,1659718800000
20.285,20.32,20.335,20.25,86291,1659722400000
20.325,20.34,20.37,20.295,232315,1659726000000
20.38,20.4,20.46,20.345,111874,1659967200000
20.41,20.38,20.445,20.31,92982,1659970800000
20.385,20.33,20.4,20.26,73317,1659974400000
20.32,20.33,20.365,20.3,66756,1659978000000
20.33,20.265,20.35,20.23,87112,1659981600000
20.27,20.3,20.395,20.25,260358,1659985200000
20.225,20.265,20.295,20.215,86642,1660053600000
20.26,20.285,20.32,20.225,53455,1660057200000
20.28,20.33,20.335,20.27,59074,1660060800000
20.335,20.275,20.345,20.245,77190,1660064400000
20.28,20.26,20.285,20.23,66065,1660068000000
20.255,20.38,20.38,20.175,265261,1660071600000
20.76,20.85,20.86,20.7,101175,1660140000000
20.85,20.855,20.88,20.795,86942,1660143600000
20.86,20.87,20.91,20.86,64747,1660147200000
20.87,20.89,20.91,20.835,96400,1660150800000
20.88,20.875,20.91,20.855,151244,1660154400000
20.875,20.82,20.895,20.81,323458,1660158000000
21,21.025,21.095,20.995,240187,1660226400000
21.02,20.97,21.03,20.935,98769,1660230000000
20.97,20.975,20.985,20.91,162822,1660233600000
20.98,20.985,21.01,20.95,134706,1660237200000
20.985,20.96,21.02,20.93,120702,1660240800000
20.96,21.01,21.03,20.945,234616,1660244400000
21.03,21.085,21.1,20.99,120549,1660312800000
21.08,21.21,21.26,21.07,98178,1660316400000
21.2,21.215,21.24,21.185,101413,1660320000000
21.22,21.24,21.245,21.2,126833,1660323600000
21.24,21.3,21.315,21.24,83501,1660327200000
21.305,21.38,21.39,21.27,267912,1660330800000
21.255,21.23,21.305,21.185,138195,1660572000000
21.24,21.385,21.4,21.235,102453,1660575600000
21.38,21.46,21.465,21.355,105401,1660579200000
21.46,21.475,21.49,21.42,127423,1660582800000
21.47,21.54,21.55,21.46,143586,1660586400000
21.54,21.5,21.54,21.455,317182,1660590000000
21.64,21.64,21.665,21.585,90782,1660658400000
21.64,21.785,21.795,21.635,78519,1660662000000
21.785,21.77,21.85,21.765,71591,1660665600000
21.775,21.87,21.88,21.765,72893,1660669200000
21.875,21.785,21.9,21.77,88184,1660672800000
21.78,21.85,21.88,21.745,244221,1660676400000
21.54,21.63,21.66,21.525,89045,1660744800000
21.63,21.52,21.665,21.52,81718,1660748400000
21.51,21.625,21.65,21.51,54557,1660752000000
21.625,21.67,21.67,21.6,72199,1660755600000
21.67,21.66,21.765,21.65,129678,1660759200000
21.66,21.685,21.705,21.605,225677,1660762800000
21.72,21.74,21.79,21.69,72083,1660831200000
21.74,21.73,21.77,21.695,60938,1660834800000
21.73,21.629,21.76,21.615,50883,1660838400000
21.63,21.67,21.71,21.62,47340,1660842000000
21.675,21.75,21.77,21.665,77464,1660845600000
21.76,21.87,21.87,21.76,250427,1660849200000
21.68,21.625,21.7,21.61,66789,1660917600000
21.62,21.61,21.62,21.535,70502,1660921200000
21.6,21.6,21.63,21.54,65993,1660924800000
21.6,21.545,21.6,21.51,62481,1660928400000
21.545,21.615,21.62,21.48,157561,1660932000000
21.615,21.81,21.885,21.61,1176270.0,1660935600000
21.285,21.17,21.295,21.11,160913,1661176800000
21.18,21.1803,21.255,21.145,142109,1661180400000
21.18,21.255,21.255,21.16,121782,1661184000000
21.255,21.125,21.255,21.115,107178,1661187600000
21.12,20.9994,21.12,20.98,166508,1661191200000
20.995,21.11,21.15,20.995,582753,1661194800000
21.2,21.175,21.25,21.17,88664,1661263200000
21.18,21.17,21.18,21.1,87561,1661266800000
21.165,21.145,21.175,21.095,79954,1661270400000
21.15,21.12,21.16,21.08,80230,1661274000000
21.115,21.105,21.145,21.09,93967,1661277600000
21.11,21.03,21.125,21.01,313232,1661281200000
20.89,20.94,20.97,20.88,73573,1661349600000
20.94,20.995,21.04,20.92,57555,1661353200000
21,20.915,21.04,20.905,49223,1661356800000
20.92,20.835,20.935,20.83,132673,1661360400000
20.84,20.89,20.905,20.82,167528,1661364000000
20.895,20.83,20.95,20.81,401744,1661367600000
21.09,21.17,21.235,21.07,120615,1661436000000
21.175,21.16,21.195,21.125,88977,1661439600000
21.17,21.085,21.17,21.04,71001,1661443200000
21.08,21.11,21.125,21.06,60935,1661446800000
21.105,21.055,21.12,21.05,71999,1661450400000
21.055,21.2,21.22,21.05,207156,1661454000000
