o,c,h,l,v,t
6.84,6.9389,6.95,6.74,32747,1657720800000
6.92,6.87,6.96,6.83,20354,1657724400000
6.87,6.96,6.96,6.87,26180,1657728000000
6.96,6.96,6.99,6.91,27818,1657731600000
6.96,6.93,6.96,6.91,38662,1657735200000
6.94,6.92,6.94,6.89,40809,1657738800000
6.66,6.75,6.77,6.57,85376,1657807200000
6.755,6.78,6.83,6.74,69362,1657810800000
6.78,6.755,6.795,6.745,51447,1657814400000
6.76,6.79,6.805,6.74,25080,1657818000000
6.79,6.815,6.84,6.77,44436,1657821600000
6.82,6.87,6.88,6.7908,68537,1657825200000
6.91,6.895,6.93,6.84,33339,1657893600000
6.89,6.895,6.94,6.82,59167,1657897200000
6.9,6.955,6.96,6.9,37921,1657900800000
6.96,6.955,7,6.951,26340,1657904400000
6.95,6.99,7.005,6.91,38267,1657908000000
7,7.02,7.06,6.985,150374,1657911600000
7.22,7.3,7.33,7.2,44898,1658152800000
7.3,7.28,7.34,7.27,32896,1658156400000
7.28,7.28,7.32,7.25,52108,1658160000000
7.29,7.27,7.35,7.245,54809,1658163600000
7.26,7.26,7.275,7.19,61560,1658167200000
7.265,7.27,7.305,7.23,124590,1658170800000
8.05,7.895,8.133,7.88,192519,1658239200000
7.89,7.995,8,7.88,80282,1658242800000
7.9906,7.97,8,7.87,79428,1658246400000
7.97,7.995,8,7.965,102093,1658250000000
7.99,7.9806,8.01,7.96,94947,1658253600000
7.9885,7.995,8,7.975,231857,1658257200000
7.98,7.99,8.05,7.915,114498,1658325600000
7.98,7.98,8.02,7.91,74302,1658329200000
7.97,7.98,8.02,7.9233,39240,1658332800000
7.98,7.96,8.01,7.95,52458,1658336400000
7.96,8.12,8.12,7.92,80913,1658340000000
8.12,8.22,8.26,8.12,160790,1658343600000
8.2239,8.13,8.26,7.9032,85025,1658412000000
8.11,8.07,8.13,7.99,40760,1658415600000
8.0702,8.08,8.09,7.97,36285,1658419200000
8.08,8.06,8.12,8.05,23852,1658422800000
8.06,8.13,8.15,8.05,25966,1658426400000
8.14,8.22,8.22,8.1,106509,1658430000000
8.12,8.17,8.231,8.115,44839,1658498400000
8.15,8.05,8.2,8.03,41729,1658502000000
8.05,8.005,8.06,7.96,67416,1658505600000
7.99,7.84,7.99,7.84,31226,1658509200000
7.85,7.795,7.86,7.74,54541,1658512800000
7.81,7.835,7.84,7.75,77560,1658516400000
8.0401,8.1097,8.1501,7.96,49294,1658757600000
8.11,8.05,8.135,8.05,33678,1658761200000
8.06,8.105,8.105,7.93,76252,1658764800000
8.1,8.075,8.11,8.06,28932,1658768400000
8.07,8.0901,8.11,8.04,51502,1658772000000
8.1,8.07,8.11,8.02,114127,1658775600000
8.33,8.21,8.33,8.17,52552,1658844000000
8.225,8.14,8.225,8.1018,37311,1658847600000
8.15,8.2,8.25,8.1273,42019,1658851200000
8.19,8.28,8.29,8.19,27818,1658854800000
8.28,8.33,8.34,8.275,69523,1658858400000
8.3299,8.47,8.53,8.3202,212089,1658862000000
8.305,8.36,8.4282,8.3,84988,1658930400000
8.375,8.22,8.375,8.185,83806,1658934000000
8.2118,8.33,8.38,8.2118,59925,1658937600000
8.33,8.4106,8.5,8.31,162592,1658941200000
8.43,8.41,8.5,8.41,44443,1658944800000
8.41,8.45,8.51,8.4,149407,1658948400000
8.16,7.9755,8.2379,7.95,175606,1659016800000
7.97,8.095,8.12,7.9201,91909,1659020400000
8.09,8.29,8.29,8,118403,1659024000000
8.29,8.355,8.355,8.27,68048,1659027600000
8.35,8.31,8.405,8.25,71276,1659031200000
8.31,8.32,8.39,8.27,175724,1659034800000
8.413,8.3499,8.46,8.28,138374,1659103200000
8.3499,8.3796,8.43,8.32,79617,1659106800000
8.37,8.32,8.41,8.31,67664,1659110400000
8.32,8.29,8.33,8.28,44775,1659114000000
8.29,8.21,8.34,8.21,102946,1659117600000
8.22,8.15,8.23,8.11,203331,1659121200000
8.595,8.45,8.605,8.32,387385,1659362400000
8.47,8.5273,8.555,8.41,105701,1659366000000
8.53,8.595,8.6644,8.51,105288,1659369600000
