o,c,h,l,v,t
5.8628,5.91,5.95,5.85,17636,1657720800000
5.9431,5.9101,5.97,5.9,17272,1657724400000
5.928,5.935,5.95,5.91,9701,1657728000000
5.9338,5.9505,5.9767,5.9338,11154,1657731600000
5.9451,5.94,5.9696,5.93,17223,1657735200000
5.945,5.93,5.9661,5.9001,22286,1657738800000
5.84,5.8021,5.84,5.8001,16439,1657807200000
5.81,5.86,5.87,5.81,16874,1657810800000
5.87,5.8297,5.88,5.82,13445,1657814400000
5.8281,5.82,5.8281,5.8,17781,1657818000000
5.82,5.86,5.87,5.82,7728,1657821600000
5.86,5.85,5.8667,5.845,8700,1657825200000
5.93,5.98,5.98,5.93,10596,1657893600000
5.965,6.02,6.02,5.965,9924,1657897200000
6.01,6.01,6.02,6.0001,2554,1657900800000
6.005,5.9973,6.01,5.995,7231,1657904400000
5.992,5.9974,6,5.99,9268,1657908000000
5.985,6.01,6.01,5.98,17091,1657911600000
6.0501,6.09,6.1295,6.0501,45732,1658152800000
6.08,6.0999,6.1,6.0601,11779,1658156400000
6.0908,6.08,6.0908,6.075,9969,1658160000000
6.07,6.03,6.08,6.03,28101,1658163600000
6.0329,6.01,6.04,6,11643,1658167200000
6,5.98,6.005,5.95,27130,1658170800000
6.0389,6.05,6.06,6.02,17935,1658239200000
6.07,6.08,6.0993,6.06,20702,1658242800000
6.08,6.08,6.12,6.075,54540,1658246400000
6.08,6.1,6.1,6.08,10729,1658250000000
6.1,6.06,6.11,6.06,16707,1658253600000
6.06,6.07,6.07,6.04,24893,1658257200000
6.08,6.16,6.18,6.08,21446,1658325600000
6.16,6.17,6.17,6.14,18633,1658329200000
6.16,6.1302,6.165,6.13,16082,1658332800000
6.141,6.1,6.141,6.1,23138,1658336400000
6.1,6.12,6.13,6.1,9822,1658340000000
6.12,6.16,6.16,6.1,29812,1658343600000
6.09,6.05,6.11,6.02,11856,1658412000000
6.0338,6.04,6.078,6.0338,9438,1658415600000
6.04,6.075,6.0999,6.04,10823,1658419200000
6.06,6.05,6.086,6.04,7334,1658422800000
6.04,6.04,6.0866,6.04,16036,1658426400000
6.06,6.11,6.11,6.04,27714,1658430000000
6.0978,6.12,6.12,6.09,20552,1658498400000
6.12,6.12,6.12,6.0989,14910,1658502000000
6.12,6.1,6.13,6.1,7139,1658505600000
6.1,6.095,6.11,6.09,5025,1658509200000
