o,c,h,l,v,t
90.59,91.58,91.59,90.44,25012,1657720800000
91.52,91.05,91.7,90.91,19002,1657724400000
91.125,91.32,91.48,90.94,22805,1657728000000
91.41,91.25,91.6,91.065,15654,1657731600000
91.25,91.91,91.91,90.9,35402,1657735200000
91.83,91.69,91.83,91.41,85552,1657738800000
89.62,89.325,89.95,89.325,13295,1657807200000
89.38,90.075,90.168,89.33,17007,1657810800000
90.105,89.51,90.105,89.32,14565,1657814400000
89.47,90.25,90.25,89.41,19611,1657818000000
90.38,90.8,91.01,90.29,16840,1657821600000
90.82,90.21,90.91,90.09,76438,1657825200000
90.7,90.6,90.91,90.19,35512,1657893600000
90.6,91.2,91.51,90.51,14393,1657897200000
91.225,91.6825,91.85,91.15,19811,1657900800000
92.01,91.27,92.04,91.27,13329,1657904400000
91.38,91.19,91.55,91.06,23704,1657908000000
91.085,91.66,91.75,91.065,59832,1657911600000
92.9,93.11,93.3973,92.87,15264,1658152800000
93.16,93.34,93.34,92.895,12719,1658156400000
93.4077,92.84,93.5033,92.84,15869,1658160000000
93.01,92.07,93.01,92.07,11801,1658163600000
91.95,91.62,92.06,91.53,16426,1658167200000
91.55,90.76,91.66,90.62,57293,1658170800000
92.79,92.89,92.95,92.32,18593,1658239200000
92.88,93.25,93.41,92.87,16072,1658242800000
93.25,93.015,93.255,92.915,11585,1658246400000
92.97,93.78,93.78,92.88,13531,1658250000000
93.83,93.65,94.08,93.62,13865,1658253600000
93.695,93.55,93.876,93.47,55126,1658257200000
93.665,95.21,95.24,93.635,13587,1658325600000
95.3,95.81,95.81,95.24,11601,1658329200000
95.76,95.67,96.045,95.4,14036,1658332800000
95.61,95.25,95.71,95.2425,12338,1658336400000
95.23,95.61,95.78,95.15,13562,1658340000000
95.785,96.07,96.36,95.77,61156,1658343600000
96.1,95.68,96.1,94.88,10796,1658412000000
95.84,95.94,96.05,95.17,9350,1658415600000
95.96,96.29,96.415,95.88,7481,1658419200000
