o,c,h,l,v,t
98.02,98.04,98.25,97.58,30909,1657720800000
98.095,98.27,99.555,98.095,86287,1657724400000
98.38,98.81,98.92,98.315,14301,1657728000000
98.78,99.02,99.32,98.78,21046,1657731600000
98.99,98.74,98.99,98.2549,34368,1657735200000
98.78,98.57,98.84,98.37,71350,1657738800000
96.97,96.76,97.01,96.18,20923,1657807200000
96.95,97.29,97.41,96.64,16684,1657810800000
97.21,96.54,97.28,96.41,20810,1657814400000
96.48,97.03,97.045,96.37,14898,1657818000000
96.96,97.52,97.56,96.92,12993,1657821600000
97.47,97.42,97.49,97.11,52851,1657825200000
97.15,98.26,98.825,97.15,35848,1657893600000
98.348,98.98,99.02,98.27,10849,1657897200000
98.95,99.015,99.275,98.77,6961,1657900800000
98.91,98.515,99.2664,98.515,10654,1657904400000
98.48,98.65,98.9,98.48,12415,1657908000000
98.585,98.76,99,98.53,70190,1657911600000
102.345,101.555,102.38,101.21,237387,1658152800000
101.555,101.86,102.02,101.47,77866,1658156400000
101.91,101.855,102.07,101.67,36664,1658160000000
101.865,101.17,101.865,101.17,60232,1658163600000
101.17,100.935,101.25,100.68,46599,1658167200000
100.95,100.72,101.17,100.28,101731,1658170800000
102.65,102.925,103.3,102.47,101996,1658239200000
102.96,102.56,103.02,102.2,33230,1658242800000
102.535,102.125,102.535,101.94,55840,1658246400000
102.15,102.14,102.45,102.03,40950,1658250000000
102.14,102.26,102.42,102.07,51949,1658253600000
102.32,102.25,102.649,102.14,216624,1658257200000
101.94,102.34,102.51,101.63,33885,1658325600000
102.27,102.4,102.67,101.98,39221,1658329200000
102.43,102.45,103.055,102.17,73459,1658332800000
102.38,102.145,102.49,102,46236,1658336400000
102.2,102.71,102.88,102.08,139236,1658340000000
102.79,103.51,103.9562,102.79,124738,1658343600000
102.9,103.165,103.1725,102.42,30297,1658412000000
103.11,103.18,103.515,102.71,90558,1658415600000
103.28,103.77,104.18,103.08,39616,1658419200000
103.75,103.69,103.96,103.37,84239,1658422800000
103.615,104.05,104.15,103.615,36704,1658426400000
104.085,105.07,105.22,104.085,141647,1658430000000
105.45,105.28,105.6,105.2,11585,1658498400000
105.2,104.92,105.56,104.63,16826,1658502000000
104.895,104.64,104.895,104.43,13123,1658505600000
104.59,104.775,104.95,104.395,19166,1658509200000
104.765,104.665,104.985,104.4815,28591,1658512800000
104.51,104.73,104.92,104.24,129233,1658516400000
104.93,105.455,105.97,104.93,40781,1658757600000
105.5,105.75,105.95,105.26,19539,1658761200000
105.65,105.27,105.75,105.17,22626,1658764800000
105.235,105.31,105.425,105.23,19745,1658768400000
105.31,105.14,105.31,104.885,24677,1658772000000
105.14,105.01,105.315,104.885,160937,1658775600000
104.68,105.37,105.52,104.56,43629,1658844000000
105.27,104.45,105.49,104.45,28932,1658847600000
104.49,104.82,105.04,104.45,24035,1658851200000
104.81,104.75,105.05,104.66,29617,1658854800000
104.77,104.58,104.97,104.38,45622,1658858400000
104.575,104.96,105.08,104.445,192567,1658862000000
103.065,101.09,103.42,100.84,135515,1658930400000
101.15,101.75,102.255,100.87,75912,1658934000000
101.71,101.06,101.77,100.77,77492,1658937600000
101.085,101.66,102.235,100.97,70115,1658941200000
101.77,102.08,102.3,100.76,126193,1658944800000
102.1275,102.26,102.77,102.0892,305860,1658948400000
102.36,101.305,102.43,100.72,110470,1659016800000
101.27,100.865,101.42,100.495,114957,1659020400000
100.93,101.195,101.355,100.59,82150,1659024000000
101.195,101.11,101.31,100.66,74375,1659027600000
101.17,101.495,101.555,101.015,181834,1659031200000
101.465,100.9,101.52,100.695,222918,1659034800000
101.93,101.13,101.95,100.94,53205,1659103200000
101.14,100.79,101.33,100.71,21560,1659106800000
100.82,101.03,101.15,100.51,27110,1659110400000
101.04,100.88,101.11,100.59,29293,1659114000000
100.88,100.62,100.97,100.535,31450,1659117600000
100.62,100.5,100.83,100.29,181530,1659121200000
99.81,99.38,100.83,98.08,85221,1659362400000
99.44,99.78,100.08,98.65,90396,1659366000000
99.835,101.095,101.095,99.72,55595,1659369600000
101.105,100.77,101.355,100.59,57993,1659373200000
100.825,101.51,101.51,100.61,46499,1659376800000
101.38,101.53,101.87,101.285,141659,1659380400000
100.375,100.26,100.595,99.08,54103,1659448800000
100.26,100.775,100.815,99.85,34837,1659452400000
100.85,101.41,101.47,100.85,19949,1659456000000
101.44,100.91,101.485,100.68,30184,1659459600000
100.91,100.72,101.25,100.67,57009,1659463200000
100.715,99.84,100.75,99.66,181144,1659466800000
99.68,99.78,100.295,99.28,45406,1659535200000
99.8,99.97,100.13,99.58,26253,1659538800000
100.01,100.3,100.35,99.87,25740,1659542400000
100.26,100.24,100.43,100.05,28775,1659546000000
100.24,100.64,100.78,100.23,30625,1659549600000
100.68,100.83,101,100.61,104132,1659553200000
101.425,101.34,101.51,100.73,47280,1659621600000
101.31,101.67,101.72,101.05,44970,1659625200000
101.69,101.55,101.93,101.49,18589,1659628800000
101.62,102.135,102.19,101.56,25095,1659632400000
102.13,102.03,102.35,101.95,36690,1659636000000
102,102.11,102.25,101.83,106908,1659639600000
102.555,102.595,103.35,102.48,22034,1659708000000
102.64,103.05,103.12,102.35,27049,1659711600000
103.11,103.56,103.61,103.11,24263,1659715200000
103.58,103.92,104.11,103.54,37477,1659718800000
103.84,103.46,104.12,103.44,48922,1659722400000
103.49,103.76,104.045,103.46,108021,1659726000000
103.885,103.55,104.05,103.34,56190,1659967200000
103.7,103.09,103.7,102.91,34024,1659970800000
103.115,103.175,103.23,102.65,39243,1659974400000
103.24,103.06,103.24,102.88,65439,1659978000000
103.05,103.1905,103.65,102.81,85690,1659981600000
103.16,103.72,103.8,102.99,205996,1659985200000
103.57,103.5,103.61,102.95,41002,1660053600000
103.405,103.245,103.545,103.07,17511,1660057200000
103.17,103.62,103.65,103.15,20069,1660060800000
103.64,103.2,103.65,103.14,34481,1660064400000
103.155,102.22,103.26,102.22,59066,1660068000000
102.175,102.65,102.69,101.875,109389,1660071600000
105.07,106.88,106.88,104.99,51163,1660140000000
106.87,106.47,107.03,106.34,58905,1660143600000
106.39,106.49,106.54,106.1,27342,1660147200000
106.39,106.33,106.68,106.17,24702,1660150800000
106.34,106.275,106.86,106.16,33613,1660154400000
106.21,106.42,106.5,105.88,108244,1660158000000
106.69,107.01,107.48,106.63,39829,1660226400000
106.97,106.05,106.98,105.95,28479,1660230000000
106.05,105.79,106.15,105.61,25435,1660233600000
105.87,106.485,106.98,105.87,43737,1660237200000
106.58,105.74,106.66,105.715,22756,1660240800000
105.655,105.175,105.78,105.12,80015,1660244400000
106.17,105.36,106.17,105.36,48087,1660312800000
105.27,105.935,106.08,105.27,55371,1660316400000
105.91,106.21,106.4,105.91,15635,1660320000000
106.2,106.11,106.415,106.08,14234,1660323600000
106.15,105.97,106.32,105.82,24663,1660327200000
105.97,106.4,106.51,105.96,92094,1660330800000
105.83,106.5,106.5,105.74,21355,1660572000000
106.51,107.155,107.39,106.51,17845,1660575600000
107.14,107.2,107.49,107,16045,1660579200000
107.15,106.7,107.19,106.7,11170,1660582800000
106.66,106.9721,106.9721,106.52,13296,1660586400000
107.04,107.1,107.17,106.8,58274,1660590000000
106.775,107.49,107.49,106.72,13600,1660658400000
107.705,107.829,107.95,107.7,8818,1660662000000
107.75,107.32,107.75,107.3,17471,1660665600000
107.34,107.72,107.76,107.27,30417,1660669200000
107.69,107.79,108.045,107.49,18978,1660672800000
107.69,108.08,108.13,107.64,70856,1660676400000
107.29,106.19,107.29,106.07,54818,1660744800000
106.195,105.735,106.38,105.64,31270,1660748400000
105.735,106.09,106.14,105.58,15709,1660752000000
106.12,106.42,106.48,106.06,16725,1660755600000
106.48,106.8,107.09,106.455,42452,1660759200000
106.775,106.91,107.445,106.71,97708,1660762800000
106.89,107.3,107.38,106.55,23042,1660831200000
107.39,107.98,108.11,107.14,18294,1660834800000
107.98,107.8716,108.03,107.68,17794,1660838400000
107.93,108.41,108.46,107.93,15795,1660842000000
108.42,108.6,108.7825,108.4,16475,1660845600000
108.62,108.38,108.77,108.27,72047,1660849200000
107.22,106.435,107.22,106.08,30827,1660917600000
106.37,106.39,106.565,106.15,13044,1660921200000
106.39,106.57,106.63,106.345,20724,1660924800000
106.56,106.26,106.56,106.07,14568,1660928400000
106.17,105.95,106.275,105.88,9696,1660932000000
105.93,105.96,106.295,105.91,51447,1660935600000
103.97,103.81,104.09,103.25,23752,1661176800000
103.88,103.915,104.17,103.77,19022,1661180400000
103.9,104.045,104.12,103.9,16410,1661184000000
103.98,103.36,104.03,103.355,24372,1661187600000
103.39,102.98,103.4,102.87,42911,1661191200000
102.96,102.95,103.4,102.88,119399,1661194800000
104.1942,104.26,104.43,103.59,31586,1661263200000
104.27,103.96,104.27,103.73,43576,1661266800000
103.94,103.96,103.96,103.5,25104,1661270400000
103.95,103.52,104.01,103.305,24191,1661274000000
103.48,103.71,103.8,103.32,27265,1661277600000
103.68,103.72,103.87,103.5075,73134,1661281200000
103.81,104.26,104.35,103.4,24139,1661349600000
104.32,104.525,105.03,104.32,24812,1661353200000
104.535,103.89,104.57,103.89,12347,1661356800000
103.75,103.505,103.94,103.26,20631,1661360400000
103.48,103.75,103.75,103.12,36827,1661364000000
103.82,103.69,104.17,103.66,90798,1661367600000
105.49,105.52,105.91,105.06,13957,1661436000000
105.58,105.24,105.58,105.18,18086,1661439600000
105.15,105.15,105.22,104.795,20850,1661443200000
105.19,105.68,105.77,105.09,15937,1661446800000
105.67,106.05,106.05,105.63,18711,1661450400000
106.02,106.6,106.64,105.86,72999,1661454000000
105.64,104.565,106.11,104.45,20212,1661522400000
104.63,104,104.67,103.8875,15640,1661526000000
103.94,103.84,104.11,103.71,6582,1661529600000
103.86,104.05,104.25,103.8,11948,1661533200000
104.15,103.73,104.15,103.67,12183,1661536800000
103.64,103.03,103.74,102.99,58730,1661540400000
102.86,102.84,103.7,102.36,19347,1661781600000
102.98,103.185,103.43,102.82,20196,1661785200000
103.215,103.71,103.71,103.08,36288,1661788800000
103.74,103.9,104.08,103.66,14538,1661792400000
103.84,103.74,103.96,103.38,22210,1661796000000
104.045,103.37,104.045,103.21,98405,1661799600000
103,102.775,103.24,102.195,20255,1661868000000
103.02,103.04,103.16,102.88,12252,1661871600000
103.02,102.795,103.2,102.69,9040,1661875200000
102.87,102.57,102.87,102.36,9040,1661878800000
102.61,102.61,102.755,102.49,8314,1661882400000
102.76,102.38,102.98,102.31,37745,1661886000000
101.985,102.065,102.4,101.46,17438,1661954400000
102.1,102.395,102.395,101.81,12654,1661958000000
102.36,102.01,102.36,101.92,14065,1661961600000
102.03,101.99,102.21,101.7,17120,1661965200000
102.11,101.84,102.21,101.69,55916,1661968800000
101.84,101.79,102.325,101.62,91989,1661972400000
100.455,100.085,100.84,99.69,25697,1662040800000
100.12,100.61,100.79,99.98,14192,1662044400000
100.58,100.04,100.7,99.905,10341,1662048000000
99.92,100.13,100.35,99.92,13668,1662051600000
100.05,100.37,100.53,99.86,245172,1662055200000
100.42,100.23,100.65,99.86,71309,1662058800000
101.055,102.345,102.59,100.85,26643,1662127200000
102.43,102.69,102.77,102.265,20885,1662130800000
102.74,102.175,102.99,102.06,33108,1662134400000
102.14,100.49,102.24,100.4,38013,1662138000000
100.49,100.22,100.59,100.16,15918,1662141600000
100.28,99.36,100.41,99.19,78978,1662145200000
99.87,99.77,100.06,99,50232,1662472800000
99.775,100.06,100.2,99.69,27403,1662476400000
100.09,99.64,100.09,99.28,20052,1662480000000
99.74,99.21,99.74,98.96,22150,1662483600000
99.38,99.125,99.61,99.04,21813,1662487200000
99.1,99.28,99.36,98.72,77918,1662490800000
100.69,101.3,101.39,100.4,24523,1662559200000
101.36,101.405,101.59,101.25,22639,1662562800000
101.455,101.6,101.81,101.075,11015,1662566400000
101.56,101.965,102.1,101.54,17600,1662570000000
102.02,102.455,102.455,101.95,14234,1662573600000
102.49,102.6,102.885,102.46,63810,1662577200000
101.13,102,102,100.995,29925,1662645600000
102.275,101.74,102.32,101.69,17105,1662649200000
101.72,101.66,101.72,100.98,13348,1662652800000
101.61,102.24,102.24,101.47,15867,1662656400000
102.275,102.07,102.65,102.01,30202,1662660000000
102.07,102.49,102.53,101.8,65620,1662663600000
102.59,102.75,103.46,102.59,39834,1662732000000
102.75,101.8,102.76,101.6,80535,1662735600000
101.77,101.805,101.92,101.41,33950,1662739200000
101.8,102.5,102.63,101.74,49118,1662742800000
