o,c,h,l,v,t
10.59,10.8,10.8,10.24,104140,1657720800000
10.81,10.71,10.93,10.643,39208,1657724400000
10.71,10.64,10.78,10.61,44679,1657728000000
10.63,10.735,10.74,10.55,33132,1657731600000
10.74,10.55,10.74,10.52,40880,1657735200000
10.56,10.51,10.58,10.345,112303,1657738800000
10.13,10,10.19,9.99,122028,1657807200000
10.01,10.114,10.122,9.9301,78909,1657810800000
10.12,9.88,10.15,9.84,81386,1657814400000
9.91,9.83,9.91,9.72,74544,1657818000000
9.84,9.89,9.95,9.8379,46084,1657821600000
9.89,9.83,9.94,9.81,220552,1657825200000
9.54,9.37,9.625,9.32,75080,1657893600000
9.34,9.49,9.49,9.29,64197,1657897200000
9.49,9.475,9.545,9.474,40537,1657900800000
9.47,9.485,9.49,9.37,52290,1657904400000
9.49,9.58,9.58,9.42,91611,1657908000000
9.56,9.6,9.695,9.49,339898,1657911600000
10.28,9.96,10.28,9.88,47992,1658152800000
9.96,9.8,9.97,9.75,78723,1658156400000
9.81,9.83,10.08,9.81,60831,1658160000000
9.84,9.6404,9.88,9.6288,58415,1658163600000
9.65,9.6,9.79,9.59,124272,1658167200000
9.6199,9.7,9.72,9.51,181733,1658170800000
10.11,10.46,10.48,9.92,111356,1658239200000
10.46,10.54,10.597,10.35,86398,1658242800000
10.54,10.565,10.58,10.45,121702,1658246400000
10.565,10.64,10.68,10.5,69805,1658250000000
10.64,10.47,10.7,10.45,84898,1658253600000
10.47,10.69,10.7,10.47,224507,1658257200000
10.6901,11.005,11.04,10.63,99405,1658325600000
10.99,10.96,11.1,10.94,45524,1658329200000
10.94,10.76,10.99,10.72,81172,1658332800000
10.765,10.71,10.83,10.63,34832,1658336400000
10.72,10.81,10.9,10.72,53773,1658340000000
10.8101,10.93,10.9925,10.8,179062,1658343600000
11.22,11.125,11.24,10.79,102250,1658412000000
11.12,11.14,11.23,11.04,75753,1658415600000
11.125,11.05,11.205,11,67879,1658419200000
11.04,10.815,11.05,10.78,34990,1658422800000
10.81,10.75,10.83,10.69,52280,1658426400000
10.74,10.9,10.9,10.71,102872,1658430000000
10.54,10.49,10.6199,10.36,64645,1658498400000
10.52,10.26,10.55,10.195,48853,1658502000000
10.26,10.25,10.29,10.14,39255,1658505600000
10.24,10.32,10.33,10.18,57604,1658509200000
10.32,10.325,10.35,10.195,54092,1658512800000
10.31,10.25,10.39,10.23,117099,1658516400000
10.24,10.48,10.535,10.22,45237,1658757600000
10.47,10.44,10.62,10.41,45825,1658761200000
10.43,10.5,10.5,10.34,40614,1658764800000
10.495,10.32,10.5,10.32,22786,1658768400000
10.3,10.265,10.36,10.26,28194,1658772000000
10.26,10.5,10.52,10.255,95670,1658775600000
10.255,10.2,10.32,10.01,133241,1658844000000
10.17,10.1,10.21,10.05,90346,1658847600000
10.09,10.14,10.18,10.09,39637,1658851200000
10.13,10.155,10.23,10.08,37633,1658854800000
10.155,10.09,10.2,10.06,45214,1658858400000
10.085,10.13,10.2,10.025,187711,1658862000000
10.49,10.33,10.645,10.32,86649,1658930400000
10.37,10.386,10.42,10.31,56538,1658934000000
10.4,10.83,10.83,10.3999,72396,1658937600000
10.82,10.815,10.87,10.66,44799,1658941200000
10.815,11.07,11.16,10.78,165538,1658944800000
11.1,11.23,11.35,11.07,197921,1658948400000
11.98,12.17,12.24,11.58,189587,1659016800000
12.18,12.385,12.48,11.95,188763,1659020400000
12.35,12.36,12.43,12.17,119082,1659024000000
12.34,12.2427,12.405,12.06,113432,1659027600000
12.26,12.18,12.27,12.12,110953,1659031200000
12.18,12.145,12.37,12.14,274389,1659034800000
12.62,12.69,12.92,12.57,126633,1659103200000
12.69,12.58,12.73,12.525,85447,1659106800000
12.64,12.63,12.7,12.56,64791,1659110400000
12.635,12.76,12.78,12.61,58206,1659114000000
12.75,12.9,12.97,12.73,120204,1659117600000
12.9,13.08,13.28,12.805,275707,1659121200000
12.33,12.7995,12.84,12.33,129523,1659362400000
12.8,12.855,12.9,12.65,72410,1659366000000
12.83,12.97,13.04,12.77,64914,1659369600000
12.97,12.81,13,12.745,64123,1659373200000
12.805,13.01,13.01,12.76,77715,1659376800000
13.01,13,13.09,12.96,255418,1659380400000
13.42,13.895,14.09,13.33,141241,1659448800000
13.89,14.46,14.49,13.64,122123,1659452400000
14.46,14.815,14.951,14.46,146554,1659456000000
14.805,14.73,14.86,14.49,113190,1659459600000
14.73,14.705,14.91,14.69,95084,1659463200000
14.7,14.62,14.74,14.54,266398,1659466800000
14.27,14.245,14.54,14.11,87906,1659535200000
14.2,14.17,14.28,14.06,55026,1659538800000
14.15,14.45,14.47,14.14,28163,1659542400000
14.47,14.53,14.56,14.4,36535,1659546000000
14.51,14.505,14.59,14.39,84581,1659549600000
14.51,14.74,14.79,14.44,204743,1659553200000
14.9,14.52,15.02,14.41,84312,1659621600000
14.5,14.34,14.5,14.27,46681,1659625200000
14.34,14.41,14.535,14.27,33073,1659628800000
14.4,14.52,14.531,14.39,25144,1659632400000
14.51,14.545,14.5539,14.42,32054,1659636000000
14.53,14.41,14.55,14.37,105916,1659639600000
14.25,14.32,14.53,14.18,58437,1659708000000
14.23,13.96,14.23,13.85,50557,1659711600000
13.95,13.95,14.0599,13.85,41865,1659715200000
13.965,14.045,14.2,13.89,44494,1659718800000
14.03,14.03,14.17,14.02,32981,1659722400000
14.03,14.1,14.1809,14.02,127600,1659726000000
14.69,14.14,14.7899,14.14,63468,1659967200000
14.14,13.9,14.29,13.87,95038,1659970800000
13.89,13.845,13.9,13.67,47362,1659974400000
13.845,13.895,13.9225,13.74,40824,1659978000000
13.89,13.78,13.89,13.75,43654,1659981600000
13.79,13.83,13.91,13.75,108324,1659985200000
13.71,13.61,13.82,13.505,65845,1660053600000
13.59,13.45,13.6,13.36,31193,1660057200000
13.43,13.82,13.82,13.41,64176,1660060800000
13.8,13.75,13.8,13.58,25364,1660064400000
13.74,13.59,13.769,13.55,40977,1660068000000
