o,c,h,l,v,t
182.8,184.25,184.37,182.21,3719,1657720800000
184.34,183.57,184.34,183.57,4527,1657724400000
183.47,184.22,184.22,183.47,700,1657728000000
185.06,185.1,185.35,184.2,3326,1657731600000
184.71,185.9,186.09,184.71,1991,1657735200000
185.79,185.63,185.79,184.7,7488,1657738800000
180.12,180.4225,181.69,180.12,621,1657807200000
181.01,183.2,183.58,181.01,6247,1657810800000
183.36,184.977,184.977,183.06,6224,1657814400000
184.63,184.67,185.33,184.63,804,1657818000000
184.67,185,185.36,184.1,2896,1657821600000
185.07,185,185.74,184.29,11836,1657825200000
186.17,185.6895,186.495,184.93,11827,1657893600000
185.83,185.82,186.39,184.15,14108,1657897200000
185.66,185.335,186.05,184.73,8728,1657900800000
185.33,186.13,187.18,185.33,5623,1657904400000
186.7,187.205,187.23,186.53,4351,1657908000000
187.22,186.97,187.28,186.66,8318,1657911600000
188.79,189.23,189.23,187.98,6961,1658152800000
189.145,190.2,190.9,188.94,7393,1658156400000
190.71,191.93,192.52,190.435,4852,1658160000000
191.56,190.85,192.24,190.85,1729,1658163600000
190.95,189.995,190.995,189.28,7756,1658167200000
189.3,189.41,190.13,189.05,10399,1658170800000
191,192.035,192.4,191,14431,1658239200000
192,190.08,192.055,189.1,9449,1658242800000
189.79,191,191,189.56,2958,1658246400000
190.6,190.19,190.6,189.55,2780,1658250000000
190.34,190.5,190.79,190.1,2031,1658253600000
190.48,190.74,190.74,189.84,9701,1658257200000
189,189.32,189.99,188.43,2361,1658325600000
189.36,188.98,189.36,188.52,2910,1658329200000
188.56,187.95,188.59,187.59,4027,1658332800000
188.14,187.175,188.18,187.01,7931,1658336400000
187.49,188.88,188.88,187.48,4288,1658340000000
188.93,188.15,189.22,187.89,6925,1658343600000
187.51,185.15,187.69,185.15,3228,1658412000000
185.26,183.81,185.37,183.8,3053,1658415600000
183.79,182.87,184.14,182.71,1609,1658419200000
183.52,184.61,185.02,183.34,5921,1658422800000
184.38,184.61,184.89,183.8,10111,1658426400000
184.845,186.81,186.81,184.69,6373,1658430000000
184.48,182.96,186.36,182.96,7446,1658498400000
182.99,184.04,184.04,182.115,4831,1658502000000
184.13,185.6273,185.6273,183.86,5060,1658505600000
185.09,184.22,185.17,184.22,1862,1658509200000
184.28,185.24,185.73,183.86,8918,1658512800000
185.23,186.3,186.65,184.97,21924,1658516400000
187.48,188.54,188.54,186.22,7110,1658757600000
187.52,187.26,188.08,186.51,3856,1658761200000
187.29,187.52,187.7,186.75,4066,1658764800000
187.13,187.69,187.99,187.13,3717,1658768400000
187.71,187.7,187.71,186.71,1747,1658772000000
187.45,187.23,187.99,186.835,9830,1658775600000
189.11,192.09,192.59,188.97,6011,1658844000000
191.86,189.95,191.86,189.95,3360,1658847600000
189.855,188.05,189.855,187.81,10057,1658851200000
188.6,186.32,188.6,186.06,8188,1658854800000
186.56,187.19,187.19,185.33,4603,1658858400000
186.08,185.33,186.08,185.02,7230,1658862000000
185.37,184.6,185.62,184.1,5621,1658930400000
184.96,185.12,185.82,184.67,1264,1658934000000
184.65,184.05,184.65,183.43,7186,1658937600000
183.79,183.3575,183.79,183.11,2804,1658941200000
183.48,184.235,185.16,182.91,3888,1658944800000
184.29,186.32,187.06,184.29,11950,1658948400000
187,187.155,187.57,185.8,3228,1659016800000
186.7,186.49,186.77,186.13,5519,1659020400000
187.2,187.6675,187.7825,186.62,10086,1659024000000
186.91,186.92,187.61,186.66,3014,1659027600000
187.24,189.15,189.395,187.04,11799,1659031200000
189.35,188.96,189.65,188.49,13524,1659034800000
189.64,188.52,189.695,188.24,7833,1659103200000
188,186.8,188,186.8,5904,1659106800000
186.77,187.38,187.765,185.4,4663,1659110400000
187.9,188.38,188.48,187.9,2336,1659114000000
188.32,187.92,188.785,187.65,6143,1659117600000
188.37,187.89,188.53,187.75,42674,1659121200000
188.81,191.835,192.18,188.51,32095,1659362400000
191.81,192.16,192.16,191.19,6053,1659366000000
192.1,191.04,192.674,190.76,13539,1659369600000
190.63,190.98,191.43,189.62,20576,1659373200000
190.97,190.03,190.97,189.525,4468,1659376800000
189.95,190.32,190.37,189.485,15634,1659380400000
188.215,189.8,190.41,187.95,23297,1659448800000
189.82,189.7,190.03,188.88,13717,1659452400000
189.67,190,190.04,189.485,11925,1659456000000
189.8,190.51,190.61,189.42,43173,1659459600000
190.75,190.6,191.25,190.03,7603,1659463200000
190.53,190.5,190.92,190.235,20104,1659466800000
191.39,192.11,192.5,191.39,5086,1659535200000
191.71,192.29,192.29,191.4,2575,1659538800000
192.085,192.37,192.4,191.95,1684,1659542400000
192.78,192.71,193.39,192.62,2877,1659546000000
192.7,193.08,193.4,192.55,4570,1659549600000
193.35,193.91,193.95,193.24,15597,1659553200000
194.5,196.745,197.75,194.49,8996,1659621600000
196.745,196.23,197.07,196.135,12460,1659625200000
196.385,197.21,197.31,196.385,2871,1659628800000
197.5,197.05,197.5,197.05,1992,1659632400000
195.605,197.435,197.435,195.605,11331,1659636000000
196.96,197.11,197.4,196.29,56561,1659639600000
196.06,198.98,198.98,196.06,8557,1659708000000
198.785,198.685,199.87,198.366,6541,1659711600000
198.67,198.57,199.03,198.4,4648,1659715200000
199.38,198.63,199.52,198.58,2640,1659718800000
198.33,198.84,198.84,197.77,8338,1659722400000
199.3324,199.83,199.83,198.885,10997,1659726000000
203.1,204.2194,204.2194,203.09,494,1659967200000
204.965,204.69,205.21,203.96,5840,1659970800000
204.65,204.7,204.77,204.42,1153,1659974400000
204.57,202.71,204.755,202.71,11681,1659978000000
202.785,203.865,204.25,202.715,6738,1659981600000
204.21,204.8,204.91,203.88,19332,1659985200000
204.6,202.25,204.6,201.995,15498,1660053600000
202.05,202.88,203.375,202.05,29412,1660057200000
203.15,202.565,203.345,202.23,14270,1660060800000
202.61,204.07,204.64,202.22,6346,1660064400000
204.52,204.5,205.48,204.5,7563,1660068000000
204.09,204.51,204.92,204.09,8256,1660071600000
207.0425,211.02,211.02,207.0425,7821,1660140000000
210.48,210.67,211.115,209.88,2256,1660143600000
210.69,207.97,210.69,207.81,2606,1660147200000
207.84,207.94,208.95,207.3,7469,1660150800000
207.71,207.89,208.32,206.965,9911,1660154400000
208.43,208.31,208.86,208.16,7911,1660158000000
211.9,209.96,211.9,209.755,13867,1660226400000
210.12,210.44,210.8,209.41,17620,1660230000000
210.99,212.91,212.91,210.99,2816,1660233600000
213.51,214.72,214.72,213.5,1617,1660237200000
214.5,213.6544,214.78,213.6544,2522,1660240800000
213.95,214.33,214.75,213.54,16098,1660244400000
214.61,215.44,215.95,213.52,11366,1660312800000
214.91,215.29,215.865,214.91,2076,1660316400000
215.41,215.66,215.66,215.05,3813,1660320000000
215.38,215.41,215.91,214.855,17858,1660323600000
215.04,216.28,216.29,214.94,34190,1660327200000
215.88,215.12,215.92,214.785,6843,1660330800000
217.33,217.72,219.375,217.33,6496,1660572000000
218.38,218.9,219.58,218.38,8418,1660575600000
218.83,219.7,219.85,218.69,3884,1660579200000
219.6,219.42,219.6,218.3,27213,1660582800000
219.62,219.585,220.43,219.585,2535,1660586400000
219.55,220.13,220.35,219.55,10756,1660590000000
219.54,220.68,220.68,218.75,10203,1660658400000
220.75,220.59,221.47,220.24,7040,1660662000000
220.82,221.27,221.27,220.32,5929,1660665600000
221.3,221.47,221.85,221.24,1750,1660669200000
221.7495,221.13,221.935,220.8,6305,1660672800000
221.01,221.61,222.04,221.01,11546,1660676400000
220.72,220.94,220.94,220.72,470,1660744800000
220.51,220.51,221.11,220.15,4978,1660748400000
220.33,221.1,221.39,220.31,5313,1660752000000
220.92,221.9,222.37,220.92,8395,1660755600000
222.5,222.93,223.13,221.83,7049,1660759200000
222.45,223.54,223.54,222.45,26246,1660762800000
221.89,222.35,223.16,221.89,8454,1660831200000
222.37,223.25,223.31,222.35,2983,1660834800000
222.88,222.935,223.95,222.71,9751,1660838400000
223.12,222.86,223.99,222.86,17239,1660842000000
222.94,223.21,223.4,222.71,5084,1660845600000
223.115,222.54,223.91,222.51,41700,1660849200000
221.56,218.94,223.8,218.94,22248,1660917600000
219.03,218.42,219.09,216.77,7849,1660921200000
218.27,218.365,218.93,217.8,4830,1660924800000
218.08,217.765,218.44,217.58,2065,1660928400000
218.09,218.06,218.09,217.75,1577,1660932000000
217.86,218.72,218.98,217.63,12816,1660935600000
216.22,217.19,217.52,216.09,13390,1661176800000
217.19,217.385,217.495,216.42,12312,1661180400000
217,217.195,217.48,216.41,5253,1661184000000
217.28,214.87,217.28,214.87,8356,1661187600000
213.69,214.03,214.44,213.5,1480,1661191200000
214.36,214.89,215.04,213.92,10677,1661194800000
216.74,219.08,219.33,216.74,4411,1661263200000
218.67,217.78,218.67,217.78,3340,1661266800000
217.22,217.45,217.65,217.1,5953,1661270400000
217.5,216.3,218.4,216.3,10752,1661274000000
216.22,216.81,216.85,216.22,1467,1661277600000
216.74,218.13,218.14,216.74,11633,1661281200000
217.86,217.87,219.56,217.4,9003,1661349600000
217.75,217.57,218,216.825,9616,1661353200000
218.55,216.58,218.55,216.58,4133,1661356800000
216.89,216.23,216.985,215.9,5248,1661360400000
216.95,216.97,217.67,216.43,4962,1661364000000
216.93,216.23,217.125,216.07,5052,1661367600000
219.21,219.625,220.125,218.59,8733,1661436000000
219.62,220.15,220.745,219.62,2072,1661439600000
219.75,219.785,219.785,219.33,674,1661443200000
220.305,220.24,220.4,220,2511,1661446800000
220.07,220.205,220.82,219.64,4637,1661450400000
220.28,220.9,220.94,220.23,5560,1661454000000
221.14,224.5,224.5,221.14,5117,1661522400000
224.365,224.54,224.54,223.53,5057,1661526000000
224.525,224.5,225.32,223.9,4931,1661529600000
224.49,223.09,224.575,222.58,3640,1661533200000
222.8,223.65,224.015,222.35,4578,1661536800000
224.18,222.62,224.355,221.31,19394,1661540400000
220.92,218.86,220.92,218.86,2816,1661781600000
218.32,218.87,219.24,218.01,6951,1661785200000
219.865,219.865,219.865,219.865,325,1661788800000
220.17,221.15,221.15,219.98,3732,1661792400000
221.1125,219,221.1125,219,1438,1661796000000
219.45,217.1,219.45,217.1,13466,1661799600000
213.505,212.75,214.66,211.64,9261,1661868000000
212.96,212.72,213.45,212.72,1830,1661871600000
213.26,213.47,213.77,213.26,1114,1661875200000
212.27,211.265,212.27,210.41,3772,1661878800000
210.91,213.04,213.04,210.91,5143,1661882400000
213.81,212.88,214.185,212.36,10643,1661886000000
214.14,214.42,215.235,214.12,6323,1661954400000
214,213.09,214.05,212.96,2966,1661958000000
213,213.38,214.7,212.64,5007,1661961600000
212.49,212.24,212.49,211.02,4692,1661965200000
213.68,213.23,213.68,213.23,575,1661968800000
213.24,211.24,213.66,210.91,11447,1661972400000
210,205.01,210,205.01,11309,1662040800000
206.74,207.46,208.83,206.4025,5351,1662044400000
208.095,208.64,209.49,207.25,7360,1662048000000
209,209.58,211.05,209,3671,1662051600000
209.3,209.24,210.13,208.74,11485,1662055200000
209.39,210.74,210.74,208.965,10447,1662058800000
214.475,215.77,216.115,214.29,3717,1662127200000
216.21,215.58,216.22,214.75,1967,1662130800000
215.245,212.39,216.595,212.36,7657,1662134400000
212.11,213.83,214.92,212.11,2830,1662138000000
213.95,214.2,215.37,212.95,9319,1662141600000
213.095,213.91,214.32,212.38,6570,1662145200000
211.94,211.25,212.06,210.88,2441,1662472800000
211.97,211.74,212.15,210.54,6013,1662476400000
211.6,210.27,211.6,210.2075,2279,1662480000000
210.17,211.36,211.36,209.88,2307,1662483600000
211.23,211.55,211.8,211.07,1867,1662487200000
210.98,211.22,211.38,210.565,5627,1662490800000
209.2,210.78,211.05,208.49,8326,1662559200000
210.68,211.74,211.74,210.68,3518,1662562800000
211.96,211.45,211.96,210.93,2679,1662566400000
211.59,213.7,214.48,211.59,6204,1662570000000
214.52,214.39,214.705,213.79,5499,1662573600000
214.3,214.83,215.18,214.285,10424,1662577200000
213.92,214.3,214.805,213.51,5777,1662645600000
215.455,215.12,215.56,214.62,2722,1662649200000
214.67,214.85,214.91,213.51,3946,1662652800000
215.77,215.395,216.5,215.395,3438,1662656400000
215.2,215.51,216.03,215.2,2034,1662660000000
215.83,215.81,216.25,215.45,12432,1662663600000
218.2,218.19,218.2,217.54,2736,1662732000000
217.86,217.7,218.84,217.7,10049,1662735600000
217.985,218.53,219.095,217.41,18275,1662739200000
218.84,220.39,220.55,218.84,3800,1662742800000
220.23,219.96,220.74,218.74,6667,1662746400000
219.3,220.22,221.89,218.995,30994,1662750000000
220.565,222.02,222.29,220.565,2455,1662991200000
222.515,223.55,224.405,222.29,4384,1662994800000
224.705,225.25,225.25,224.515,1499,1662998400000
225,223.78,225,223.57,3960,1663002000000
223.57,223.115,223.725,222,5071,1663005600000
223.45,222.84,223.5,222.33,6530,1663009200000
219.1,220.49,220.79,219.1,4901,1663077600000
220.55,221.17,221.47,220.55,2059,1663081200000
221.1625,221.805,222.34,221.1625,2563,1663084800000
221.57,220.47,221.74,220.35,3249,1663088400000
220.46,218.875,220.46,218.875,4010,1663092000000
218.83,217.72,218.83,216.27,7051,1663095600000
