o,c,h,l,v,t
5.03,5.085,5.1,4.99,642001,1657720800000
5.08,5.065,5.1,5.045,698034,1657724400000
5.065,5.09,5.0999,5.0601,536681,1657728000000
5.0975,5.095,5.11,5.08,209782,1657731600000
5.09,5.085,5.105,5.06,639106,1657735200000
5.09,5.08,5.1,5.07,807698,1657738800000
5.161,5.16,5.18,5.122,781395,1657807200000
5.16,5.205,5.21,5.16,766925,1657810800000
5.21,5.175,5.215,5.1603,422273,1657814400000
5.1799,5.225,5.23,5.17,336228,1657818000000
5.225,5.27,5.27,5.21,719421,1657821600000
5.27,5.27,5.29,5.25,1242942.0,1657825200000
5.28,5.3099,5.3099,5.265,769355,1657893600000
5.3016,5.28,5.33,5.275,915925,1657897200000
5.28,5.295,5.3,5.27,203054,1657900800000
5.295,5.305,5.31,5.29,185250,1657904400000
5.305,5.325,5.34,5.3,418997,1657908000000
5.325,5.35,5.35,5.31,779364,1657911600000
5.4236,5.46,5.46,5.39,595500,1658152800000
5.455,5.485,5.49,5.45,782600,1658156400000
5.4887,5.465,5.49,5.4616,196560,1658160000000
5.465,5.4,5.47,5.4,247409,1658163600000
5.4,5.4,5.43,5.39,557177,1658167200000
5.405,5.4,5.42,5.38,525524,1658170800000
5.545,5.555,5.56,5.525,558909,1658239200000
5.555,5.575,5.58,5.55,587945,1658242800000
5.575,5.5801,5.59,5.555,285388,1658246400000
5.58,5.61,5.61,5.58,187972,1658250000000
5.605,5.6,5.62,5.585,274780,1658253600000
5.595,5.64,5.64,5.59,920894,1658257200000
5.5763,5.67,5.675,5.573,718893,1658325600000
5.67,5.655,5.67,5.63,548852,1658329200000
5.65,5.63,5.67,5.6,712712,1658332800000
5.625,5.595,5.63,5.59,865149,1658336400000
5.6,5.63,5.64,5.595,436583,1658340000000
5.635,5.665,5.68,5.63,1726546.0,1658343600000
5.75,5.735,5.765,5.68,825913,1658412000000
5.73,5.755,5.76,5.71,351354,1658415600000
5.755,5.77,5.7799,5.75,381993,1658419200000
5.7631,5.745,5.77,5.72,259522,1658422800000
5.75,5.76,5.77,5.745,251836,1658426400000
5.76,5.79,5.8,5.755,826855,1658430000000
5.7,5.725,5.74,5.68,681506,1658498400000
5.725,5.685,5.73,5.67,359467,1658502000000
5.69,5.665,5.7,5.66,406711,1658505600000
5.66,5.655,5.675,5.63,408932,1658509200000
5.655,5.665,5.67,5.64,214935,1658512800000
5.665,5.67,5.67,5.64,585694,1658516400000
5.66,5.645,5.6699,5.62,590503,1658757600000
5.64,5.655,5.665,5.62,325157,1658761200000
5.655,5.66,5.68,5.63,308784,1658764800000
5.6625,5.65,5.67,5.64,212722,1658768400000
5.65,5.655,5.66,5.63,327474,1658772000000
5.65,5.68,5.68,5.63,589706,1658775600000
5.57,5.565,5.585,5.54,339168,1658844000000
5.565,5.53,5.565,5.51,550367,1658847600000
5.53,5.545,5.55,5.52,289053,1658851200000
