o,c,h,l,v,t
13.4,13.6,13.63,13.28,84627,1657720800000
13.61,13.48,13.66,13.38,60664,1657724400000
13.47,13.66,13.67,13.46,50665,1657728000000
13.645,13.69,13.69,13.585,47648,1657731600000
13.68,13.7,13.7,13.59,66180,1657735200000
13.7,13.57,13.715,13.56,196576,1657738800000
13.21,13.015,13.225,12.92,158744,1657807200000
13.02,13.11,13.16,13.01,107475,1657810800000
13.115,13.095,13.12,13.015,86735,1657814400000
13.095,13.25,13.25,13.055,61584,1657818000000
13.25,13.405,13.405,13.21,86827,1657821600000
13.405,13.4,13.45,13.35,193782,1657825200000
13.53,13.54,13.65,13.45,177468,1657893600000
13.54,13.57,13.645,13.525,123706,1657897200000
13.565,13.61,13.62,13.415,132851,1657900800000
13.585,13.585,13.735,13.48,145103,1657904400000
13.59,13.69,13.69,13.53,81443,1657908000000
13.69,13.93,13.95,13.61,522711,1657911600000
13.88,13.87,13.9,13.76,43755,1658152800000
13.86,13.9,13.94,13.84,118360,1658156400000
13.895,13.98,13.995,13.88,65019,1658160000000
13.98,13.76,14.045,13.75,91294,1658163600000
13.755,13.53,13.76,13.53,84120,1658167200000
13.53,13.4,13.59,13.33,173674,1658170800000
13.62,13.72,13.75,13.58,100872,1658239200000
13.73,13.7401,13.81,13.71,84608,1658242800000
13.75,13.765,13.8,13.72,37628,1658246400000
13.77,13.76,13.77,13.745,23855,1658250000000
13.765,13.69,13.7924,13.62,81947,1658253600000
13.685,13.78,13.81,13.685,168372,1658257200000
13.875,14.16,14.215,13.875,45485,1658325600000
14.17,14.14,14.195,14.06,59853,1658329200000
14.15,14.12,14.22,14.06,35161,1658332800000
14.12,14.11,14.145,14.03,32754,1658336400000
14.12,14.285,14.285,14.11,46430,1658340000000
14.28,14.32,14.4,14.27,195851,1658343600000
14.41,14.44,14.46,14.26,59356,1658412000000
14.43,14.53,14.56,14.42,65151,1658415600000
14.53,14.515,14.59,14.5,55558,1658419200000
14.515,14.535,14.55,14.455,51544,1658422800000
14.54,14.735,14.74,14.54,96452,1658426400000
14.735,14.7,14.735,14.59,105342,1658430000000
14.31,14.43,14.475,14.26,46314,1658498400000
14.41,14.31,14.425,14.25,36878,1658502000000
14.3108,14.26,14.34,14.26,42579,1658505600000
14.25,14.16,14.25,14.15,25080,1658509200000
14.16,14.2,14.21,14.105,22470,1658512800000
14.21,14.275,14.29,14.16,80365,1658516400000
14.11,14.22,14.22,14.03,116658,1658757600000
14.21,14.17,14.23,14.11,55810,1658761200000
14.17,14.19,14.23,14.115,44170,1658764800000
14.18,14.13,14.23,14.13,32849,1658768400000
14.13,14.1,14.14,14.07,30046,1658772000000
14.1,14.13,14.15,14.05,105633,1658775600000
14.19,14.1,14.2,14.06,28303,1658844000000
14.12,14.06,14.14,14.0335,33966,1658847600000
14.05,14.19,14.23,14.04,46930,1658851200000
14.18,14.18,14.25,14.13,41500,1658854800000
14.185,14.18,14.23,14.11,42754,1658858400000
14.17,14.23,14.3,14.145,164043,1658862000000
14.3837,14.475,14.48,14.35,29055,1658930400000
14.49,14.47,14.515,14.44,38064,1658934000000
14.45,14.44,14.51,14.43,30749,1658937600000
14.44,14.52,14.525,14.43,25375,1658941200000
14.52,14.73,14.75,14.47,89446,1658944800000
14.73,14.78,14.91,14.72,130491,1658948400000
14.67,14.77,14.77,14.575,47352,1659016800000
14.76,14.7701,14.85,14.76,70721,1659020400000
14.7746,14.74,14.8,14.72,31701,1659024000000
14.74,14.81,14.85,14.735,34475,1659027600000
14.81,14.785,14.83,14.745,89298,1659031200000
14.79,14.74,14.85,14.71,183035,1659034800000
14.69,14.66,14.75,14.645,96893,1659103200000
14.65,14.71,14.71,14.645,91492,1659106800000
14.71,14.72,14.78,14.69,53141,1659110400000
14.7237,14.74,14.75,14.71,56129,1659114000000
14.745,14.78,14.795,14.73,163062,1659117600000
14.78,14.91,14.99,14.78,239804,1659121200000
14.86,15.1483,15.1483,14.85,81514,1659362400000
15.14,15.12,15.15,15.01,102095,1659366000000
15.13,15.21,15.29,15.08,72015,1659369600000
15.2,15.145,15.23,15.115,36154,1659373200000
15.15,15.23,15.23,15.115,39615,1659376800000
15.24,15.09,15.25,15.081,103955,1659380400000
15.14,15.03,15.14,15,51243,1659448800000
15.045,14.955,15.045,14.86,52707,1659452400000
14.958,15.01,15.13,14.95,53153,1659456000000
15,14.95,15.02,14.88,70009,1659459600000
14.935,15.3,15.35,14.93,184306,1659463200000
15.305,15.27,15.335,15.21,225569,1659466800000
15.52,15.4783,15.695,15.27,174030,1659535200000
15.475,15.56,15.75,15.44,81871,1659538800000
15.575,15.63,15.68,15.44,92778,1659542400000
15.64,15.595,15.68,15.58,95342,1659546000000
15.59,15.625,15.66,15.59,80283,1659549600000
15.62,15.65,15.67,15.49,183488,1659553200000
15.17,15.4,15.49,15.17,118247,1659621600000
15.41,15.49,15.5,15.34,71850,1659625200000
15.49,15.47,15.505,15.37,55924,1659628800000
15.475,15.51,15.51,15.45,41913,1659632400000
15.5,15.51,15.54,15.45,87459,1659636000000
15.5,15.5,15.56,15.43,128871,1659639600000
15.35,15.4,15.475,15.26,44614,1659708000000
15.41,15.265,15.41,15.22,38400,1659711600000
15.26,15.265,15.315,15.2,58656,1659715200000
15.26,15.26,15.34,15.25,54878,1659718800000
15.265,15.255,15.33,15.23,72328,1659722400000
15.255,15.4,15.42,15.245,135769,1659726000000
15.49,15.57,15.6,15.45,130982,1659967200000
15.57,15.555,15.58,15.46,117003,1659970800000
15.55,15.51,15.565,15.495,76420,1659974400000
15.52,15.505,15.54,15.465,64622,1659978000000
15.505,15.54,15.56,15.49,138640,1659981600000
15.535,15.55,15.675,15.53,258827,1659985200000
14.99,15.18,15.23,14.93,64879,1660053600000
15.17,15.03,15.18,15.03,65141,1660057200000
15.03,14.895,15.0491,14.885,44054,1660060800000
14.9,14.86,14.92,14.815,38341,1660064400000
14.85,14.795,14.87,14.785,237872,1660068000000
14.8,14.91,14.94,14.7924,148808,1660071600000
15.49,15.49,15.62,15.44,123294,1660140000000
15.51,15.52,15.65,15.48,84429,1660143600000
15.53,15.42,15.53,15.38,45155,1660147200000
15.42,15.49,15.505,15.39,43941,1660150800000
15.5,15.41,15.5,15.41,55158,1660154400000
15.41,15.37,15.43,15.32,142344,1660158000000
15.56,15.55,15.67,15.5,39440,1660226400000
15.55,15.51,15.55,15.43,32503,1660230000000
15.5,15.59,15.64,15.44,55484,1660233600000
15.585,15.51,15.585,15.51,24894,1660237200000
15.51,15.42,15.51,15.41,41160,1660240800000
15.42,15.49,15.49,15.39,91949,1660244400000
15.6,15.65,15.66,15.56,62463,1660312800000
15.655,15.73,15.88,15.655,132088,1660316400000
15.73,15.81,15.87,15.73,51276,1660320000000
15.815,15.9104,15.98,15.8,76000,1660323600000
15.915,16.06,16.07,15.89,125118,1660327200000
16.06,15.86,16.06,15.84,138786,1660330800000
15.74,15.74,15.755,15.675,33190,1660572000000
15.74,15.8269,15.8269,15.72,29948,1660575600000
15.82,15.81,15.84,15.79,22966,1660579200000
15.79,15.81,15.83,15.74,31071,1660582800000
15.8001,15.9,15.9,15.8,27787,1660586400000
15.9,15.96,16,15.9,127734,1660590000000
15.88,16.21,16.215,15.835,117556,1660658400000
16.19,16.13,16.19,16.08,41571,1660662000000
16.14,16.08,16.1485,16.075,50064,1660665600000
16.08,16.06,16.08,16,42639,1660669200000
16.06,15.8975,16.08,15.89,57872,1660672800000
15.89,15.97,16,15.84,139826,1660676400000
15.695,15.76,15.915,15.66,123071,1660744800000
15.77,15.9,15.9399,15.66,179177,1660748400000
15.9,16,16.0814,15.88,199166,1660752000000
