o,c,h,l,v,t
35.13,35.24,35.375,34.66,45558,1657720800000
35.26,35.2,35.58,35.11,40853,1657724400000
35.17,35.18,35.28,34.86,23667,1657728000000
35.13,35.84,35.92,35.1,40525,1657731600000
35.85,35.535,35.86,35.48,50396,1657735200000
35.535,35.33,35.55,35.24,92804,1657738800000
34.6319,34.3,34.81,34.3,37356,1657807200000
34.325,33.68,34.42,33.53,57337,1657810800000
33.66,33.31,33.97,33.19,55665,1657814400000
33.385,33.22,33.385,32.97,49397,1657818000000
33.17,33.95,34.01,33.1201,45893,1657821600000
33.98,33.99,34.21,33.82,101341,1657825200000
33.56,34.01,34.33,33.27,72143,1657893600000
34.0399,34.21,34.285,33.88,80952,1657897200000
34.17,34.27,34.27,34,72805,1657900800000
34.27,34.125,34.27,34.07,57165,1657904400000
34.11,34.145,34.22,33.95,60488,1657908000000
34.12,33.93,34.12,33.88,203941,1657911600000
35.01,35.32,35.39,34.79,35653,1658152800000
35.32,35.5,35.63,35.24,59523,1658156400000
35.5,35.58,35.8,35.45,48555,1658160000000
35.565,35.34,35.62,35.3352,48497,1658163600000
35.32,35.34,35.57,35.271,56299,1658167200000
35.34,35.37,35.46,35.15,142706,1658170800000
35.29,35.89,35.9999,35.22,111883,1658239200000
35.97,35.5,36.07,35.4,26029,1658242800000
35.54,35.615,36.04,35.42,38482,1658246400000
35.62,35.94,36,35.57,31580,1658250000000
35.94,36.1,36.17,35.78,47821,1658253600000
36.16,36.3,36.46,36.14,113772,1658257200000
36.63,36.1,36.775,36.06,42163,1658325600000
35.96,35,35.96,34.9144,40605,1658329200000
35.04,34.76,35.165,34.69,48047,1658332800000
34.75,34.71,34.97,34.55,35605,1658336400000
34.76,35.03,35.28,34.67,28380,1658340000000
35.02,35.21,35.21,35,93690,1658343600000
36.7,36.07,36.82,35.785,54327,1658412000000
36.06,36.91,36.91,36.05,51053,1658415600000
36.89,36.66,37.14,36.62,24195,1658419200000
36.66,36.86,36.86,36.59,16064,1658422800000
36.93,37.07,37.215,36.9,44202,1658426400000
37.045,37.26,37.41,37,117598,1658430000000
36.83,36.44,37,36.38,58000,1658498400000
36.39,36.01,36.51,35.93,40489,1658502000000
36.05,36.0705,36.13,35.91,37342,1658505600000
36.075,35.55,36.075,35.44,27247,1658509200000
35.52,35.32,35.52,35.22,25637,1658512800000
35.2,35.4,35.63,35.15,73525,1658516400000
35.4099,35.47,35.56,35.03,19893,1658757600000
35.41,35.79,35.85,35.37,12255,1658761200000
35.75,35.59,35.81,35.57,8304,1658764800000
35.56,35.48,35.62,35.37,23746,1658768400000
35.505,35.65,35.75,35.46,25391,1658772000000
35.63,36,36,35.53,63008,1658775600000
36,35.93,36.03,35.48,22080,1658844000000
36.03,35.77,36.22,35.63,35990,1658847600000
35.77,35.915,36.05,35.77,15493,1658851200000
35.94,36.28,36.34,35.89,67681,1658854800000
36.305,36.33,36.48,36.11,28691,1658858400000
36.3,36.82,36.87,36.27,92662,1658862000000
36.66,36.35,36.77,36.19,54072,1658930400000
36.495,36.83,36.905,36.37,34985,1658934000000
36.88,37.14,37.175,36.81,24562,1658937600000
37.09,37.16,37.28,37.04,31392,1658941200000
37.24,37.225,37.44,36.97,50986,1658944800000
37.225,37.2,37.415,37.1,110898,1658948400000
36.335,36.15,36.34,35.72,85445,1659016800000
36.16,36.71,36.97,36.16,64584,1659020400000
36.735,36.645,36.965,36.595,54074,1659024000000
36.555,36.77,36.8999,36.46,43060,1659027600000
36.745,36.735,36.76,36.45,43846,1659031200000
36.725,36.53,36.96,36.51,241652,1659034800000
35.05,35.29,35.56,34.98,81941,1659103200000
35.285,34.785,35.48,34.41,244660,1659106800000
34.71,35,35,34.515,49929,1659110400000
35,34.97,35.08,34.87,75176,1659114000000
35,35.045,35.07,34.905,62779,1659117600000
35.06,35.69,35.81,35.06,146456,1659121200000
34.18,33.585,34.18,33.18,76134,1659362400000
33.55,34.02,34.15,33.52,43880,1659366000000
34.015,33.985,34.395,33.95,72117,1659369600000
33.96,33.575,34.03,33.225,47589,1659373200000
33.58,34.03,34.05,33.41,95748,1659376800000
34.03,33.75,34.06,33.68,161866,1659380400000
33.78,34.86,34.87,33.66,46081,1659448800000
34.85,35.09,35.34,34.01,142357,1659452400000
35.12,35.42,35.68,34.855,43321,1659456000000
35.39,35.465,35.5,35.2,30734,1659459600000
35.49,35.465,35.58,35.3776,62963,1659463200000
35.52,35.62,35.81,35.41,130910,1659466800000
37.2,37.53,38.18,37.14,136956,1659535200000
37.54,38,38.13,37.45,61819,1659538800000
38.055,38.5,38.6,38,26336,1659542400000
38.46,38.6,39.12,38.4245,98605,1659546000000
38.56,39.03,39.33,38.53,66542,1659549600000
39.0212,39.77,39.99,38.98,229175,1659553200000
38.66,38.625,39.355,38.36,85922,1659621600000
38.61,38.555,38.92,38.19,84862,1659625200000
38.48,39.005,39.165,38.41,59739,1659628800000
39.005,38.56,39.09,38.24,51524,1659632400000
38.44,38.64,38.73,38.44,69122,1659636000000
38.62,38.6,38.79,38.43,153230,1659639600000
38.02,38.03,38.16,37.78,65633,1659708000000
38.01,37.985,38.07,37.87,89712,1659711600000
37.99,38.055,38.1,37.91,33778,1659715200000
38.02,37.79,38.08,37.79,41050,1659718800000
37.795,37.855,37.9,37.56,55629,1659722400000
37.9,38,38.02,37.73,107463,1659726000000
37.73,36.8922,37.965,36.66,133448,1659967200000
36.95,36.32,37.14,36.32,74030,1659970800000
36.28,36.39,36.39,36.11,38460,1659974400000
36.49,36.8,36.85,36.42,33606,1659978000000
36.79,36.78,36.88,36.67,37007,1659981600000
36.77,36.21,36.98,36.13,96907,1659985200000
36.44,35.87,36.46,35.78,45638,1660053600000
35.86,36.15,36.3,35.68,35252,1660057200000
36.18,36.35,36.54,36.13,11827,1660060800000
36.38,35.945,36.405,35.88,18892,1660064400000
35.965,36.025,36.097,35.78,47851,1660068000000
36.0872,36.19,36.35,35.97,37932,1660071600000
35.94,35.33,36.035,35.08,66246,1660140000000
35.34,35.475,35.53,35.09,47433,1660143600000
35.53,35.63,35.96,35.53,15163,1660147200000
35.64,35.64,35.7895,35.56,22500,1660150800000
35.64,35.45,35.82,35.38,29005,1660154400000
35.43,35.51,35.66,35.33,72086,1660158000000
37.95,36.935,38.025,36.87,160726,1660226400000
36.8956,36.4,36.94,36.13,85383,1660230000000
36.43,36.2,36.505,36.15,59664,1660233600000
36.23,36.25,36.465,36.08,34682,1660237200000
36.27,36.02,36.4125,35.91,35431,1660240800000
36.05,36.05,36.34,36.03,76812,1660244400000
35.44,34.72,35.63,34.45,96181,1660312800000
34.805,35.3,35.3,34.805,35943,1660316400000
35.28,35.27,35.47,35.16,32678,1660320000000
35.28,35,35.28,34.96,36347,1660323600000
35.045,34.92,35.2,34.84,72905,1660327200000
34.905,35.23,35.24,34.801,149937,1660330800000
34.54,35.16,35.17,34.31,81414,1660572000000
35.15,35.76,35.96,35.14,42397,1660575600000
35.78,35.48,35.94,35.425,35149,1660579200000
35.49,35.37,35.52,34.87,46273,1660582800000
35.37,35.32,35.43,35.09,43004,1660586400000
35.34,35.15,35.48,35.14,144001,1660590000000
35.21,35.07,35.82,35.02,80161,1660658400000
35.045,35.04,35.375,35.04,57162,1660662000000
35.075,35.435,35.545,35,85980,1660665600000
35.455,35.09,35.53,35.05,54611,1660669200000
35.12,35.57,35.685,35.07,73218,1660672800000
35.56,35.44,35.6,35.36,243464,1660676400000
34.665,35.05,35.63,34.5,57861,1660744800000
35.07,34.99,35.53,34.99,24405,1660748400000
35.06,35.17,35.41,35.06,19198,1660752000000
35.14,35.22,35.285,35.11,12798,1660755600000
35.29,35.39,35.59,35.29,29075,1660759200000
35.39,35.08,35.41,35.08,57799,1660762800000
35.26,34.94,35.26,34.77,34863,1660831200000
34.94,34.99,35.02,34.33,59942,1660834800000
34.99,35.12,35.15,34.89,27832,1660838400000
35.13,35.12,35.24,34.905,42592,1660842000000
35.09,35.005,35.09,34.938,12450,1660845600000
35.005,34.57,35.03,34.56,50309,1660849200000
35.01,34.54,35.14,34.51,99407,1660917600000
34.63,34.39,34.9,34.39,20904,1660921200000
34.465,34.4,34.595,34.25,10010,1660924800000
34.45,35.15,35.17,34.33,30054,1660928400000
35.1199,34.88,35.145,34.88,30370,1660932000000
34.93,34.8,35.04,34.8,69667,1660935600000
35.095,34.93,35.25,34.85,132542,1661176800000
34.98,35.1,35.18,34.865,69044,1661180400000
35.09,35.1,35.24,34.95,72315,1661184000000
35.11,34.9,35.195,34.78,21441,1661187600000
34.82,35.04,35.0949,34.82,22122,1661191200000
35.015,35.03,35.08,34.79,141130,1661194800000
35.02,34.96,35.1,34.72,96710,1661263200000
34.98,34.95,35.02,34.84,64402,1661266800000
34.95,34.9,34.95,34.71,12843,1661270400000
