o,c,h,l,v,t
22.4,22.83,22.88,22.24,172895,1657720800000
22.835,22.68,23,22.67,134813,1657724400000
22.69,22.63,22.8,22.575,80555,1657728000000
22.62,22.6796,22.71,22.56,75157,1657731600000
22.675,22.8,22.89,22.59,95156,1657735200000
22.805,22.81,22.85,22.67,214272,1657738800000
22.23,22.12,22.45,21.99,182141,1657807200000
22.15,22.21,22.28,22.03,123035,1657810800000
22.22,22.08,22.23,21.97,76810,1657814400000
22.08,22.3,22.33,22.07,60033,1657818000000
22.3,22.42,22.58,22.27,80859,1657821600000
22.43,22.59,22.62,22.385,234201,1657825200000
22.29,22.92,23.21,22.2,240107,1657893600000
22.925,22.93,23.12,22.925,67471,1657897200000
22.95,23.13,23.165,22.93,67069,1657900800000
23.13,22.69,23.19,22.69,70447,1657904400000
22.6885,22.705,22.82,22.645,95165,1657908000000
22.7,22.83,22.88,22.64,263598,1657911600000
23.44,23.5,23.61,23.32,104765,1658152800000
23.49,23.33,23.49,23.23,91970,1658156400000
23.33,23.25,23.38,23.22,59184,1658160000000
23.25,23.15,23.33,23.14,49152,1658163600000
23.14,23.03,23.15,22.99,44961,1658167200000
23.01,22.91,23.11,22.72,148583,1658170800000
23.09,23.67,23.85,23.09,159080,1658239200000
23.67,23.93,23.93,23.58,143496,1658242800000
23.935,24.16,24.22,23.85,145475,1658246400000
24.16,24.13,24.21,23.94,85499,1658250000000
24.13,24.1,24.185,24,126890,1658253600000
24.095,24.05,24.22,24.02,306334,1658257200000
24.25,24.38,24.45,24.03,116226,1658325600000
24.35,24.12,24.4,24.08,83000,1658329200000
24.1,23.96,24.1,23.745,77497,1658332800000
23.97,23.91,24.1,23.83,58400,1658336400000
23.91,24.15,24.17,23.91,60103,1658340000000
24.14,24.25,24.27,24.1,230974,1658343600000
23.87,23.5,23.99,23.01,104952,1658412000000
23.51,23.37,23.555,23.21,97475,1658415600000
23.37,23.495,23.495,23.32,54135,1658419200000
23.5,23.28,23.5094,23.1,63481,1658422800000
23.28,22.96,23.28,22.95,236254,1658426400000
22.975,23.68,23.68,22.975,356914,1658430000000
23.11,23.46,23.46,23.11,110905,1658498400000
23.46,23.3,23.565,23.28,94275,1658502000000
23.3,23.27,23.36,23.16,66712,1658505600000
23.275,22.97,23.275,22.87,84415,1658509200000
22.98,23.06,23.22,22.94,98865,1658512800000
23.05,23.15,23.24,23.005,344055,1658516400000
23.74,23.88,24.02,23.675,68160,1658757600000
23.88,23.915,23.96,23.65,61277,1658761200000
23.9,23.8,23.92,23.71,54930,1658764800000
23.81,23.75,24,23.71,71754,1658768400000
23.74,23.685,23.79,23.64,87753,1658772000000
23.69,23.64,23.78,23.59,293931,1658775600000
23.69,23.6073,23.77,23.37,153749,1658844000000
23.645,23.31,23.665,23.265,54653,1658847600000
23.3,23.34,23.465,23.28,79798,1658851200000
23.34,23.385,23.45,23.3,44367,1658854800000
23.385,23.415,23.475,23.33,137174,1658858400000
23.43,23.48,23.545,23.395,139903,1658862000000
23.4,23.75,23.84,23.35,71956,1658930400000
23.76,23.68,23.93,23.64,112633,1658934000000
23.67,23.46,23.72,23.435,124876,1658937600000
23.455,23.54,23.63,23.41,92257,1658941200000
23.55,24.05,24.155,23.54,142459,1658944800000
24.06,24.1,24.28,24.02,420639,1658948400000
24.37,24.72,24.8,24.12,252236,1659016800000
24.67,24.935,25.18,24.6,360474,1659020400000
24.94,24.805,24.97,24.775,88746,1659024000000
24.8,24.64,24.86,24.6,53901,1659027600000
24.6,24.66,24.68,24.5,49421,1659031200000
24.64,24.73,24.84,24.57,222513,1659034800000
24.635,24.93,24.99,24.635,64006,1659103200000
24.92,24.96,25.01,24.66,86072,1659106800000
24.97,24.88,25.03,24.82,125483,1659110400000
24.89,24.95,24.985,24.74,138673,1659114000000
24.955,25.04,25.05,24.86,105352,1659117600000
25.03,24.88,25.04,24.77,284009,1659121200000
24.83,25.11,25.25,24.62,108212,1659362400000
25.115,24.9876,25.18,24.88,88950,1659366000000
24.97,25.07,25.3,24.93,82168,1659369600000
25.06,24.84,25.11,24.76,120966,1659373200000
24.83,25.35,25.35,24.79,139187,1659376800000
25.32,25.05,25.39,24.97,296144,1659380400000
24.75,24.84,24.9,24.55,85851,1659448800000
24.82,25.165,25.28,24.71,78471,1659452400000
25.18,25.26,25.37,25.18,60968,1659456000000
25.25,25.29,25.33,25.08,149313,1659459600000
25.29,25.145,25.39,25.07,115224,1659463200000
25.12,25.04,25.4,25.03,354287,1659466800000
24.95,25.065,25.2,24.67,189090,1659535200000
25.08,25.105,25.12,24.85,90994,1659538800000
25.1,25.235,25.24,24.96,82334,1659542400000
25.245,25.38,25.46,25.24,95310,1659546000000
25.36,25.46,25.51,25.36,131368,1659549600000
25.46,25.36,25.495,25.335,330055,1659553200000
27.12,27.855,27.9,27.06,352615,1659621600000
27.86,28.37,28.44,27.69,357017,1659625200000
28.36,28.195,28.46,28.0085,205117,1659628800000
28.1833,27.7,28.2099,27.693,169710,1659632400000
27.69,27.74,27.835,27.48,179673,1659636000000
27.7214,27.3824,27.76,27.33,502254,1659639600000
28.53,29.1422,29.3547,28.48,920436,1659708000000
29.15,29.06,29.34,28.47,293951,1659711600000
29.04,29.18,29.28,28.94,211275,1659715200000
29.18,29.3689,29.62,29.15,271765,1659718800000
29.365,29.14,29.53,29.14,251663,1659722400000
29.12,29.02,29.225,28.72,764146,1659726000000
29.655,28.74,29.76,28.73,263394,1659967200000
28.75,28.485,28.93,28.42,175510,1659970800000
28.48,28.32,28.51,28.09,172860,1659974400000
28.33,28.97,28.97,28.3,161800,1659978000000
28.95,28.76,28.97,28.55,205746,1659981600000
28.76,28.9,28.99,28.66,398726,1659985200000
29.38,29.37,29.6,29.16,137884,1660053600000
29.365,29.41,29.59,29.24,160118,1660057200000
29.43,29.71,29.73,29.38,167092,1660060800000
29.73,29.76,29.88,29.62,146554,1660064400000
29.76,29.63,29.795,29.605,164847,1660068000000
29.63,29.74,29.76,29.56,417430,1660071600000
30.05,30.38,30.45,29.89,132787,1660140000000
30.42,30.215,30.46,30.07,131751,1660143600000
30.19,30.6,30.69,30.19,170473,1660147200000
30.595,30.54,30.67,30.47,109631,1660150800000
30.53,30.325,30.57,30.28,118655,1660154400000
30.34,30.78,30.84,30.32,525148,1660158000000
30.96,31.7792,32.09,30.945,515943,1660226400000
31.76,31.59,32.05,31.44,246839,1660230000000
31.64,31.75,31.79,31.4,147547,1660233600000
31.76,31.8,31.95,31.67,157628,1660237200000
31.78,31.55,31.85,31.54,151305,1660240800000
31.61,31.29,31.71,31.28,1002338.0,1660244400000
31.36,30.95,31.36,30.87,142677,1660312800000
30.975,31.095,31.3,30.895,128919,1660316400000
31.095,31.36,31.48,31.05,193973,1660320000000
31.38,31.5,31.53,31.2,146668,1660323600000
31.495,31.495,31.72,31.46,165966,1660327200000
31.495,31.4,31.495,31.19,350521,1660330800000
30.82,30.86,31.02,30.715,156699,1660572000000
30.85,31.54,31.5731,30.83,136703,1660575600000
31.53,31.59,31.75,31.51,121066,1660579200000
31.59,31.56,31.64,31.4,141072,1660582800000
31.57,31.83,31.84,31.45,190023,1660586400000
31.81,32.02,32.08,31.75,376053,1660590000000
32.67,32.83,32.99,32.51,276860,1660658400000
32.82,32.86,32.95,32.64,77954,1660662000000
32.79,32.76,32.97,32.69,80870,1660665600000
32.74,32.89,32.91,32.72,65132,1660669200000
32.88,32.84,32.955,32.68,134614,1660672800000
32.83,32.46,32.8799,32.4,433335,1660676400000
31.96,31.92,32.145,31.87,93680,1660744800000
31.94,31.95,32.26,31.92,62543,1660748400000
31.975,32.03,32.12,31.89,51356,1660752000000
32.045,32.09,32.23,32.01,49904,1660755600000
32.11,32.46,32.54,32.11,92941,1660759200000
32.45,32.51,32.515,32.31,234216,1660762800000
32.63,32.65,32.77,32.5,63150,1660831200000
32.64,32.62,32.68,32.4393,75733,1660834800000
32.62,32.625,32.695,32.56,63056,1660838400000
32.64,32.675,32.75,32.6,57564,1660842000000
32.68,32.755,32.77,32.66,90029,1660845600000
32.75,32.87,32.88,32.6,265489,1660849200000
32.3,32.29,32.39,32.07,94722,1660917600000
32.25,32.35,32.3848,32.06,61520,1660921200000
32.33,32.44,32.46,32.22,52017,1660924800000
32.455,32.38,32.46,32.28,37640,1660928400000
32.39,32.405,32.5,32.29,53638,1660932000000
32.41,32.56,32.57,32.36,172566,1660935600000
32.2001,31.84,32.2001,31.78,150203,1661176800000
31.85,32.01,32.04,31.835,82091,1661180400000
32.03,31.91,32.07,31.865,57931,1661184000000
31.89,31.5,31.9,31.34,222373,1661187600000
31.54,31.33,31.57,30.96,481775,1661191200000
31.33,31.45,31.49,31.2,408077,1661194800000
32.2,31.88,32.41,31.84,362941,1661263200000
31.87,32.16,32.19,31.71,76232,1661266800000
32.16,32.16,32.185,31.96,62163,1661270400000
32.145,31.99,32.295,31.95,101632,1661274000000
31.965,31.83,32.04,31.8,103715,1661277600000
31.8,31.56,31.88,31.52,369350,1661281200000
31.59,32.06,32.095,31.59,113545,1661349600000
32.07,32.13,32.32,32.05,90031,1661353200000
32.11,32.1285,32.155,32.04,80927,1661356800000
32.13,32.17,32.225,32.095,56544,1661360400000
32.18,32.3,32.36,32.14,120649,1661364000000
32.3,32.43,32.6,32.25,261369,1661367600000
32.89,32.75,33.19,32.5701,158238,1661436000000
32.75,32.78,32.88,32.72,80038,1661439600000
32.78,32.59,32.78,32.5,876849,1661443200000
32.62,32.615,32.73,32.59,111860,1661446800000
32.61,32.74,32.8,32.58,99667,1661450400000
32.73,33.1,33.1,32.65,423589,1661454000000
33.02,32.67,33.155,32.56,77623,1661522400000
32.62,32.68,32.68,32.4,71995,1661526000000
32.67,32.64,32.7106,32.54,51679,1661529600000
32.625,32.605,32.71,32.59,53367,1661533200000
32.63,32.39,32.64,32.365,70035,1661536800000
32.39,32.34,32.43,32.19,231907,1661540400000
32.03,32.15,32.34,31.86,71768,1661781600000
32.19,32.36,32.415,32.19,31501,1661785200000
32.38,32.36,32.59,32.205,46293,1661788800000
32.34,32.3,32.37,32.23,38046,1661792400000
32.29,32.14,32.29,32,65969,1661796000000
32.15,32.11,32.18,31.94,196521,1661799600000
31.27,31.26,31.51,30.92,157790,1661868000000
31.255,31.491,31.57,31.13,84765,1661871600000
31.51,31.5,31.68,31.455,86336,1661875200000
31.51,31.48,31.54,31.32,70426,1661878800000
31.47,31.38,31.49,31.33,78650,1661882400000
31.39,31.52,31.61,31.39,212657,1661886000000
30.58,30.38,30.64,30.2,608086,1661954400000
30.36,30.62,30.74,30.1,182385,1661958000000
30.61,30.42,30.74,30.3,265297,1661961600000
30.42,30.3,30.44,30.24,76191,1661965200000
30.31,29.9718,30.31,29.81,213190,1661968800000
29.9888,29.93,30.22,29.89,474513,1661972400000
28.665,28.91,29.02,28.45,242689,1662040800000
28.93,29.36,29.505,28.86,142185,1662044400000
29.35,29.37,29.5,29.27,114921,1662048000000
29.37,29.45,29.61,29.32,105309,1662051600000
29.46,29.61,29.685,29.36,122767,1662055200000
29.6,29.79,29.8,29.37,427213,1662058800000
29.94,30.48,30.7,29.86,119273,1662127200000
30.48,30.45,30.54,30.345,70430,1662130800000
30.465,30.21,30.525,30.09,70782,1662134400000
30.15,29.85,30.18,29.69,72513,1662138000000
29.83,29.905,30.01,29.83,73784,1662141600000
29.89,29.73,30.01,29.5,245594,1662145200000
29.44,29.47,29.64,29.22,117632,1662472800000
29.42,29.8,29.85,29.4,79758,1662476400000
29.8,29.63,29.82,29.57,52243,1662480000000
29.62,29.56,29.62,29.42,50280,1662483600000
29.53,29.54,29.69,29.53,63081,1662487200000
29.6,29.71,29.76,29.42,233379,1662490800000
29.65,29.7,29.807,29.39,84741,1662559200000
29.695,29.65,29.75,29.58,86681,1662562800000
29.64,29.66,29.73,29.5101,75157,1662566400000
29.665,29.83,29.845,29.665,66014,1662570000000
29.825,30.085,30.105,29.82,92722,1662573600000
30.08,30.14,30.25,30.02,252375,1662577200000
30.11,30.49,30.71,30.0699,136810,1662645600000
30.46,30.395,30.7,30.33,46587,1662649200000
30.38,30.26,30.4,30.05,47213,1662652800000
30.27,30.1943,30.45,30.11,77681,1662656400000
30.17,30.03,30.205,30,109067,1662660000000
30.04,29.94,30.105,29.865,252377,1662663600000
30.295,30.675,30.74,30.295,105098,1662732000000
30.65,30.98,30.98,30.61,135799,1662735600000
30.97,30.77,30.97,30.68,121632,1662739200000
30.73,31,31.02,30.7,94671,1662742800000
31,31.1,31.12,30.9509,58924,1662746400000
31.09,31.12,31.25,31.02,293763,1662750000000
31.77,31.35,31.85,31.34,132490,1662991200000
31.37,31.4425,31.61,31.26,103715,1662994800000
31.445,31.575,31.67,31.445,84411,1662998400000
31.585,31.69,31.77,31.57,93126,1663002000000
31.7,31.79,31.82,31.67,80638,1663005600000
31.8,31.67,31.86,31.59,276519,1663009200000
31.26,31.145,31.45,30.89,161535,1663077600000
31.14,31.15,31.28,31.05,83461,1663081200000
31.15,31.39,31.41,31.13,71708,1663084800000
31.39,31.155,31.46,31.135,69034,1663088400000
31.14,31.17,31.21,31.0552,103674,1663092000000
31.17,31,31.17,30.88,293148,1663095600000
30.04,30.255,30.38,29.73,246777,1663164000000
30.265,30.23,30.62,30.15,203755,1663167600000
30.24,30.47,30.54,30.1,137778,1663171200000
30.49,30.33,30.55,30.3,104242,1663174800000
30.32,30.205,30.47,30.18,131681,1663178400000
30.22,30.33,30.36,29.9,419484,1663182000000
30.65,30.68,30.94,30.53,170613,1663250400000
30.665,30.44,30.8,30.26,171778,1663254000000
30.44,30.54,30.55,30.27,86351,1663257600000
30.525,30.96,30.97,30.525,132322,1663261200000
30.97,30.96,31.08,30.81,146449,1663264800000
30.95,30.59,30.95,30.55,300316,1663268400000
29.84,29.93,30.24,29.84,147325,1663336800000
29.97,30.04,30.22,29.94,80563,1663340400000
30.03,29.68,30.03,29.521,74260,1663344000000
29.69,29.5,29.71,29.43,73770,1663347600000
29.52,29.705,29.8,29.5,139027,1663351200000
29.705,30.04,30.39,29.5,721555,1663354800000
30.69,30.94,31.21,30.491,151667,1663596000000
30.94,30.99,31.115,30.82,106232,1663599600000
30.99,30.93,31.04,30.82,79685,1663603200000
30.92,30.89,30.92,30.73,58427,1663606800000
30.88,30.96,31.02,30.7965,87674,1663610400000
30.945,31.29,31.3478,30.945,371692,1663614000000
30.58,30.26,30.645,30.1694,131551,1663682400000
30.2479,30.39,30.42,30.1,122170,1663686000000
30.395,30.225,30.63,30.1921,92505,1663689600000
30.2281,30.02,30.25,29.88,125414,1663693200000
30.04,30.32,30.335,30.04,93514,1663696800000
30.32,30.32,30.46,30.21,287169,1663700400000
30.69,30.58,30.7,30.43,81638,1663768800000
30.58,30.61,30.65,30.465,49616,1663772400000
30.62,30.43,30.7,30.38,82831,1663776000000
30.425,30.467,30.525,30.345,55476,1663779600000
30.42,30.48,30.72,29.75,123355,1663783200000
30.51,29.67,30.58,29.67,250782,1663786800000
29.32,29.075,29.51,29.01,71978,1663855200000
29.05,28.955,29.18,28.9,128131,1663858800000
28.955,28.92,29.16,28.91,93213,1663862400000
28.93,28.91,28.97,28.71,100163,1663866000000
28.91,28.73,28.92,28.63,101086,1663869600000
28.75,29.03,29.24,28.74,353970,1663873200000
27.85,27.64,27.98,27.46,135918,1663941600000
27.65,27.45,27.72,27.365,72237,1663945200000
27.49,27.67,27.7,27.42,71170,1663948800000
27.7,27.71,27.82,27.64,71120,1663952400000
27.7,27.58,27.78,27.53,81875,1663956000000
27.59,27.88,27.96,27.58,268096,1663959600000
27.97,28.44,28.84,27.97,233063,1664200800000
28.43,28.09,28.46,28.03,70300,1664204400000
28.06,28.03,28.16,27.88,64627,1664208000000
28.045,27.905,28.0591,27.785,71397,1664211600000
27.905,28.205,28.255,27.9,99177,1664215200000
28.21,28.02,28.38,27.98,350226,1664218800000
28.72,28.71,28.81,28.43,104664,1664287200000
28.695,28.195,28.76,28.16,123658,1664290800000
28.195,27.99,28.245,27.78,111910,1664294400000
27.97,27.84,27.97,27.68,144057,1664298000000
27.85,28,28.05,27.72,108662,1664301600000
28,28.26,28.3,27.86,262430,1664305200000
28.3,28.455,28.59,28.14,64083,1664373600000
28.44,28.825,28.88,28.41,66879,1664377200000
28.82,28.7,28.895,28.63,68220,1664380800000
28.71,28.71,28.845,28.61,140218,1664384400000
28.7,28.74,28.9,28.68,98333,1664388000000
28.74,28.6,28.875,28.58,314058,1664391600000
27.6,27.805,27.88,27.51,312863,1664460000000
27.8,27.77,27.98,27.63,93009,1664463600000
27.78,27.59,27.86,27.55,72082,1664467200000
27.625,27.22,27.64,27.19,246287,1664470800000
27.23,27.375,27.41,27.18,89763,1664474400000
27.37,27.61,27.66,27.325,268852,1664478000000
27.53,27.48,27.6107,27.3,78073,1664546400000
27.51,27.47,27.6819,27.42,74316,1664550000000
27.46,27.38,27.46,27.24,50977,1664553600000
27.39,26.935,27.5,26.9,118314,1664557200000
26.925,26.66,27.075,26.63,85033,1664560800000
26.65,26.64,26.78,26.46,301151,1664564400000
27.7,28.53,28.54,27.7,163854,1664805600000
28.515,28.48,28.71,28.47,95590,1664809200000
28.47,28.44,28.57,28.315,64075,1664812800000
28.46,28.22,28.53,28.2005,94551,1664816400000
28.23,28.47,28.49,28.23,86849,1664820000000
28.46,28.31,28.47,28.07,379240,1664823600000
29.31,29.315,29.38,29.13,160289,1664892000000
29.33,29.48,29.575,29.32,68419,1664895600000
29.49,29.44,29.545,29.365,47660,1664899200000
29.42,29.36,29.42,29.18,55151,1664902800000
29.36,29.3,29.41,29.24,52325,1664906400000
29.29,29.43,29.49,29.1,388094,1664910000000
28.95,28.71,28.95,28.57,68527,1664978400000
28.76,28.88,28.97,28.69,44435,1664982000000
28.9,29.17,29.21,28.8101,53076,1664985600000
29.16,29.34,29.4,29.15,55854,1664989200000
29.35,29.25,29.38,29.18,62397,1664992800000
29.25,28.93,29.48,28.88,307305,1664996400000
28.925,28.655,28.95,28.4,53003,1665064800000
28.655,28.57,28.78,28.48,63584,1665068400000
28.55,28.62,28.73,28.47,54904,1665072000000
28.63,28.67,28.73,28.58,44708,1665075600000
28.67,28.59,28.68,28.54,56267,1665079200000
28.6,28.37,28.61,28.27,282431,1665082800000
28.165,28.27,28.4,28.02,95690,1665151200000
28.27,28.05,28.3175,27.975,65955,1665154800000
28.07,27.875,28.11,27.805,66402,1665158400000
27.885,27.65,27.885,27.65,74495,1665162000000
27.66,27.755,27.83,27.65,86157,1665165600000
27.77,27.93,27.98,27.74,349067,1665169200000
28.37,28.38,28.62,28.23,53989,1665410400000
28.3502,28.61,28.675,28.25,66713,1665414000000
28.615,28.155,28.645,28.13,65143,1665417600000
28.14,28.32,28.42,28.085,64755,1665421200000
28.3076,28.22,28.3272,28.115,53707,1665424800000
28.225,28.2,28.455,28.19,219211,1665428400000
27.43,27.42,27.52,27.2,73066,1665496800000
27.42,27.92,28.03,27.41,84682,1665500400000
27.935,28.08,28.11,27.77,49420,1665504000000
28.08,28.02,28.09,27.97,47044,1665507600000
28.04,27.68,28.13,27.68,81040,1665511200000
27.64,27.76,27.86,27.51,221377,1665514800000
27.28,27.23,27.37,27.1,67214,1665583200000
27.23,27.48,27.6,27.22,66242,1665586800000
27.5,27.405,27.57,27.34,50939,1665590400000
27.39,27.31,27.43,27.27,31859,1665594000000
27.31,27.4,27.52,27.285,50057,1665597600000
27.4,27.27,27.535,27.26,176184,1665601200000
26.55,27,27.05,26.495,110167,1665669600000
26.97,27.48,27.81,26.95,65544,1665673200000
27.52,27.58,27.69,27.34,43535,1665676800000
27.58,27.67,27.79,27.51,49592,1665680400000
27.63,27.88,27.95,27.59,79291,1665684000000
27.86,27.72,27.91,27.66,206072,1665687600000
28.37,27.59,28.39,27.52,65173,1665756000000
27.57,27.22,27.74,27.17,52542,1665759600000
27.18,27.035,27.24,26.98,52437,1665763200000
27.05,27.04,27.135,26.96,48469,1665766800000
27.03,26.795,27.03,26.74,58659,1665770400000
26.82,27.02,27.12,26.79,297826,1665774000000
28.02,27.7,28.165,27.66,81613,1666015200000
27.71,27.97,28.01,27.675,96187,1666018800000
27.97,27.7,27.9839,27.64,43540,1666022400000
27.69,27.78,27.89,27.66,45945,1666026000000
27.75,27.66,27.79,27.62,52984,1666029600000
27.64,27.74,27.85,27.62,194992,1666033200000
28.43,28.44,28.64,28.28,73916,1666101600000
28.43,28.34,28.48,28.1,58385,1666105200000
28.35,28.38,28.51,28.31,60377,1666108800000
28.38,28.48,28.564,28.25,77429,1666112400000
28.5,28.26,28.51,28.185,88028,1666116000000
28.26,28.47,28.47,28.18,249023,1666119600000
28.11,28.325,28.55,28.04,67391,1666188000000
28.32,28.19,28.32,27.93,90175,1666191600000
28.19,28.05,28.2,27.99,115156,1666195200000
28.04,28.14,28.195,27.91,56137,1666198800000
28.13,28.24,28.255,28.11,82528,1666202400000
28.24,28.5,28.51,28.19,225942,1666206000000
28.6,28.705,28.86,28.57,81716,1666274400000
28.71,28.58,28.83,28.58,71109,1666278000000
28.57,28.11,28.57,28.06,64493,1666281600000
28.09,27.93,28.11,27.85,59415,1666285200000
27.93,28.005,28.0213,27.81,54450,1666288800000
28.03,28.11,28.15,27.87,153430,1666292400000
28.8,28.56,29.09,28.5201,73197,1666360800000
28.53,28.715,28.78,28.47,54576,1666364400000
28.73,28.95,29,28.62,53917,1666368000000
28.94,28.85,28.98,28.77,37768,1666371600000
28.85,29.06,29.14,28.81,70166,1666375200000
29.07,29.28,29.535,29.045,280311,1666378800000
29.169,28.95,29.169,28.55,99552,1666620000000
28.94,29,29.025,28.7701,51894,1666623600000
