o,c,h,l,v,t
111.07,110.63,111.14,110.3,97135,1657720800000
110.7,111.15,111.245,110.64,59960,1657724400000
111.12,111.715,111.75,111.12,46520,1657728000000
111.71,111.65,112,111.44,46003,1657731600000
111.6,111.67,111.84,111.21,49225,1657735200000
111.775,111.1,111.775,111.08,120838,1657738800000
109.835,109.6,110.135,109.41,171062,1657807200000
109.73,110.64,110.74,109.575,89959,1657810800000
110.55,109.91,110.69,109.75,46985,1657814400000
109.9,109.95,110.175,109.66,37422,1657818000000
109.97,110.68,110.71,109.97,52795,1657821600000
110.69,110.87,111.33,110.4948,169142,1657825200000
111.13,111.97,112.1,110.905,96123,1657893600000
112.02,111.95,112.29,111.67,65265,1657897200000
112,111.44,112.05,111.37,69545,1657900800000
111.46,111.76,112.03,111.46,127317,1657904400000
111.75,111.88,112.06,111.71,120467,1657908000000
111.86,111.88,112.2,111.61,394136,1657911600000
111.87,112.3,112.38,111.731,82332,1658152800000
112.265,111.99,112.265,111.87,98843,1658156400000
111.9701,111.94,112.11,111.86,104688,1658160000000
111.94,112.14,112.35,111.685,60059,1658163600000
112.179,112.23,112.38,111.98,58784,1658167200000
112.21,111.87,112.5,111.715,272175,1658170800000
112.715,113.28,113.37,112.54,57319,1658239200000
113.39,113.065,113.42,112.99,60666,1658242800000
113.07,113.005,113.2,112.74,107258,1658246400000
113.02,113.11,113.11,112.77,85802,1658250000000
113.12,113.015,113.27,112.91,63972,1658253600000
113,113.48,113.56,112.92,423817,1658257200000
113.005,113.86,113.86,112.81,83819,1658325600000
113.89,113.6,114.03,113.19,86793,1658329200000
113.56,112.975,113.77,112.975,99041,1658332800000
112.975,111.91,113.05,111.85,125637,1658336400000
111.95,112.24,112.29,111.83,100295,1658340000000
112.22,111.68,112.24,111.5,353091,1658343600000
111.75,112.08,112.13,111.44,55351,1658412000000
112.12,112.61,113.09,112.105,80969,1658415600000
112.58,112.51,112.96,112.46,54005,1658419200000
112.5,112.085,112.53,112.06,38412,1658422800000
112.09,111.82,112.275,111.82,73433,1658426400000
111.84,112.59,112.64,111.84,157279,1658430000000
113.06,113.56,113.63,113.06,52153,1658498400000
113.5669,113.7,113.8394,113.39,46338,1658502000000
113.8,113.17,113.8,113.03,57069,1658505600000
113.115,112.98,113.43,112.835,65880,1658509200000
112.98,112.545,112.99,112.45,71212,1658512800000
112.54,113.36,113.4,112.515,165580,1658516400000
113.675,114.41,114.46,113.62,106169,1658757600000
114.45,114.455,114.63,114.25,76382,1658761200000
114.43,114.21,114.555,113.9263,97748,1658764800000
114.22,114.04,114.38,114.04,72851,1658768400000
114,114.085,114.12,113.91,72285,1658772000000
114.07,114.73,114.925,114.03,174463,1658775600000
115.69,115.58,115.9,115.14,114619,1658844000000
115.564,115.655,115.77,115.41,51251,1658847600000
115.68,115.9902,116.052,115.57,38541,1658851200000
115.96,115.92,116.345,115.92,34904,1658854800000
115.91,115.9,116.05,115.55,66981,1658858400000
115.91,116.24,116.43,115.79,201883,1658862000000
115.55,115.49,115.96,115.305,65933,1658930400000
115.49,115.555,115.81,115.49,55462,1658934000000
115.57,115.7439,115.86,115.54,49965,1658937600000
115.765,115.855,115.96,115.52,51778,1658941200000
115.67,116.13,116.34,115.5,124521,1658944800000
116.13,116.48,116.84,116.025,258830,1658948400000
116.74,117.81,117.97,116.43,81728,1659016800000
117.77,117.28,117.81,117.28,66058,1659020400000
117.25,117.935,117.96,117.25,39746,1659024000000
117.875,118.66,118.72,117.76,55636,1659027600000
118.64,119.47,119.525,118.53,90818,1659031200000
119.49,119.9,120.15,119.44,249298,1659034800000
120.33,120.305,121.02,120.22,106561,1659103200000
120.36,121.315,121.4,120.36,61570,1659106800000
121.3589,121.56,121.77,121.08,72863,1659110400000
121.56,121.66,121.92,121.49,91398,1659114000000
121.67,121.71,121.74,121.51,105342,1659117600000
121.71,121.42,121.77,121.34,271825,1659121200000
120.63,120.41,120.9,120,83792,1659362400000
120.435,120.27,120.5,119.955,187395,1659366000000
120.21,120.71,121.21,120.16,78753,1659369600000
120.7,120.83,120.94,120.41,89544,1659373200000
120.82,121.075,121.1,120.66,98368,1659376800000
121.04,121.15,121.3,120.88,227769,1659380400000
121.3,121.215,121.47,120.85,129861,1659448800000
121.2,121.44,121.53,120.99,93562,1659452400000
121.43,121.64,121.71,121.13,75238,1659456000000
121.635,121.1,121.64,120.93,88173,1659459600000
121.07,121.39,121.57,121.02,86318,1659463200000
121.39,120.12,121.43,119.98,265257,1659466800000
117.91,118.445,118.47,116.915,187463,1659535200000
118.435,117.89,118.63,117.55,116753,1659538800000
117.88,118.9,118.9,117.88,100059,1659542400000
118.925,119.21,119.345,118.83,67863,1659546000000
119.18,118.92,119.41,118.775,55784,1659549600000
118.93,119.16,119.57,118.78,190102,1659553200000
118.1,118.92,119.22,117.76,110993,1659621600000
118.95,118.325,118.97,118.23,109363,1659625200000
118.3,117.56,118.3,117.56,58787,1659628800000
117.5,117.23,117.67,117.09,84042,1659632400000
117.23,117.52,117.845,117.15,114272,1659636000000
117.5,115.8,117.59,115.52,408417,1659639600000
114.77,113.74,115.04,113.07,131987,1659708000000
113.78,113.98,114.32,113.71,92606,1659711600000
113.99,113.875,114.37,113.86,101691,1659715200000
113.91,113.52,114.09,113.52,156034,1659718800000
113.52,113.53,113.76,113.4147,93635,1659722400000
