o,c,h,l,v,t
100.64,100.91,101.16,100.245,29957,1657720800000
100.81,100.66,101.28,100.29,16208,1657724400000
100.69,101.03,101.195,100.63,17818,1657728000000
101.03,100.7275,101.31,100.64,17261,1657731600000
100.66,100.99,101.15,100.175,24839,1657735200000
101.085,100.64,101.115,100.49,48119,1657738800000
98.85,98.63,98.885,98.39,14209,1657807200000
98.79,99.34,99.34,98.34,25043,1657810800000
99.34,99.175,99.385,98.84,15431,1657814400000
99.175,99.37,99.49,99.03,17188,1657818000000
99.37,99.51,99.91,99.32,21304,1657821600000
99.485,99.3,99.57,99.2,65128,1657825200000
100.43,100.45,100.58,100.14,25512,1657893600000
100.56,100.54,100.7,100.5,6703,1657897200000
100.51,99.88,100.56,99.88,10274,1657900800000
100.03,99.7184,100.21,99.67,4802,1657904400000
99.66,99.495,99.71,99.33,12483,1657908000000
99.425,100.04,100.04,99.21,55584,1657911600000
100.43,99.91,100.43,99.81,23112,1658152800000
99.81,99.26,99.85,99.2,20333,1658156400000
99.24,99.33,99.5,99.02,18073,1658160000000
99.26,98.89,99.34,98.89,13536,1658163600000
98.75,98.3426,98.93,98.3426,15323,1658167200000
98.4,98.11,98.71,97.7,47008,1658170800000
99.26,99.86,100.02,99.15,234470,1658239200000
99.885,100.16,100.39,99.74,120014,1658242800000
100.18,100.75,100.79,100,36341,1658246400000
100.69,100.63,100.76,100.23,22219,1658250000000
100.75,100.765,101.05,100.72,23425,1658253600000
100.72,101.04,101.09,100.57,125216,1658257200000
101.39,101.67,101.76,101.09,27316,1658325600000
101.5,101.43,101.75,101.295,49451,1658329200000
101.645,102.46,102.48,101.64,52093,1658332800000
102.33,101.335,102.47,101.23,20016,1658336400000
101.43,101.6,102.27,101.43,43650,1658340000000
101.64,101.81,102.105,101.64,150924,1658343600000
102.87,102.56,102.87,102.22,8472,1658412000000
102.79,102.7,102.79,102.16,5070,1658415600000
102.62,102.925,103.15,102.62,7512,1658419200000
102.82,102.81,103.01,102.6125,9155,1658422800000
102.92,103.17,103.18,102.92,8238,1658426400000
103.18,103.49,103.595,103.18,54419,1658430000000
103.455,103.7134,103.86,103.15,22666,1658498400000
103.545,103.085,103.68,102.96,25225,1658502000000
103.095,103.035,103.31,102.8323,18126,1658505600000
102.95,102.875,103.22,102.62,13784,1658509200000
102.92,102.5813,102.95,102.33,16730,1658512800000
102.57,103.6,103.68,102.57,68086,1658516400000
104.43,103.995,104.43,103.87,23172,1658757600000
104,104.26,104.51,103.83,23954,1658761200000
104.39,104.03,104.48,103.91,25732,1658764800000
104.04,103.49,104.2,103.43,12882,1658768400000
103.4,103.375,103.59,103.2675,13820,1658772000000
103.3856,103.92,104.13,103.19,82074,1658775600000
101.93,102.83,102.83,101.89,29832,1658844000000
102.84,102.96,103.11,102.63,11194,1658847600000
102.93,103.34,103.35,102.895,12484,1658851200000
103.25,103.59,103.87,103.19,37203,1658854800000
103.7,102.985,103.77,102.9,26213,1658858400000
103.01,103.8,103.88,102.92,79007,1658862000000
104.11,103.87,104.485,103.765,11386,1658930400000
103.96,104.12,104.35,103.82,15821,1658934000000
104.22,104.17,104.275,104,9287,1658937600000
104.19,104.46,104.61,104.19,14245,1658941200000
104.5333,105.35,105.56,104.19,23780,1658944800000
105.51,105.98,106.54,105.35,89640,1658948400000
105.25,106.09,106.1,105.15,24337,1659016800000
106.095,106.16,106.845,105.92,21308,1659020400000
106.23,106.09,106.255,105.96,28516,1659024000000
106.07,107.005,107.005,105.91,46180,1659027600000
107.08,107.11,107.45,106.93,22468,1659031200000
107.125,107.58,107.65,106.86,54549,1659034800000
108.05,107.91,108.568,107.86,28129,1659103200000
108.06,108.2047,108.7,107.88,30050,1659106800000
108.15,108.59,109.05,108.15,15682,1659110400000
108.63,109.46,109.46,108.63,15765,1659114000000
109.47,108.985,109.49,108.87,14151,1659117600000
108.985,107.91,109.28,107.65,106337,1659121200000
106.8,107.57,107.57,106.41,14856,1659362400000
107.64,107.59,107.6953,107.0005,30754,1659366000000
107.63,108.595,108.65,107.42,28207,1659369600000
108.595,108.15,108.65,107.8,25395,1659373200000
107.97,108.35,108.385,107.81,26141,1659376800000
108.3,108.195,108.44,107.97,100577,1659380400000
106.75,106.72,107.19,106.72,12607,1659448800000
106.55,106.57,106.61,105.83,21817,1659452400000
106.63,107.445,107.45,106.6227,6173,1659456000000
107.335,106.375,107.34,106.3,8091,1659459600000
106.38,106.78,107.09,106.31,23376,1659463200000
106.78,106.65,106.78,106.13,76001,1659466800000
107.08,106.96,107.32,106.75,20623,1659535200000
107.105,107.87,107.87,107.08,12545,1659538800000
107.88,108.32,108.45,107.88,12618,1659542400000
108.38,108.64,108.82,108.29,23681,1659546000000
108.63,108.61,108.76,108.35,26508,1659549600000
108.635,107.66,108.66,107.6,105480,1659553200000
106.37,106.405,106.48,105.87,15391,1659621600000
106.41,106.07,106.46,106.07,18635,1659625200000
106.02,106.345,106.48,106.01,21899,1659628800000
106.31,106.43,106.63,106.17,17898,1659632400000
106.4,106.4,106.46,105.855,34397,1659636000000
106.33,106.4,106.81,106.05,97312,1659639600000
105.84,106.29,106.67,105.705,17901,1659708000000
106.26,105.495,106.26,105.28,15264,1659711600000
105.71,105.57,105.97,105.57,13346,1659715200000
105.37,105.315,105.6,105.09,13304,1659718800000
105.3,105.4825,105.63,105.235,13672,1659722400000
105.515,105.62,105.78,105.21,59201,1659726000000
107.255,107.81,108,106.93,18514,1659967200000
107.77,107.33,107.9,106.93,14043,1659970800000
107.33,107.5,107.5,107.11,13062,1659974400000
107.49,107.93,107.93,107.41,20551,1659978000000
107.81,107.46,107.86,107.26,48951,1659981600000
107.46,107.28,107.72,107.1,69295,1659985200000
107.47,107.02,107.64,106.86,24228,1660053600000
106.915,106.86,107.12,106.49,19940,1660057200000
106.78,107.03,107.03,106.62,11807,1660060800000
107.02,107.435,107.44,106.79,18728,1660064400000
107.545,107.24,107.545,107.07,21212,1660068000000
107.175,107.35,107.45,106.94,80101,1660071600000
110.22,110.445,110.74,110.07,19026,1660140000000
110.48,110.28,110.67,109.94,10608,1660143600000
110.305,110.36,110.57,110.03,7995,1660147200000
110.23,110.39,110.49,110.135,9814,1660150800000
110.335,109.73,110.335,109.69,10904,1660154400000
109.69,109.72,109.94,109.525,46314,1660158000000
110.37,111.03,111.29,110.3,18726,1660226400000
110.55,110.49,110.755,110.43,5587,1660230000000
110.47,110.62,110.67,110.265,12543,1660233600000
110.59,110.595,110.66,110.48,11008,1660237200000
110.453,110.2,110.52,110.18,10707,1660240800000
110.15,109.59,110.15,109.55,45222,1660244400000
110.28,110.295,110.88,110.17,16480,1660312800000
110.3,110.37,110.61,110.135,22564,1660316400000
110.43,110.52,110.68,110.32,21539,1660320000000
110.465,110.6643,110.92,110.3,16447,1660323600000
110.75,111.06,111.12,110.59,18593,1660327200000
111,111.13,111.15,110.48,59988,1660330800000
111.13,111.4,111.58,111.13,6597,1660572000000
111.4841,111.89,112.14,111.37,12574,1660575600000
111.99,112.17,112.36,111.99,10108,1660579200000
112.275,112.155,112.38,112.075,5652,1660582800000
112.15,111.935,112.24,111.57,17525,1660586400000
111.995,111.91,112.425,111.86,48529,1660590000000
111.39,111.6,111.66,110.96,13240,1660658400000
111.64,111.855,111.94,111.52,6734,1660662000000
111.86,111.67,112,111.65,8087,1660665600000
111.75,112.05,112.24,111.66,22266,1660669200000
112.045,111.7473,112.26,111.53,14454,1660672800000
111.73,112.1,112.14,111.66,55919,1660676400000
110.785,110.16,111.27,110.09,20565,1660744800000
110.12,110.85,110.97,110.05,30746,1660748400000
110.775,110.84,111.12,110.775,13662,1660752000000
110.76,110.9808,111.16,110.715,7253,1660755600000
111.19,111.14,111.44,111.055,8880,1660759200000
111.15,111.08,111.47,110.925,49501,1660762800000
110.31,110.465,110.76,110.13,36546,1660831200000
110.53,110.865,111.04,110.47,23202,1660834800000
110.91,110.77,111.015,110.58,24745,1660838400000
110.83,110.8,111,110.7533,16093,1660842000000
110.86,111.04,111.04,110.77,12526,1660845600000
111.005,111.07,111.14,110.78,49540,1660849200000
109.99,110.26,110.71,109.69,22240,1660917600000
110.24,110.05,110.465,109.725,20354,1660921200000
110.01,110.4525,110.46,109.87,15008,1660924800000
110.435,110.75,110.78,110.28,26611,1660928400000
110.67,110.245,110.745,110.12,20766,1660932000000
110.2,110.05,110.34,109.875,50884,1660935600000
109.265,108.43,109.265,108.43,9451,1661176800000
108.5,108.48,108.69,108.31,16179,1661180400000
