o,c,h,l,v,t
8.67,8.67,8.67,8.67,100,1657720800000
8.48,8.34,8.63,8.34,977,1657724400000
8.295,8.44,8.44,8.295,606,1657728000000
8.27,8.21,8.27,8.21,300,1657735200000
8.2479,8.2,8.2479,8.2,1260,1657738800000
8.07,8.025,8.28,7.955,10822,1657807200000
7.9,7.9,7.9,7.9,516,1657810800000
7.8,7.8,7.8,7.8,120,1657818000000
7.89,8,8,7.89,2722,1657821600000
8,7.98,8,7.98,1135,1657825200000
8.02,8.02,8.02,8.02,130,1657893600000
8.15,8.15,8.15,8.15,100,1657897200000
8.26,8.26,8.26,8.26,400,1658160000000
8.4813,8.4813,8.4813,8.4813,300,1658167200000
8.26,8.2505,8.26,8.2505,584,1658170800000
8.2,8.2,8.2,8.2,100,1658239200000
8.45,8.69,8.75,8.45,1256,1658246400000
8.75,8.9051,8.9051,8.51,4675,1658250000000
8.58,8.6,8.6,8.58,567,1658253600000
8.575,8.52,8.575,8.52,400,1658257200000
8.75,8.75,8.75,8.75,100,1658325600000
8.98,9,9.26,8.89,8587,1658329200000
9.09,9,9.09,9,544,1658336400000
8.9768,8.92,8.9768,8.92,275,1658343600000
8.39,8.39,8.39,8.38,1127,1658412000000
8.61,8.51,8.6898,8.5,1765,1658419200000
8.5,8.5,8.5,8.5,100,1658422800000
8.85,8.85,8.85,8.85,107,1658498400000
8.27,8.43,8.43,8.27,1847,1658516400000
8.3,8.26,8.3003,8.26,1069,1658768400000
8.15,8.15,8.15,8.15,100,1658772000000
8.15,8.15,8.15,8.15,100,1658775600000
8.5299,8.51,8.5299,8.45,1966,1658847600000
8.39,8.39,8.39,8.39,200,1658851200000
8.5,8.51,8.51,8.5,1685,1658858400000
8.5,8.5,8.5,8.5,151,1658862000000
8.595,8.5371,8.61,8.2423,4691,1658930400000
8.5,8.47,8.5,8.47,629,1658934000000
8.5,8.52,8.53,8.5,539,1658941200000
8.65,8.65,8.65,8.65,127,1658948400000
8.32,8.33,8.59,8.32,500,1659027600000
8.5,8.5,8.5,8.5,343,1659034800000
8.61,8.57,8.61,8.51,456,1659103200000
8.51,8.51,8.51,8.51,100,1659106800000
8.55,8.53,8.55,8.52,1121,1659117600000
8.5188,8.5,8.535,8.5,1928,1659121200000
8.5,8.44,8.5,8.44,204,1659366000000
8.39,8.39,8.39,8.39,100,1659369600000
8.5405,8.965,8.965,8.5405,711,1659376800000
8.825,8.8,8.825,8.8,415,1659380400000
8.7,8.7,8.7,8.7,700,1659448800000
8.7,8.7,8.7,8.7,121,1659452400000
8.76,8.72,8.76,8.72,1200,1659456000000
8.7,8.54,8.705,8.54,700,1659459600000
8.45,8.62,8.62,8.45,633,1659463200000
8.5,8.5,8.5,8.5,378,1659466800000
8.75,8.75,8.75,8.75,1345,1659535200000
8.57,8.57,8.57,8.57,100,1659538800000
8.66,8.57,8.66,8.57,212,1659542400000
8.57,8.64,8.64,8.57,905,1659546000000
8.5502,8.64,8.64,8.5502,705,1659549600000
8.6,8.6,8.6,8.6,220,1659553200000
7.018,6.75,7.27,6.75,16736,1659621600000
6.76,6.54,6.8992,6.3401,16393,1659625200000
6.51,6.69,6.75,6.46,12730,1659628800000
6.7,6.7,6.86,6.66,6918,1659632400000
