o,c,h,l,v,t
14.64,15,15.0507,14.54,417779,1657720800000
15,15.175,15.3,14.975,569656,1657724400000
15.18,15.24,15.26,15.08,287153,1657728000000
15.25,15.3,15.33,15.195,232761,1657731600000
15.3,15.1501,15.3,15.105,407401,1657735200000
15.16,15.1,15.16,14.94,1034955.0,1657738800000
13.81,13.68,13.87,13.64,923653,1657807200000
13.68,13.81,13.95,13.67,609527,1657810800000
13.81,13.68,13.8393,13.642,393788,1657814400000
13.675,13.8752,13.885,13.645,305365,1657818000000
13.875,13.865,13.9599,13.815,316934,1657821600000
13.87,13.76,13.925,13.76,680658,1657825200000
13.59,13.62,13.8,13.52,562405,1657893600000
13.62,13.76,13.84,13.61,339581,1657897200000
13.77,13.61,13.77,13.59,217136,1657900800000
13.61,13.625,13.69,13.6,237628,1657904400000
13.63,13.68,13.69,13.6,272953,1657908000000
13.68,13.745,13.755,13.675,417117,1657911600000
14.12,14.14,14.16,14.01,445118,1658152800000
14.14,14.035,14.155,13.955,229706,1658156400000
14.05,14.165,14.19,14.045,445242,1658160000000
14.16,14.02,14.2,14.01,379626,1658163600000
14.015,13.915,14.035,13.915,488217,1658167200000
13.91,13.88,13.945,13.87,879029,1658170800000
13.98,13.95,14.06,13.88,473380,1658239200000
13.955,14.245,14.245,13.94,422381,1658242800000
14.24,14.13,14.26,14.115,337505,1658246400000
14.13,14.03,14.1401,14.03,339909,1658250000000
14.035,14.06,14.105,14,344391,1658253600000
14.06,14.135,14.15,14.045,573552,1658257200000
13.87,14,14.035,13.83,260839,1658325600000
13.99,13.97,13.995,13.88,196368,1658329200000
13.98,13.905,13.98,13.85,138127,1658332800000
13.9,13.75,13.9001,13.74,274043,1658336400000
13.75,13.725,13.775,13.69,190695,1658340000000
13.73,13.66,13.73,13.655,376809,1658343600000
13.97,13.96,13.99,13.78,388235,1658412000000
13.96,13.96,14.1,13.85,385296,1658415600000
13.97,13.94,14.01,13.89,204451,1658419200000
13.94,13.89,13.95,13.865,163560,1658422800000
13.88,13.925,13.935,13.865,255396,1658426400000
13.93,14.1,14.11,13.92,653032,1658430000000
14.78,14.69,14.9201,14.59,504488,1658498400000
14.69,14.505,14.73,14.445,376141,1658502000000
14.51,14.31,14.515,14.31,176519,1658505600000
14.305,14.2,14.34,14.13,160751,1658509200000
14.19,14.24,14.25,14.11,150928,1658512800000
14.23,14.15,14.25,14.13,404340,1658516400000
13.95,13.89,13.995,13.848,374007,1658757600000
13.88,13.98,14.075,13.875,240438,1658761200000
13.97,14.03,14.045,13.955,121047,1658764800000
14.025,14.005,14.06,13.95,183181,1658768400000
14.005,13.9,14.02,13.9,141191,1658772000000
13.91,13.95,13.95,13.855,563803,1658775600000
14.275,14.26,14.33,14.185,470063,1658844000000
14.27,14.22,14.34,14.17,170102,1658847600000
14.215,14.29,14.295,14.215,99820,1658851200000
14.285,14.26,14.33,14.225,108735,1658854800000
14.26,14.255,14.295,14.19,167385,1658858400000
14.25,14.375,14.38,14.25,314804,1658862000000
14.31,14.21,14.33,14.14,386486,1658930400000
14.22,14.255,14.33,14.2,202598,1658934000000
14.255,14.29,14.305,14.19,124106,1658937600000
14.29,14.27,14.315,14.25,85817,1658941200000
14.26,14.49,14.575,14.19,397003,1658944800000
14.49,14.515,14.615,14.46,598441,1658948400000
15.06,14.88,15.18,14.77,455762,1659016800000
14.88,14.84,14.98,14.785,331745,1659020400000
14.83,14.98,15.06,14.815,206528,1659024000000
14.97,14.82,14.98,14.74,315788,1659027600000
14.815,14.75,14.82,14.71,266433,1659031200000
14.745,14.86,14.87,14.715,378890,1659034800000
14.57,14.76,14.85,14.57,287184,1659103200000
14.77,14.825,14.83,14.675,235655,1659106800000
14.82,14.8,14.845,14.745,94219,1659110400000
14.8,14.905,14.905,14.775,166382,1659114000000
14.9,14.845,14.935,14.81,144477,1659117600000
14.845,14.72,14.865,14.67,1057869.0,1659121200000
14.75,14.68,14.8007,14.58,218384,1659362400000
14.675,14.76,14.775,14.58,266277,1659366000000
14.77,14.845,14.865,14.69,175543,1659369600000
14.84,14.69,14.84,14.67,162220,1659373200000
14.69,14.605,14.695,14.57,309087,1659376800000
14.6,14.66,14.675,14.57,518741,1659380400000
14.67,14.685,15.01,14.645,1327758.0,1659448800000
14.68,14.57,14.71,14.55,602704,1659452400000
14.58,14.64,14.66,14.515,240734,1659456000000
14.635,14.53,14.69,14.5,273452,1659459600000
14.52,14.415,14.52,14.37,318837,1659463200000
14.4189,14.135,14.435,14.09,1134348.0,1659466800000
14.13,13.91,14.13,13.76,468830,1659535200000
13.905,13.84,13.95,13.79,303629,1659538800000
13.83,13.835,13.86,13.79,228163,1659542400000
13.84,13.87,13.92,13.82,212588,1659546000000
13.87,13.84,13.87,13.8,184756,1659549600000
13.845,13.84,13.88,13.82,579852,1659553200000
14.14,14.16,14.36,14.115,562348,1659621600000
14.16,14.07,14.21,14.06,413102,1659625200000
14.08,14.235,14.25,14.055,264020,1659628800000
14.235,14.33,14.34,14.235,364477,1659632400000
14.32,14.34,14.395,14.29,456066,1659636000000
14.3401,14.24,14.345,14.2201,734800,1659639600000
14.41,14.66,14.68,14.39,815842,1659708000000
14.665,14.675,14.78,14.6,412411,1659711600000
14.68,14.855,14.87,14.655,241889,1659715200000
14.85,14.83,14.85,14.725,294452,1659718800000
14.83,14.8375,14.8802,14.775,251736,1659722400000
14.84,14.99,15,14.79,1496228.0,1659726000000
15.78,15.795,15.9,15.71,1011130.0,1659967200000
15.805,16.075,16.15,15.805,884967,1659970800000
16.075,16.24,16.285,16.04,461977,1659974400000
16.24,16.2589,16.27,16.2,300591,1659978000000
16.255,16.14,16.28,16.13,606669,1659981600000
16.135,16.13,16.28,16.07,1226462.0,1659985200000
16.135,15.94,16.2,15.935,282842,1660053600000
15.945,15.92,15.95,15.8316,245144,1660057200000
15.915,15.93,16.01,15.91,129232,1660060800000
15.93,15.955,16.005,15.885,131811,1660064400000
15.96,16.015,16.02,15.905,153076,1660068000000
16.02,16.15,16.16,16.01,544187,1660071600000
16.01,16.23,16.32,16.01,327318,1660140000000
16.23,16.18,16.255,16.055,263406,1660143600000
16.18,16.255,16.3099,16.15,168739,1660147200000
16.265,16.125,16.28,16.12,127906,1660150800000
16.12,15.94,16.125,15.935,227315,1660154400000
15.935,16,16.035,15.91,338800,1660158000000
16.16,15.955,16.201,15.945,303823,1660226400000
15.95,15.92,16.03,15.81,256639,1660230000000
15.92,15.91,15.94,15.82,129782,1660233600000
15.91,15.905,15.965,15.885,182183,1660237200000
15.91,15.785,15.93,15.765,184518,1660240800000
15.785,15.73,15.815,15.71,443905,1660244400000
15.87,15.75,15.9,15.7,250175,1660312800000
15.75,15.86,15.93,15.71,114662,1660316400000
15.855,15.8408,15.91,15.805,111389,1660320000000
15.865,15.855,15.92,15.805,127972,1660323600000
15.855,15.875,15.93,15.83,93577,1660327200000
15.88,15.93,15.95,15.855,295625,1660330800000
15.65,15.68,15.73,15.585,329681,1660572000000
15.68,15.735,15.8,15.64,233003,1660575600000
15.735,15.835,15.845,15.71,206304,1660579200000
