date,open,close,high,low,volume
1685973600000,5.88,5.9227,5.94,5.85,719435
1685977200000,5.925,5.915,5.94,5.895,374647
1685980800000,5.915,5.915,5.93,5.89,256619
1685984400000,5.915,5.925,5.93,5.89,214999
1685988000000,5.925,5.89,5.94,5.89,281610
1685991600000,5.89,5.885,5.905,5.88,466515
1685995200000,5.89,5.89,5.89,5.89,100
1686056400000,5.91,5.77,5.91,5.76,544414
1686060000000,5.77,5.84,5.84,5.75,803002
1686063600000,5.835,5.835,5.86,5.81,546435
1686067200000,5.835,5.855,5.86,5.82,252984
1686070800000,5.855,5.8481,5.86,5.84,330756
1686074400000,5.8457,5.855,5.86,5.83,266685
1686078000000,5.86,5.86,5.8675,5.85,472793
1686081600000,5.86,5.88,5.88,5.86,15097
1686142800000,5.87,5.975,6,5.8313,418685
1686146400000,5.98,5.875,5.98,5.83,1015354.0
1686150000000,5.88,5.83,5.885,5.83,762543
1686153600000,5.835,5.78,5.85,5.76,595432
1686157200000,5.785,5.795,5.81,5.75,419635
1686160800000,5.79,5.79,5.81,5.78,256361
1686164400000,5.79,5.765,5.79,5.76,871731
1686168000000,5.76,5.8,5.8,5.75,17069
1686229200000,5.86,5.915,5.97,5.85,624541
1686232800000,5.91,5.92,5.99,5.895,810934
1686236400000,5.925,5.87,5.9466,5.86,623836
1686240000000,5.88,5.86,5.91,5.86,296571
1686243600000,5.865,5.855,5.87,5.84,292990
1686247200000,5.855,5.875,5.88,5.84,251775
1686250800000,5.8758,5.86,5.88,5.85,551927
1686254400000,5.86,5.86,5.86,5.86,28013
1686315600000,5.87,5.775,5.87,5.74,535503
1686319200000,5.775,5.795,5.85,5.76,655692
1686322800000,5.7985,5.78,5.83,5.77,352718
1686326400000,5.78,5.775,5.805,5.77,219919
1686330000000,5.78,5.775,5.8,5.77,209636
1686333600000,5.7709,5.75,5.78,5.75,233747
1686337200000,5.75,5.73,5.765,5.73,696323
1686340800000,5.75,5.75,5.76,5.74,4933
1686574800000,5.75,5.685,5.77,5.65,400552
1686578400000,5.685,5.685,5.715,5.65,460518
1686582000000,5.685,5.68,5.71,5.67,621506
1686585600000,5.6832,5.69,5.7099,5.67,413679
1686589200000,5.695,5.685,5.7,5.68,348494
1686592800000,5.68,5.7001,5.71,5.68,282757
1686596400000,5.7097,5.7,5.72,5.7,542567
1686600000000,5.7,5.7,5.71,5.7,22532
1686661200000,5.78,5.7489,5.83,5.74,384391
1686664800000,5.745,5.725,5.77,5.715,441498
1686668400000,5.725,5.6281,5.73,5.61,819197
1686672000000,5.6281,5.665,5.6699,5.62,357459
1686675600000,5.665,5.635,5.6799,5.63,310223
1686679200000,5.635,5.63,5.65,5.62,365621
1686682800000,5.63,5.635,5.655,5.62,498128
1686686400000,5.62,5.63,5.64,5.62,30818
1686747600000,5.71,5.64,5.76,5.63,525651
1686751200000,5.635,5.64,5.67,5.61,612484
1686754800000,5.64,5.625,5.65,5.62,440817
1686758400000,5.625,5.625,5.66,5.62,264036
1686762000000,5.625,5.58,5.63,5.575,592159
1686765600000,5.58,5.585,5.6,5.5,1012563.0
1686769200000,5.59,5.58,5.59,5.56,785037
1686772800000,5.58,5.58,5.58,5.58,400
1686834000000,5.49,5.5284,5.56,5.485,562321
1686837600000,5.52,5.525,5.55,5.495,912330
1686841200000,5.525,5.545,5.56,5.51,410333
1686844800000,5.545,5.575,5.5957,5.5349,316768
1686848400000,5.575,5.58,5.59,5.561,256291
1686852000000,5.575,5.5825,5.59,5.57,186696
1686855600000,5.585,5.58,5.59,5.57,517415
1686859200000,5.59,5.58,5.59,5.5601,20661
1686920400000,5.64,5.62,5.64,5.53,365608
1686924000000,5.63,5.605,5.69,5.57,632919
1686927600000,5.605,5.585,5.63,5.58,326520
1686931200000,5.5801,5.58,5.59,5.56,268227
1686934800000,5.58,5.6,5.6,5.58,203582
